Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
23,23,JP,9781508235958,Japanese 5,2,02Q,N,"As for the meal, it was very good, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_023.mp3,"6,7"
24,24,JP,9781508235958,Japanese 5,2,02R,F,食事はとてもよかったよ。,shokuji wa totemo yokatta yo.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_024.mp3,"6,7"
25,25,JP,9781508235958,Japanese 5,2,03Q,N,I was lucky. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_025.mp3,"7,9"
26,26,JP,9781508235958,Japanese 5,2,03R,F,運が良かった。,un ga yokatta.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_026.mp3,"7,9"
27,27,JP,9781508235958,Japanese 5,2,04Q,N,"You were lucky, weren’t you. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_027.mp3,7
28,28,JP,9781508235958,Japanese 5,2,04R,M,運が良かったね。,un ga yokatta ne.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_028.mp3,7
29,29,JP,9781508235958,Japanese 5,2,05Q,N,"That was good, wasn't it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_029.mp3,7
30,30,JP,9781508235958,Japanese 5,2,05R,M,それはよかったね。,sore wa yokatta ne.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_030.mp3,7
31,31,JP,9781508235958,Japanese 5,2,06Q,N,"It was tough, wasn't it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_031.mp3,7
32,32,JP,9781508235958,Japanese 5,2,06R,M,大変だったね。,taihen datta ne.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_032.mp3,7
33,33,JP,9781508235958,Japanese 5,2,07Q,N,Nobody was there. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_033.mp3,9
34,34,JP,9781508235958,Japanese 5,2,07R,M,誰もいなかった。,daremo inakatta.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_034.mp3,9
35,35,JP,9781508235958,Japanese 5,2,08Q,N,"Already it’s been more than ten years, hasn’t it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_035.mp3,"12,17"
36,36,JP,9781508235958,Japanese 5,2,08R,M,もう十年以上だね。,moo juu nen ijoo da ne.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_036.mp3,"12,17"
37,37,JP,9781508235958,Japanese 5,2,09Q,N,Because nobody was there on both sides. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_037.mp3,"9,18"
38,38,JP,9781508235958,Japanese 5,2,09R,F,両隣に誰もいなかったから。,ryoodonari ni daremo inakatta kara.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_038.mp3,"9,18"
39,39,JP,9781508235958,Japanese 5,2,010Q,N,Because the room was small. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_039.mp3,"9,18"
40,40,JP,9781508235958,Japanese 5,2,010R,F,部屋が小さかったから。,heya ga chiisakatta kara.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_040.mp3,"9,18"
41,41,JP,9781508235958,Japanese 5,3,01Q,N,It was a little bit tough. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_041.mp3,"7,9"
42,42,JP,9781508235958,Japanese 5,3,01R,F,ちょっと大変だった。,chotto taihen datta.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_042.mp3,"7,9"
43,43,JP,9781508235958,Japanese 5,3,02Q,N,together with those students,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_043.mp3,1
44,44,JP,9781508235958,Japanese 5,3,02R,F,その学生達と一緒に,sono gakuseitachi to issho ni,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_044.mp3,1
45,45,JP,9781508235958,Japanese 5,3,03Q,N,"International students came, didn’t they. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_045.mp3,"9,18"
46,46,JP,9781508235958,Japanese 5,3,03R,F,留学生が来てたね。,ryuugakusei ga kiteta ne.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_046.mp3,"9,18"
47,47,JP,9781508235958,Japanese 5,3,04Q,N,together with the Japanese students,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_047.mp3,1
48,48,JP,9781508235958,Japanese 5,3,04R,M,日本人の学生達と一緒に,nihonjin no gakuseitachi to issho ni,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_048.mp3,1
49,49,JP,9781508235958,Japanese 5,3,05Q,N,once a year,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_049.mp3,"12,17"
50,50,JP,9781508235958,Japanese 5,3,05R,M,年に一度,nen ni ichido,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_050.mp3,"12,17"
51,51,JP,9781508235958,Japanese 5,3,06Q,N,"She often came to the Japan festival, didn’t she. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_051.mp3,1
52,52,JP,9781508235958,Japanese 5,3,06R,M,よく日本祭りに来てたね。,yoku nihon matsuri ni kiteta ne.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_052.mp3,1
53,53,JP,9781508235958,Japanese 5,3,07Q,N,"It was rather all right, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_053.mp3,"7,9"
54,54,JP,9781508235958,Japanese 5,3,07R,M,まあまあだったよ。,maa maa datta yo.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_054.mp3,"7,9"
55,55,JP,9781508235958,Japanese 5,3,08Q,N,because nobody was there next to me [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_055.mp3,18
56,56,JP,9781508235958,Japanese 5,3,08R,M,隣に誰もいなかったから,tonari ni daremo inakatta kara,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_056.mp3,18
57,57,JP,9781508235958,Japanese 5,3,09Q,N,I want to try to go. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_057.mp3,"1,18"
58,58,JP,9781508235958,Japanese 5,3,09R,F,行ってみたい。,itte mitai.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_058.mp3,"1,18"
59,59,JP,9781508235958,Japanese 5,3,010Q,N,You were saying that you want to try to go. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_059.mp3,1
60,60,JP,9781508235958,Japanese 5,3,010R,F,行ってみたいって言ってたね。,itte mitai tte itteta ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_060.mp3,1
61,61,JP,9781508235958,Japanese 5,3,011Q,N,"We went to the Japan festival, didn’t we. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_061.mp3,1
62,62,JP,9781508235958,Japanese 5,3,011R,F,日本祭りに行ったね。,nihon matsuri ni itta ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_062.mp3,1
63,63,JP,9781508235958,Japanese 5,4,01Q,N,I paid. [female/informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_063.mp3,"9,11"
64,64,JP,9781508235958,Japanese 5,4,01R,F,あたしが立て替えた。,atashi ga tatekaeta.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_064.mp3,"9,11"
65,65,JP,9781508235958,Japanese 5,4,02Q,N,Who came? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_065.mp3,"7,9"
66,66,JP,9781508235958,Japanese 5,4,02R,F,誰が来てた？,dare ga kiteta?,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_066.mp3,"7,9"
67,67,JP,9781508235958,Japanese 5,4,03Q,N,Delicious! [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_067.mp3,"6,7"
68,68,JP,9781508235958,Japanese 5,4,03R,F,おいしい！,oishii!,1,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_068.mp3,"6,7"
69,69,JP,9781508235958,Japanese 5,4,04Q,N,Do you remember the history teacher’s name? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_069.mp3,"9,20"
70,70,JP,9781508235958,Japanese 5,4,04R,M,歴史の先生の名前を覚えている？,rekishi no sensei no namae o oboeteru?,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_070.mp3,"9,20"
71,71,JP,9781508235958,Japanese 5,4,05Q,N,"We had been there, hadn’t we. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_071.mp3,1
72,72,JP,9781508235958,Japanese 5,4,05R,M,行ったことがあったね。,itta koto ga atta ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_072.mp3,1
73,73,JP,9781508235958,Japanese 5,4,06Q,N,"We went to concerts also, didn’t we. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_073.mp3,1
74,74,JP,9781508235958,Japanese 5,4,06R,M,コンサートにも行ったね。,konsaato ni mo itta ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_074.mp3,1
75,75,JP,9781508235958,Japanese 5,4,07Q,N,With Japanese students.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_075.mp3,5
76,76,JP,9781508235958,Japanese 5,4,07R,M,日本人の学生達と。,nihonjin no gakuseitachi to.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_076.mp3,5
77,77,JP,9781508235958,Japanese 5,4,08Q,N,For that person's portion. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_077.mp3,9
78,78,JP,9781508235958,Japanese 5,4,08R,M,その人の分を。,sono hito no bun o.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_078.mp3,9
79,79,JP,9781508235958,Japanese 5,4,09Q,N,Try to eat and see how it is. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_079.mp3,6
80,80,JP,9781508235958,Japanese 5,4,09R,F,食べてみて。,tabete mite.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_080.mp3,6
81,81,JP,9781508235958,Japanese 5,4,010Q,N,Glad to hear that! [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_081.mp3,7
82,82,JP,9781508235958,Japanese 5,4,010R,F,良かった！,yokatta!,1,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_082.mp3,7
83,83,JP,9781508235958,Japanese 5,5,01Q,N,"As for in those days, it was fun, wasn't it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_083.mp3,"9,17"
84,84,JP,9781508235958,Japanese 5,5,01R,F,あの頃は楽しかったね。,ano koro wa tanoshikatta ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_084.mp3,"9,17"
85,85,JP,9781508235958,Japanese 5,5,02Q,N,"As for those times, it was tough. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_085.mp3,"9,17"
86,86,JP,9781508235958,Japanese 5,5,02R,F,あの時は大変だった。,ano toki wa taihen datta.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_086.mp3,"9,17"
87,87,JP,9781508235958,Japanese 5,5,03Q,N,"There are stalls also, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_087.mp3,9
88,88,JP,9781508235958,Japanese 5,5,03R,F,出店もあるよ。,demise mo aru yo.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_088.mp3,9
89,89,JP,9781508235958,Japanese 5,5,04Q,N,"Because it’s delicious, try to eat and see how it is. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_089.mp3,6
90,90,JP,9781508235958,Japanese 5,5,04R,M,おいしいから食べてみて。,oishii kara tabete mite.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_090.mp3,6
91,91,JP,9781508235958,Japanese 5,5,05Q,N,"There are many stalls, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_091.mp3,9
92,92,JP,9781508235958,Japanese 5,5,05R,M,出店がたくさんあるよ。,demise ga takusan aru yo.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_092.mp3,9
93,93,JP,9781508235958,Japanese 5,5,06Q,N,It was fun. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_093.mp3,7
94,94,JP,9781508235958,Japanese 5,5,06R,M,楽しかった。,tanoshikatta.,1,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_094.mp3,7
95,95,JP,9781508235958,Japanese 5,5,07Q,N,"At the next town, there’s a summer festival, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_095.mp3,"1,9"
96,96,JP,9781508235958,Japanese 5,5,07R,M,隣の町で夏祭りがあるよ。,tonari no machi de natsu matsuri ga aru yo.,9,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_096.mp3,"1,9"
97,97,JP,9781508235958,Japanese 5,5,08Q,N,"I ate it for the first time, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_097.mp3,"6,17"
98,98,JP,9781508235958,Japanese 5,5,08R,M,初めて食べたよ。,hajimete tabeta yo.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_098.mp3,"6,17"
99,99,JP,9781508235958,Japanese 5,5,09Q,N,I couldn't remember and was troubled. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_099.mp3,9
100,100,JP,9781508235958,Japanese 5,5,09R,F,覚えられなくて困った。,oboerarenakute komatta.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_100.mp3,9
101,101,JP,9781508235958,Japanese 5,5,010Q,N,"It was fun, wasn’t it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_101.mp3,"7,9"
102,102,JP,9781508235958,Japanese 5,5,010R,F,楽しかったね。,tanoshikatta ne.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_102.mp3,"7,9"
103,103,JP,9781508235958,Japanese 5,6,01Q,N,I also made a mistake. [female/informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_103.mp3,"7,9"
104,104,JP,9781508235958,Japanese 5,6,01R,F,あたしも間違った。,atashi mo machigatta.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_104.mp3,"7,9"
105,105,JP,9781508235958,Japanese 5,6,02Q,N,I came here for the first time. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_105.mp3,9
106,106,JP,9781508235958,Japanese 5,6,02R,F,初めて来た。,hajimete kita.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_106.mp3,9
107,107,JP,9781508235958,Japanese 5,6,03Q,N,"At the time of performance, I made a little mistake, though. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_107.mp3,"9,17"
108,108,JP,9781508235958,Japanese 5,6,03R,F,本番の時、ちょっと間違ったけど。,"honban no toki, chotto machigatta kedo.",6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_108.mp3,"9,17"
109,109,JP,9781508235958,Japanese 5,6,04Q,N,Did he come to Japan? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_109.mp3,"9,18"
110,110,JP,9781508235958,Japanese 5,6,04R,F,日本に来た？,nihon ni kita?,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_110.mp3,"9,18"
111,111,JP,9781508235958,Japanese 5,6,05Q,N,"Last week also there was, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_111.mp3,"9,17"
112,112,JP,9781508235958,Japanese 5,6,05R,M,先週もあったよ。,senshuu mo atta yo.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_112.mp3,"9,17"
113,113,JP,9781508235958,Japanese 5,6,06Q,N,I also have been a few times.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_113.mp3,"9,17"
114,114,JP,9781508235958,Japanese 5,6,06R,M,私も2，3回 行ったことがあります。,"watashi mo ni, san kai itta koto ga arimasu.",9,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_114.mp3,"9,17"
115,115,JP,9781508235958,Japanese 5,6,07Q,N,"There was a phone call, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_115.mp3,"3,9"
116,116,JP,9781508235958,Japanese 5,6,07R,M,電話があったよ。,denwa ga atta yo.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_116.mp3,"3,9"
117,117,JP,9781508235958,Japanese 5,6,08Q,N,"A few times, there were phone calls. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_117.mp3,3
118,118,JP,9781508235958,Japanese 5,6,08R,M,2，3回 電話があった。,"ni, san kai denwa ga atta.",6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_118.mp3,3
119,119,JP,9781508235958,Japanese 5,6,09Q,N,"As for me, I was troubled with English. [female/informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_119.mp3,"9,15"
120,120,JP,9781508235958,Japanese 5,6,09R,F,あたしは、英語で困った。,"atashi wa, eigo de komatta.",5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_120.mp3,"9,15"
121,121,JP,9781508235958,Japanese 5,6,010Q,N,It was easy. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_121.mp3,"9,15"
122,122,JP,9781508235958,Japanese 5,6,010R,M,簡単だった。,kantan datta.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_122.mp3,"9,15"
123,123,JP,9781508235958,Japanese 5,7,01Q,N,Which was easier? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_123.mp3,9
124,124,JP,9781508235958,Japanese 5,7,01R,F,どちらの方が簡単だった？,dochira no hoo ga kantan datta?,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_124.mp3,9
125,125,JP,9781508235958,Japanese 5,7,02Q,N,My Japanese class also. [male/informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_125.mp3,15
126,126,JP,9781508235958,Japanese 5,7,02R,M,僕の日本語のクラスも。,boku no nihongo no kurasu mo.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_126.mp3,15
127,127,JP,9781508235958,Japanese 5,7,03Q,N,About when did you go? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_127.mp3,"1,9,17,18"
128,128,JP,9781508235958,Japanese 5,7,03R,F,いつ頃行ったの？,itsu goro itta no?,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_128.mp3,"1,9,17,18"
129,129,JP,9781508235958,Japanese 5,7,04Q,N,Everything was delicious. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_129.mp3,"6,7"
130,130,JP,9781508235958,Japanese 5,7,04R,F,みんな おいしかった。,minna oishikatta.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_130.mp3,"6,7"
131,131,JP,9781508235958,Japanese 5,7,05Q,N,"I’ve heard, though. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_131.mp3,"7,9"
132,132,JP,9781508235958,Japanese 5,7,05R,F,聞いたことがあるけど。,kiita koto ga aru kedo.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_132.mp3,"7,9"
133,133,JP,9781508235958,Japanese 5,7,06Q,N,"Boys, be ambitious.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_133.mp3,7
134,134,JP,9781508235958,Japanese 5,7,06R,F,少年よ、大志を抱け。,"shoonen yo, taishi o idake.",5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_134.mp3,7
135,135,JP,9781508235958,Japanese 5,7,07Q,N,"As for Japanese class, it was difficult. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_135.mp3,"9,15"
136,136,JP,9781508235958,Japanese 5,7,07R,M,日本語のクラスは 難しかった。,nihongo no kurasu wa muzukashikatta.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_136.mp3,"9,15"
137,137,JP,9781508235958,Japanese 5,7,08Q,N,My English class was tough. [female/informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_137.mp3,"9,15"
138,138,JP,9781508235958,Japanese 5,7,08R,F,あたしの英語のクラスは大変だった。,atashi no eigo no kurasu wa taihen datta.,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_138.mp3,"9,15"
139,139,JP,9781508235958,Japanese 5,7,09Q,N,Did he already come to Japan? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_139.mp3,"9,18"
140,140,JP,9781508235958,Japanese 5,7,09R,M,もう日本に来たの？,moo nihon ni kita no?,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_140.mp3,"9,18"
141,141,JP,9781508235958,Japanese 5,7,010Q,N,About when did he go to Hokkaido? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_141.mp3,"17,18"
142,142,JP,9781508235958,Japanese 5,7,010R,M,いつ頃北海道に行ったの？,itsu goro hokkaido ni itta no?,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_142.mp3,"17,18"
