Rec #,Lang ,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
39,GK,Greek 1,2,,10Q,N,"Very well, thanks.",,9781797115375_Greek_1_QZ_039.mp3,9781442319875,9781797115375,"10,13,16"
40,GK,Greek 1,2,,10R,M,"Πολύ καλά, ευχαριστώ.","Polí kalá, efharistó.",9781797115375_Greek_1_QZ_040.mp3,9781442319875,9781797115375,"10,13,16"
41,GK,Greek 1,3,,01Q,N,And you?,,9781797115375_Greek_1_QZ_041.mp3,9781442319875,9781797115375,10
42,GK,Greek 1,3,,01R,F,Και εσείς;,Ke esís?,9781797115375_Greek_1_QZ_042.mp3,9781442319875,9781797115375,10
43,GK,Greek 1,3,,02Q,N,Are you American? (f),,9781797115375_Greek_1_QZ_043.mp3,9781442319875,9781797115375,10
44,GK,Greek 1,3,,02R,F,Είστε Αμερικανίδα;,Iste Amerikanítha?,9781797115375_Greek_1_QZ_044.mp3,9781442319875,9781797115375,10
45,GK,Greek 1,3,,03Q,N,I'm American. (f),,9781797115375_Greek_1_QZ_045.mp3,9781442319875,9781797115375,"10,16"
46,GK,Greek 1,3,,03R,F,Είμαι Αμερικανίδα.,Ime Amerikanítha.,9781797115375_Greek_1_QZ_046.mp3,9781442319875,9781797115375,"10,16"
47,GK,Greek 1,3,,04Q,N,I’m not well.,,9781797115375_Greek_1_QZ_047.mp3,9781442319875,9781797115375,"7,10,16"
48,GK,Greek 1,3,,04R,F,Δεν είμαι καλά.,Then íme kalá.,9781797115375_Greek_1_QZ_048.mp3,9781442319875,9781797115375,"7,10,16"
49,GK,Greek 1,3,,05Q,N,I don’t understand very well.,,9781797115375_Greek_1_QZ_049.mp3,9781442319875,9781797115375,"10,15,16"
50,GK,Greek 1,3,,05R,F,Δεν καταλαβαίνω πολύ καλά.,Then katalavéno polí kalá.,9781797115375_Greek_1_QZ_050.mp3,9781442319875,9781797115375,"10,15,16"
51,GK,Greek 1,3,,06Q,N,"How are you, sir?",,9781797115375_Greek_1_QZ_051.mp3,9781442319875,9781797115375,"10,16"
52,GK,Greek 1,3,,06R,M,"Τι κάνετε, κύριε;","Ti kánete, kírie?",9781797115375_Greek_1_QZ_052.mp3,9781442319875,9781797115375,"10,16"
53,GK,Greek 1,3,,07Q,N,"Thank you, ma'am.",,9781797115375_Greek_1_QZ_053.mp3,9781442319875,9781797115375,13
54,GK,Greek 1,3,,07R,M,"Ευχαριστώ, κυρία.","Efharistó, kiría.",9781797115375_Greek_1_QZ_054.mp3,9781442319875,9781797115375,13
55,GK,Greek 1,3,,08Q,N,I'm not American. (m),,9781797115375_Greek_1_QZ_055.mp3,9781442319875,9781797115375,10
56,GK,Greek 1,3,,08R,M,Δεν είμαι Αμερικανός.,Then íme Amerikanós.,9781797115375_Greek_1_QZ_056.mp3,9781442319875,9781797115375,10
57,GK,Greek 1,3,,09Q,N,I'm Greek. (m),,9781797115375_Greek_1_QZ_057.mp3,9781442319875,9781797115375,10
58,GK,Greek 1,3,,09R,M,Είμαι Ελληνας.,Ime Ellinas.,9781797115375_Greek_1_QZ_058.mp3,9781442319875,9781797115375,10
59,GK,Greek 1,3,,10Q,N,I'm American. (m),,9781797115375_Greek_1_QZ_059.mp3,9781442319875,9781797115375,16
60,GK,Greek 1,3,,10R,M,Είμαι Αμερικανός.,Ime Amerikanós.,9781797115375_Greek_1_QZ_060.mp3,9781442319875,9781797115375,16
61,GK,Greek 1,4,,01Q,N,Victory Street is not over there.,,9781797115375_Greek_1_QZ_061.mp3,9781442319875,9781797115375,4
62,GK,Greek 1,4,,01R,F,Η οδός Νίκης δεν είναι εκεί.,I othós Níkis then íne ekí.,9781797115375_Greek_1_QZ_062.mp3,9781442319875,9781797115375,4
63,GK,Greek 1,4,,02Q,N,It's here.,,9781797115375_Greek_1_QZ_063.mp3,9781442319875,9781797115375,"4,16"
64,GK,Greek 1,4,,02R,F,Είναι εδώ.,Ine ethó.,9781797115375_Greek_1_QZ_064.mp3,9781442319875,9781797115375,"4,16"
65,GK,Greek 1,4,,03Q,N,It's over there.,,9781797115375_Greek_1_QZ_065.mp3,9781442319875,9781797115375,"4,16"
66,GK,Greek 1,4,,03R,F,Είναι εκεί.,Ine ekí.,9781797115375_Greek_1_QZ_066.mp3,9781442319875,9781797115375,"4,16"
67,GK,Greek 1,4,,04Q,N,"Where is Victory Street, please?",,9781797115375_Greek_1_QZ_067.mp3,9781442319875,9781797115375,"4,16"
68,GK,Greek 1,4,,04R,F,"Που είναι η οδός Νίκης, παρακαλώ;","Pou íne i othós Níkis, parakaló?",9781797115375_Greek_1_QZ_068.mp3,9781442319875,9781797115375,"4,16"
69,GK,Greek 1,4,,05Q,N,It’s not here.,,9781797115375_Greek_1_QZ_069.mp3,9781442319875,9781797115375,4
70,GK,Greek 1,4,,05R,F,Δεν είναι εδώ.,Then íne ethó.,9781797115375_Greek_1_QZ_070.mp3,9781442319875,9781797115375,4
71,GK,Greek 1,4,,06Q,N,You speak well.,,9781797115375_Greek_1_QZ_071.mp3,9781442319875,9781797115375,15
72,GK,Greek 1,4,,06R,M,Μιλάτε καλά.,Miláte kalá.,9781797115375_Greek_1_QZ_072.mp3,9781442319875,9781797115375,15
73,GK,Greek 1,4,,07Q,N,Where is Amalías Boulevard?,,9781797115375_Greek_1_QZ_073.mp3,9781442319875,9781797115375,4
74,GK,Greek 1,4,,07R,M,Που είναι η λεωφόρος Αμαλίας;,Pou íne i leofóros Amalías?,9781797115375_Greek_1_QZ_074.mp3,9781442319875,9781797115375,4
75,GK,Greek 1,4,,08Q,N,Amalías Boulevard is here.,,9781797115375_Greek_1_QZ_075.mp3,9781442319875,9781797115375,4
76,GK,Greek 1,4,,08R,M,Η λεωφόρος Αμαλίας είναι εδώ.,I leofóros Amalías íne ethó.,9781797115375_Greek_1_QZ_076.mp3,9781442319875,9781797115375,4
77,GK,Greek 1,4,,09Q,N,Amalías Boulevard is over there.,,9781797115375_Greek_1_QZ_077.mp3,9781442319875,9781797115375,4
78,GK,Greek 1,4,,09R,M,Η λεωφόρος Αμαλίας είναι εκεί.,I leofóros Amalías íne ekí.,9781797115375_Greek_1_QZ_078.mp3,9781442319875,9781797115375,4
79,GK,Greek 1,4,,10Q,N,But Victory Street is here.,,9781797115375_Greek_1_QZ_079.mp3,9781442319875,9781797115375,4
80,GK,Greek 1,4,,10R,M,Αλλά η οδός Νίκης είναι εδώ.,Allá i othós Níkis íne ethó.,9781797115375_Greek_1_QZ_080.mp3,9781442319875,9781797115375,4
81,GK,Greek 1,5,,01Q,N,"But, me I don’t want to.",,9781797115375_Greek_1_QZ_081.mp3,9781442319875,9781797115375,7
82,GK,Greek 1,5,,01R,F,"Αλλά, εγώ δεν θέλω.","Allá, egó then thélo.",9781797115375_Greek_1_QZ_082.mp3,9781442319875,9781797115375,7
83,GK,Greek 1,5,,02Q,N,Me? Very well.,,9781797115375_Greek_1_QZ_083.mp3,9781442319875,9781797115375,"10,16"
84,GK,Greek 1,5,,02R,F,Εγώ; Πολύ καλά.,Egó? Polí kalá.,9781797115375_Greek_1_QZ_084.mp3,9781442319875,9781797115375,"10,16"
85,GK,Greek 1,5,,03Q,N,I would like to eat something.,,9781797115375_Greek_1_QZ_085.mp3,9781442319875,9781797115375,"6,16"
86,GK,Greek 1,5,,03R,F,Θα ήθελα να φάω κάτι.,Tha íthela na fáo káti.,9781797115375_Greek_1_QZ_086.mp3,9781442319875,9781797115375,"6,16"
87,GK,Greek 1,5,,04Q,N,Would you like to eat?,,9781797115375_Greek_1_QZ_087.mp3,9781442319875,9781797115375,6
88,GK,Greek 1,5,,04R,F,Θα θέλατε να φάτε;,Tha thélate na fáte?,9781797115375_Greek_1_QZ_088.mp3,9781442319875,9781797115375,6
89,GK,Greek 1,5,,05Q,N,"Yes, I understand Greek well.",,9781797115375_Greek_1_QZ_089.mp3,9781442319875,9781797115375,15
90,GK,Greek 1,5,,05R,F,"Ναι, καταλαβαίνω Ελληνικά καλά.","Ne, katalavéno Elliniká kalá.",9781797115375_Greek_1_QZ_090.mp3,9781442319875,9781797115375,15
91,GK,Greek 1,5,,06Q,N,Me? Not very well.,,9781797115375_Greek_1_QZ_091.mp3,9781442319875,9781797115375,10
92,GK,Greek 1,5,,06R,M,Εγώ; Όχι πολύ καλά.,Egó? Ochi polí kalá.,9781797115375_Greek_1_QZ_092.mp3,9781442319875,9781797115375,10
93,GK,Greek 1,5,,07Q,N,I don't know.,,9781797115375_Greek_1_QZ_093.mp3,9781442319875,9781797115375,7
94,GK,Greek 1,5,,07R,M,Δεν ξέρω.,Then kséro.,9781797115375_Greek_1_QZ_094.mp3,9781442319875,9781797115375,7
95,GK,Greek 1,5,,08Q,N,"No, it's over there.",,9781797115375_Greek_1_QZ_095.mp3,9781442319875,9781797115375,4
96,GK,Greek 1,5,,08R,M,"Όχι, είναι εκεί.","Ochi, íne ekí.",9781797115375_Greek_1_QZ_096.mp3,9781442319875,9781797115375,4
97,GK,Greek 1,5,,09Q,N,Where is Sophocles Street?,,9781797115375_Greek_1_QZ_097.mp3,9781442319875,9781797115375,4
98,GK,Greek 1,5,,09R,M,Που είναι η οδός Σοφοκλέους;,Pou íne i othós Sofokléous?,9781797115375_Greek_1_QZ_098.mp3,9781442319875,9781797115375,4
99,GK,Greek 1,5,,10Q,N,"Me, I don't want to.",,9781797115375_Greek_1_QZ_099.mp3,9781442319875,9781797115375,16
100,GK,Greek 1,5,,10R,M,Εγώ δεν θέλω.,Egó then thélo.,9781797115375_Greek_1_QZ_100.mp3,9781442319875,9781797115375,16
101,GK,Greek 1,5,,11Q,N,Would you like to eat something?,,9781797115375_Greek_1_QZ_101.mp3,9781442319875,9781797115375,6
102,GK,Greek 1,5,,11R,M,Θα θέλατε να φάτε κάτι;,Tha thélate na fáte káti?,9781797115375_Greek_1_QZ_102.mp3,9781442319875,9781797115375,6
103,GK,Greek 1,6,,01Q,N,"Yes, I would like to eat something.",,9781797115375_Greek_1_QZ_103.mp3,9781442319875,9781797115375,"6,16"
104,GK,Greek 1,6,,01R,F,"Ναι, θα ήθελα να φάω κάτι.","Ne, tha íthela na fáo káti.",9781797115375_Greek_1_QZ_104.mp3,9781442319875,9781797115375,"6,16"
105,GK,Greek 1,6,,02Q,N,"Me, I want to.",,9781797115375_Greek_1_QZ_105.mp3,9781442319875,9781797115375,16
106,GK,Greek 1,6,,02R,F,Εγώ θέλω.,Egó thélo.,9781797115375_Greek_1_QZ_106.mp3,9781442319875,9781797115375,16
107,GK,Greek 1,6,,03Q,N,Me too.,,9781797115375_Greek_1_QZ_107.mp3,9781442319875,9781797115375,7
108,GK,Greek 1,6,,03R,F,Και εγώ.,Ke egó.,9781797115375_Greek_1_QZ_108.mp3,9781442319875,9781797115375,7
109,GK,Greek 1,6,,04Q,N,Not me.,,9781797115375_Greek_1_QZ_109.mp3,9781442319875,9781797115375,"7,16"
110,GK,Greek 1,6,,04R,F,Όχι εγώ.,Ochi egó.,9781797115375_Greek_1_QZ_110.mp3,9781442319875,9781797115375,"7,16"
111,GK,Greek 1,6,,05Q,N,Not now.,,9781797115375_Greek_1_QZ_111.mp3,9781442319875,9781797115375,"16,17"
112,GK,Greek 1,6,,05R,F,Οχι τώρα.,Ochi tóra.,9781797115375_Greek_1_QZ_112.mp3,9781442319875,9781797115375,"16,17"
113,GK,Greek 1,6,,06Q,N,When would you like to eat?,,9781797115375_Greek_1_QZ_113.mp3,9781442319875,9781797115375,6
114,GK,Greek 1,6,,06R,M,Πότε θα θέλατε να φάτε;,Póte tha thélate na fáte?,9781797115375_Greek_1_QZ_114.mp3,9781442319875,9781797115375,6
115,GK,Greek 1,6,,07Q,N,At my place.,,9781797115375_Greek_1_QZ_115.mp3,9781442319875,9781797115375,7
116,GK,Greek 1,6,,07R,M,Σπίτι μου.,Spíti mou.,9781797115375_Greek_1_QZ_116.mp3,9781442319875,9781797115375,7
117,GK,Greek 1,6,,08Q,N,I’d really like to.,,9781797115375_Greek_1_QZ_117.mp3,9781442319875,9781797115375,16
118,GK,Greek 1,6,,08R,M,Θα ήθελα πολύ.,Tha íthela polí.,9781797115375_Greek_1_QZ_118.mp3,9781442319875,9781797115375,16
119,GK,Greek 1,6,,09Q,N,I don’t want to.,,9781797115375_Greek_1_QZ_119.mp3,9781442319875,9781797115375,16
120,GK,Greek 1,6,,09R,M,Δεν θέλω.,Then thélo.,9781797115375_Greek_1_QZ_120.mp3,9781442319875,9781797115375,16
121,GK,Greek 1,6,,10Q,N,"Later, please.",,9781797115375_Greek_1_QZ_121.mp3,9781442319875,9781797115375,"13,17"
122,GK,Greek 1,6,,10R,M,"Πιο αργά, παρακαλώ.","Pió argá, parakaló.",9781797115375_Greek_1_QZ_122.mp3,9781442319875,9781797115375,"13,17"
123,GK,Greek 1,7,,01Q,N,It's not OK.,,9781797115375_Greek_1_QZ_123.mp3,9781442319875,9781797115375,16
124,GK,Greek 1,7,,01R,F,Δεν είναι εντάξει.,Then íne entáksi.,9781797115375_Greek_1_QZ_124.mp3,9781442319875,9781797115375,16
125,GK,Greek 1,7,,02Q,N,What would you like to eat?,,9781797115375_Greek_1_QZ_125.mp3,9781442319875,9781797115375,6
126,GK,Greek 1,7,,02R,F,Τι θα θέλατε να φάτε;,Ti tha thélate na fáte?,9781797115375_Greek_1_QZ_126.mp3,9781442319875,9781797115375,6
127,GK,Greek 1,7,,03Q,N,The restaurant is here.,,9781797115375_Greek_1_QZ_127.mp3,9781442319875,9781797115375,6
128,GK,Greek 1,7,,03R,F,Το εστιατόριο είναι εδώ.,To estiatório íne ethó.,9781797115375_Greek_1_QZ_128.mp3,9781442319875,9781797115375,6
129,GK,Greek 1,7,,04Q,N,At the restaurant Michael’s Place.,,9781797115375_Greek_1_QZ_129.mp3,9781442319875,9781797115375,6
130,GK,Greek 1,7,,04R,F,Στο εστιατόριο του Μιχάλη.,Sto estiatório tou Micháli.,9781797115375_Greek_1_QZ_130.mp3,9781442319875,9781797115375,6
131,GK,Greek 1,7,,05Q,N,I would like some wine.,,9781797115375_Greek_1_QZ_131.mp3,9781442319875,9781797115375,"6,16"
132,GK,Greek 1,7,,05R,F,Θα ήθελα λίγο κρασί.,Tha íthela lígo krasí.,9781797115375_Greek_1_QZ_132.mp3,9781442319875,9781797115375,"6,16"
133,GK,Greek 1,7,,06Q,N,I would like some beer.,,9781797115375_Greek_1_QZ_133.mp3,9781442319875,9781797115375,"6,16"
134,GK,Greek 1,7,,06R,M,Θα ήθελα λίγη μπύρα.,Tha íthela lígi bíra.,9781797115375_Greek_1_QZ_134.mp3,9781442319875,9781797115375,"6,16"
135,GK,Greek 1,7,,07Q,N,I would like to drink some wine.,,9781797115375_Greek_1_QZ_135.mp3,9781442319875,9781797115375,6
136,GK,Greek 1,7,,07R,M,Θα ήθελα να πιώ λίγο κρασί.,Tha íthela na pió lígo krasí.,9781797115375_Greek_1_QZ_136.mp3,9781442319875,9781797115375,6
137,GK,Greek 1,7,,08Q,N,Would you like to drink some beer?,,9781797115375_Greek_1_QZ_137.mp3,9781442319875,9781797115375,6
138,GK,Greek 1,7,,08R,M,Θα θέλατε να πιείτε λίγη μπύρα;,Tha thélate na pieíte lígi bíra?,9781797115375_Greek_1_QZ_138.mp3,9781442319875,9781797115375,6
139,GK,Greek 1,7,,09Q,N,You don't want to drink?!,,9781797115375_Greek_1_QZ_139.mp3,9781442319875,9781797115375,6
140,GK,Greek 1,7,,09R,M,Δεν θέλετε να πιείτε;!,Then thélete na pieíte?!,9781797115375_Greek_1_QZ_140.mp3,9781442319875,9781797115375,6
141,GK,Greek 1,7,,10Q,N,Where is the restaurant?,,9781797115375_Greek_1_QZ_141.mp3,9781442319875,9781797115375,"4,6,16"
142,GK,Greek 1,7,,10R,M,Που είναι το εστιατόριο;,Pou íne to estiatório?,9781797115375_Greek_1_QZ_142.mp3,9781442319875,9781797115375,"4,6,16"
143,GK,Greek 1,8,,01Q,N,A little later.,,9781797115375_Greek_1_QZ_143.mp3,9781442319875,9781797115375,17
144,GK,Greek 1,8,,01R,F,Λίγο πιο αργά.,Lígo pió argá.,9781797115375_Greek_1_QZ_144.mp3,9781442319875,9781797115375,17
145,GK,Greek 1,8,,02Q,N,With whom?,,9781797115375_Greek_1_QZ_145.mp3,9781442319875,9781797115375,7
146,GK,Greek 1,8,,02R,F,Με ποιόν;,Me pión?,9781797115375_Greek_1_QZ_146.mp3,9781442319875,9781797115375,7
147,GK,Greek 1,8,,03Q,N,With you.,,9781797115375_Greek_1_QZ_147.mp3,9781442319875,9781797115375,7
148,GK,Greek 1,8,,03R,F,Μαζί σας.,Mazí sas.,9781797115375_Greek_1_QZ_148.mp3,9781442319875,9781797115375,7
149,GK,Greek 1,8,,04Q,N,Would you like to drink beer or wine?,,9781797115375_Greek_1_QZ_149.mp3,9781442319875,9781797115375,6
150,GK,Greek 1,8,,04R,F,Θα θέλατε να πιείτε μπύρα ή κρασί;,Tha thélate na pieíte bíra í krasí?,9781797115375_Greek_1_QZ_150.mp3,9781442319875,9781797115375,6
151,GK,Greek 1,8,,05Q,N,What do you want to do?,,9781797115375_Greek_1_QZ_151.mp3,9781442319875,9781797115375,7
152,GK,Greek 1,8,,05R,F,Τι θέλετε να κάνετε;,Ti thélete na kánete?,9781797115375_Greek_1_QZ_152.mp3,9781442319875,9781797115375,7
153,GK,Greek 1,8,,06Q,N,"Two beers, please.",,9781797115375_Greek_1_QZ_153.mp3,9781442319875,9781797115375,"6,12"
154,GK,Greek 1,8,,06R,M,"Δύο μπύρες, παρακαλώ.","Thío bíres, parakaló.",9781797115375_Greek_1_QZ_154.mp3,9781442319875,9781797115375,"6,12"
155,GK,Greek 1,8,,07Q,N,I would like to do something.,,9781797115375_Greek_1_QZ_155.mp3,9781442319875,9781797115375,7
156,GK,Greek 1,8,,07R,M,Θα ήθελα να κάνω κάτι.,Tha íthela na káno káti.,9781797115375_Greek_1_QZ_156.mp3,9781442319875,9781797115375,7
157,GK,Greek 1,8,,08Q,N,Would you like to buy something?,,9781797115375_Greek_1_QZ_157.mp3,9781442319875,9781797115375,14
158,GK,Greek 1,8,,08R,M,Θα θέλατε να αγοράσετε κάτι;,Tha thélate na agorásete káti?,9781797115375_Greek_1_QZ_158.mp3,9781442319875,9781797115375,14
159,GK,Greek 1,8,,09Q,N,I would like to eat lunch now.,,9781797115375_Greek_1_QZ_159.mp3,9781442319875,9781797115375,"6,16,17"
160,GK,Greek 1,8,,09R,M,Θα ήθελα να φάω μεσημεριανό τώρα.,Tha íthela na fáo mesimerianó tóra.,9781797115375_Greek_1_QZ_160.mp3,9781442319875,9781797115375,"6,16,17"
161,GK,Greek 1,8,,10Q,N,"No, not at the hotel.",,9781797115375_Greek_1_QZ_161.mp3,9781442319875,9781797115375,18
162,GK,Greek 1,8,,10R,M,"Όχι, όχι στο ξενοδοχείο.","Ochi, ochi sto ksenothochío.",9781797115375_Greek_1_QZ_162.mp3,9781442319875,9781797115375,18
163,GK,Greek 1,9,,01Q,N,"At the restaurant, on Amalías Boulevard.",,9781797115375_Greek_1_QZ_163.mp3,9781442319875,9781797115375,"4,6"
164,GK,Greek 1,9,,01R,F,"Στο εστιατόριο, στη λεωφόρο Αμαλίας.","Sto estiatório, stí leofóro Amalías.",9781797115375_Greek_1_QZ_164.mp3,9781442319875,9781797115375,"4,6"
165,GK,Greek 1,9,,02Q,N,At what time?,,9781797115375_Greek_1_QZ_165.mp3,9781442319875,9781797115375,"16,17"
166,GK,Greek 1,9,,02R,F,Τι ώρα;,Ti óra?,9781797115375_Greek_1_QZ_166.mp3,9781442319875,9781797115375,"16,17"
167,GK,Greek 1,9,,03Q,N,At one.,,9781797115375_Greek_1_QZ_167.mp3,9781442319875,9781797115375,"12,17"
168,GK,Greek 1,9,,03R,F,Στη μία.,Stí mía.,9781797115375_Greek_1_QZ_168.mp3,9781442319875,9781797115375,"12,17"
169,GK,Greek 1,9,,04Q,N,Or at nine.,,9781797115375_Greek_1_QZ_169.mp3,9781442319875,9781797115375,"12,17"
170,GK,Greek 1,9,,04R,F,Ή στις εννέα.,I stís enea.,9781797115375_Greek_1_QZ_170.mp3,9781442319875,9781797115375,"12,17"
171,GK,Greek 1,9,,05Q,N,What don’t I understand?,,9781797115375_Greek_1_QZ_171.mp3,9781442319875,9781797115375,"15,16"
172,GK,Greek 1,9,,05R,F,Τι δεν καταλαβαίνω;,Ti then katalavéno?,9781797115375_Greek_1_QZ_172.mp3,9781442319875,9781797115375,"15,16"
173,GK,Greek 1,9,,06Q,N,Do you know where Victory Street is?,,9781797115375_Greek_1_QZ_173.mp3,9781442319875,9781797115375,4
174,GK,Greek 1,9,,06R,M,Ξέρετε που είναι η οδός Νίκης;,Ksérete pou íne i othós Níkis?,9781797115375_Greek_1_QZ_174.mp3,9781442319875,9781797115375,4
175,GK,Greek 1,9,,07Q,N,I’d like to eat at the restaurant.,,9781797115375_Greek_1_QZ_175.mp3,9781442319875,9781797115375,6
176,GK,Greek 1,9,,07R,M,Θα ήθελα να φάω στο εστιατόριο.,Tha íthela na fáo sto estiatório.,9781797115375_Greek_1_QZ_176.mp3,9781442319875,9781797115375,6
177,GK,Greek 1,9,,08Q,N,It’s not on Victory Street.,,9781797115375_Greek_1_QZ_177.mp3,9781442319875,9781797115375,4
178,GK,Greek 1,9,,08R,M,Δεν είναι στην οδό Νίκης.,Then íne stin othó Níkis.,9781797115375_Greek_1_QZ_178.mp3,9781442319875,9781797115375,4
179,GK,Greek 1,9,,09Q,N,"Where is the hotel Astir, please?",,9781797115375_Greek_1_QZ_179.mp3,9781442319875,9781797115375,"4,18"
