Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
30,30,JP,9781442386495,Japanese 4,2,04R,F,食べたことがあります。,tabeta koto ga arimasu.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0030.mp3,"6,9"
31,31,JP,9781442386495,Japanese 4,2,05Q,N,I talked to the person who was sitting next to me.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0031.mp3,9
32,32,JP,9781442386495,Japanese 4,2,05R,F,隣に座っていた人と話しました。,tonari ni suwatte ita hito to hanashimashita.,7,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0032.mp3,9
33,33,JP,9781442386495,Japanese 4,2,06Q,N,"Yes, good isn't it. [informal]",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0033.mp3,7
34,34,JP,9781442386495,Japanese 4,2,06R,M,うん、いいね。,"un, ii ne.",3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0034.mp3,7
35,35,JP,9781442386495,Japanese 4,2,07Q,N,Have you ever eaten sukiyaki? [informal],,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0035.mp3,6
36,36,JP,9781442386495,Japanese 4,2,07R,F2,すき焼きを食べたことがある？,sukiyaki o tabeta koto ga aru?,6,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0036.mp3,6
37,37,JP,9781442386495,Japanese 4,2,08Q,N,Have you ever eaten sukiyaki?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0037.mp3,6
38,38,JP,9781442386495,Japanese 4,2,08R,M,すき焼きを食べたことがありますか。,sukiyaki o tabeta koto ga arimasu ka.,7,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0038.mp3,6
39,39,JP,9781442386495,Japanese 4,2,09Q,N,"As for Sukiyaki's ingredients, what are they? [informal]",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0039.mp3,"6,9"
40,40,JP,9781442386495,Japanese 4,2,09R,F,すき焼きの材料は何？,sukiyaki no zairyoo wa nani?,5,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0040.mp3,"6,9"
41,41,JP,9781442386495,Japanese 4,2,10Q,N,Vegetables and beef.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0041.mp3,6
42,42,JP,9781442386495,Japanese 4,2,10R,M,野菜と牛肉。,yasai to gyuu niku.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0042.mp3,6
43,43,JP,9781442386495,Japanese 4,2,11Q,N,"You're going to go hiking, aren't you?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0043.mp3,1
44,44,JP,9781442386495,Japanese 4,2,11R,F,ハイキングにいらっしゃるんですね。,haikingu ni irassharu n desu ne?,6,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0044.mp3,1
45,45,JP,9781442386495,Japanese 4,3,01Q,N,Which flight is it?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0045.mp3,"9,18"
46,46,JP,9781442386495,Japanese 4,3,01R,F,どの便ですか。,dono bin desu ka.,4,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0046.mp3,"9,18"
47,47,JP,9781442386495,Japanese 4,3,02Q,N,The hotel room is big and pretty.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0047.mp3,"9,18"
48,48,JP,9781442386495,Japanese 4,3,02R,M,ホテルの部屋は大きくてきれいです。,hoteru no heya wa ookikute kirei desu.,7,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0048.mp3,"9,18"
49,49,JP,9781442386495,Japanese 4,3,03Q,N,I'll take you to the hotel.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0049.mp3,"4,18"
50,50,JP,9781442386495,Japanese 4,3,03R,F,ホテルまでお送りします。,hoteru made ookuri shimasu.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0050.mp3,"4,18"
51,51,JP,9781442386495,Japanese 4,3,04Q,N,I have to go to the airport.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0051.mp3,"9,18"
52,52,JP,9781442386495,Japanese 4,3,04R,M,空港に行かなくてはいけません。,kuukoo ni ikanakutewa ikemasen.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0052.mp3,"9,18"
53,53,JP,9781442386495,Japanese 4,3,05Q,N,It has been delayed.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0053.mp3,"9,18"
54,54,JP,9781442386495,Japanese 4,3,05R,M,遅れています。,okurete imasu.,2,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0054.mp3,"9,18"
55,55,JP,9781442386495,Japanese 4,3,06Q,N,I'm a little tired.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0055.mp3,"7,16"
56,56,JP,9781442386495,Japanese 4,3,06R,M,少し疲れました。,sukoshi tsukare mashita.,3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0056.mp3,"7,16"
57,57,JP,9781442386495,Japanese 4,3,07Q,N,Welcome to Japan.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0057.mp3,"7,18"
58,58,JP,9781442386495,Japanese 4,3,07R,F,ようこそ日本へ。,yookoso nihon e.,3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0058.mp3,"7,18"
59,59,JP,9781442386495,Japanese 4,3,08Q,N,"As for dessert, what shall we have?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0059.mp3,"6,7"
60,60,JP,9781442386495,Japanese 4,3,08R,F,デザートはなんにする？,dezaato wa nan ni suru?,5,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0060.mp3,"6,7"
61,61,JP,9781442386495,Japanese 4,3,09Q,N,"As for me, I'll have coffee. [informal]",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0061.mp3,"6,7"
62,62,JP,9781442386495,Japanese 4,3,09R,M,私はコーヒーにする。,watashi wa koohii ni suru.,5,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0062.mp3,"6,7"
63,63,JP,9781442386495,Japanese 4,3,10Q,N,"But as for this afternoon, I have time.",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0063.mp3,"9,17"
64,64,JP,9781442386495,Japanese 4,3,10R,M,でも今日の午後は 時間があります。,demo kyo no gogo wa jikan ga arimasu.,8,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0064.mp3,"9,17"
65,65,JP,9781442386495,Japanese 4,3,11Q,N,"Tomorrow afternoon, is Mr. Smith's schedule full?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0065.mp3,"9,17,20"
66,66,JP,9781442386495,Japanese 4,3,11R,F,あしたの午後、スミスさんのスケジュールはいっぱいですか。,"ashita no gogo, sumisu san no sukejuuru wa ippai desu ka.",11,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0066.mp3,"9,17,20"
67,67,JP,9781442386495,Japanese 4,3,12Q,N,The schedule is full.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0067.mp3,"9,20"
68,68,JP,9781442386495,Japanese 4,3,12R,F,スケジュールはいっぱいです。,sukejuuru wa ippai desu.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0068.mp3,"9,20"
69,69,JP,9781442386495,Japanese 4,3,13Q,N,I have to go to the airport to pick up Mr. Johnson.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0069.mp3,"9,18"
70,70,JP,9781442386495,Japanese 4,3,13R,M,ジョンソンさんを迎えに空港に行かなくてはいけません。,johnson san o mukae ni kuukoo ni ikanakutewa ikemasen.,9,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0070.mp3,"9,18"
71,71,JP,9781442386495,Japanese 4,4,01Q,N,I want to have breakfast.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0071.mp3,"6,16"
72,72,JP,9781442386495,Japanese 4,4,01R,M,朝食をしたいです。,chooshoku o shitai desu.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0072.mp3,"6,16"
73,73,JP,9781442386495,Japanese 4,4,02Q,N,"As for hotel, is breakfast included?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0073.mp3,"6,9,18"
74,74,JP,9781442386495,Japanese 4,4,02R,F,ホテルは朝食付きですか。,hoteru wa chooshoku tsuki desu ka.,6,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0074.mp3,"6,9,18"
75,75,JP,9781442386495,Japanese 4,4,03Q,N,I'd like to do sightseeing.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0075.mp3,"1,18"
76,76,JP,9781442386495,Japanese 4,4,03R,M,観光がしたいんですが。,kankoo ga shitai n desu ga.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0076.mp3,"1,18"
77,77,JP,9781442386495,Japanese 4,4,04Q,N,I'll have breakfast with the tour guide.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0077.mp3,"6,18"
78,78,JP,9781442386495,Japanese 4,4,04R,M,ツアーガイドと朝食をします。,tsuaa gaido to chooshoku o shimasu.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0078.mp3,"6,18"
79,79,JP,9781442386495,Japanese 4,4,05Q,N,Are you tired? [polite],,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0079.mp3,"7,8,13,16"
80,80,JP,9781442386495,Japanese 4,4,05R,F,お疲れになりましたか。,otsukare ni narimashita ka.,4,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0080.mp3,"7,8,13,16"
81,81,JP,9781442386495,Japanese 4,4,06Q,N,I reserved a room with a garden view.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0081.mp3,"9,18"
82,82,JP,9781442386495,Japanese 4,4,06R,M,庭園が見える部屋を予約しました。,teien ga mieru heya o yoyaku shimashita.,7,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0082.mp3,"9,18"
83,83,JP,9781442386495,Japanese 4,4,07Q,N,Are you tired?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0083.mp3,"7,8,16"
84,84,JP,9781442386495,Japanese 4,4,07R,F,疲れましたか。,tsukare mashita ka.,3,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0084.mp3,"7,8,16"
85,85,JP,9781442386495,Japanese 4,4,08Q,N,My sightseeing bus was delayed.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0085.mp3,"9,18"
86,86,JP,9781442386495,Japanese 4,4,08R,M,私の観光バスは 遅れました。,watashi no kankoo basu wa okure mashita.,7,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0086.mp3,"9,18"
87,87,JP,9781442386495,Japanese 4,4,09Q,N,I want to rest.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0087.mp3,"7,8,16"
88,88,JP,9781442386495,Japanese 4,4,09R,M,休みたいです。,yasumitai desu.,2,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0088.mp3,"7,8,16"
89,89,JP,9781442386495,Japanese 4,4,10Q,N,"For coming to pick me up to the airport, thank you very much. [polite]",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0089.mp3,"13,16,18"
90,90,JP,9781442386495,Japanese 4,4,10R,M,空港に迎えに来て下さってどうもありがとうございます。,kuukoo ni mukae ni kite kudasatte domo arigato gozaimasu.,9,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0090.mp3,"13,16,18"
91,91,JP,9781442386495,Japanese 4,4,11Q,N,This is the room card. [polite],,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0091.mp3,"9,13,16,18"
92,92,JP,9781442386495,Japanese 4,4,11R,F,これはお部屋のカードです。,kore wa oheya no kaado desu.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0092.mp3,"9,13,16,18"
93,93,JP,9781442386495,Japanese 4,5,01Q,N,I would like to go to Ginza and have breakfast.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0093.mp3,"1,6"
94,94,JP,9781442386495,Japanese 4,5,01R,M,銀座に行って朝食をしたいんですが。,ginza ni itte chooshoku o shitai n desu ga.,9,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0094.mp3,"1,6"
95,95,JP,9781442386495,Japanese 4,5,02Q,N,Is the arched bridge seen?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0095.mp3,9
96,96,JP,9781442386495,Japanese 4,5,02R,F,太鼓橋が見えますか。,taiko bashi ga miemasu ka.,5,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0096.mp3,9
97,97,JP,9781442386495,Japanese 4,5,03Q,N,The room is quiet.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0097.mp3,"9,18"
98,98,JP,9781442386495,Japanese 4,5,03R,M,部屋は静かです。,heya wa shizuka desu.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0098.mp3,"9,18"
99,99,JP,9781442386495,Japanese 4,5,04Q,N,"In the airplane, were you able to sleep?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0099.mp3,"7,18"
100,100,JP,9781442386495,Japanese 4,5,04R,F,飛行機の中で眠れましたか。,hikooki no naka de nemuremashita ka.,6,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0100.mp3,"7,18"
101,101,JP,9781442386495,Japanese 4,5,05Q,N,"In the Japanese garden, there's a tea room.",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0101.mp3,"6,9"
102,102,JP,9781442386495,Japanese 4,5,05R,F,日本庭園の中にお茶室があります。,nihon teien no naka ni ocha shitsu ga arimasu.,9,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0102.mp3,"6,9"
103,103,JP,9781442386495,Japanese 4,5,06Q,N,There are many ponds.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0103.mp3,9
104,104,JP,9781442386495,Japanese 4,5,06R,F,池がたくさんあります。,ike ga takusan arimasu.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0104.mp3,9
105,105,JP,9781442386495,Japanese 4,5,07Q,N,A pretty Japanese garden is seen.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0105.mp3,9
106,106,JP,9781442386495,Japanese 4,5,07R,M,きれいな日本庭園が見えます。,kireina nihon teien ga miemasu.,5,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0106.mp3,9
107,107,JP,9781442386495,Japanese 4,5,08Q,N,Shall we rest?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0107.mp3,"7,8,16"
108,108,JP,9781442386495,Japanese 4,5,08R,F,休みましょうか。,yasumimashoo ka.,2,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0108.mp3,"7,8,16"
109,109,JP,9781442386495,Japanese 4,5,09Q,N,You must be tired.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0109.mp3,"7,8,16"
110,110,JP,9781442386495,Japanese 4,5,09R,F,お疲れになったでしょう。,otsukare ni natta deshoo.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0110.mp3,"7,8,16"
111,111,JP,9781442386495,Japanese 4,5,10Q,N,The room was comfortable.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0111.mp3,"9,18"
112,112,JP,9781442386495,Japanese 4,5,10R,M,部屋は快適でした。,heya wa kaiteki deshita.,4,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0112.mp3,"9,18"
113,113,JP,9781442386495,Japanese 4,5,11Q,N,Is the oldest bridge in Japan?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0113.mp3,9
114,114,JP,9781442386495,Japanese 4,5,11R,M,日本で一番古い橋ですか。,nihon de ichiban furui hashi desu ka.,7,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0114.mp3,9
115,115,JP,9781442386495,Japanese 4,5,12Q,N,The outside of the park is lively.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0115.mp3,9
116,116,JP,9781442386495,Japanese 4,5,12R,M,公園の外は賑やかです。,koen no soto wa nigiyaka desu.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0116.mp3,9
117,117,JP,9781442386495,Japanese 4,5,13Q,N,"In the pond, is anything seen?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0117.mp3,9
118,118,JP,9781442386495,Japanese 4,5,13R,F,池の中に 何か見えますか.,ike no naka ni nanika miemasu ka.,7,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0118.mp3,9
119,119,JP,9781442386495,Japanese 4,5,14Q,N,"In the hotel also, there's a small tea room.",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0119.mp3,"6,9,18"
120,120,JP,9781442386495,Japanese 4,5,14R,M,ホテルにも小さいお茶室があります。,hoteru ni mo chiisai ocha shitsu ga arimasu.,8,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0120.mp3,"6,9,18"
121,121,JP,9781442386495,Japanese 4,5,15Q,N,Were you able to sleep well?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0121.mp3,"8,9"
122,122,JP,9781442386495,Japanese 4,5,15R,F,よく眠れましたか。,yoku nemuremashita ka.,3,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0122.mp3,"8,9"
123,123,JP,9781442386495,Japanese 4,6,01Q,N,I couldn't sleep much.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0123.mp3,"8,9"
124,124,JP,9781442386495,Japanese 4,6,01R,M,あまり眠れませんでした。,amari nemuremasen deshita.,3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0124.mp3,"8,9"
125,125,JP,9781442386495,Japanese 4,6,02Q,N,How tall is it?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0125.mp3,"7,9"
126,126,JP,9781442386495,Japanese 4,6,02R,M,どのぐらい高いですか。,donogurai takai desu ka.,4,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0126.mp3,"7,9"
127,127,JP,9781442386495,Japanese 4,6,03Q,N,Is it the second highest tower in the world?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0127.mp3,"9,12"
128,128,JP,9781442386495,Japanese 4,6,03R,M,世界で二番目に高いタワーですか。,sekai de niban me ni takai tawaa desu ka.,9,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0128.mp3,"9,12"
129,129,JP,9781442386495,Japanese 4,6,04Q,N,It's the tallest tower in Japan.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0129.mp3,"9,12"
130,130,JP,9781442386495,Japanese 4,6,04R,F,日本で 一番高いタワーです。,nihon de ichiban takai tawaa desu.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0130.mp3,"9,12"
131,131,JP,9781442386495,Japanese 4,6,05Q,N,I enjoyed myself.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0131.mp3,"7,9"
132,132,JP,9781442386495,Japanese 4,6,05R,M,楽しかったです。,tanoshikatta desu.,2,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0132.mp3,"7,9"
133,133,JP,9781442386495,Japanese 4,6,06Q,N,I'm not tired.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0133.mp3,"7,8,16"
134,134,JP,9781442386495,Japanese 4,6,06R,M,疲れていません。,tsukarete imasen.,2,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0134.mp3,"7,8,16"
135,135,JP,9781442386495,Japanese 4,6,07Q,N,It was comfortable.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0135.mp3,"7,9"
136,136,JP,9781442386495,Japanese 4,6,07R,M,快適でした。,kaiteki deshita.,2,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0136.mp3,"7,9"
137,137,JP,9781442386495,Japanese 4,6,08Q,N,The arched bridge was also interesting.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0137.mp3,9
