"Control #","Rec","Lang","ISBN","Course","Unit Num","Start","Stop","Cluster","Qz #","Spkr","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"11","11","BP","9781508235460","BrazPort 4","1","","","U01-02","02Q_B","N","She came to work.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0011.mp3","1,20"
"12","12","BP","9781508235460","BrazPort 4","1","","","U01-02","02R_B","F","Ela veio para trabalhar.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0012.mp3","1,20"
"13","13","BP","9781508235460","BrazPort 4","1","","","U01-02","02Q_C","N","He came to learn.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0013.mp3","1,20"
"14","14","BP","9781508235460","BrazPort 4","1","","","U01-02","02R_C","F","Ele veio para aprender.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0014.mp3","1,20"
"15","15","BP","9781508235460","BrazPort 4","1","","","U01-02","02Q_D","N","She came to travel.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0015.mp3","18"
"16","16","BP","9781508235460","BrazPort 4","1","","","U01-02","02R_D","F","Ela veio para viajar","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0016.mp3","18"
"17","17","BP","9781508235460","BrazPort 4","1","","","U01-03","03Q_A","N","I would like to go to sleep now.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0017.mp3","1,17"
"18","18","BP","9781508235460","BrazPort 4","1","","","U01-03","03R_A","F","Eu gostaria de ir dormir agora.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0018.mp3","1,17"
"19","19","BP","9781508235460","BrazPort 4","1","","","U01-03","03Q_B","N","I want to go to sleep now.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0019.mp3","1,17"
"20","20","BP","9781508235460","BrazPort 4","1","","","U01-03","03R_B","F","Eu quero ir dormir agora.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0020.mp3","1,17"
"21","21","BP","9781508235460","BrazPort 4","1","","","U01-03","03Q_C","N","I would like to rest now.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0021.mp3","1,17"
"22","22","BP","9781508235460","BrazPort 4","1","","","U01-03","03R_C","M","Eu gostaria de descansar agora.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0022.mp3","1,17"
"23","23","BP","9781508235460","BrazPort 4","1","","","U01-03","03Q_D","N","I don't want to go to sleep now.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0023.mp3","1,17"
"24","24","BP","9781508235460","BrazPort 4","1","","","U01-03","03R_D","M","Eu não quero ir dormir agora","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0024.mp3","1,17"
"25","25","BP","9781508235460","BrazPort 4","1","","","U01-04","04Q_A","N","Let’s start the outing!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0025.mp3","1,7"
"26","26","BP","9781508235460","BrazPort 4","1","","","U01-04","04R_A","M","Vamos começar o passeio!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0026.mp3","1,7"
"27","27","BP","9781508235460","BrazPort 4","1","","","U01-04","04Q_B","N","Let’s start the trip!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0027.mp3","1,7,18"
"28","28","BP","9781508235460","BrazPort 4","1","","","U01-04","04R_B","M","Vamos começar a viagem!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0028.mp3","1,7,18"
"29","29","BP","9781508235460","BrazPort 4","1","","","U01-04","04Q_C","N","Let's start the party!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0029.mp3","1,7"
"30","30","BP","9781508235460","BrazPort 4","1","","","U01-04","04R_C","M","Vamos começar a festa!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0030.mp3","1,7"
"31","31","BP","9781508235460","BrazPort 4","1","","","U01-04","04Q_D","N","Let's start the adventure!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0031.mp3","1,7"
"32","32","BP","9781508235460","BrazPort 4","1","","","U01-04","04R_D","F","Vamos começar a aventura!","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0032.mp3","1,7"
"33","33","BP","9781508235460","BrazPort 4","1","","","U01-05","05Q_A","N","Your grandfather came here in nineteen fifty-eight?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0033.mp3","5,12,17"
"34","34","BP","9781508235460","BrazPort 4","1","","","U01-05","05R_A","F","O seu avô veio aqui em mil novecentos e cinquenta e oito?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0034.mp3","5,12,17"
"35","35","BP","9781508235460","BrazPort 4","1","","","U01-05","05Q_B","N","Your grandmother came here in nineteen fifty-eight?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0035.mp3","5,12,17"
"36","36","BP","9781508235460","BrazPort 4","1","","","U01-05","05R_B","F","A sua avó veio aqui em mil novecentos e cinquenta e oito?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0036.mp3","5,12,17"
"37","37","BP","9781508235460","BrazPort 4","1","","","U01-05","05Q_C","N","Your grandmother came here in nineteen seventy-eight?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0037.mp3","5,12,17"
"38","38","BP","9781508235460","BrazPort 4","1","","","U01-05","05R_C","F","A sua avó veio aqui em mil novecentos e setenta e oito?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0038.mp3","5,12,17"
"39","39","BP","9781508235460","BrazPort 4","1","","","U01-05","05Q_D","N","Your grandfather came here in nineteen fifty-seven?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0039.mp3","5,12,17"
"40","40","BP","9781508235460","BrazPort 4","1","","","U01-05","05R_D","F","O seu avô veio aqui em mil novecentos e cinquenta e sete?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0040.mp3","5,12,17"
"41","41","BP","9781508235460","BrazPort 4","1","","","U01-06","06Q_A","N","That’s why I decided to start my trip here.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0041.mp3","9,18"
"42","42","BP","9781508235460","BrazPort 4","1","","","U01-06","06R_A","M","Por isso eu decidi começar a minha viagem aqui.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0042.mp3","9,18"
"43","43","BP","9781508235460","BrazPort 4","1","","","U01-06","06Q_B","N","That’s why I decided to start my trip there.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0043.mp3","9,18"
"44","44","BP","9781508235460","BrazPort 4","1","","","U01-06","06R_B","M","Por isso eu decidi começar a minha viagem lá.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0044.mp3","9,18"
"45","45","BP","9781508235460","BrazPort 4","1","","","U01-06","06Q_C","N","That’s why I decided to start my trip now.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0045.mp3","17,18"
"46","46","BP","9781508235460","BrazPort 4","1","","","U01-06","06R_C","M","Por isso eu decidi começar a minha viagem agora.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0046.mp3","17,18"
"47","47","BP","9781508235460","BrazPort 4","1","","","U01-06","06Q_D","N","That’s why I decided to start my trip today.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0047.mp3","17,18"
"48","48","BP","9781508235460","BrazPort 4","1","","","U01-06","06R_D","M","Por isso eu decidi começar a minha viagem hoje.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0048.mp3","17,18"
"49","49","BP","9781508235460","BrazPort 4","1","","","U01-07","07Q_A","N","Besides, it’s expensive.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0049.mp3","11,14"
"50","50","BP","9781508235460","BrazPort 4","1","","","U01-07","07R_A","M","Além disso, é caro.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0050.mp3","11,14"
"51","51","BP","9781508235460","BrazPort 4","1","","","U01-07","07Q_B","N","Besides, it’s too much.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0051.mp3","7,12"
"52","52","BP","9781508235460","BrazPort 4","1","","","U01-07","07R_B","F","Além disso, é demais.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0052.mp3","7,12"
"53","53","BP","9781508235460","BrazPort 4","1","","","U01-07","07Q_C","N","Besides, it’s special.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0053.mp3","7"
"54","54","BP","9781508235460","BrazPort 4","1","","","U01-07","07R_C","F","Além disso, é especial.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0054.mp3","7"
"55","55","BP","9781508235460","BrazPort 4","1","","","U01-07","07Q_D","N","Besides, it’s hot.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0055.mp3","19"
"56","56","BP","9781508235460","BrazPort 4","1","","","U01-07","07R_D","F","Além disso, está quente.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0056.mp3","19"
"57","57","BP","9781508235460","BrazPort 4","1","","","U01-08","08Q_A","N","Did he come alone?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0057.mp3","18,20"
"58","58","BP","9781508235460","BrazPort 4","1","","","U01-08","08R_A","F","Ele veio sozinho?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0058.mp3","18,20"
"59","59","BP","9781508235460","BrazPort 4","1","","","U01-08","08Q_B","N","Did he go alone?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0059.mp3","18,20"
"60","60","BP","9781508235460","BrazPort 4","1","","","U01-08","08R_B","F","Ele foi sozinho?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0060.mp3","18,20"
"61","61","BP","9781508235460","BrazPort 4","1","","","U01-08","08Q_C","N","Did he travel alone?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0061.mp3","18,20"
"62","62","BP","9781508235460","BrazPort 4","1","","","U01-08","08R_C","M","Ele viajou sozinho?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0062.mp3","18,20"
"63","63","BP","9781508235460","BrazPort 4","1","","","U01-08","08Q_D","N","Did he work alone?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0063.mp3","20"
"64","64","BP","9781508235460","BrazPort 4","1","","","U01-08","08R_D","M","Ele trabalhou sozinho?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0064.mp3","20"
"65","65","BP","9781508235460","BrazPort 4","2","","","U02-01","01Q_A","N","She came with my grandfather.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0065.mp3","5,18"
"66","66","BP","9781508235460","BrazPort 4","2","","","U02-01","01R_A","M","Ela veio com meu avô.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0066.mp3","5,18"
"67","67","BP","9781508235460","BrazPort 4","2","","","U02-01","01Q_B","N","He went with my grandfather.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0067.mp3","5,18"
"68","68","BP","9781508235460","BrazPort 4","2","","","U02-01","01R_B","M","Ele foi com meu avô.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0068.mp3","5,18"
"69","69","BP","9781508235460","BrazPort 4","2","","","U02-01","01Q_C","N","She came with my grandmother.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0069.mp3","5,18"
"70","70","BP","9781508235460","BrazPort 4","2","","","U02-01","01R_C","M","Ela veio com minha avó.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0070.mp3","5,18"
"71","71","BP","9781508235460","BrazPort 4","2","","","U02-01","01Q_D","N","He went with my grandmother.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0071.mp3","5,18"
"72","72","BP","9781508235460","BrazPort 4","2","","","U02-01","01R_D","F","Ele foi com a minha avó.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0072.mp3","5,18"
"73","73","BP","9781508235460","BrazPort 4","2","","","U02-02","02Q_A","N","I want to take advantage of my trip.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0073.mp3","18"
"74","74","BP","9781508235460","BrazPort 4","2","","","U02-02","02R_A","F","Quero aproveitar minha viagem.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0074.mp3","18"
"75","75","BP","9781508235460","BrazPort 4","2","","","U02-02","02Q_B","N","I want to take advantage of my work.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0075.mp3","20"
"76","76","BP","9781508235460","BrazPort 4","2","","","U02-02","02R_B","F","Quero aproveitar meu trabalho.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0076.mp3","20"
"77","77","BP","9781508235460","BrazPort 4","2","","","U02-02","02Q_C","N","I want to take my trip.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0077.mp3","1,18"
"78","78","BP","9781508235460","BrazPort 4","2","","","U02-02","02R_C","F","Quero fazer minha viagem.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0078.mp3","1,18"
"79","79","BP","9781508235460","BrazPort 4","2","","","U02-02","02Q_D","N","I want to plan my trip.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0079.mp3","1,18"
"80","80","BP","9781508235460","BrazPort 4","2","","","U02-02","02R_D","F","Quero planejar minha viagem.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0080.mp3","1,18"
"81","81","BP","9781508235460","BrazPort 4","2","","","U02-03","03Q_A","N","We have a lot to see.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0081.mp3","1,18"
"82","82","BP","9781508235460","BrazPort 4","2","","","U02-03","03R_A","M","Temos muito para visitar.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0082.mp3","1,18"
"83","83","BP","9781508235460","BrazPort 4","2","","","U02-03","03Q_B","N","We have a lot to do.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0083.mp3","1,20"
"84","84","BP","9781508235460","BrazPort 4","2","","","U02-03","03R_B","M","Temos muito o que fazer.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0084.mp3","1,20"
"85","85","BP","9781508235460","BrazPort 4","2","","","U02-03","03Q_C","N","We have a lot to visit.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0085.mp3","1,18"
"86","86","BP","9781508235460","BrazPort 4","2","","","U02-03","03R_C","M","Temos muito para visitar.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0086.mp3","1,18"
"87","87","BP","9781508235460","BrazPort 4","2","","","U02-03","03Q_D","N","We have to do something.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0087.mp3","1,7"
"88","88","BP","9781508235460","BrazPort 4","2","","","U02-03","03R_D","M","Temos que fazer algo.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0088.mp3","1,7"
"89","89","BP","9781508235460","BrazPort 4","2","","","U02-04","04Q_A","N","After all, she is my grandmother.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0089.mp3","5,10"
"90","90","BP","9781508235460","BrazPort 4","2","","","U02-04","04R_A","M","Afinal de contas, ela é minha avó.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0090.mp3","5,10"
"91","91","BP","9781508235460","BrazPort 4","2","","","U02-04","04Q_B","N","Besides, she is my mother.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0091.mp3","5,10"
"92","92","BP","9781508235460","BrazPort 4","2","","","U02-04","04R_B","F","Além disso, ela é minha mãe.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0092.mp3","5,10"
"93","93","BP","9781508235460","BrazPort 4","2","","","U02-04","04Q_C","N","Besides, she is my sister.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0093.mp3","5,10"
"94","94","BP","9781508235460","BrazPort 4","2","","","U02-04","04R_C","F","Além disso, ela é minha irmã.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0094.mp3","5,10"
"95","95","BP","9781508235460","BrazPort 4","2","","","U02-04","04Q_D","N","After all, she is my wife.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0095.mp3","5,10"
"96","96","BP","9781508235460","BrazPort 4","2","","","U02-04","04R_D","F","Afinal de contas, ela é minha mulher.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0096.mp3","5,10"
"97","97","BP","9781508235460","BrazPort 4","2","","","U02-05","05Q_A","N","That’s why I decided to start my trip there.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0097.mp3","9,18"
"98","98","BP","9781508235460","BrazPort 4","2","","","U02-05","05R_A","F","Por isso eu decidi começar a minha viagem lá.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0098.mp3","9,18"
"99","99","BP","9781508235460","BrazPort 4","2","","","U02-05","05Q_B","N","That’s why I decided to start my work here.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0099.mp3","9,20"
"100","100","BP","9781508235460","BrazPort 4","2","","","U02-05","05R_B","F","Por isso eu decidi começar meu trabalho aqui.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0100.mp3","9,20"
"101","101","BP","9781508235460","BrazPort 4","2","","","U02-05","05Q_C","N","That’s why I decided to take a trip there.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0101.mp3","9,18"
"102","102","BP","9781508235460","BrazPort 4","2","","","U02-05","05R_C","M","Por isso eu decidi fazer uma viagem lá.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0102.mp3","9,18"
"103","103","BP","9781508235460","BrazPort 4","2","","","U02-05","05Q_D","N","That's why I decided to start my work there.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0103.mp3","9,20"
"104","104","BP","9781508235460","BrazPort 4","2","","","U02-05","05R_D","M","Por isso que decidi começar meu trabalho lá.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0104.mp3","9,20"
"105","105","BP","9781508235460","BrazPort 4","2","","","U02-06","06Q_A","N","It's a very beautiful bridge.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0105.mp3","9,18"
"106","106","BP","9781508235460","BrazPort 4","2","","","U02-06","06R_A","M","É uma ponte muito bonita.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0106.mp3","9,18"
"107","107","BP","9781508235460","BrazPort 4","2","","","U02-06","06Q_B","N","It's a very beautiful city.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0107.mp3","9,18"
"108","108","BP","9781508235460","BrazPort 4","2","","","U02-06","06R_B","M","É uma cidade muito bonita.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0108.mp3","9,18"
"109","109","BP","9781508235460","BrazPort 4","2","","","U02-06","06Q_C","N","It's a very beautiful country","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0109.mp3","9,18"
"110","110","BP","9781508235460","BrazPort 4","2","","","U02-06","06R_C","M","É um país muito bonito.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0110.mp3","9,18"
"111","111","BP","9781508235460","BrazPort 4","2","","","U02-06","06Q_D","N","It's a very beautiful place.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0111.mp3","9,18"
"112","112","BP","9781508235460","BrazPort 4","2","","","U02-06","06R_D","F","É um lugar muito bonito.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0112.mp3","9,18"
"113","113","BP","9781508235460","BrazPort 4","2","","","U02-07","07Q_A","N","After all, the day is very pleasant.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0113.mp3","9,17,19"
"114","114","BP","9781508235460","BrazPort 4","2","","","U02-07","07R_A","F","Afinal de contas, o dia está muito agradável.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0114.mp3","9,17,19"
"115","115","BP","9781508235460","BrazPort 4","2","","","U02-07","07Q_B","N","After all, the night is very beautiful.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0115.mp3","9,17,19"
"116","116","BP","9781508235460","BrazPort 4","2","","","U02-07","07R_B","F","Afinal de contas, a noite está muito bonita.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0116.mp3","9,17,19"
"117","117","BP","9781508235460","BrazPort 4","2","","","U02-07","07Q_C","N","After all, the day is very beautiful.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0117.mp3","9,17,19"
"118","118","BP","9781508235460","BrazPort 4","2","","","U02-07","07R_C","F","Afinal de contas, o dia está muito bonito.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0118.mp3","9,17,19"
"119","119","BP","9781508235460","BrazPort 4","2","","","U02-07","07Q_D","N","After all, the morning is very pleasant.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0119.mp3","9,17,19"
"120","120","BP","9781508235460","BrazPort 4","2","","","U02-07","07R_D","F","Afinal de contas, a manhã está muito agradável.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0120.mp3","9,17,19"
"121","121","BP","9781508235460","BrazPort 4","2","","","U02-08","08Q_A","N","What do you want to see now?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0121.mp3","1,17"
"122","122","BP","9781508235460","BrazPort 4","2","","","U02-08","08R_A","M","O que você quer ver agora?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0122.mp3","1,17"
"123","123","BP","9781508235460","BrazPort 4","2","","","U02-08","08Q_B","N","What do you want to do now?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0123.mp3","1,17"
"124","124","BP","9781508235460","BrazPort 4","2","","","U02-08","08R_B","M","O que você quer fazer agora?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0124.mp3","1,17"
"125","125","BP","9781508235460","BrazPort 4","2","","","U02-08","08Q_C","N","What is there to see now?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0125.mp3","1,17"
"126","126","BP","9781508235460","BrazPort 4","2","","","U02-08","08R_C","M","O que há para ver agora?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0126.mp3","1,17"
"127","127","BP","9781508235460","BrazPort 4","2","","","U02-08","08Q_D","N","Is there something to do now?","","Q","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0127.mp3","1,17"
