Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
63,63,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08Q_D,N,It’s more conservative than this.,,S,Portuguese (Brazilian) Level 5,,7
64,64,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08R_D,M,É mais conservador que isto.,,S,Portuguese (Brazilian) Level 5,,7
65,65,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01Q_A,N,The pain is from spending hours sitting (f.).,,S,Portuguese (Brazilian) Level 5,,8
66,66,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01R_A,M,A dor é de ficar horas sentado.,,S,Portuguese (Brazilian) Level 5,,8
67,67,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01Q_B,N,The pain is from spending hours standing.,,S,Portuguese (Brazilian) Level 5,,8
68,68,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01R_B,M,A dor é de ficar horas em pé.,,S,Portuguese (Brazilian) Level 5,,8
69,69,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01Q_C,N,The pain is in the arm.,,S,Portuguese (Brazilian) Level 5,,8
70,70,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01R_C,M,A dor é no braço.,,S,Portuguese (Brazilian) Level 5,,8
71,71,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01Q_D,N,The pain is from spending days sitting (f.).,,S,Portuguese (Brazilian) Level 5,,8
72,72,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-01,01R_D,M,A dor é de ficar dias sentada.,,S,Portuguese (Brazilian) Level 5,,8
73,73,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02Q_A,N,It is that that the doctors are thinking.,,S,Portuguese (Brazilian) Level 5,,8
74,74,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02R_A,M,É isso que os médicos estão achando.,,S,Portuguese (Brazilian) Level 5,,8
75,75,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02Q_B,N,It is that that the doctors are saying.,,S,Portuguese (Brazilian) Level 5,,8
76,76,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02R_B,F,É isso que os médicos estão dizendo.,,S,Portuguese (Brazilian) Level 5,,8
77,77,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02Q_C,N,It is that that the doctors were thinking.,,S,Portuguese (Brazilian) Level 5,,8
78,78,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02R_C,F,É isso que os médicos estavam achando.,,S,Portuguese (Brazilian) Level 5,,8
79,79,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02Q_D,N,It is this that the doctors are thinking.,,S,Portuguese (Brazilian) Level 5,,8
80,80,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-02,02R_D,F,É isto que os médicos estão achando.,,S,Portuguese (Brazilian) Level 5,,8
81,81,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03Q_A,N,I used to suffer a lot from back pain.,,S,Portuguese (Brazilian) Level 5,,8
82,82,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03R_A,F,Eu sofria muito de dor nas costas.,,S,Portuguese (Brazilian) Level 5,,8
83,83,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03Q_B,N,I know a lot about back pain.,,S,Portuguese (Brazilian) Level 5,,8
84,84,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03R_B,F,Eu sei muito de dor nas costas.,,S,Portuguese (Brazilian) Level 5,,8
85,85,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03Q_C,N,I used to suffer from neck pain.,,S,Portuguese (Brazilian) Level 5,,8
86,86,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03R_C,M,Eu sofria de dor no pescoço.,,S,Portuguese (Brazilian) Level 5,,8
87,87,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03Q_D,N,I used to suffer a lot from arm pain.,,S,Portuguese (Brazilian) Level 5,,8
88,88,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-03,03R_D,M,Eu sofria muito de dor no braço.,,S,Portuguese (Brazilian) Level 5,,8
89,89,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04Q_A,N,It was from spending hours sitting (m.).,,S,Portuguese (Brazilian) Level 5,,1
90,90,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04R_A,M,Foi de ficar horas sentado.,,S,Portuguese (Brazilian) Level 5,,1
91,91,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04Q_B,N,It was from strolling for a long time.,,S,Portuguese (Brazilian) Level 5,,1
92,92,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04R_B,M,Foi de passear durante muito tempo.,,S,Portuguese (Brazilian) Level 5,,1
93,93,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04Q_C,N,It was from spending hours standing.,,S,Portuguese (Brazilian) Level 5,,1
94,94,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04R_C,M,Foi de ficar horas em pé.,,S,Portuguese (Brazilian) Level 5,,1
95,95,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04Q_D,N,It was from talking for a long time.,,S,Portuguese (Brazilian) Level 5,,"1,15"
96,96,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-04,04R_D,F,Foi de conversar durante muito tempo.,,S,Portuguese (Brazilian) Level 5,,"1,15"
97,97,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05Q_A,N,To do stretching helps my back pain.,,S,Portuguese (Brazilian) Level 5,,8
98,98,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05R_A,F,Fazer alongamento ajuda minha dor nas costas.,,S,Portuguese (Brazilian) Level 5,,8
99,99,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05Q_B,N,To do stretching helps my neck pain.,,S,Portuguese (Brazilian) Level 5,,8
100,100,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05R_B,F,Fazer alongamento ajuda minha dor no pescoço. ,,S,Portuguese (Brazilian) Level 5,,8
101,101,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05Q_C,N,To do stretching helps my arm pain.,,S,Portuguese (Brazilian) Level 5,,8
102,102,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05R_C,F,Fazer alongamento ajuda minha dor no braço.,,S,Portuguese (Brazilian) Level 5,,8
103,103,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05Q_D,N,To do stretching helps your back pain.,,S,Portuguese (Brazilian) Level 5,,8
104,104,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-05,05R_D,F,Fazer alongamento ajuda sua dor nas costas.,,S,Portuguese (Brazilian) Level 5,,8
105,105,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06Q_A,N,The doctors took several x-rays.,,S,Portuguese (Brazilian) Level 5,,8
106,106,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06R_A,M,Os médicos tiraram várias radiografias.,,S,Portuguese (Brazilian) Level 5,,8
107,107,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06Q_B,N,The doctors took many x-rays.,,S,Portuguese (Brazilian) Level 5,,8
108,108,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06R_B,M,Os médicos tiraram muitas radiografias.,,S,Portuguese (Brazilian) Level 5,,8
109,109,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06Q_C,N,They took several x-rays.,,S,Portuguese (Brazilian) Level 5,,8
110,110,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06R_C,M,Eles tiraram várias radiografias.,,S,Portuguese (Brazilian) Level 5,,8
111,111,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06Q_D,N,The doctors want to take several x-rays.,,S,Portuguese (Brazilian) Level 5,,8
112,112,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-06,06R_D,M,Os médicos querem tirar várias radiografias.,,S,Portuguese (Brazilian) Level 5,,8
113,113,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07Q_A,N,I have a table that goes up and down.,,S,Portuguese (Brazilian) Level 5,,7
114,114,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07R_A,M,Tenho uma mesa que sobe e desce.,,S,Portuguese (Brazilian) Level 5,,7
115,115,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07Q_B,N,I have a table that goes down and up.,,S,Portuguese (Brazilian) Level 5,,7
116,116,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07R_B,F,Tenho uma mesa que desce e sobe.,,S,Portuguese (Brazilian) Level 5,,7
117,117,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07Q_C,N,We have a table that goes up and down.,,S,Portuguese (Brazilian) Level 5,,7
118,118,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07R_C,F,Temos uma mesa que sobe e desce.,,S,Portuguese (Brazilian) Level 5,,7
119,119,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07Q_D,N,I had a table that goes up and down.,,S,Portuguese (Brazilian) Level 5,,7
120,120,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-07,07R_D,F,Tive uma mesa que sobe e desce.,,S,Portuguese (Brazilian) Level 5,,7
121,121,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08Q_A,N,Do you have knee pain?,,Q,Portuguese (Brazilian) Level 5,,8
122,122,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08R_A,F,Você está com dor no joelho?,,Q,Portuguese (Brazilian) Level 5,,8
123,123,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08Q_B,N,Do you have arm pain?,,Q,Portuguese (Brazilian) Level 5,,8
124,124,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08R_B,F,Você está com dor no braço?,,Q,Portuguese (Brazilian) Level 5,,8
125,125,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08Q_C,N,Are you hungry?,,Q,Portuguese (Brazilian) Level 5,,6
126,126,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08R_C,M,Você está com fome?,,Q,Portuguese (Brazilian) Level 5,,6
127,127,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08Q_D,N,Do you have neck pain?,,Q,Portuguese (Brazilian) Level 5,,8
128,128,BP,9781508286752,Brazilian Portuguese 5,2,,,U02-08,08R_D,M,Você está com dor no pescoço?,,Q,Portuguese (Brazilian) Level 5,,8
129,129,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01Q_A,N,The kitchen of my house is large.,,S,Portuguese (Brazilian) Level 5,,7
130,130,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01R_A,M,A cozinha da minha casa é grande.,,S,Portuguese (Brazilian) Level 5,,7
131,131,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01Q_B,N,The living room of my house is large.,,S,Portuguese (Brazilian) Level 5,,7
132,132,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01R_B,M,A sala de estar da minha casa é grande.,,S,Portuguese (Brazilian) Level 5,,7
133,133,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01Q_C,N,The kitchen of your house is large.,,S,Portuguese (Brazilian) Level 5,,7
134,134,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01R_C,F,A cozinha da sua casa é grande.,,S,Portuguese (Brazilian) Level 5,,7
135,135,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01Q_D,N,The kitchen of my house was large.,,S,Portuguese (Brazilian) Level 5,,7
136,136,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-01,01R_D,F,A cozinha da minha casa era grande.,,S,Portuguese (Brazilian) Level 5,,7
137,137,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02Q_A,N,I like to wear vibrant colors.,,S,Portuguese (Brazilian) Level 5,,"7,14"
138,138,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02R_A,F,Gosto de me vestir com cores vibrantes.,,S,Portuguese (Brazilian) Level 5,,"7,14"
139,139,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02Q_B,N,I like to wear conservative colors.,,S,Portuguese (Brazilian) Level 5,,"7,14"
140,140,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02R_B,F,Gosto de me vestir com cores conservadoras.,,S,Portuguese (Brazilian) Level 5,,"7,14"
141,141,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02Q_C,N,I like vibrant orange.,,S,Portuguese (Brazilian) Level 5,,7
142,142,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02R_C,F,Gosto de laranja vibrante.,,S,Portuguese (Brazilian) Level 5,,7
143,143,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02Q_D,N,I want to wear vibrant colors.,,S,Portuguese (Brazilian) Level 5,,"7,14"
144,144,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-02,02R_D,M,Quero me vestir com cores vibrantes.,,S,Portuguese (Brazilian) Level 5,,"7,14"
145,145,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03Q_A,N,Too conservative for my taste.,,S,Portuguese (Brazilian) Level 5,,7
146,146,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03R_A,M,Muito conservador para o meu gosto.,,S,Portuguese (Brazilian) Level 5,,7
147,147,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03Q_B,N,Too conservative for your taste.,,S,Portuguese (Brazilian) Level 5,,7
148,148,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03R_B,M,Muito conservador para o seu gosto.,,S,Portuguese (Brazilian) Level 5,,7
149,149,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03Q_C,N,Too vibrant for my taste.,,S,Portuguese (Brazilian) Level 5,,7
150,150,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03R_C,M,Muito vibrante para o meu gosto.,,S,Portuguese (Brazilian) Level 5,,7
151,151,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03Q_D,N,Too conservative for my job.,,S,Portuguese (Brazilian) Level 5,,7
152,152,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-03,03R_D,M,Muito conservador para o meu trabalho.,,S,Portuguese (Brazilian) Level 5,,7
153,153,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04Q_A,N,My wife only wears black and gray.,,S,Portuguese (Brazilian) Level 5,,"5,14"
154,154,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04R_A,M,Minha esposa só se veste de preto e cinza.,,S,Portuguese (Brazilian) Level 5,,"5,14"
155,155,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04Q_B,N,My wife only wears gray and black.,,S,Portuguese (Brazilian) Level 5,,"5,14"
156,156,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04R_B,M,Minha esposa só se veste de cinza e preto.,,S,Portuguese (Brazilian) Level 5,,"5,14"
157,157,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04Q_C,N,My wife likes to wear black and gray.,,S,Portuguese (Brazilian) Level 5,,"5,14"
158,158,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04R_C,M,Minha esposa gosta de se vestir de preto e cinza.,,S,Portuguese (Brazilian) Level 5,,"5,14"
159,159,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04Q_D,N,My wife never wears black and gray.,,S,Portuguese (Brazilian) Level 5,,"5,14"
160,160,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-04,04R_D,M,Minha esposa nunca se veste de preto e cinza.,,S,Portuguese (Brazilian) Level 5,,"5,14"
161,161,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05Q_A,N,You like to wear black and gray.,,S,Portuguese (Brazilian) Level 5,,"7,14"
162,162,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05R_A,F,Você gosta de se vestir de preto e cinza.,,S,Portuguese (Brazilian) Level 5,,"7,14"
163,163,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05Q_B,N,You only like to wear gray and black.,,S,Portuguese (Brazilian) Level 5,,"7,14"
164,164,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05R_B,M,Você só gosta de se vestir de cinza e preto.,,S,Portuguese (Brazilian) Level 5,,"7,14"
165,165,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05Q_C,N,You like to wear gray and yellow.,,S,Portuguese (Brazilian) Level 5,,"7,14"
166,166,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05R_C,M,Você gosta de se vestir de cinza e amarelos.,,S,Portuguese (Brazilian) Level 5,,"7,14"
167,167,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05Q_D,N,You want to wear black and gray.,,S,Portuguese (Brazilian) Level 5,,"7,14"
168,168,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-05,05R_D,M,Você quer se vestir de preto e cinza.,,S,Portuguese (Brazilian) Level 5,,"7,14"
169,169,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-06,06Q_A,N,The walls are yellow and orange.,,S,Portuguese (Brazilian) Level 5,,7
170,170,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-06,06R_A,M,As paredes são amarelas e laranja.,,S,Portuguese (Brazilian) Level 5,,7
171,171,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-06,06Q_B,N,The walls are orange and yellow. ,,S,Portuguese (Brazilian) Level 5,,7
172,172,BP,9781508286752,Brazilian Portuguese 5,3,,,U03-06,06R_B,M,As paredes são laranja e amarelas.,,S,Portuguese (Brazilian) Level 5,,7
