Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
70,FR,978-1-4423-4864-6,French 1,4,0:20:40,0:20:42,06R,230,F,"Non, ce n'est pas ici.",5,S,"French Phase 1, Units 1-30 (2001)","4,7"
71,FR,978-1-4423-4864-6,French 1,4,0:21:00,0:21:01,07Q,233,N,It’s over there.,,,"French Phase 1, Units 1-30 (2001)",4
72,FR,978-1-4423-4864-6,French 1,4,0:21:06,0:21:07,07R,235,F,C’est là-bas.,5,S,"French Phase 1, Units 1-30 (2001)",4
73,FR,978-1-4423-4864-6,French 1,4,0:21:33,0:21:34,08Q,240,N,It's not down there.,,,"French Phase 1, Units 1-30 (2001)","4,7"
74,FR,978-1-4423-4864-6,French 1,4,0:21:38,0:21:39,08R,241,M,Ce n'est pas là-bas.,5,S,"French Phase 1, Units 1-30 (2001)","4,7"
75,FR,978-1-4423-4864-6,French 1,5,0:02:45,0:02:46,01Q,47,N,But yes.,,,"French Phase 1, Units 1-30 (2001)",7
76,FR,978-1-4423-4864-6,French 1,5,0:02:48,0:02:49,01R,48,M,Mais oui.,2,S,"French Phase 1, Units 1-30 (2001)",7
77,FR,978-1-4423-4864-6,French 1,5,0:02:56,0:02:58,02Q,49,N,I understand French well.,,,"French Phase 1, Units 1-30 (2001)","10,15"
78,FR,978-1-4423-4864-6,French 1,5,0:03:19,0:03:20,02R,52,M,Je comprends bien le français.,2,S,"French Phase 1, Units 1-30 (2001)","10,15"
79,FR,978-1-4423-4864-6,French 1,5,0:04:29,0:04:29,03Q,65,N,And you?,,,"French Phase 1, Units 1-30 (2001)",7
80,FR,978-1-4423-4864-6,French 1,5,0:04:31,0:04:32,03R,66,F,Et vous?,2,Q,"French Phase 1, Units 1-30 (2001)",7
81,FR,978-1-4423-4864-6,French 1,5,0:09:26,0:09:26,04Q,112,N,I don't know.,,,"French Phase 1, Units 1-30 (2001)",7
82,FR,978-1-4423-4864-6,French 1,5,0:09:29,0:09:29,04R,113,F,Je ne sais pas.,4,S,"French Phase 1, Units 1-30 (2001)",7
83,FR,978-1-4423-4864-6,French 1,5,0:09:43,0:09:44,05Q,116,N,"Me, I know.",,,"French Phase 1, Units 1-30 (2001)",7
84,FR,978-1-4423-4864-6,French 1,5,0:09:47,0:09:48,05R,117,M,"Moi, je sais.",3,S,"French Phase 1, Units 1-30 (2001)",7
85,FR,978-1-4423-4864-6,French 1,5,0:11:11,0:11:12,06Q,131,N,Do you know?,,,"French Phase 1, Units 1-30 (2001)",7
86,FR,978-1-4423-4864-6,French 1,5,0:11:15,0:11:16,06R,132,M,Est-ce que vous savez?,4,Q,"French Phase 1, Units 1-30 (2001)",7
87,FR,978-1-4423-4864-6,French 1,5,0:11:37,0:11:38,07Q,135,N,Do you know?,,,"French Phase 1, Units 1-30 (2001)",7
88,FR,978-1-4423-4864-6,French 1,5,0:11:40,0:11:41,07R,136,M,Savez-vous?,2,Q,"French Phase 1, Units 1-30 (2001)",7
89,FR,978-1-4423-4864-6,French 1,5,0:16:45,0:16:46,08Q,192,N,Would you like to eat something?,,,"French Phase 1, Units 1-30 (2001)",6
90,FR,978-1-4423-4864-6,French 1,5,0:16:51,0:16:54,08R,193,M,Est-ce que vous voudriez manger quelque chose?,7,Q,"French Phase 1, Units 1-30 (2001)",6
91,FR,978-1-4423-4864-6,French 1,5,0:19:09,0:19:10,09Q,215,N,I would like to drink something.,,,"French Phase 1, Units 1-30 (2001)",6
92,FR,978-1-4423-4864-6,French 1,5,0:19:14,0:19:16,09R,216,F,Je voudrais boire quelque chose.,5,S,"French Phase 1, Units 1-30 (2001)",6
93,FR,978-1-4423-4864-6,French 1,5,0:22:32,0:22:32,10Q,249,N,Are you well?,,,"French Phase 1, Units 1-30 (2001)",7
94,FR,978-1-4423-4864-6,French 1,5,0:22:36,0:22:37,10R,250,M,Est-ce que vous allez bien?,5,Q,"French Phase 1, Units 1-30 (2001)",7
95,FR,978-1-4423-4864-6,French 1,6,0:01:38,0:01:39,01Q,33,N,Do you know?,,,"French Phase 1, Units 1-30 (2001)",7
96,FR,978-1-4423-4864-6,French 1,6,0:01:42,0:01:44,01R,34,F,Est-ce que vous savez?,4,Q,"French Phase 1, Units 1-30 (2001)",7
97,FR,978-1-4423-4864-6,French 1,6,0:06:26,0:06:28,02Q,81,N,I would like to eat something.,,,"French Phase 1, Units 1-30 (2001)",6
98,FR,978-1-4423-4864-6,French 1,6,0:06:32,0:06:33,02R,82,F,Je voudrais manger quelque chose.,5,S,"French Phase 1, Units 1-30 (2001)",6
99,FR,978-1-4423-4864-6,French 1,6,0:11:46,0:11:47,03Q,130,N,Ask me where I would like to eat.,,,"French Phase 1, Units 1-30 (2001)",6
100,FR,978-1-4423-4864-6,French 1,6,0:11:51,0:11:54,03R,131,M,Où est-ce que vous voudriez manger?,5,Q,"French Phase 1, Units 1-30 (2001)",6
101,FR,978-1-4423-4864-6,French 1,6,0:12:05,0:12:06,04Q,133,N,At your place.,,,"French Phase 1, Units 1-30 (2001)",7
102,FR,978-1-4423-4864-6,French 1,6,0:12:08,0:12:09,04R,134,F,Chez vous.,2,S,"French Phase 1, Units 1-30 (2001)",7
103,FR,978-1-4423-4864-6,French 1,6,0:12:15,0:12:16,05Q,135,N,At my place?,,,"French Phase 1, Units 1-30 (2001)",7
104,FR,978-1-4423-4864-6,French 1,6,0:12:19,0:12:19,05R,136,M,Chez moi?,2,Q,"French Phase 1, Units 1-30 (2001)",7
105,FR,978-1-4423-4864-6,French 1,6,0:13:25,0:13:26,06Q,147,N,I would like to eat too.,,,"French Phase 1, Units 1-30 (2001)",6
106,FR,978-1-4423-4864-6,French 1,6,0:13:30,0:13:31,06R,148,F,Je voudrais manger aussi.,4,S,"French Phase 1, Units 1-30 (2001)",6
107,FR,978-1-4423-4864-6,French 1,6,0:13:42,0:13:43,07Q,150,N,When?,,,"French Phase 1, Units 1-30 (2001)","7,17"
108,FR,978-1-4423-4864-6,French 1,6,0:13:43,0:13:43,07R,151,M,Quand?,1,Q,"French Phase 1, Units 1-30 (2001)","7,17"
109,FR,978-1-4423-4864-6,French 1,6,0:16:29,0:16:30,08Q,181,N,Not now.,,,"French Phase 1, Units 1-30 (2001)",17
110,FR,978-1-4423-4864-6,French 1,6,0:16:32,0:16:33,08R,182,M,Pas maintenant.,2,S,"French Phase 1, Units 1-30 (2001)",17
111,FR,978-1-4423-4864-6,French 1,6,0:20:41,0:20:42,09Q,322,N,Later.,,,"French Phase 1, Units 1-30 (2001)",17
112,FR,978-1-4423-4864-6,French 1,6,0:20:44,0:20:45,09R,323,F,Plus tard.,2,S,"French Phase 1, Units 1-30 (2001)",17
113,FR,978-1-4423-4864-6,French 1,6,0:22:00,0:22:02,10Q,240,N,I don't want to. (Emphatically),,,"French Phase 1, Units 1-30 (2001)",7
114,FR,978-1-4423-4864-6,French 1,6,0:22:04,0:22:06,10R,241,F,Je ne veux pas.,4,S,"French Phase 1, Units 1-30 (2001)",7
115,FR,978-1-4423-4864-6,French 1,6,0:25:57,0:25:58,11Q,280,N,"Very good, very good.",,,"French Phase 1, Units 1-30 (2001)",7
116,FR,978-1-4423-4864-6,French 1,6,0:26:02,0:26:03,11R,281,M,"Très bien, très bien.",4,S,"French Phase 1, Units 1-30 (2001)",7
117,FR,978-1-4423-4864-6,French 1,7,0:01:20,0:01:21,01Q,31,N,You want to eat.,,,"French Phase 1, Units 1-30 (2001)",6
118,FR,978-1-4423-4864-6,French 1,7,0:01:25,0:01:26,01R,32,F,Vous voulez manger.,3,S,"French Phase 1, Units 1-30 (2001)",6
119,FR,978-1-4423-4864-6,French 1,7,0:06:47,0:06:47,02Q,87,N,OK.,,,"French Phase 1, Units 1-30 (2001)",7
120,FR,978-1-4423-4864-6,French 1,7,0:06:50,0:06:50,02R,88,F,D'accord.,1,S,"French Phase 1, Units 1-30 (2001)",7
121,FR,978-1-4423-4864-6,French 1,7,0:07:48,0:07:49,03Q,98,N,At the restaurant.,,,"French Phase 1, Units 1-30 (2001)",6
122,FR,978-1-4423-4864-6,French 1,7,0:07:51,0:07:52,03R,99,M,Au restaurant.,2,S,"French Phase 1, Units 1-30 (2001)",6
123,FR,978-1-4423-4864-6,French 1,7,0:10:10,0:10:12,04Q,120,N,Ask me what I would like to eat.,,,"French Phase 1, Units 1-30 (2001)",6
124,FR,978-1-4423-4864-6,French 1,7,0:10:16,0:10:18,04R,121,M,Qu'est-ce que vous voudriez manger?,5,Q,"French Phase 1, Units 1-30 (2001)",6
125,FR,978-1-4423-4864-6,French 1,7,0:12:08,0:12:10,05Q,140,N,I would like to drink some wine.,,,"French Phase 1, Units 1-30 (2001)",6
126,FR,978-1-4423-4864-6,French 1,7,0:12:13,0:12:15,05R,141,F,Je voudrais boire du vin.,5,S,"French Phase 1, Units 1-30 (2001)",6
127,FR,978-1-4423-4864-6,French 1,7,0:15:36,0:15:37,06Q,176,N,I would like some beer.,,,"French Phase 1, Units 1-30 (2001)",6
128,FR,978-1-4423-4864-6,French 1,7,0:15:41,0:15:43,06R,177,M,Je voudrais de la bière.,5,S,"French Phase 1, Units 1-30 (2001)",6
129,FR,978-1-4423-4864-6,French 1,7,0:16:33,0:16:34,07Q,184,N,"At the restaurant, please.",,,"French Phase 1, Units 1-30 (2001)",6
130,FR,978-1-4423-4864-6,French 1,7,0:16:37,0:16:40,07R,185,F,"Au restaurant, s'il vous plaît.",5,S,"French Phase 1, Units 1-30 (2001)",6
131,FR,978-1-4423-4864-6,French 1,8,0:07:00,0:07:01,01Q,86,N,"Two beers, please.",,,"French Phase 1, Units 1-30 (2001)","6,12"
132,FR,978-1-4423-4864-6,French 1,8,0:07:04,0:07:06,01R,87,M,"Deux bières, s'il vous plaît.",5,S,"French Phase 1, Units 1-30 (2001)","6,12"
133,FR,978-1-4423-4864-6,French 1,8,0:07:43,0:07:44,02Q,93,N,Would you like some beer?,,,"French Phase 1, Units 1-30 (2001)",6
134,FR,978-1-4423-4864-6,French 1,8,0:07:49,0:07:50,02R,94,M,Est-ce que vous voudriez de la bière?,7,Q,"French Phase 1, Units 1-30 (2001)",6
135,FR,978-1-4423-4864-6,French 1,8,0:11:25,0:11:27,03Q,133,N,Some wine or some beer?,,,"French Phase 1, Units 1-30 (2001)",6
136,FR,978-1-4423-4864-6,French 1,8,0:11:31,0:11:33,03R,134,M,Du vin ou de la bière?,6,Q,"French Phase 1, Units 1-30 (2001)",6
137,FR,978-1-4423-4864-6,French 1,8,0:11:52,0:11:54,04Q,137,N,I really want to.,,,"French Phase 1, Units 1-30 (2001)",7
138,FR,978-1-4423-4864-6,French 1,8,0:11:58,0:11:58,04R,138,F,Je veux bien.,3,S,"French Phase 1, Units 1-30 (2001)",7
139,FR,978-1-4423-4864-6,French 1,8,0:12:32,0:12:33,05Q,143,N,Not okay.,,,"French Phase 1, Units 1-30 (2001)",7
140,FR,978-1-4423-4864-6,French 1,8,0:12:36,0:12:37,05R,144,M,Pas d'accord.,2,S,"French Phase 1, Units 1-30 (2001)",7
141,FR,978-1-4423-4864-6,French 1,8,0:13:24,0:13:27,06Q,153,N,Ask me what I want to do.,,,"French Phase 1, Units 1-30 (2001)",7
142,FR,978-1-4423-4864-6,French 1,8,0:13:30,0:13:32,06R,154,M,Qu'est-ce que vous voulez faire?,5,Q,"French Phase 1, Units 1-30 (2001)",7
143,FR,978-1-4423-4864-6,French 1,8,0:15:37,0:15:38,07Q,188,N,I would like to buy something.,,,"French Phase 1, Units 1-30 (2001)",14
144,FR,978-1-4423-4864-6,French 1,8,0:15:39,0:15:41,07R,189,F,Je voudrais acheter quelque chose.,5,S,"French Phase 1, Units 1-30 (2001)",14
145,FR,978-1-4423-4864-6,French 1,8,0:19:10,0:19:10,08Q,213,N,But with whom?,,,"French Phase 1, Units 1-30 (2001)",7
146,FR,978-1-4423-4864-6,French 1,8,0:19:13,0:19:15,08R,214,F,"Mais, avec qui?",3,Q,"French Phase 1, Units 1-30 (2001)",7
147,FR,978-1-4423-4864-6,French 1,8,0:21:13,0:21:15,09Q,234,N,Where? At the hotel?,,,"French Phase 1, Units 1-30 (2001)",18
148,FR,978-1-4423-4864-6,French 1,8,0:21:19,0:21:20,09R,235,M,Où? À l'hôtel?,3,Q,"French Phase 1, Units 1-30 (2001)",18
149,FR,978-1-4423-4864-6,French 1,9,0:03:42,0:03:44,01Q,58,N,I'd like to buy something.,,,"French Phase 1, Units 1-30 (2001)",14
150,FR,978-1-4423-4864-6,French 1,9,0:03:48,0:03:50,01R,59,F,Je voudrais acheter quelque chose.,5,S,"French Phase 1, Units 1-30 (2001)",14
151,FR,978-1-4423-4864-6,French 1,9,0:04:56,0:04:58,02Q,71,N,I’d like to drink something with you.,,,"French Phase 1, Units 1-30 (2001)",6
152,FR,978-1-4423-4864-6,French 1,9,0:05:02,0:05:04,02R,72,F,Je voudrais boire quelque chose avec vous.,7,S,"French Phase 1, Units 1-30 (2001)",6
153,FR,978-1-4423-4864-6,French 1,9,0:06:35,0:06:38,03Q,85,N,I’d like to drink something at your place.,,,"French Phase 1, Units 1-30 (2001)",6
154,FR,978-1-4423-4864-6,French 1,9,0:06:42,0:06:44,03R,86,F,Je voudrais boire quelque chose chez vous.,7,S,"French Phase 1, Units 1-30 (2001)",6
155,FR,978-1-4423-4864-6,French 1,9,0:07:46,0:07:47,04Q,97,N,At what time?,,,"French Phase 1, Units 1-30 (2001)","16,17"
156,FR,978-1-4423-4864-6,French 1,9,0:07:50,0:07:50,04R,98,F,À quelle heure?,3,Q,"French Phase 1, Units 1-30 (2001)","16,17"
157,FR,978-1-4423-4864-6,French 1,9,0:15:14,0:15:16,05Q,169,N,I don't know at what time.,,,"French Phase 1, Units 1-30 (2001)",17
158,FR,978-1-4423-4864-6,French 1,9,0:15:20,0:15:21,05R,170,F,Je ne sais pas à quelle heure.,7,S,"French Phase 1, Units 1-30 (2001)",17
159,FR,978-1-4423-4864-6,French 1,9,0:19:15,0:19:16,06Q,206,N,At two o'clock?,,,"French Phase 1, Units 1-30 (2001)","12,17"
160,FR,978-1-4423-4864-6,French 1,9,0:19:19,0:19:20,06R,207,M,À deux heures?,3,Q,"French Phase 1, Units 1-30 (2001)","12,17"
161,FR,978-1-4423-4864-6,French 1,9,0:24:40,0:24:42,07Q,254,N,What don't I understand?,,,"French Phase 1, Units 1-30 (2001)","10,15"
162,FR,978-1-4423-4864-6,French 1,9,0:24:46,0:24:47,07R,255,M,Qu'est-ce que je ne comprends pas?,6,Q,"French Phase 1, Units 1-30 (2001)","10,15"
163,FR,978-1-4423-4864-6,French 1,10,0:03:16,0:03:16,01Q,47,N,"But, no!",,,"French Phase 1, Units 1-30 (2001)",7
164,FR,978-1-4423-4864-6,French 1,10,0:03:22,0:03:22,01R,48,M,"Mais, non!",2,S,"French Phase 1, Units 1-30 (2001)",7
165,FR,978-1-4423-4864-6,French 1,10,0:07:32,0:07:33,02Q,91,N,What time is it?,,,"French Phase 1, Units 1-30 (2001)",17
166,FR,978-1-4423-4864-6,French 1,10,0:07:35,0:07:36,02R,93,F,Quelle heure est-il?,3,Q,"French Phase 1, Units 1-30 (2001)",17
167,FR,978-1-4423-4864-6,French 1,10,0:08:14,0:08:15,03Q,99,N,It’s nine o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
168,FR,978-1-4423-4864-6,French 1,10,0:08:22,0:08:23,03R,100,M,Il est neuf heures.,4,S,"French Phase 1, Units 1-30 (2001)","12,17"
169,FR,978-1-4423-4864-6,French 1,10,0:08:51,0:08:53,04Q,105,N,It’s five o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
170,FR,978-1-4423-4864-6,French 1,10,0:08:55,0:08:56,04R,106,M,Il est cinq heures.,4,S,"French Phase 1, Units 1-30 (2001)","12,17"
171,FR,978-1-4423-4864-6,French 1,10,0:09:35,0:09:36,05Q,113,N,It’s three o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
172,FR,978-1-4423-4864-6,French 1,10,0:09:37,0:09:38,05R,114,M,Il est trois heures.,4,S,"French Phase 1, Units 1-30 (2001)","12,17"
173,FR,978-1-4423-4864-6,French 1,10,0:15:32,0:15:34,06Q,181,N,I’m going to have lunch now.,,,"French Phase 1, Units 1-30 (2001)","6,17"
174,FR,978-1-4423-4864-6,French 1,10,0:15:38,0:15:39,06R,182,M,Je vais déjeuner maintenant.,4,S,"French Phase 1, Units 1-30 (2001)","6,17"
175,FR,978-1-4423-4864-6,French 1,10,0:16:04,0:16:06,07Q,185,N,I’m going to eat at five o’clock.,,,"French Phase 1, Units 1-30 (2001)","6,12,17"
