"Control#","Rec #","Lang","Source Audio ISBN-13","Course","Unit Num","Start","Stop","QZ #","line #","Speaker","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"16","16","BP","9781442311718","BrazPort 2","1","","","08R","130","M","Eu tenho que trabalhar.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_016.mp3","20"
"17","17","BP","9781442311718","BrazPort 2","1","","","09Q","","N","But first I’m going to study.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_017.mp3","1,17"
"18","18","BP","9781442311718","BrazPort 2","1","","","09R","245","F","Mas primeiro eu vou estudar.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_018.mp3","1,17"
"19","19","BP","9781442311718","BrazPort 2","2","","","01Q","","N","I’m here on a visit.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_019.mp3","1,18"
"20","20","BP","9781442311718","BrazPort 2","2","","","01R","123","M","Eu estou aqui de visita.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_020.mp3","1,18"
"21","21","BP","9781442311718","BrazPort 2","2","","","02Q","","N","Do you like the city?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_021.mp3","18"
"22","22","BP","9781442311718","BrazPort 2","2","","","02R","129","F","Você gosta da cidade?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_022.mp3","18"
"23","23","BP","9781442311718","BrazPort 2","2","","","03Q","","N","When did you arrive?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_023.mp3","17,18"
"24","24","BP","9781442311718","BrazPort 2","2","","","03R","105","F","Quando você chegou?","3","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_024.mp3","17,18"
"25","25","BP","9781442311718","BrazPort 2","2","","","04Q","","N","I arrived yesterday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_025.mp3","17,18"
"26","26","BP","9781442311718","BrazPort 2","2","","","04R","107","M","Eu cheguei ontem.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_026.mp3","17,18"
"27","27","BP","9781442311718","BrazPort 2","2","","","05Q","","N","Unfortunately, I have to visit someone.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_027.mp3","1,18"
"28","28","BP","9781442311718","BrazPort 2","2","","","05R","168","M","Infelizmente, eu tenho que visitar alguém.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_028.mp3","1,18"
"29","29","BP","9781442311718","BrazPort 2","2","","","06Q","","N","Tomorrow, after working?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_029.mp3","17,20"
"30","30","BP","9781442311718","BrazPort 2","2","","","06R","158","F","Amanhã, depois de trabalhar?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_030.mp3","17,20"
"31","31","BP","9781442311718","BrazPort 2","2","","","07Q","","N","Then, turn to the left.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_031.mp3","4,18"
"32","32","BP","9781442311718","BrazPort 2","2","","","07R","58","F","Depois, vire à esquerda.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_032.mp3","4,18"
"33","33","BP","9781442311718","BrazPort 2","2","","","08Q","","N","He works with me.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_033.mp3","20"
"34","34","BP","9781442311718","BrazPort 2","2","","","08R","176","M","Ele trabalha comigo.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_034.mp3","20"
"35","35","BP","9781442311718","BrazPort 2","3","","","01Q","","N","I have no car.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_035.mp3","9,18"
"36","36","BP","9781442311718","BrazPort 2","3","","","01R","253","M","Eu não tenho carro.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_036.mp3","9,18"
"37","37","BP","9781442311718","BrazPort 2","3","","","02Q","","N","I can take you.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_037.mp3","7,13"
"38","38","BP","9781442311718","BrazPort 2","3","","","02R","165","M","Eu posso te levar.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_038.mp3","7,13"
"39","39","BP","9781442311718","BrazPort 2","3","","","03Q","","N","I need to rent a car.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_039.mp3","9,18"
"40","40","BP","9781442311718","BrazPort 2","3","","","03R","135","F","Eu preciso alugar um carro.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_040.mp3","9,18"
"41","41","BP","9781442311718","BrazPort 2","3","","","04Q","","N","I need a car.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_041.mp3","9,18"
"42","42","BP","9781442311718","BrazPort 2","3","","","04R","130","F","Eu preciso de um carro.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_042.mp3","9,18"
"43","43","BP","9781442311718","BrazPort 2","3","","","05Q","","N","What a shame!","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_043.mp3","7"
"44","44","BP","9781442311718","BrazPort 2","3","","","05R","93","M","Que pena!","2","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_044.mp3","7"
"45","45","BP","9781442311718","BrazPort 2","3","","","06Q","","N","Where is the agency located?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_045.mp3","4,20"
"46","46","BP","9781442311718","BrazPort 2","3","","","06R","153","F","Onde fica a agência?","","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_046.mp3","4,20"
"47","47","BP","9781442311718","BrazPort 2","3","","","07Q","","N","I work in an office.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_047.mp3","10,20"
"48","48","BP","9781442311718","BrazPort 2","3","","","07R","57","M","Eu trabalho num escritório.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_048.mp3","10,20"
"49","49","BP","9781442311718","BrazPort 2","3","","","08Q","","N","No, I don’t drive in the city.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_049.mp3","9,18"
"50","50","BP","9781442311718","BrazPort 2","3","","","08R","194","F","Não, eu não dirijo na cidade.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_050.mp3","9,18"
"51","51","BP","9781442311718","BrazPort 2","3","","","09Q","","N","By the way, do you have a car?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_051.mp3","18"
"52","52","BP","9781442311718","BrazPort 2","3","","","09R","251","F","A propósito, você tem um carro?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_052.mp3","18"
"53","53","BP","9781442311718","BrazPort 2","3","","","10Q","","N","He’s in his office today.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_053.mp3","9,17,20"
"54","54","BP","9781442311718","BrazPort 2","3","","","10R","117","F","Ele está no seu escritório hoje.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_054.mp3","9,17,20"
"55","55","BP","9781442311718","BrazPort 2","3","","","11Q","","N","My husband has to work.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_055.mp3","5,20"
"56","56","BP","9781442311718","BrazPort 2","3","","","11R","87","F","O meu marido tem que trabalhar.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_056.mp3","5,20"
"57","57","BP","9781442311718","BrazPort 2","4","","","01Q","","N","Something more?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_057.mp3","7,14"
"58","58","BP","9781442311718","BrazPort 2","4","","","01R","226","M","Mais alguma coisa?","3","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_058.mp3","7,14"
"59","59","BP","9781442311718","BrazPort 2","4","","","02Q","","N","Do you see her? (formal)","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_059.mp3","7,13"
"60","60","BP","9781442311718","BrazPort 2","4","","","02R","64","F","O senhor a vê?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_060.mp3","7,13"
"61","61","BP","9781442311718","BrazPort 2","4","","","03Q","","N","Here is his address.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_061.mp3","4,9,18"
"62","62","BP","9781442311718","BrazPort 2","4","","","03R","250","F","Aqui está o endereço dele.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_062.mp3","4,9,18"
"63","63","BP","9781442311718","BrazPort 2","4","","","04Q","","N","I never drink wine.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_063.mp3","6,17"
"64","64","BP","9781442311718","BrazPort 2","4","","","04R","214","F","Eu nunca bebo vinho.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_064.mp3","6,17"
"65","65","BP","9781442311718","BrazPort 2","4","","","05Q","","N","Red wine or white wine.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_065.mp3","6"
"66","66","BP","9781442311718","BrazPort 2","4","","","05R","220","F","Vinho tinto ou vinho branco.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_066.mp3","6"
"67","67","BP","9781442311718","BrazPort 2","4","","","06Q","","N","I’m going to come at ten A.M.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_067.mp3","12,17"
"68","68","BP","9781442311718","BrazPort 2","4","","","06R","150","M","Eu vou vir às dez da manhã.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_068.mp3","12,17"
"69","69","BP","9781442311718","BrazPort 2","4","","","07Q","","N","But not at ten P.M.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_069.mp3","12,17"
"70","70","BP","9781442311718","BrazPort 2","4","","","07R","152","F","Mas às dez da noite, não.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_070.mp3","12,17"
"71","71","BP","9781442311718","BrazPort 2","4","","","08Q","","N","I have to drive.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_071.mp3","1,18"
"72","72","BP","9781442311718","BrazPort 2","4","","","08R","117","M","Eu tenho que dirigir.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_072.mp3","1,18"
"73","73","BP","9781442311718","BrazPort 2","4","","","09Q","","N","I would like to order a beer.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_073.mp3","6"
"74","74","BP","9781442311718","BrazPort 2","4","","","09R","182","F","Eu gostaria de pedir uma cerveja.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_074.mp3","6"
"75","75","BP","9781442311718","BrazPort 2","4","","","10Q","","N","I have to leave without eating.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_075.mp3","6"
"76","76","BP","9781442311718","BrazPort 2","4","","","10R","240","F","Eu tenho que ir embora sem comer.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_076.mp3","6"
"77","77","BP","9781442311718","BrazPort 2","4","","","11Q","","N","Yes, I see the agency.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_077.mp3","4,20"
"78","78","BP","9781442311718","BrazPort 2","4","","","11R","82","M","Sim, eu vejo a agência.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_078.mp3","4,20"
"79","79","BP","9781442311718","BrazPort 2","4","","","12Q","","N","I am from the United States.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_079.mp3","9,10"
"80","80","BP","9781442311718","BrazPort 2","4","","","12R","91","M","Eu sou dos Estados Unidos.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_080.mp3","9,10"
"81","81","BP","9781442311718","BrazPort 2","5","","","01Q","","N","But I would like to meet him.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_081.mp3","9,13"
"82","82","BP","9781442311718","BrazPort 2","5","","","01R","108","M","Mas eu gostaria de conhecê-lo.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_082.mp3","9,13"
"83","83","BP","9781442311718","BrazPort 2","5","","","02Q","","N","I’m sorry.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_083.mp3","7,13"
"84","84","BP","9781442311718","BrazPort 2","5","","","02R","143","F","Desculpe-me.","1","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_084.mp3","7,13"
"85","85","BP","9781442311718","BrazPort 2","5","","","03Q","","N","Do you (f, pl, form) have time for a cup of coffee?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_085.mp3","6,17"
"86","86","BP","9781442311718","BrazPort 2","5","","","03R","196","M","As senhoras têm tempo para um cafezinho?","7","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_086.mp3","6,17"
"87","87","BP","9781442311718","BrazPort 2","5","","","04Q","","N","Do you (f, pl, form) like beer?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_087.mp3","6"
"88","88","BP","9781442311718","BrazPort 2","5","","","04R","201","M","As senhoras gostam de cerveja?","5","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_088.mp3","6"
"89","89","BP","9781442311718","BrazPort 2","5","","","05Q","","N","No, we don’t like beer.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_089.mp3","6"
"90","90","BP","9781442311718","BrazPort 2","5","","","05R","208","F","Não, nós não gostamos de cerveja.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_090.mp3","6"
"91","91","BP","9781442311718","BrazPort 2","5","","","06Q","","N","Since when are you here?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_091.mp3","10,17,18"
"92","92","BP","9781442311718","BrazPort 2","5","","","06R","234","M","Desde quando as senhoras estão aqui?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_092.mp3","10,17,18"
"93","93","BP","9781442311718","BrazPort 2","5","","","07Q","","N","How long are you going to stay?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_093.mp3","17,18"
"94","94","BP","9781442311718","BrazPort 2","5","","","07R","254","M","Quanto tempo as senhoras vão ficar?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_094.mp3","17,18"
"95","95","BP","9781442311718","BrazPort 2","5","","","08Q","","N","Until tomorrow.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_095.mp3","17"
"96","96","BP","9781442311718","BrazPort 2","5","","","08R","256","F","Até amanhã.","2","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_096.mp3","17"
"97","97","BP","9781442311718","BrazPort 2","5","","","09Q","","N","You (f, pl, form) don’t have time to meet them.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_097.mp3","9,17"
"98","98","BP","9781442311718","BrazPort 2","5","","","09R","291","M","As senhoras não têm tempo para conhecê-los.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_098.mp3","9,17"
"99","99","BP","9781442311718","BrazPort 2","5","","","10Q","","N","We like coffee.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_099.mp3","6"
"100","100","BP","9781442311718","BrazPort 2","5","","","10R","213","F","Nós gostamos de café.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_100.mp3","6"
"101","101","BP","9781442311718","BrazPort 2","6","","","01Q","","N","It has not been a long time.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_101.mp3","7,17"
"102","102","BP","9781442311718","BrazPort 2","6","","","01R","102","M","Não faz muito tempo.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_102.mp3","7,17"
"103","103","BP","9781442311718","BrazPort 2","6","","","02Q","","N","I’m only going to stay until the next week.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_103.mp3","17,18"
"104","104","BP","9781442311718","BrazPort 2","6","","","02R","210","M","Eu só vou ficar até a semana que vem.","9","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_104.mp3","17,18"
"105","105","BP","9781442311718","BrazPort 2","6","","","03Q","","N","It has been one week that we are here.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_105.mp3","9,12,17,18"
"106","106","BP","9781442311718","BrazPort 2","6","","","03R","122","M","Faz uma semana que nós estamos aqui.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_106.mp3","9,12,17,18"
"107","107","BP","9781442311718","BrazPort 2","6","","","04Q","","N","But I’m going to the United States next week.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_107.mp3","17,18"
"108","108","BP","9781442311718","BrazPort 2","6","","","04R","265","F","Mas eu vou aos Estados Unidos na semana que vem.","10","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_108.mp3","17,18"
"109","109","BP","9781442311718","BrazPort 2","6","","","05Q","","N","How much time has it been that you are here?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_109.mp3","17,18"
"110","110","BP","9781442311718","BrazPort 2","6","","","05R","187","F","Quanto tempo faz que o senhor está aqui?","8","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_110.mp3","17,18"
"111","111","BP","9781442311718","BrazPort 2","6","","","06Q","","N","Do you travel a lot?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_111.mp3","12,18"
"112","112","BP","9781442311718","BrazPort 2","6","","","06R","234","F","O senhor viaja muito?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_112.mp3","12,18"
"113","113","BP","9781442311718","BrazPort 2","6","","","07Q","","N","Sometimes I have to travel.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_113.mp3","17,18"
"114","114","BP","9781442311718","BrazPort 2","6","","","07R","246","M","Às vezes eu tenho que viajar.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_114.mp3","17,18"
"115","115","BP","9781442311718","BrazPort 2","6","","","08Q","","N","Would you like to come tomorrow afternoon?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_115.mp3","1,17"
"116","116","BP","9781442311718","BrazPort 2","6","","","08R","138","F","Vocês gostariam de vir amanhã à tarde?","7","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_116.mp3","1,17"
"117","117","BP","9781442311718","BrazPort 2","6","","","09Q","","N","I would like to stay more time.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_117.mp3","1,17,18"
"118","118","BP","9781442311718","BrazPort 2","6","","","09R","218","M","Eu gostaria de ficar mais tempo.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_118.mp3","1,17,18"
"119","119","BP","9781442311718","BrazPort 2","6","","","10Q","","N","A week is very little time.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_119.mp3","17"
"120","120","BP","9781442311718","BrazPort 2","6","","","10R","216","F","Uma semana é muito pouco tempo.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_120.mp3","17"
"121","121","BP","9781442311718","BrazPort 2","7","","","01Q","","N","I’m hungry.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_121.mp3","6"
"122","122","BP","9781442311718","BrazPort 2","7","","","01R","115","F","Eu estou com fome.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_122.mp3","6"
"123","123","BP","9781442311718","BrazPort 2","7","","","02Q","","N","We are going to have a cup of coffee.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_123.mp3","1,6,9"
"124","124","BP","9781442311718","BrazPort 2","7","","","02R","139","F","Nós vamos tomar um cafezinho.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_124.mp3","1,6,9"
"125","125","BP","9781442311718","BrazPort 2","7","","","03Q","","N","Who’s coming?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_125.mp3","7,13"
"126","126","BP","9781442311718","BrazPort 2","7","","","03R","153","F","Quem vem?","2","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_126.mp3","7,13"
"127","127","BP","9781442311718","BrazPort 2","7","","","04Q","","N","They are coming together.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_127.mp3","9"
"128","128","BP","9781442311718","BrazPort 2","7","","","04R","173","M","Eles vêm juntos.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_128.mp3","9"
"129","129","BP","9781442311718","BrazPort 2","7","","","05Q","","N","We work together.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_129.mp3","9,20"
