Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills,
45,FR,978-1-4423-5032-8,French 2,3,0:06:15,0:06:16,02Q,75,N,See you later.,,,"French Phase 2, Units 1-30 (2004)","13,17",
46,FR,978-1-4423-5032-8,French 2,3,0:06:21,0:06:22,02R,76,F,A plus tard.,3,S,"French Phase 2, Units 1-30 (2004)","13,17",
47,FR,978-1-4423-5032-8,French 2,3,0:06:50,0:06:51,03Q,81,N,See you tonight.,,,"French Phase 2, Units 1-30 (2004)","7,17",
48,FR,978-1-4423-5032-8,French 2,3,0:06:53,0:06:54,03R,82,M,A ce soir.,2,S,"French Phase 2, Units 1-30 (2004)","7,17",
49,FR,978-1-4423-5032-8,French 2,3,0:12:40,0:12:41,04Q,139,N,She stayed in Paris.,,,"French Phase 2, Units 1-30 (2004)",18,
50,FR,978-1-4423-5032-8,French 2,3,0:12:44,0:12:45,04R,141,F,Elle est restée à Paris.,5,S,"French Phase 2, Units 1-30 (2004)",18,
51,FR,978-1-4423-5032-8,French 2,3,0:13:16,0:13:18,05Q,146,N,Why did your younger daughter stay in Paris?,,,"French Phase 2, Units 1-30 (2004)","5,18",
52,FR,978-1-4423-5032-8,French 2,3,0:13:28,0:13:31,05R,148,F,Pourquoi est-ce que votre fille cadette est restée à Paris?,10,Q,"French Phase 2, Units 1-30 (2004)","5,18",
53,FR,978-1-4423-5032-8,French 2,3,0:15:43,0:15:44,06Q,168,N,And we spoke French with the waiter.,,,"French Phase 2, Units 1-30 (2004)","1,6,18",
54,FR,978-1-4423-5032-8,French 2,3,0:15:50,0:15:52,06R,169,M,Et nous avons parlé français avec le garçon.,8,S,"French Phase 2, Units 1-30 (2004)","1,6,18",
55,FR,978-1-4423-5032-8,French 2,3,0:16:27,0:16:29,07Q,175,N,We didn’t have much time.,,,"French Phase 2, Units 1-30 (2004)","7,17",
56,FR,978-1-4423-5032-8,French 2,3,0:16:32,0:16:33,07R,176,M,Nous n’avons pas eu beaucoup de temps.,7,S,"French Phase 2, Units 1-30 (2004)","7,17",
57,FR,978-1-4423-5032-8,French 2,3,0:18:17,0:18:18,08Q,191,N,But we didn’t stay.,,,"French Phase 2, Units 1-30 (2004)","7,18",
58,FR,978-1-4423-5032-8,French 2,3,0:18:22,0:18:24,08R,192,M,Mais nous ne sommes pas restés.,6,S,"French Phase 2, Units 1-30 (2004)","7,18",
59,FR,978-1-4423-5032-8,French 2,3,0:19:03,0:19:04,09Q,199,N,It’s not a very big city.,,,"French Phase 2, Units 1-30 (2004)","9,18",
60,FR,978-1-4423-5032-8,French 2,3,0:19:07,0:19:09,09R,200,M,Ce n’est pas une très grande ville.,7,S,"French Phase 2, Units 1-30 (2004)","9,18",
61,FR,978-1-4423-5032-8,French 2,3,0:25:34,0:25:36,10Q,266,N,Say that you have a lot of work tomorrow.,,,"French Phase 2, Units 1-30 (2004)","17,20",
62,FR,978-1-4423-5032-8,French 2,3,0:25:40,0:25:42,10R,267,M,J’ai beaucoup de travail demain.,5,S,"French Phase 2, Units 1-30 (2004)","17,20",
63,FR,978-1-4423-5032-8,French 2,4,0:03:42,0:03:43,01Q,50,N,Do you know Nice?,,,"French Phase 2, Units 1-30 (2004)",18,
64,FR,978-1-4423-5032-8,French 2,4,0:03:45,0:03:47,01R,56,F,Est-ce que vous connaissez Nice?,5,Q,"French Phase 2, Units 1-30 (2004)",18,
65,FR,978-1-4423-5032-8,French 2,4,0:05:26,0:05:27,02Q,68,N,Not yet.,,,"French Phase 2, Units 1-30 (2004)",7,
66,FR,978-1-4423-5032-8,French 2,4,0:05:30,0:05:31,02R,69,M,Pas encore.,2,S,"French Phase 2, Units 1-30 (2004)",7,
67,FR,978-1-4423-5032-8,French 2,4,0:05:51,0:05:52,03Q,72,N,I don’t know Nice yet.,,,"French Phase 2, Units 1-30 (2004)",18,
68,FR,978-1-4423-5032-8,French 2,4,0:05:59,0:06:00,03R,73,M,Je ne connais pas encore Nice.,6,S,"French Phase 2, Units 1-30 (2004)",18,
69,FR,978-1-4423-5032-8,French 2,4,0:07:55,0:07:57,04Q,95,N,Have you been to Nice?,,,"French Phase 2, Units 1-30 (2004)",18,
70,FR,978-1-4423-5032-8,French 2,4,0:07:59,0:08:01,04R,96,?,Est-ce que vous avez été à Nice?,7,Q,"French Phase 2, Units 1-30 (2004)",18,
71,FR,978-1-4423-5032-8,French 2,4,0:09:43,0:09:45,05Q,111,N,I haven’t yet been to Nice.,,,"French Phase 2, Units 1-30 (2004)",18,
72,FR,978-1-4423-5032-8,French 2,4,0:09:48,0:09:50,05R,112,F,Je n’ai pas encore été à Nice.,7,S,"French Phase 2, Units 1-30 (2004)",18,
73,FR,978-1-4423-5032-8,French 2,4,0:15:19,0:15:20,06Q,163,N,There’s a friend of mine.,,,"French Phase 2, Units 1-30 (2004)",5,
74,FR,978-1-4423-5032-8,French 2,4,0:15:23,0:15:25,06R,165,F,Voilà un ami à moi.,5,S,"French Phase 2, Units 1-30 (2004)",5,
75,FR,978-1-4423-5032-8,French 2,4,0:16:54,0:16:54,07Q,178,N,What is his name?,,,"French Phase 2, Units 1-30 (2004)","7,11",
76,FR,978-1-4423-5032-8,French 2,4,0:16:57,0:16:58,07R,179,M,Comment est-ce qu’il s’appelle?,4,Q,"French Phase 2, Units 1-30 (2004)","7,11",
77,FR,978-1-4423-5032-8,French 2,4,0:18:04,0:18:06,08Q,191,N,My name is Charles Hunt.,,,"French Phase 2, Units 1-30 (2004)","7,16",
78,FR,978-1-4423-5032-8,French 2,4,0:18:10,0:18:12,08R,192,M,Je m’appelle Charles Hunt.,4,S,"French Phase 2, Units 1-30 (2004)","7,16",
79,FR,978-1-4423-5032-8,French 2,4,0:21:20,0:21:21,09Q,229,N,He’s a friend of mine.,,,"French Phase 2, Units 1-30 (2004)","5,9",
80,FR,978-1-4423-5032-8,French 2,4,0:21:26,0:21:27,09R,230,M,C’est un ami à moi.,5,S,"French Phase 2, Units 1-30 (2004)","5,9",
81,FR,978-1-4423-5032-8,French 2,4,0:23:29,0:23:30,10Q,253,N,I have to go into town.,,,"French Phase 2, Units 1-30 (2004)","9,18",
82,FR,978-1-4423-5032-8,French 2,4,0:23:33,0:23:35,10R,254,F,Je dois aller en ville.,5,S,"French Phase 2, Units 1-30 (2004)","9,18",
83,FR,978-1-4423-5032-8,French 2,4,0:25:53,0:25:55,11Q,278,N,We saw some friends of mine.,,,"French Phase 2, Units 1-30 (2004)",5,
84,FR,978-1-4423-5032-8,French 2,4,0:25:59,0:26:01,11R,279,F,Nous avons vu des amis à moi ---,7,S,"French Phase 2, Units 1-30 (2004)",5,
85,FR,978-1-4423-5032-8,French 2,5,0:02:35,0:02:37,01Q,38,N,I didn’t stay at the hotel.,,,"French Phase 2, Units 1-30 (2004)",18,
86,FR,978-1-4423-5032-8,French 2,5,0:02:41,0:02:43,01R,39,M,Je ne suis pas resté à l’hôtel.,7,S,"French Phase 2, Units 1-30 (2004)",18,
87,FR,978-1-4423-5032-8,French 2,5,0:06:35,0:06:37,02Q,79,N,I still have a lot of work.,,,"French Phase 2, Units 1-30 (2004)","12,20",
88,FR,978-1-4423-5032-8,French 2,5,0:06:39,0:06:41,02R,80,M,J’ai encore beaucoup de travail.,5,S,"French Phase 2, Units 1-30 (2004)","12,20",
89,FR,978-1-4423-5032-8,French 2,5,0:07:52,0:07:53,03Q,90,N,Unfortunately.,,,"French Phase 2, Units 1-30 (2004)",7,
90,FR,978-1-4423-5032-8,French 2,5,0:07:56,0:07:57,03R,91,M,Malheureusement.,1,S,"French Phase 2, Units 1-30 (2004)",7,
91,FR,978-1-4423-5032-8,French 2,5,0:09:12,0:09:13,04Q,101,N,Do you know him?,,,"French Phase 2, Units 1-30 (2004)",7,
92,FR,978-1-4423-5032-8,French 2,5,0:09:16,0:09:17,04R,102,F,Est-ce que vous le connaissez?,5,Q,"French Phase 2, Units 1-30 (2004)",7,
93,FR,978-1-4423-5032-8,French 2,5,0:10:34,0:10:36,05Q,114,M,I like him a lot.,,,"French Phase 2, Units 1-30 (2004)","7,12",
94,FR,978-1-4423-5032-8,French 2,5,0:10:38,0:10:39,05R,115,N,Je l’aime beaucoup.,3,S,"French Phase 2, Units 1-30 (2004)","7,12",
95,FR,978-1-4423-5032-8,French 2,5,0:12:07,0:12:09,06Q,128,N,His wife is Canadian.,,,"French Phase 2, Units 1-30 (2004)","5,9,18",
96,FR,978-1-4423-5032-8,French 2,5,0:12:14,0:12:16,06R,129,F,Sa femme est canadienne.,4,S,"French Phase 2, Units 1-30 (2004)","5,9,18",
97,FR,978-1-4423-5032-8,French 2,5,0:14:06,0:14:08,07Q,147,N,His family still lives in France.,,,"French Phase 2, Units 1-30 (2004)","5,9",
98,FR,978-1-4423-5032-8,French 2,5,0:14:14,0:14:17,07R,148,M,Sa famille habite encore en France.,6,S,"French Phase 2, Units 1-30 (2004)","5,9",
99,FR,978-1-4423-5032-8,French 2,5,0:15:19,0:15:21,08Q,158,N,Do you have time to have a coffee?,,,"French Phase 2, Units 1-30 (2004)","6,17",
100,FR,978-1-4423-5032-8,French 2,5,0:15:24,0:15:26,08R,160,M,Est-ce que vous avez le temps de prendre un café?,10,Q,"French Phase 2, Units 1-30 (2004)","6,17",
101,FR,978-1-4423-5032-8,French 2,5,0:19:18,0:19:19,09Q,198,N,I saw him yesterday.,,,"French Phase 2, Units 1-30 (2004)",17,
102,FR,978-1-4423-5032-8,French 2,5,0:19:22,0:19:24,09R,199,F,Je l’ai vu hier.,4,S,"French Phase 2, Units 1-30 (2004)",17,
103,FR,978-1-4423-5032-8,French 2,5,0:23:40,0:23:42,10Q,238,N,I always drink some wine.,,,"French Phase 2, Units 1-30 (2004)","6,17",
104,FR,978-1-4423-5032-8,French 2,5,0:23:45,0:23:46,10R,239,F,Je bois toujours du vin.,5,S,"French Phase 2, Units 1-30 (2004)","6,17",
105,FR,978-1-4423-5032-8,French 2,6,0:01:53,0:01:55,01Q,33,N,Do you still like red wine?,,,"French Phase 2, Units 1-30 (2004)",6,
106,FR,978-1-4423-5032-8,French 2,6,0:02:02,0:02:04,01R,35,M,Est-ce que vous aimez encore le vin rouge?,8,Q,"French Phase 2, Units 1-30 (2004)",6,
107,FR,978-1-4423-5032-8,French 2,6,0:06:00,0:06:01,02Q,72,N,A girlfriend of mine is coming.,,,"French Phase 2, Units 1-30 (2004)","5,9,18",
108,FR,978-1-4423-5032-8,French 2,6,0:06:04,0:06:06,02R,73,F,Une amie à moi vient.,5,S,"French Phase 2, Units 1-30 (2004)","5,9,18",
109,FR,978-1-4423-5032-8,French 2,6,0:06:37,0:06:38,03Q,78,N,She’s coming to pay me a visit.,,,"French Phase 2, Units 1-30 (2004)","11,14,18",
110,FR,978-1-4423-5032-8,French 2,6,0:06:41,0:06:43,03R,79,F,Elle vient me rendre visite.,5,S,"French Phase 2, Units 1-30 (2004)","11,14,18",
111,FR,978-1-4423-5032-8,French 2,6,0:08:08,0:08:10,04Q,89,N,A colleague of mine is coming to pay me a visit.,,,"French Phase 2, Units 1-30 (2004)","11,14,18",
112,FR,978-1-4423-5032-8,French 2,6,0:08:15,0:08:17,04R,90,F,Une collègue à moi vient me rendre visite.,8,S,"French Phase 2, Units 1-30 (2004)","11,14,18",
113,FR,978-1-4423-5032-8,French 2,6,0:09:15,0:09:16,05Q,99,N,She’s coming with her husband.,,,"French Phase 2, Units 1-30 (2004)","5,18",
114,FR,978-1-4423-5032-8,French 2,6,0:09:20,0:09:21,05R,100,F,Elle vient avec son mari.,5,S,"French Phase 2, Units 1-30 (2004)","5,18",
115,FR,978-1-4423-5032-8,French 2,6,0:09:34,0:09:35,06Q,103,N,They’re coming today.,,,"French Phase 2, Units 1-30 (2004)","7,17",
116,FR,978-1-4423-5032-8,French 2,6,0:09:38,0:09:39,06R,104,F,Ils viennent aujourd’hui.,3,S,"French Phase 2, Units 1-30 (2004)","7,17",
117,FR,978-1-4423-5032-8,French 2,6,0:13:57,0:13:59,07Q,146,N,My colleague comes from Belgium.,,,"French Phase 2, Units 1-30 (2004)","9,18,20",
118,FR,978-1-4423-5032-8,French 2,6,0:14:03,0:14:05,07R,147,F,Ma collègue vient de Belgique.,5,S,"French Phase 2, Units 1-30 (2004)","9,18,20",
119,FR,978-1-4423-5032-8,French 2,6,0:14:12,0:14:13,08Q,148,N,You don’t know her.,,,"French Phase 2, Units 1-30 (2004)",7,
120,FR,978-1-4423-5032-8,French 2,6,0:14:17,0:14:18,08R,149,F,Vous ne la connaissez pas.,5,S,"French Phase 2, Units 1-30 (2004)",7,
121,FR,978-1-4423-5032-8,French 2,6,0:16:47,0:16:48,09Q,175,N,Since a year.,,,"French Phase 2, Units 1-30 (2004)","7,17",
122,FR,978-1-4423-5032-8,French 2,6,0:16:51,0:16:52,09R,176,F,Depuis un an.,3,S,"French Phase 2, Units 1-30 (2004)","7,17",
123,FR,978-1-4423-5032-8,French 2,6,0:17:37,0:17:38,10Q,183,N,Since two years.,,,"French Phase 2, Units 1-30 (2004)","12,17",
124,FR,978-1-4423-5032-8,French 2,6,0:17:41,0:17:42,10R,184,F,Depuis deux ans.,3,S,"French Phase 2, Units 1-30 (2004)","12,17",
125,FR,978-1-4423-5032-8,French 2,6,0:21:44,0:21:46,11Q,224,N,Where is this café?,,,"French Phase 2, Units 1-30 (2004)","4,6",
126,FR,978-1-4423-5032-8,French 2,6,0:21:50,0:21:51,11R,225,F,Où est ce café?,4,Q,"French Phase 2, Units 1-30 (2004)","4,6",
127,FR,978-1-4423-5032-8,French 2,7,0:02:55,0:02:57,01Q,43,N,I like The Garden Café.,,,"French Phase 2, Units 1-30 (2004)",6,
128,FR,978-1-4423-5032-8,French 2,7,0:03:00,0:03:01,01R,44,F,J’aime bien le Café du Jardin.,6,S,"French Phase 2, Units 1-30 (2004)",6,
129,FR,978-1-4423-5032-8,French 2,7,0:03:53,0:03:55,02Q,52,N,"Yes, perhaps a glass of red wine.",,,"French Phase 2, Units 1-30 (2004)",6,
130,FR,978-1-4423-5032-8,French 2,7,0:04:00,0:04:02,02R,53,F,"Oui, peut-être un verre de vin rouge.",7,S,"French Phase 2, Units 1-30 (2004)",6,
131,FR,978-1-4423-5032-8,French 2,7,0:05:33,0:05:36,03Q,67,N,"From time to time, I drink some red wine.",,,"French Phase 2, Units 1-30 (2004)","6,17",
132,FR,978-1-4423-5032-8,French 2,7,0:05:40,0:05:43,03R,68,F,"De temps en temps, je bois du vin rouge.",9,S,"French Phase 2, Units 1-30 (2004)","6,17",
133,FR,978-1-4423-5032-8,French 2,7,0:09:40,0:09:41,04Q,111,N,I haven’t seen her since a year.,,,"French Phase 2, Units 1-30 (2004)","9,17",
134,FR,978-1-4423-5032-8,French 2,7,0:09:47,0:09:49,04R,112,M,Je ne l’ai pas vue depuis un an.,8,S,"French Phase 2, Units 1-30 (2004)","9,17",
135,FR,978-1-4423-5032-8,French 2,7,0:10:24,0:10:26,05Q,118,N,They both come from Belgium.,,,"French Phase 2, Units 1-30 (2004)","9,18",
136,FR,978-1-4423-5032-8,French 2,7,0:10:31,0:10:33,05R,119,M,Ils viennent tous les deux de Belgique.,7,S,"French Phase 2, Units 1-30 (2004)","9,18",
137,FR,978-1-4423-5032-8,French 2,7,0:17:28,0:17:30,06Q,186,N,"From time to time, I go there ---",,,"French Phase 2, Units 1-30 (2004)",17,
138,FR,978-1-4423-5032-8,French 2,7,0:17:34,0:17:35,06R,187,M,"De temps en temps, j’y vais ---",6,S,"French Phase 2, Units 1-30 (2004)",17,
139,FR,978-1-4423-5032-8,French 2,7,0:18:26,0:18:27,07Q,194,N,We go there.,,,"French Phase 2, Units 1-30 (2004)",7,
140,FR,978-1-4423-5032-8,French 2,7,0:18:30,0:18:31,07R,195,M,Nous y allons.,3,S,"French Phase 2, Units 1-30 (2004)",7,
141,FR,978-1-4423-5032-8,French 2,7,0:19:19,0:19:20,08Q,200,N,We both went there.,,,"French Phase 2, Units 1-30 (2004)",7,
142,FR,978-1-4423-5032-8,French 2,7,0:19:25,0:19:27,08R,201,M,Nous y sommes allés tous les deux.,7,S,"French Phase 2, Units 1-30 (2004)",7,
143,FR,978-1-4423-5032-8,French 2,7,0:21:17,0:21:18,09Q,222,N,Are we going there on foot?,,,"French Phase 2, Units 1-30 (2004)","1,18",
144,FR,978-1-4423-5032-8,French 2,7,0:21:22,0:21:23,09R,223,M,Est-ce que nous y allons à pied?,7,Q,"French Phase 2, Units 1-30 (2004)","1,18",
145,FR,978-1-4423-5032-8,French 2,7,0:22:46,0:22:48,10Q,236,N,"From time to time, I take a taxi.",,,"French Phase 2, Units 1-30 (2004)","17,18",
146,FR,978-1-4423-5032-8,French 2,7,0:22:52,0:22:54,10R,237,F,"De temps en temps, je prends un taxi.",8,S,"French Phase 2, Units 1-30 (2004)","17,18",
147,FR,978-1-4423-5032-8,French 2,8,0:01:28,0:01:29,01Q,29,N,How’s it going?,,,"French Phase 2, Units 1-30 (2004)","7,13",
148,FR,978-1-4423-5032-8,French 2,8,0:01:32,0:01:33,01R,30,M,Comment ça va?,3,Q,"French Phase 2, Units 1-30 (2004)","7,13",
149,FR,978-1-4423-5032-8,French 2,8,0:02:13,0:02:13,02Q,36,N,And you?,,,"French Phase 2, Units 1-30 (2004)",7,
150,FR,978-1-4423-5032-8,French 2,8,0:02:16,0:02:16,02R,37,F,Et toi?,2,Q,"French Phase 2, Units 1-30 (2004)",7,
151,FR,978-1-4423-5032-8,French 2,8,0:03:07,0:03:09,03Q,46,N,What’s your colleague’s name?,,,"French Phase 2, Units 1-30 (2004)","7,20",
152,FR,978-1-4423-5032-8,French 2,8,0:03:12,0:03:13,03R,48,F,Comment s’appelle ton collègue?,4,Q,"French Phase 2, Units 1-30 (2004)","7,20",
153,FR,978-1-4423-5032-8,French 2,8,0:07:57,0:07:59,04Q,95,N,Do they come to your place ---?,,,"French Phase 2, Units 1-30 (2004)",9,
154,FR,978-1-4423-5032-8,French 2,8,0:08:02,0:08:04,04R,96,F,Est-ce qu’ils viennent chez toi ---?,5,Q,"French Phase 2, Units 1-30 (2004)",9,
155,FR,978-1-4423-5032-8,French 2,8,0:10:16,0:10:18,05Q,120,N,Would you like to go to The Garden Café?,,,"French Phase 2, Units 1-30 (2004)","1,6",
156,FR,978-1-4423-5032-8,French 2,8,0:10:22,0:10:24,05R,121,F,Est-ce que tu voudrais aller au Café du Jardin?,9,Q,"French Phase 2, Units 1-30 (2004)","1,6",
157,FR,978-1-4423-5032-8,French 2,8,0:10:49,0:10:50,06Q,125,N,I often go there.,,,"French Phase 2, Units 1-30 (2004)","1,7",
158,FR,978-1-4423-5032-8,French 2,8,0:10:53,0:10:54,06R,126,M,J’y vais souvent.,3,S,"French Phase 2, Units 1-30 (2004)","1,7",
159,FR,978-1-4423-5032-8,French 2,8,0:15:34,0:15:36,07Q,168,N,Would you like to go there by subway?,,,"French Phase 2, Units 1-30 (2004)","1,18",
160,FR,978-1-4423-5032-8,French 2,8,0:15:40,0:15:43,07R,169,M,Est-ce que tu voudrais y aller en métro?,8,Q,"French Phase 2, Units 1-30 (2004)","1,18",
161,FR,978-1-4423-5032-8,French 2,8,0:17:05,0:17:06,08Q,181,N,Of course.,,,"French Phase 2, Units 1-30 (2004)","7,13",
162,FR,978-1-4423-5032-8,French 2,8,0:17:09,0:17:09,08R,182,F,Bien sûr.,2,S,"French Phase 2, Units 1-30 (2004)","7,13",
163,FR,978-1-4423-5032-8,French 2,8,0:18:16,0:18:18,09Q,194,N,We can go to the café.,,,"French Phase 2, Units 1-30 (2004)","1,6",
164,FR,978-1-4423-5032-8,French 2,8,0:18:23,0:18:24,09R,195,M,Nous pouvons aller au café.,5,S,"French Phase 2, Units 1-30 (2004)","1,6",
165,FR,978-1-4423-5032-8,French 2,8,0:20:21,0:20:23,10Q,215,N,Until what time are the stores open?,,,"French Phase 2, Units 1-30 (2004)","5,14,17",
166,FR,978-1-4423-5032-8,French 2,8,0:20:30,0:20:33,10R,216,M,Jusqu’à quelle heure est-ce que les magasins sont ouverts?,9,Q,"French Phase 2, Units 1-30 (2004)","5,14,17",
