Control #,Rec,Lang,ISBN,Course,Unit Num,Start,Stop,Cluster,Qz #,Spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
31,31,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04Q_D,N,He would have wanted to stay with me.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0031.mp3,18
32,32,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04R_D,F,Il aurait voulu rester avec moi.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0032.mp3,18
33,33,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05Q_A,N,He would have wanted to come.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0033.mp3,"1,9"
34,34,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05R_A,M,Il aurait voulu venir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0034.mp3,"1,9"
35,35,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05Q_B,N,I would have wanted to come.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0035.mp3,9
36,36,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05R_B,M,J’aurais voulu venir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0036.mp3,9
37,37,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05Q_C,N,He wanted to come.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0037.mp3,9
38,38,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05R_C,F,Il voulait venir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0038.mp3,9
39,39,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05Q_D,N,He would have wanted to leave.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0039.mp3,"1,18"
40,40,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-05,05R_D,F,Il aurait voulu partir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0040.mp3,"1,18"
41,41,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06Q_A,N,They’re going to get married Saturday.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0041.mp3,"6,17"
42,42,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06R_A,M,Ils vont se marier samedi.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0042.mp3,"6,17"
43,43,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06Q_B,N,They’re going to meet Saturday.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0043.mp3,"9,17"
44,44,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06R_B,M,Ils vont se rencontrer samedi.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0044.mp3,"9,17"
45,45,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06Q_C,N,They got married Saturday.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0045.mp3,"5,17"
46,46,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06R_C,F,Ils se sont mariés samedi.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0046.mp3,"5,17"
47,47,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06Q_D,N,They’re going to get married in Normandy.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0047.mp3,"1,18"
48,48,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-06,06R_D,F,Ils vont se marier en Normandie.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0048.mp3,"1,18"
49,49,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07Q_A,N,I arrived from the United States.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0049.mp3,"9,18"
50,50,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07R_A,F,Je suis arrivée des États-Unis.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0050.mp3,"9,18"
51,51,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07Q_B,N,I was born in the United States.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0051.mp3,"10,18"
52,52,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07R_B,F,Je suis née aux États-Unis.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0052.mp3,"10,18"
53,53,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07Q_C,N,I arrived in the United States.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0053.mp3,"9,18"
54,54,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07R_C,F,Je suis arrivée aux États-Unis.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0054.mp3,"9,18"
55,55,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07Q_D,N,I am from the United States.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0055.mp3,"9,10"
56,56,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-07,07R_D,F,Je suis des États-Unis.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0056.mp3,"9,10"
57,57,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08Q_A,N,You don’t feel like sleeping?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0057.mp3,"7,8"
58,58,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08R_A,M,Vous n’avez pas envie de dormir ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0058.mp3,"7,8"
59,59,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08Q_B,N,You don’t feel like coming?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0059.mp3,7
60,60,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08R_B,M,Vous n’avez pas envie de venir ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0060.mp3,7
61,61,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08Q_C,N,You don’t feel like leaving?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0061.mp3,"7,18"
62,62,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08R_C,F,Vous n’avez pas envie de partir ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0062.mp3,"7,18"
63,63,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08Q_D,N,You don’t feel like going out?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0063.mp3,"1,7"
64,64,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-08,08R_D,F,Vous n’avez pas envie de sortir?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0064.mp3,"1,7"
65,65,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01Q_A,N,It’s from whom?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0065.mp3,7
66,66,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01R_A,M,C’est de la part de qui ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0066.mp3,7
67,67,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01Q_B,N,It’s with whom?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0067.mp3,7
68,68,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01R_B,M,C’est avec qui ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0068.mp3,7
69,69,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01Q_C,N,It’s thanks to whom?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0069.mp3,"13,16"
70,70,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01R_C,F,C’est grâce à qui ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0070.mp3,"13,16"
71,71,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01Q_D,N,It’s at whose place ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0071.mp3,"4,7"
72,72,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-01,01R_D,F,C’est chez qui ?,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0072.mp3,"4,7"
73,73,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02Q_A,N,She is very busy.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0073.mp3,20
74,74,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02R_A,M,Elle est très occupée.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0074.mp3,20
75,75,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02Q_B,N,She is always busy.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0075.mp3,20
76,76,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02R_B,M,Elle est toujours occupée.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0076.mp3,20
77,77,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02Q_C,N,She is very tired.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0077.mp3,8
78,78,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02R_C,F,Elle est très fatiguée.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0078.mp3,8
79,79,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02Q_D,N,She is really sorry.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0079.mp3,13
80,80,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-02,02R_D,F,Elle est vraiment désolée.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0080.mp3,13
81,81,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03Q_A,N,She waited for you for two hours.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0081.mp3,"12,17"
82,82,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03R_A,M,Elle vous a attendu pendant deux heures.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0082.mp3,"12,17"
83,83,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03Q_B,N,He waited for me for two hours.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0083.mp3,"12,17"
84,84,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03R_B,M,Il m’a attendu pendant deux heures.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0084.mp3,"12,17"
85,85,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03Q_C,N,She was waiting for you at two o’clock.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0085.mp3,"12,17"
86,86,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03R_C,F,Elle vous attendait à deux heures.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0086.mp3,"12,17"
87,87,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03Q_D,N,She waited for you for two years.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0087.mp3,"12,17"
88,88,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-03,03R_D,F,Elle vous a attendu pendant deux ans.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0088.mp3,"12,17"
89,89,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04Q_A,N,"In the meantime, go drink a coffee.",N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0089.mp3,"6,17"
90,90,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04R_A,M,"En attendant, allez boire un café.",N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0090.mp3,"6,17"
91,91,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04Q_B,N,"In the meantime, go make some coffee.",N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0091.mp3,"6,17"
92,92,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04R_B,M,"En attendant, allez faire du café.",N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0092.mp3,"6,17"
93,93,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04Q_C,N,Go wait for me at the café.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0093.mp3,6
94,94,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04R_C,F,Allez m’attendre au café.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0094.mp3,6
95,95,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04Q_D,N,I’m waiting to go drink a coffee.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0095.mp3,6
96,96,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-04,04R_D,F,J’attends d’aller boire un café.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0096.mp3,6
97,97,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05Q_A,N,It’s necessary that I re-make an appointment.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0097.mp3,20
98,98,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05R_A,M,Il faut que je reprenne un rendez-vous.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0098.mp3,20
99,99,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05Q_B,N,It’s necessary to make an appointment.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0099.mp3,20
100,100,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05R_B,M,Il faut prendre un rendez-vous.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0100.mp3,20
101,101,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05Q_C,N,It’s necessary that I come to the appointment.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0101.mp3,20
102,102,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05R_C,F,Il faut que je vienne au rendez-vous.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0102.mp3,20
103,103,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05Q_D,N,He would like to make an appointment.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0103.mp3,20
104,104,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-05,05R_D,F,Il voudrait prendre un rendez-vous.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0104.mp3,20
105,105,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06Q_A,N,I have an appointment upstairs in an hour.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0105.mp3,"12,17,20"
106,106,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06R_A,M,J’ai un rendez-vous en haut dans une heure.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0106.mp3,"12,17,20"
107,107,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06Q_B,N,I had an appointment yesterday at one o’clock.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0107.mp3,"12,17"
108,108,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06R_B,M,J’avais un rendez-vous hier à une heure.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0108.mp3,"12,17"
109,109,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06Q_C,N,He has an appointment upstairs in an hour.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0109.mp3,"12,17,20"
110,110,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06R_C,F,Il a un rendez-vous en haut dans une heure.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0110.mp3,"12,17,20"
111,111,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06Q_D,N,I don’t have an appointment before one o’clock.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0111.mp3,"12,17"
112,112,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-06,06R_D,F,Je n’ai pas de rendez-vous avant une heure.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0112.mp3,"12,17"
113,113,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07Q_A,N,I’ll see what I can do.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0113.mp3,7
114,114,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07R_A,M,Je vais voir ce que je peux faire.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0114.mp3,7
115,115,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07Q_B,N,I’ll do what I can see.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0115.mp3,7
116,116,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07R_B,M,Je vais faire ce que je peux voir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0116.mp3,7
117,117,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07Q_C,N,I’ll see what he can do.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0117.mp3,7
118,118,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07R_C,F,Je vais voir ce qu’il peut faire.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0118.mp3,7
119,119,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07Q_D,N,You’ll see what I can do.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0119.mp3,7
120,120,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-07,07R_D,F,Vous allez voir ce que je peux faire.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0120.mp3,7
121,121,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-08,08Q_A,N,Please hold.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0121.mp3,"7,13"
122,122,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-08,08R_A,M,Ne quittez pas.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0122.mp3,"7,13"
123,123,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-08,08Q_B,N,Don’t leave.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0123.mp3,7
124,124,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-08,08R_B,M,Ne partez pas.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0124.mp3,7
125,125,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-08,08Q_C,N,Don’t hesitate.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0125.mp3,7
126,126,FR,9781442381834,Pimsleur French Level 5,2,N/A,N/A,U02-08,08R_C,F,N’hésitez pas.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0126.mp3,7
