Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
27,27,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04Q_B,N,I'm going to go to the beach now.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0027.mp3,"1,17"
28,28,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04R_B,M,Voy a ir a la playa ahora.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0028.mp3,"1,17"
29,29,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04Q_C,N,I'm going to the beach to sunbathe.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0029.mp3,1
30,30,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04R_C,F,Voy a la playa a tomar el sol.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0030.mp3,1
31,31,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04Q_D,N,Today I had time to go to the beach.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0031.mp3,"1,17"
32,32,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04R_D,M,Hoy tuve tiempo para ir a la playa.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0032.mp3,"1,17"
33,33,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05Q_A,N,I'm going to think about it.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0033.mp3,"7,16"
34,34,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05R_A,F,Voy a pensarlo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0034.mp3,"7,16"
35,35,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05Q_B,N,I'm going to look for it.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0035.mp3,9
36,36,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05R_B,M,Voy a buscarlo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0036.mp3,9
37,37,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05Q_C,N,I'm going to tell you. [formal],,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0037.mp3,7
38,38,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05R_C,M,Voy a decírselo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0038.mp3,7
39,39,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05Q_D,N,I'm going to call him.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0039.mp3,3
40,40,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-05,05R_D,F,Voy a llamarlo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0040.mp3,3
41,41,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06Q_A,N,Where can I buy a red scarf?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0041.mp3,14
42,42,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06R_A,M,¿Dónde puedo comprar una bufanda roja?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0042.mp3,14
43,43,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06Q_B,N,In order to buy a red scarf?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0043.mp3,14
44,44,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06R_B,M,¿Para comprar una bufanda roja?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0044.mp3,14
45,45,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06Q_C,N,Do you want to buy a red scarf?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0045.mp3,14
46,46,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06R_C,F,¿Quiere comprar una bufanda roja?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0046.mp3,14
47,47,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06Q_D,N,Can you buy me a red scarf?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0047.mp3,14
48,48,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-06,06R_D,F,¿Puede comprarme una bufanda roja?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0048.mp3,14
49,49,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07Q_A,N,I can wear my new red bathing suit.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0049.mp3,9
50,50,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07R_A,F,Puedo ponerme mi traje de baño rojo nuevo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0050.mp3,9
51,51,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07Q_B,N,I have to wear my red bathing suit.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0051.mp3,9
52,52,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07R_B,F,Tengo que ponerme mi traje de baño rojo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0052.mp3,9
53,53,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07Q_C,N,I can wear it tomorrow.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0053.mp3,17
54,54,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07R_C,F,Puedo ponérmelo mañana.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0054.mp3,17
55,55,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07Q_D,N,I can wear my new bathing suit to the beach.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0055.mp3,9
56,56,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-07,07R_D,F,Puedo ponerme mi traje de baño nuevo para ir a la playa.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0056.mp3,9
57,57,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08Q_A,N,There may be something for fishing.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0057.mp3,1
58,58,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08R_A,M,Quizás haya algo que pescar.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0058.mp3,1
59,59,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08Q_B,N,There may be something for my younger son.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0059.mp3,5
60,60,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08R_B,M,Quizás haya algo para mi hijo menor.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0060.mp3,5
61,61,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08Q_C,N,There may be something for her too.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0061.mp3,9
62,62,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08R_C,F,Quizás haya algo para ella también.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0062.mp3,9
63,63,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08Q_D,N,There may be gifts for my children in the store.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0063.mp3,"5,14"
64,64,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-08,08R_D,M,Quizás haya regalos para mis hijos en la tienda.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0064.mp3,"5,14"
65,65,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01Q_A,N,Hopefully it doesn't rain.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0065.mp3,19
66,66,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01R_A,M,Ojalá que no llueva.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0066.mp3,19
67,67,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01Q_B,N,Yesterday it didn't rain.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0067.mp3,"17,19"
68,68,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01R_B,M,Ayer no llovió.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0068.mp3,"17,19"
69,69,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01Q_C,N,I wish that it wouldn't rain.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0069.mp3,19
70,70,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01R_C,F,Ojalá no lloviera.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0070.mp3,19
71,71,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01Q_D,N,I hope that it doesn't rain.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0071.mp3,19
72,72,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-01,01R_D,M,Espero que no llueva.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0072.mp3,19
73,73,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02Q_A,N,It was very stressful.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0073.mp3,7
74,74,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02R_A,M,Fue muy estresante.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0074.mp3,7
75,75,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02Q_B,N,It was pretty expensive.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0075.mp3,14
76,76,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02R_B,M,Fue bastante caro.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0076.mp3,14
77,77,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02Q_C,N,It will be very stressful.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0077.mp3,7
78,78,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02R_C,F,Será muy estresante.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0078.mp3,7
79,79,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02Q_D,N,It will be fun.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0079.mp3,7
80,80,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-02,02R_D,F,Será divertido.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0080.mp3,7
81,81,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03Q_A,N,I like to eat fish.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0081.mp3,"2,6"
82,82,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03R_A,M,Me gusta comer pescado.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0082.mp3,"2,6"
83,83,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03Q_B,N,Tomorrow evening we'll eat fresh fish.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0083.mp3,"2,6,17"
84,84,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03R_B,F,Mañana en la noche comeremos pescado fresco.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0084.mp3,"2,6,17"
85,85,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03Q_C,N,I don't like to fish.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0085.mp3,"1,2"
86,86,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03R_C,M,No me gusta pescar.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0086.mp3,"1,2"
87,87,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03Q_D,N,I like to swim and fish.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0087.mp3,"1,2"
88,88,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-03,03R_D,M,Me gusta nadar y pescar.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0088.mp3,"1,2"
89,89,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04Q_A,N,What did you have in the wallet?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0089.mp3,"4,7"
90,90,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04R_A,M,Qué tenía en la billetera?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0090.mp3,"4,7"
91,91,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04Q_B,N,What do you have in the wallet?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0091.mp3,7
92,92,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04R_B,F,Qué tiene en la billetera?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0092.mp3,7
93,93,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04Q_C,N,That is your wallet?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0093.mp3,"4,7"
94,94,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04R_C,F,Ésa es su billetera?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0094.mp3,"4,7"
95,95,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04Q_D,N,Where is my wallet?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0095.mp3,"7,16"
96,96,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-04,04R_D,M,Dónde está mi billetera?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0096.mp3,"7,16"
97,97,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05Q_A,N,What did you say?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0097.mp3,7
98,98,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05R_A,M,¿Qué dijo?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0098.mp3,7
99,99,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05Q_B,N,What does this word mean?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0099.mp3,"7,16"
100,100,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05R_B,F,¿Qué quiere decir esta palabra?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0100.mp3,"7,16"
101,101,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05Q_C,N,What did I tell you?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0101.mp3,7
102,102,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05R_C,F,¿Qué le dije?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0102.mp3,7
103,103,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05Q_D,N,What does he talk about?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0103.mp3,9
104,104,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-05,05R_D,M,¿De qué habla?,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0104.mp3,9
105,105,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06Q_A,N,I'm going to take my big and red umbrella.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0105.mp3,"9,19"
106,106,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06R_A,F,Voy a llevar mi paraguas grande y rojo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0106.mp3,"9,19"
107,107,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06Q_B,N,Today we need a big umbrella.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0107.mp3,"9,19"
108,108,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06R_B,F,Hoy necesitamos un paraguas grande.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0108.mp3,"9,19"
109,109,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06Q_C,N,I need my red umbrella.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0109.mp3,"9,19"
110,110,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06R_C,M,Necesito mi paraguas rojo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0110.mp3,"9,19"
111,111,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06Q_D,N,Luckily I brought my big red umbrella.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0111.mp3,"9,19"
112,112,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-06,06R_D,M,Afortunadamente traje mi paraguas grande rojo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0112.mp3,"9,19"
113,113,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07Q_A,N,My wallet isn't here.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0113.mp3,9
114,114,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07R_A,F,Mi billetera no está aquí.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0114.mp3,9
115,115,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07Q_B,N,After the match I no longer had the wallet.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0115.mp3,9
116,116,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07R_B,M,Después del partido ya no tenía la billetera.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0116.mp3,9
117,117,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07Q_C,N,I can't find my wallet.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0117.mp3,"7,16"
118,118,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07R_C,M,No encuentro mi billetera.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0118.mp3,"7,16"
119,119,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07Q_D,N,In the wallet I had a little money.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0119.mp3,11
120,120,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-07,07R_D,M,En la billetera tenía un poco de dinero.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0120.mp3,11
121,121,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08Q_A,N,Luckily I left my credit cards at home.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0121.mp3,"11,14"
122,122,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08R_A,F,Afortunadamente dejé mis tarjetas de crédito en casa.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0122.mp3,"11,14"
123,123,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08Q_B,N,I always pay by credit card.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0123.mp3,"11,14"
124,124,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08R_B,M,Siempre pago con tarjeta de crédito.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0124.mp3,"11,14"
125,125,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08Q_C,N,I don't remember where I left my credit cards.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0125.mp3,"11,14"
126,126,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08R_C,F,No me acuerdo dónde dejé mis tarjetas de crédito.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0126.mp3,"11,14"
127,127,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08Q_D,N,I had to pay by credit card.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0127.mp3,"11,14"
128,128,SP,Spanish 5,9781442386167,2,N/A,N/A,U02-08,08R_D,M,Tuve que pagar con tarjeta de crédito.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0128.mp3,"11,14"
129,129,SP,Spanish 5,9781442386167,3,N/A,N/A,U03-01,01Q_A,N,I had already seen the film.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0129.mp3,1
130,130,SP,Spanish 5,9781442386167,3,N/A,N/A,U03-01,01R_A,M,Ya había visto la película.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0130.mp3,1
131,131,SP,Spanish 5,9781442386167,3,N/A,N/A,U03-01,01Q_B,N,I saw an old film.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0131.mp3,1
132,132,SP,Spanish 5,9781442386167,3,N/A,N/A,U03-01,01R_B,M,Vi una vieja película.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0132.mp3,1
