Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
16,FR,978-1-4423-5033-5,French 3,1,0:17:06,0:17:08,08R,174,M,Je suis désolé d’être en retard.,6,S,"French Phase 3, Units 1-30 (2005)","13,17"
17,FR,978-1-4423-5033-5,French 3,1,0:18:36,0:18:38,09Q,189,N,Did you come by bus?,,,"French Phase 3, Units 1-30 (2005)",18
18,FR,978-1-4423-5033-5,French 3,1,0:18:41,0:18:43,09R,191,F,Est-ce que vous êtes venu en bus?,7,Q,"French Phase 3, Units 1-30 (2005)",18
19,FR,978-1-4423-5033-5,French 3,1,0:21:49,0:21:50,10Q,222,N,The bus was late this morning.,,,"French Phase 3, Units 1-30 (2005)","17,18"
20,FR,978-1-4423-5033-5,French 3,1,0:21:54,0:21:56,10R,223,M,Le bus était en retard ce matin.,7,S,"French Phase 3, Units 1-30 (2005)","17,18"
21,FR,978-1-4423-5033-5,French 3,2,0:02:48,0:02:48,01Q,39,N,Cheers.,,,"French Phase 3, Units 1-30 (2005)",7
22,FR,978-1-4423-5033-5,French 3,2,0:02:51,0:02:52,01R,40,F,A votre santé.,3,S,"French Phase 3, Units 1-30 (2005)",7
23,FR,978-1-4423-5033-5,French 3,2,0:04:02,0:04:03,02Q,52,N,With pleasure.,,,"French Phase 3, Units 1-30 (2005)","7,13"
24,FR,978-1-4423-5033-5,French 3,2,0:04:06,0:04:07,02R,53,M,Avec plaisir.,2,S,"French Phase 3, Units 1-30 (2005)","7,13"
25,FR,978-1-4423-5033-5,French 3,2,0:09:41,0:09:43,03Q,110,M,Come have a glass of wine.,,,"French Phase 3, Units 1-30 (2005)",6
26,FR,978-1-4423-5033-5,French 3,2,0:09:46,0:09:48,03R,111,N,Venez prendre un verre de vin.,6,S,"French Phase 3, Units 1-30 (2005)",6
27,FR,978-1-4423-5033-5,French 3,2,0:13:21,0:13:22,04Q,148,N,Does it snow?,,,"French Phase 3, Units 1-30 (2005)",19
28,FR,978-1-4423-5033-5,French 3,2,0:13:25,0:13:26,04R,149,F,Est-ce qu’il neige?,3,Q,"French Phase 3, Units 1-30 (2005)",19
29,FR,978-1-4423-5033-5,French 3,2,0:14:31,0:14:32,05Q,162,N,It snowed a little.,,,"French Phase 3, Units 1-30 (2005)",19
30,FR,978-1-4423-5033-5,French 3,2,0:14:35,0:14:36,05R,163,M,Il a un peu neigé.,5,S,"French Phase 3, Units 1-30 (2005)",19
31,FR,978-1-4423-5033-5,French 3,2,0:16:52,0:16:53,06Q,185,N,"Last week, it snowed a little.",,,"French Phase 3, Units 1-30 (2005)","17,19"
32,FR,978-1-4423-5033-5,French 3,2,0:16:59,0:17:01,06R,186,M,"La semaine dernière, il a un peu neigé.",8,S,"French Phase 3, Units 1-30 (2005)","17,19"
33,FR,978-1-4423-5033-5,French 3,2,0:18:44,0:18:46,07Q,203,N,Is it very hot in the summer?,,,"French Phase 3, Units 1-30 (2005)","17,18,19"
34,FR,978-1-4423-5033-5,French 3,2,0:18:50,0:18:51,07R,204,F,Est-ce qu’il fait très chaud en été?,7,Q,"French Phase 3, Units 1-30 (2005)","17,18,19"
35,FR,978-1-4423-5033-5,French 3,2,0:20:58,0:21:00,08Q,221,N,I would like to go to the United States with my wife.,,,"French Phase 3, Units 1-30 (2005)","5,18"
36,FR,978-1-4423-5033-5,French 3,2,0:21:06,0:21:08,08R,222,M,J’aimerais bien aller aux Etats-Unis avec ma femme.,8,S,"French Phase 3, Units 1-30 (2005)","5,18"
37,FR,978-1-4423-5033-5,French 3,2,0:23:41,0:23:42,09Q,247,N,Here are a few photos of my family.,,,"French Phase 3, Units 1-30 (2005)","5,9,12"
38,FR,978-1-4423-5033-5,French 3,2,0:23:48,0:23:49,09R,248,F,Voilà quelques photos de ma famille.,6,S,"French Phase 3, Units 1-30 (2005)","5,9,12"
39,FR,978-1-4423-5033-5,French 3,2,0:25:08,0:25:10,10Q,260,N,He’s taking some French classes.,,,"French Phase 3, Units 1-30 (2005)","1,9"
40,FR,978-1-4423-5033-5,French 3,2,0:25:16,0:25:18,10R,262,F,Il prend des cours de français.,6,S,"French Phase 3, Units 1-30 (2005)","1,9"
41,FR,978-1-4423-5033-5,French 3,3,0:01:55,0:01:57,01Q,35,N,Take the bus and not the subway.,,,"French Phase 3, Units 1-30 (2005)","4,18"
42,FR,978-1-4423-5033-5,French 3,3,0:02:02,0:02:04,01R,36,M,Prenez le bus et pas le métro.,7,S,"French Phase 3, Units 1-30 (2005)","4,18"
43,FR,978-1-4423-5033-5,French 3,3,0:03:41,0:03:43,02Q,52,N,I would like to show you the photos.,,,"French Phase 3, Units 1-30 (2005)",9
44,FR,978-1-4423-5033-5,French 3,3,0:03:46,0:03:48,02R,53,F,J’aimerais bien vous montrer les photos.,6,S,"French Phase 3, Units 1-30 (2005)",9
45,FR,978-1-4423-5033-5,French 3,3,0:04:03,0:04:04,03Q,55,N,I would like to show them to you.,,,"French Phase 3, Units 1-30 (2005)",9
46,FR,978-1-4423-5033-5,French 3,3,0:04:07,0:04:09,03R,57,F,J’aimerais bien vous les montrer.,5,S,"French Phase 3, Units 1-30 (2005)",9
47,FR,978-1-4423-5033-5,French 3,3,0:04:37,0:04:38,04Q,61,N,Here they are.,,,"French Phase 3, Units 1-30 (2005)",7
48,FR,978-1-4423-5033-5,French 3,3,0:04:41,0:04:41,04R,62,F,Les voilà.,2,S,"French Phase 3, Units 1-30 (2005)",7
49,FR,978-1-4423-5033-5,French 3,3,0:06:24,0:06:25,05Q,78,N,Did it rain?,,,"French Phase 3, Units 1-30 (2005)",19
50,FR,978-1-4423-5033-5,French 3,3,0:06:28,0:06:29,05R,79,M,Est-ce qu’il a plu?,4,Q,"French Phase 3, Units 1-30 (2005)",19
51,FR,978-1-4423-5033-5,French 3,3,0:11:25,0:11:27,06Q,129,N,It almost never snows over there.,,,"French Phase 3, Units 1-30 (2005)","4,19"
52,FR,978-1-4423-5033-5,French 3,3,0:11:32,0:11:34,06R,130,F,Il ne neige presque jamais là-bas.,6,S,"French Phase 3, Units 1-30 (2005)","4,19"
53,FR,978-1-4423-5033-5,French 3,3,0:12:04,0:12:05,07Q,134,N,Next month.,,,"French Phase 3, Units 1-30 (2005)",17
54,FR,978-1-4423-5033-5,French 3,3,0:12:10,0:12:11,07R,135,M,Le mois prochain.,3,S,"French Phase 3, Units 1-30 (2005)",17
55,FR,978-1-4423-5033-5,French 3,3,0:19:30,0:19:31,08Q,202,N,"Show them to me, please.",,,"French Phase 3, Units 1-30 (2005)",7
56,FR,978-1-4423-5033-5,French 3,3,0:19:36,0:19:37,08R,204,M,"Montrez-les moi, s’il vous plaît.",5,S,"French Phase 3, Units 1-30 (2005)",7
57,FR,978-1-4423-5033-5,French 3,3,0:22:40,0:22:41,09Q,237,N,Where did you grow up?,,,"French Phase 3, Units 1-30 (2005)",7
58,FR,978-1-4423-5033-5,French 3,3,0:22:46,0:22:47,09R,238,F,Où est-ce que vous avez grandi?,6,Q,"French Phase 3, Units 1-30 (2005)",7
59,FR,978-1-4423-5033-5,French 3,3,0:24:46,0:24:48,10Q,256,N,"Last week, it rained a lot too.",,,"French Phase 3, Units 1-30 (2005)","12,17,19"
60,FR,978-1-4423-5033-5,French 3,3,0:24:54,0:24:56,10R,257,F,"La semaine dernière, il a beaucoup plu aussi.",8,S,"French Phase 3, Units 1-30 (2005)","12,17,19"
61,FR,978-1-4423-5033-5,French 3,4,0:04:22,0:04:24,01Q,52,N,How’s the weather in Boston in the winter?,,,"French Phase 3, Units 1-30 (2005)","17,18,19"
62,FR,978-1-4423-5033-5,French 3,4,0:04:29,0:04:31,01R,53,F,Quel temps fait-il à Boston en hiver?,7,Q,"French Phase 3, Units 1-30 (2005)","17,18,19"
63,FR,978-1-4423-5033-5,French 3,4,0:06:40,0:06:41,02Q,75,N,It rains a lot.,,,"French Phase 3, Units 1-30 (2005)","12,19"
64,FR,978-1-4423-5033-5,French 3,4,0:06:44,0:06:45,02R,76,F,Il pleut beaucoup.,3,S,"French Phase 3, Units 1-30 (2005)","12,19"
65,FR,978-1-4423-5033-5,French 3,4,0:07:43,0:07:45,03Q,85,N,It often rains in the winter.,,,"French Phase 3, Units 1-30 (2005)","17,19"
66,FR,978-1-4423-5033-5,French 3,4,0:07:50,0:07:52,03R,86,F,Il pleut souvent en hiver.,5,S,"French Phase 3, Units 1-30 (2005)","17,19"
67,FR,978-1-4423-5033-5,French 3,4,0:11:23,0:11:24,04Q,122,N,I’m a branch manager.,,,"French Phase 3, Units 1-30 (2005)",20
68,FR,978-1-4423-5033-5,French 3,4,0:11:28,0:11:30,04R,123,M,Je suis directeur d’agence.,4,S,"French Phase 3, Units 1-30 (2005)",20
69,FR,978-1-4423-5033-5,French 3,4,0:12:17,0:12:18,05Q,130,N,What does she teach?,,,"French Phase 3, Units 1-30 (2005)","7,20"
70,FR,978-1-4423-5033-5,French 3,4,0:12:20,0:12:22,05R,131,F,Qu’est-ce qu’elle enseigne?,3,Q,"French Phase 3, Units 1-30 (2005)","7,20"
71,FR,978-1-4423-5033-5,French 3,4,0:12:54,0:12:56,06Q,136,N,She gives some French classes.,,,"French Phase 3, Units 1-30 (2005)","1,9"
72,FR,978-1-4423-5033-5,French 3,4,0:13:03,0:13:05,06R,138,M,Elle donne des cours de français.,6,S,"French Phase 3, Units 1-30 (2005)","1,9"
73,FR,978-1-4423-5033-5,French 3,4,0:21:12,0:21:13,07Q,218,N,"I have a brother, too.",,,"French Phase 3, Units 1-30 (2005)",5
74,FR,978-1-4423-5033-5,French 3,4,0:21:16,0:21:18,07R,219,F,"J’ai un frère, aussi.",4,S,"French Phase 3, Units 1-30 (2005)",5
75,FR,978-1-4423-5033-5,French 3,4,0:24:03,0:24:04,08Q,248,N,I have some photos of my brother ---,,,"French Phase 3, Units 1-30 (2005)",5
76,FR,978-1-4423-5033-5,French 3,4,0:24:08,0:24:10,08R,249,F,J’ai des photos de mon frère ---,6,S,"French Phase 3, Units 1-30 (2005)",5
77,FR,978-1-4423-5033-5,French 3,4,0:28:48,0:28:50,09Q,297,N,Her sister isn’t married yet.,,,"French Phase 3, Units 1-30 (2005)",5
78,FR,978-1-4423-5033-5,French 3,4,0:28:54,0:28:56,09R,298,M,Sa soeur n’est pas encore mariée.,6,S,"French Phase 3, Units 1-30 (2005)",5
79,FR,978-1-4423-5033-5,French 3,4,0:26:33,0:26:35,10Q,273,N,Do you have any photos of your family?,,,"French Phase 3, Units 1-30 (2005)",5
80,FR,978-1-4423-5033-5,French 3,4,0:26:39,0:26:41,10R,275,F,Est-ce que vous avez des photos de votre famille?,9,Q,"French Phase 3, Units 1-30 (2005)",5
81,FR,978-1-4423-5033-5,French 3,5,0:03:33,0:03:35,01Q,43,N,My sister still lives over there.,,,"French Phase 3, Units 1-30 (2005)","4,5"
82,FR,978-1-4423-5033-5,French 3,5,0:03:40,0:03:42,01R,44,F,Ma soeur habite encore là-bas.,5,S,"French Phase 3, Units 1-30 (2005)","4,5"
83,FR,978-1-4423-5033-5,French 3,5,0:05:43,0:05:44,02Q,62,N,It’s very cold over there in the winter.,,,"French Phase 3, Units 1-30 (2005)","4,19"
84,FR,978-1-4423-5033-5,French 3,5,0:05:48,0:05:51,02R,63,F,Il fait très froid là-bas en hiver.,7,S,"French Phase 3, Units 1-30 (2005)","4,19"
85,FR,978-1-4423-5033-5,French 3,5,0:11:26,0:11:28,03Q,119,N,He works for a French company.,,,"French Phase 3, Units 1-30 (2005)",20
86,FR,978-1-4423-5033-5,French 3,5,0:11:32,0:11:34,03R,120,M,Il travaille pour une entreprise française.,6,S,"French Phase 3, Units 1-30 (2005)",20
87,FR,978-1-4423-5033-5,French 3,5,0:15:12,0:15:14,04Q,158,N,Where did you learn French?,,,"French Phase 3, Units 1-30 (2005)","9,15"
88,FR,978-1-4423-5033-5,French 3,5,0:15:18,0:15:20,04R,159,F,Où est-ce que vous avez appris le français?,8,Q,"French Phase 3, Units 1-30 (2005)","9,15"
89,FR,978-1-4423-5033-5,French 3,5,0:18:16,0:18:17,05Q,187,N,It isn’t easy.,,,"French Phase 3, Units 1-30 (2005)",7
90,FR,978-1-4423-5033-5,French 3,5,0:18:20,0:18:22,05R,188,M,Ce n’est pas facile.,4,S,"French Phase 3, Units 1-30 (2005)",7
91,FR,978-1-4423-5033-5,French 3,5,0:19:05,0:19:07,06Q,195,N,"French, it’s difficult.",,,"French Phase 3, Units 1-30 (2005)","9,15"
92,FR,978-1-4423-5033-5,French 3,5,0:19:10,0:19:12,06R,196,M,"Le français, c’est difficile.",4,S,"French Phase 3, Units 1-30 (2005)","9,15"
93,FR,978-1-4423-5033-5,French 3,5,0:20:59,0:21:02,07Q,211,N,"French, it isn’t as difficult as English.",,,"French Phase 3, Units 1-30 (2005)","9,15"
94,FR,978-1-4423-5033-5,French 3,5,0:21:06,0:21:10,07R,212,F,"Le français, ce n’est pas aussi difficile que l’anglais.",9,S,"French Phase 3, Units 1-30 (2005)","9,15"
95,FR,978-1-4423-5033-5,French 3,5,0:21:23,0:21:25,08Q,215,N,"I think that English, it isn’t easy.",,,"French Phase 3, Units 1-30 (2005)","9,15"
96,FR,978-1-4423-5033-5,French 3,5,0:21:29,0:21:32,08R,216,M,"Je crois que l’anglais, ce n’est pas facile.",8,S,"French Phase 3, Units 1-30 (2005)","9,15"
97,FR,978-1-4423-5033-5,French 3,5,0:23:28,0:23:29,09Q,235,N,Last winter.,,,"French Phase 3, Units 1-30 (2005)","7,17"
98,FR,978-1-4423-5033-5,French 3,5,0:23:34,0:23:35,09R,236,F,L’hiver dernier.,2,S,"French Phase 3, Units 1-30 (2005)","7,17"
99,FR,978-1-4423-5033-5,French 3,5,0:27:32,0:27:34,10Q,276,N,My husband works for an American company.,,,"French Phase 3, Units 1-30 (2005)","5,20"
100,FR,978-1-4423-5033-5,French 3,5,0:27:40,0:27:43,10R,277,F,Mon mari travaille pour une entreprise américaine.,7,S,"French Phase 3, Units 1-30 (2005)","5,20"
101,FR,978-1-4423-5033-5,French 3,6,0:03:17,0:03:18,01Q,43,N,I tried to learn.,,,"French Phase 3, Units 1-30 (2005)","1,7"
102,FR,978-1-4423-5033-5,French 3,6,0:03:21,0:03:23,01R,44,F,J’ai essayé d’apprendre.,3,S,"French Phase 3, Units 1-30 (2005)","1,7"
103,FR,978-1-4423-5033-5,French 3,6,0:07:35,0:07:38,02Q,81,N,She tried to learn French with her husband.,,,"French Phase 3, Units 1-30 (2005)","1,5,15"
104,FR,978-1-4423-5033-5,French 3,6,0:07:42,0:07:45,02R,82,M,Elle a essayé d’apprendre le français avec son mari.,9,S,"French Phase 3, Units 1-30 (2005)","1,5,15"
105,FR,978-1-4423-5033-5,French 3,6,0:08:24,0:08:25,03Q,88,N,She took some classes.,,,"French Phase 3, Units 1-30 (2005)","9,20"
106,FR,978-1-4423-5033-5,French 3,6,0:08:29,0:08:30,03R,89,M,Elle a pris des cours.,5,S,"French Phase 3, Units 1-30 (2005)","9,20"
107,FR,978-1-4423-5033-5,French 3,6,0:11:39,0:11:40,04Q,117,N,I learned a lot.,,,"French Phase 3, Units 1-30 (2005)",7
108,FR,978-1-4423-5033-5,French 3,6,0:11:45,0:11:46,04R,118,M,J’ai beaucoup appris.,3,S,"French Phase 3, Units 1-30 (2005)",7
109,FR,978-1-4423-5033-5,French 3,6,0:15:30,0:15:30,05Q,153,N,Here’s the menu.,,,"French Phase 3, Units 1-30 (2005)","6,7"
110,FR,978-1-4423-5033-5,French 3,6,0:15:34,0:15:35,05R,154,M,Voilà la carte.,3,S,"French Phase 3, Units 1-30 (2005)","6,7"
111,FR,978-1-4423-5033-5,French 3,6,0:18:25,0:18:26,06Q,179,N,Have you chosen?,,,"French Phase 3, Units 1-30 (2005)",7
112,FR,978-1-4423-5033-5,French 3,6,0:18:29,0:18:30,06R,180,M,Est-ce que vous avez choisi?,5,Q,"French Phase 3, Units 1-30 (2005)",7
113,FR,978-1-4423-5033-5,French 3,6,0:18:51,0:18:53,07Q,183,N,How about ordering a bottle of white wine?,,,"French Phase 3, Units 1-30 (2005)",6
114,FR,978-1-4423-5033-5,French 3,6,0:18:57,0:18:59,07R,185,M,Si on commandait une bouteille de vin blanc?,8,Q,"French Phase 3, Units 1-30 (2005)",6
115,FR,978-1-4423-5033-5,French 3,6,0:19:05,0:19:06,08Q,186,N,What do you recommend?,,,"French Phase 3, Units 1-30 (2005)",7
116,FR,978-1-4423-5033-5,French 3,6,0:19:09,0:19:11,08R,188,M,Qu’est-ce que vous recommandez?,4,Q,"French Phase 3, Units 1-30 (2005)",7
117,FR,978-1-4423-5033-5,French 3,6,0:20:02,0:20:04,09Q,196,N,Do you recommend this one?,,,"French Phase 3, Units 1-30 (2005)",7
118,FR,978-1-4423-5033-5,French 3,6,0:20:07,0:20:09,09R,197,M,Est-ce que vous recommandez celui-ci?,5,Q,"French Phase 3, Units 1-30 (2005)",7
119,FR,978-1-4423-5033-5,French 3,6,0:28:54,0:28:55,10Q,287,N,This one is very good.,,,"French Phase 3, Units 1-30 (2005)",7
120,FR,978-1-4423-5033-5,French 3,6,0:28:59,0:29:00,10R,288,F,Celui-ci est très bon.,4,S,"French Phase 3, Units 1-30 (2005)",7
121,FR,978-1-4423-5033-5,French 3,6,0:29:26,0:29:27,11Q,291,N,A bottle of this one.,,,"French Phase 3, Units 1-30 (2005)","6,14"
122,FR,978-1-4423-5033-5,French 3,6,0:29:31,0:29:32,11R,292,M,Une bouteille de celui-ci.,4,S,"French Phase 3, Units 1-30 (2005)","6,14"
123,FR,978-1-4423-5033-5,French 3,7,0:01:24,0:01:26,01Q,26,N,Here’s the menu and the wine list.,,,"French Phase 3, Units 1-30 (2005)","6,7"
124,FR,978-1-4423-5033-5,French 3,7,0:01:30,0:01:32,01R,27,F,Voilà la carte et la carte des vins.,8,S,"French Phase 3, Units 1-30 (2005)","6,7"
125,FR,978-1-4423-5033-5,French 3,7,0:03:02,0:03:04,02Q,41,N,I prefer that one.,,,"French Phase 3, Units 1-30 (2005)","6,14"
126,FR,978-1-4423-5033-5,French 3,7,0:03:07,0:03:08,02R,42,F,Je préfère celui-là.,3,S,"French Phase 3, Units 1-30 (2005)","6,14"
127,FR,978-1-4423-5033-5,French 3,7,0:03:38,0:03:39,03Q,47,N,How about ordering that one?,,,"French Phase 3, Units 1-30 (2005)","6,12"
128,FR,978-1-4423-5033-5,French 3,7,0:03:43,0:03:44,03R,48,F,Si on commandait celui-là?,4,Q,"French Phase 3, Units 1-30 (2005)","6,12"
129,FR,978-1-4423-5033-5,French 3,7,0:05:44,0:05:46,04Q,68,N,A half bottle of that one.,,,"French Phase 3, Units 1-30 (2005)",6
130,FR,978-1-4423-5033-5,French 3,7,0:05:50,0:05:51,04R,69,F,Une demi-bouteille de celui-là.,4,S,"French Phase 3, Units 1-30 (2005)",6
131,FR,978-1-4423-5033-5,French 3,7,0:08:00,0:08:01,05Q,90,N,I really tried to learn it.,,,"French Phase 3, Units 1-30 (2005)","1,7"
132,FR,978-1-4423-5033-5,French 3,7,0:08:05,0:08:07,05R,91,F,J’ai vraiment essayé de l’apprendre.,5,S,"French Phase 3, Units 1-30 (2005)","1,7"
133,FR,978-1-4423-5033-5,French 3,7,0:11:36,0:11:37,06Q,126,N,Ask for the check.,,,"French Phase 3, Units 1-30 (2005)","6,7"
134,FR,978-1-4423-5033-5,French 3,7,0:11:41,0:11:42,06R,127,M,"L’addition, s’il vous plaît.",4,S,"French Phase 3, Units 1-30 (2005)","6,7"
135,FR,978-1-4423-5033-5,French 3,7,0:12:45,0:12:46,07Q,139,N,Have you seen my papers?,,,"French Phase 3, Units 1-30 (2005)","9,20"
136,FR,978-1-4423-5033-5,French 3,7,0:12:50,0:12:51,07R,140,M,Est-ce que vous avez vu mes papiers?,7,Q,"French Phase 3, Units 1-30 (2005)","9,20"
137,FR,978-1-4423-5033-5,French 3,7,0:15:20,0:15:21,08Q,164,N,They were under a book.,,,"French Phase 3, Units 1-30 (2005)","4,9"
138,FR,978-1-4423-5033-5,French 3,7,0:15:24,0:15:26,08R,165,F,Ils étaient sous un livre.,5,S,"French Phase 3, Units 1-30 (2005)","4,9"
139,FR,978-1-4423-5033-5,French 3,7,0:17:33,0:17:35,09Q,186,N,They were on the table in my office.,,,"French Phase 3, Units 1-30 (2005)","4,9,20"
140,FR,978-1-4423-5033-5,French 3,7,0:17:39,0:17:42,09R,187,F,Ils étaient sur la table dans mon bureau.,8,S,"French Phase 3, Units 1-30 (2005)","4,9,20"
141,FR,978-1-4423-5033-5,French 3,7,0:23:13,0:23:14,10Q,235,N,It’s next to your papers.,,,"French Phase 3, Units 1-30 (2005)","4,9,20"
142,FR,978-1-4423-5033-5,French 3,7,0:23:18,0:23:19,10R,236,F,Il est à côté de vos papiers.,7,S,"French Phase 3, Units 1-30 (2005)","4,9,20"
143,FR,978-1-4423-5033-5,French 3,8,0:02:49,0:02:51,01Q,39,N,We’re going to have a half bottle of red wine.,,,"French Phase 3, Units 1-30 (2005)",6
144,FR,978-1-4423-5033-5,French 3,8,0:02:56,0:02:59,01R,40,M,Nous allons prendre une demi-bouteille de vin rouge.,8,S,"French Phase 3, Units 1-30 (2005)",6
145,FR,978-1-4423-5033-5,French 3,8,0:05:30,0:05:31,02Q,64,N,Have you seen my pen?,,,"French Phase 3, Units 1-30 (2005)","9,20"
146,FR,978-1-4423-5033-5,French 3,8,0:05:35,0:05:36,02R,66,F,Est-ce que vous avez vu mon stylo?,7,Q,"French Phase 3, Units 1-30 (2005)","9,20"
147,FR,978-1-4423-5033-5,French 3,8,0:06:57,0:06:59,03Q,79,N,My pen was next to my papers.,,,"French Phase 3, Units 1-30 (2005)","4,9,20"
148,FR,978-1-4423-5033-5,French 3,8,0:07:03,0:07:05,03R,80,F,Mon stylo était à côté de mes papiers.,8,S,"French Phase 3, Units 1-30 (2005)","4,9,20"
149,FR,978-1-4423-5033-5,French 3,8,0:07:52,0:07:53,04Q,89,N,Two minutes ago.,,,"French Phase 3, Units 1-30 (2005)","12,17"
150,FR,978-1-4423-5033-5,French 3,8,0:07:56,0:07:57,04R,90,F,Il y a deux minutes.,5,S,"French Phase 3, Units 1-30 (2005)","12,17"
151,FR,978-1-4423-5033-5,French 3,8,0:09:33,0:09:35,05Q,104,N,These papers were on this table.,,,"French Phase 3, Units 1-30 (2005)","4,9,20"
152,FR,978-1-4423-5033-5,French 3,8,0:09:39,0:09:41,05R,105,F,Ces papiers étaient sur cette table.,6,S,"French Phase 3, Units 1-30 (2005)","4,9,20"
153,FR,978-1-4423-5033-5,French 3,8,0:12:28,0:12:30,06Q,129,N,I want to talk to you about the vacation.,,,"French Phase 3, Units 1-30 (2005)",18
154,FR,978-1-4423-5033-5,French 3,8,0:12:33,0:12:35,06R,130,M,Je veux te parler des vacances.,6,S,"French Phase 3, Units 1-30 (2005)",18
155,FR,978-1-4423-5033-5,French 3,8,0:12:45,0:12:46,07Q,131,N,Did you make the hotel reservations?,,,"French Phase 3, Units 1-30 (2005)","16,18"
156,FR,978-1-4423-5033-5,French 3,8,0:12:50,0:12:52,07R,132,F,Est-ce que tu as fait les réservations pour l’hôtel?,9,Q,"French Phase 3, Units 1-30 (2005)","16,18"
157,FR,978-1-4423-5033-5,French 3,8,0:13:57,0:13:59,08Q,142,N,We have to make them soon.,,,"French Phase 3, Units 1-30 (2005)","9,17"
158,FR,978-1-4423-5033-5,French 3,8,0:14:02,0:14:03,08R,143,F,Il faut les faire bientôt.,5,S,"French Phase 3, Units 1-30 (2005)","9,17"
159,FR,978-1-4423-5033-5,French 3,8,0:18:29,0:18:29,09Q,184,N,Do you remember?,,,"French Phase 3, Units 1-30 (2005)",7
160,FR,978-1-4423-5033-5,French 3,8,0:18:33,0:18:34,09R,185,F,Est-ce que tu te souviens?,5,Q,"French Phase 3, Units 1-30 (2005)",7
161,FR,978-1-4423-5033-5,French 3,8,0:21:08,0:21:09,10Q,209,N,I remember this trip.,,,"French Phase 3, Units 1-30 (2005)",18
162,FR,978-1-4423-5033-5,French 3,8,0:21:13,0:21:15,10R,210,M,Je me souviens de ce voyage.,6,S,"French Phase 3, Units 1-30 (2005)",18
163,FR,978-1-4423-5033-5,French 3,8,0:26:52,0:26:54,11Q,262,N,It’s necessary to talk about today’s meeting.,,,"French Phase 3, Units 1-30 (2005)","17,20"
164,FR,978-1-4423-5033-5,French 3,8,0:26:58,0:27:01,11R,263,M,Il faut parler de la réunion d’aujourd’hui.,7,S,"French Phase 3, Units 1-30 (2005)","17,20"
165,FR,978-1-4423-5033-5,French 3,9,0:03:09,0:03:10,01Q,45,N,I just went.,,,"French Phase 3, Units 1-30 (2005)","7,18"
166,FR,978-1-4423-5033-5,French 3,9,0:03:13,0:03:14,01R,46,F,Je viens d’aller.,3,S,"French Phase 3, Units 1-30 (2005)","7,18"
167,FR,978-1-4423-5033-5,French 3,9,0:06:21,0:06:23,02Q,79,N,The hotel was near a good restaurant.,,,"French Phase 3, Units 1-30 (2005)","5,18"
