Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Qz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
77,77,RU,9781508236009,Russian 4,2,,,U02-02,02Q_C,N,It’s a good trip.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0077.mp3,"7,9,18"
78,78,RU,9781508236009,Russian 4,2,,,U02-02,02R_C,F,Это хорошая поездка.,Èto horoshaia poezdka.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0078.mp3,"7,9,18"
79,79,RU,9781508236009,Russian 4,2,,,U02-02,02Q_D,N,It’s a good idea.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0079.mp3,"7,9,16"
80,80,RU,9781508236009,Russian 4,2,,,U02-02,02R_D,F,Это хорошая идeя.,Èto horoshaia ideia.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0080.mp3,"7,9,16"
81,81,RU,9781508236009,Russian 4,2,,,U02-03,03Q_A,N,What’s the best way to get to downtown?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0081.mp3,"4,7,9"
82,82,RU,9781508236009,Russian 4,2,,,U02-03,03R_A,M,Kак лучше добраться до центра?,Kak luchshe dobrat’sia do tsentra?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0082.mp3,"4,7,9"
83,83,RU,9781508236009,Russian 4,2,,,U02-03,03Q_B,N,What’s the best way to be driving downtown?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0083.mp3,"4,7,9"
84,84,RU,9781508236009,Russian 4,2,,,U02-03,03R_B,M,Kак лучше ехать в центр?,Kak luchshe ehat’ v tsentr?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0084.mp3,"4,7,9"
85,85,RU,9781508236009,Russian 4,2,,,U02-03,03Q_C,N,What’s the best way to reach the city?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0085.mp3,"4,7,9"
86,86,RU,9781508236009,Russian 4,2,,,U02-03,03R_C,F,Kак лучше пpоехать в город?,Kak luchshe proehat’ v gorod?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0086.mp3,"4,7,9"
87,87,RU,9781508236009,Russian 4,2,,,U02-03,03Q_D,N,Along which road is it possible to be driving downtown?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0087.mp3,"4,7,9"
88,88,RU,9781508236009,Russian 4,2,,,U02-03,03R_D,F,По какой доpогe можно поехать в центр?,Po kakoj doroge mozhno poehat’ v tsentr?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0088.mp3,"4,7,9"
89,89,RU,9781508236009,Russian 4,2,,,U02-04,04Q_A,N,I love fireworks.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0089.mp3,"1,7,9"
90,90,RU,9781508236009,Russian 4,2,,,U02-04,04R_A,F,Я люблю салют .,Ia liubliu saliot.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0090.mp3,"1,7,9"
91,91,RU,9781508236009,Russian 4,2,,,U02-04,04Q_B,N,I love salad.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0091.mp3,"6,7,9"
92,92,RU,9781508236009,Russian 4,2,,,U02-04,04R_B,M,Я люблю салат.,Ia liubliu salat.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0092.mp3,"6,7,9"
93,93,RU,9781508236009,Russian 4,2,,,U02-04,04Q_C,N,I love the airplane.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0093.mp3,"7,9,18"
94,94,RU,9781508236009,Russian 4,2,,,U02-04,04R_C,M,Я люблю самолет.,Ia liubliu samoliot.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0094.mp3,"7,9,18"
95,95,RU,9781508236009,Russian 4,2,,,U02-04,04Q_D,N,I love sugar.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0095.mp3,"6,9"
96,96,RU,9781508236009,Russian 4,2,,,U02-04,04R_D,M,Я люблю сахар.,Ia liubliu sahar.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0096.mp3,"6,9"
97,97,RU,9781508236009,Russian 4,2,,,U02-05,05Q_A,N,We also would like to watch how the parade takes place.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0097.mp3,"1,9"
98,98,RU,9781508236009,Russian 4,2,,,U02-05,05R_A,F,Мы тоже хотели бы посмотреть как проходит парад.,My tozhe hoteli by posmotret’ kak prohodit parad.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0098.mp3,"1,9"
99,99,RU,9781508236009,Russian 4,2,,,U02-05,05Q_B,N,We also want to find out where the parade takes place.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0099.mp3,"1,9"
100,100,RU,9781508236009,Russian 4,2,,,U02-05,05R_B,F,Мы тоже хотим узнать где проходит парад.,My tozhe hotim uznat’ gde prohodit parad.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0100.mp3,"1,9"
101,101,RU,9781508236009,Russian 4,2,,,U02-05,05Q_C,N,We also would like to watch the parade.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0101.mp3,"1,9"
102,102,RU,9781508236009,Russian 4,2,,,U02-05,05R_C,M,Мы тоже хотели бы посмотреть парад.,My tozhe hoteli by posmotret’ parad.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0102.mp3,"1,9"
103,103,RU,9781508236009,Russian 4,2,,,U02-05,05Q_D,N,We also would like to watch where the parade is going.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0103.mp3,"1,4,9"
104,104,RU,9781508236009,Russian 4,2,,,U02-05,05R_D,M,Мы тоже хотели бы посмотреть куда идёт парад.,My tozhe hoteli by posmotret’ kuda idiot parad.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0104.mp3,"1,4,9"
105,105,RU,9781508236009,Russian 4,2,,,U02-06,06Q_A,N,Be careful.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0105.mp3,"7,16"
106,106,RU,9781508236009,Russian 4,2,,,U02-06,06R_A,M,Будьте осторожны.,Bud’te ostorozhny.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0106.mp3,"7,16"
107,107,RU,9781508236009,Russian 4,2,,,U02-06,06Q_B,N,All the rest.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0107.mp3,"7,9"
108,108,RU,9781508236009,Russian 4,2,,,U02-06,06R_B,F,Все остальные.,Vse ostal’nye.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0108.mp3,"7,9"
109,109,RU,9781508236009,Russian 4,2,,,U02-06,06Q_C,N,You will be careful.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0109.mp3,7
110,110,RU,9781508236009,Russian 4,2,,,U02-06,06R_C,F,Вы будете осторожны.,Vy budete ostorozhny.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0110.mp3,7
111,111,RU,9781508236009,Russian 4,2,,,U02-06,06Q_D,N,Be ready.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0111.mp3,"7,16"
112,112,RU,9781508236009,Russian 4,2,,,U02-06,06R_D,M,Будьте готовы.,Bud’te gotovy.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0112.mp3,"7,16"
113,113,RU,9781508236009,Russian 4,2,,,U02-07,07Q_A,N,There will be a lot of people in the streets.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0113.mp3,9
114,114,RU,9781508236009,Russian 4,2,,,U02-07,07R_A,M,На улицах будет много людей.,Na ulitsah budet mnogo liudei.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0114.mp3,9
115,115,RU,9781508236009,Russian 4,2,,,U02-07,07Q_B,N,There are many people in the street.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0115.mp3,9
116,116,RU,9781508236009,Russian 4,2,,,U02-07,07R_B,M,На улице много людей.,Na ulitse mnogo liudei.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0116.mp3,9
117,117,RU,9781508236009,Russian 4,2,,,U02-07,07Q_C,N,In the square there will be many people.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0117.mp3,9
118,118,RU,9781508236009,Russian 4,2,,,U02-07,07R_C,F,На площади будет много людей.,Na ploshchadi budet mnogo liudei.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0118.mp3,9
119,119,RU,9781508236009,Russian 4,2,,,U02-07,07Q_D,N,There will be several people in the street.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0119.mp3,9
120,120,RU,9781508236009,Russian 4,2,,,U02-07,07R_D,F,На улице будет несколько человек.,Na ulitse budet neskol’ko chelovek.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0120.mp3,9
121,121,RU,9781508236009,Russian 4,2,,,U02-08,08Q_A,N,What plans do you have for today?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0121.mp3,"1,9,17"
122,122,RU,9781508236009,Russian 4,2,,,U02-08,08R_A,M,Какие у Bас планы на сегодня?,Kakie u Vas plany na segodnia?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0122.mp3,"1,9,17"
123,123,RU,9781508236009,Russian 4,2,,,U02-08,08Q_B,N,What are you doing today?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0123.mp3,"1,9,17"
124,124,RU,9781508236009,Russian 4,2,,,U02-08,08R_B,M,Что Вы делаете сегодня?,Chto Vy delaete segodnia?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0124.mp3,"1,9,17"
125,125,RU,9781508236009,Russian 4,2,,,U02-08,08Q_C,N,What plans do you have now?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0125.mp3,"1,9,17"
126,126,RU,9781508236009,Russian 4,2,,,U02-08,08R_C,F,Какие у Bас планы сейчас?,Kakie u Vas plany sejchas?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0126.mp3,"1,9,17"
127,127,RU,9781508236009,Russian 4,2,,,U02-08,08Q_D,N,Do you have plans for today?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0127.mp3,"1,7,9,17"
128,128,RU,9781508236009,Russian 4,2,,,U02-08,08R_D,F,У Вас есть планы на сегодня?,U Vas est’ plany na segodnia?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0128.mp3,"1,7,9,17"
129,129,RU,9781508236009,Russian 4,3,,,U03-01,01Q_A,N,Be careful in the streets.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0129.mp3,"7,16"
130,130,RU,9781508236009,Russian 4,3,,,U03-01,01R_A,F,Будьте осторожны на улицах.,Bud’te ostorozhny na ulitsah.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0130.mp3,"7,16"
131,131,RU,9781508236009,Russian 4,3,,,U03-01,01Q_B,N,The post office is on this street.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0131.mp3,"4,9"
