Control#,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,Start,Stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
14,14,RU,9781442312463,Russian 1,1,,,07R,,M,Вы понимаете по-английски?,Vy ponimayete po-angliyski?,3,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_14.mp3,"10,15,16"
15,15,RU,9781442312463,Russian 1,1,,,08Q,,N,I don’t understand English.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_15.mp3,15
16,16,RU,9781442312463,Russian 1,1,,,08R,,F,Я не понимаю по-английски.,Ya ne ponimayu po-angliyski.,4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_16.mp3,15
17,17,RU,9781442312463,Russian 1,1,,,09Q,,N,No.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_17.mp3,"7,13,16"
18,18,RU,9781442312463,Russian 1,1,,,09R,,F,Нет.,Net.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_18.mp3,"7,13,16"
19,19,RU,9781442312463,Russian 1,1,,,10Q,,N,Yes.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_19.mp3,"7,13,16"
20,20,RU,9781442312463,Russian 1,1,,,10R,,M,Да.,Da.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_20.mp3,"7,13,16"
21,21,RU,9781442312463,Russian 1,2,,,01Q,,N,I don’t understand very well.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_21.mp3,"15,16"
22,22,RU,9781442312463,Russian 1,2,,,01R,,M,Я понимаю не очень хорошо.,Ya ponimayu ne ochen’ horosho.,5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_22.mp3,"15,16"
23,23,RU,9781442312463,Russian 1,2,,,02Q,,N,You understand Russian well.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_23.mp3,"10,15"
24,24,RU,9781442312463,Russian 1,2,,,02R,,F,Вы хорошо понимаете по-русски.,Vy horosho ponimayete po-russki.,4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_24.mp3,"10,15"
25,25,RU,9781442312463,Russian 1,2,,,03Q,,N,Thank you.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_25.mp3,"7,13,16"
26,26,RU,9781442312463,Russian 1,2,,,03R,,M,Спасибо.,Spasibo.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_26.mp3,"7,13,16"
27,27,RU,9781442312463,Russian 1,2,,,04Q,,N,Hello.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_27.mp3,"10,16"
28,28,RU,9781442312463,Russian 1,2,,,04R,,M,Здравствуйте.,Zdravstvuyte.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_28.mp3,"10,16"
29,29,RU,9781442312463,Russian 1,2,,,05Q,,N,Good-bye.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_29.mp3,"7,13,16"
30,30,RU,9781442312463,Russian 1,2,,,05R,,M,До свидания.,Do svidaniya.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_30.mp3,"7,13,16"
31,31,RU,9781442312463,Russian 1,2,,,06Q,,N,Not very well.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_31.mp3,7
32,32,RU,9781442312463,Russian 1,2,,,06R,,M,Не очень хорошо.,Ne ochen’ horosho.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_32.mp3,7
33,33,RU,9781442312463,Russian 1,2,,,07Q,,N,I don’t understand.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_33.mp3,"15,16"
34,34,RU,9781442312463,Russian 1,2,,,07R,,M,я не понимаю.,Ya ne ponimayu.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_34.mp3,"15,16"
35,35,RU,9781442312463,Russian 1,2,,,08Q,,N,You understand well!,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_35.mp3,15
36,36,RU,9781442312463,Russian 1,2,,,08R,,F,Вы хорошо понимаете!,Vy horosho ponimayete!,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_36.mp3,15
37,37,RU,9781442312463,Russian 1,3,,,01Q,,N,I am not American. (f.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_37.mp3,"9,16"
38,38,RU,9781442312463,Russian 1,3,,,01R,,F,Я не американка.,Ya ne amerikanka.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_38.mp3,"9,16"
39,39,RU,9781442312463,Russian 1,3,,,02Q,,N,I am not Russian. (f.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_39.mp3,"9,10,16"
40,40,RU,9781442312463,Russian 1,3,,,02R,,F,Я не русская.,Ya ne russkaya.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_40.mp3,"9,10,16"
41,41,RU,9781442312463,Russian 1,3,,,03Q,,N,And you?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_41.mp3,7
42,42,RU,9781442312463,Russian 1,3,,,03R,,F,А вы?,A vy?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_42.mp3,7
43,43,RU,9781442312463,Russian 1,3,,,04Q,,N,But I understand Russian.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_43.mp3,"10,15,16"
44,44,RU,9781442312463,Russian 1,3,,,04R,,M,Но я понимаю по-русски.,No ya ponimayu po-russki.,4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_44.mp3,"10,15,16"
45,45,RU,9781442312463,Russian 1,3,,,05Q,,N,Please.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_45.mp3,"10,13,16"
46,46,RU,9781442312463,Russian 1,3,,,05R,,M,Пожалуйста.,Pozhaluysta.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_46.mp3,"10,13,16"
47,47,RU,9781442312463,Russian 1,3,,,06Q,,N,Are you American? (f),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_47.mp3,"10,16"
48,48,RU,9781442312463,Russian 1,3,,,06R,,M,Вы американка?,Vy amerikanka?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_48.mp3,"10,16"
49,49,RU,9781442312463,Russian 1,3,,,07Q,,N,I am Russian. (m),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_49.mp3,"9,10,16"
50,50,RU,9781442312463,Russian 1,3,,,07R,,M,Я русский.,Ya russkiy.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_50.mp3,"9,10,16"
51,51,RU,9781442312463,Russian 1,3,,,08Q,,N,I am Russian. (f),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_51.mp3,"9,10,16"
52,52,RU,9781442312463,Russian 1,3,,,08R,,F,Я русская.,Ya russkaya.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_52.mp3,"9,10,16"
53,53,RU,9781442312463,Russian 1,3,,,09Q,,N,You’re not American. (m.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_53.mp3,"10,16"
54,54,RU,9781442312463,Russian 1,3,,,09R,,F,Вы не американец.,Vy ne amerikanets.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_54.mp3,"10,16"
55,55,RU,9781442312463,Russian 1,3,,,10Q,,N,You speak Russian well!,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_55.mp3,"10,15"
56,56,RU,9781442312463,Russian 1,3,,,10R,,F,Вы хорошо говорите по-русски!,Vy horosho govorite po-russki!,4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_56.mp3,"10,15"
57,57,RU,9781442312463,Russian 1,3,,,11Q,,N,Are you Russian? (m.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_57.mp3,"10,16"
58,58,RU,9781442312463,Russian 1,3,,,11R,,F,Вы русский?,Vy russkiy?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_58.mp3,"10,16"
59,59,RU,9781442312463,Russian 1,3,,,12Q,,N,Are you Russian? (f.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_59.mp3,"10,16"
60,60,RU,9781442312463,Russian 1,3,,,12R,,M,Вы русская?,Vy russkaya?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_60.mp3,"10,16"
61,61,RU,9781442312463,Russian 1,4,,,01Q,,N,"Tell me, please.",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_61.mp3,"13,16"
62,62,RU,9781442312463,Russian 1,4,,,01R,,M,"Скажите, пожалуйста","Skazhite, pozhaluysta.",2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_62.mp3,"13,16"
63,63,RU,9781442312463,Russian 1,4,,,02Q,,N,Where is the street?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_63.mp3,"4,16"
64,64,RU,9781442312463,Russian 1,4,,,02R,,M,Где улица?,Gde ulitsa?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_64.mp3,"4,16"
65,65,RU,9781442312463,Russian 1,4,,,03Q,,N,I speak English and Russian.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_65.mp3,"10,15,16"
66,66,RU,9781442312463,Russian 1,4,,,03R,,M,Я говорю по-английски и по-русски.,Ya govoryu po-angliyski i po-russki.,5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_66.mp3,"10,15,16"
67,67,RU,9781442312463,Russian 1,4,,,04Q,,N,I don’t speak Russian very well.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_67.mp3,"15,16"
68,68,RU,9781442312463,Russian 1,4,,,04R,,F,Я говорю по-русски не очень хорошо.,Ya govoryu po-russki ne ochen’ horosho.,6,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_68.mp3,"15,16"
69,69,RU,9781442312463,Russian 1,4,,,05Q,,N,Red Square is over there.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_69.mp3,4
70,70,RU,9781442312463,Russian 1,4,,,05R,,M,Красная площадь там.,Krasnaya ploshchad’ tam.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_70.mp3,4
71,71,RU,9781442312463,Russian 1,4,,,06Q,,N,"No, Tverskaya Street is not here.",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_71.mp3,4
72,72,RU,9781442312463,Russian 1,4,,,06R,,F,"Нет, Тверская улица не здесь.","Net, Tverskaya ulitsa ne zdes’.",5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_72.mp3,4
73,73,RU,9781442312463,Russian 1,4,,,07Q,,N,You speak English well.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_73.mp3,15
74,74,RU,9781442312463,Russian 1,4,,,07R,,M,Вы хорошо говорите по-английски.,Vy horosho govorite po-angliyski.,4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_74.mp3,15
75,75,RU,9781442312463,Russian 1,4,,,08Q,,N,"Tell me, please, where is Tverskaya Street?",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_75.mp3,"4,16"
76,76,RU,9781442312463,Russian 1,4,,,08R,,M,"Скажите, пожалуйста, где Тверкая улица?","Skazhite, pozhaluysta, gde Tverskaya ulitsa?",5,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_76.mp3,"4,16"
77,77,RU,9781442312463,Russian 1,4,,,09Q,,N,You don’t understand English?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_77.mp3,"10,15"
78,78,RU,9781442312463,Russian 1,4,,,09R,,M,Вы не понимаете по-английски?,Vy ne ponimayete po-angliyski?,4,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_78.mp3,"10,15"
79,79,RU,9781442312463,Russian 1,4,,,10Q,,N,I speak a little.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_79.mp3,"10,15,16"
80,80,RU,9781442312463,Russian 1,4,,,10R,,F,Я немного говорю.,Ya nemnogo govoryu.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_80.mp3,"10,15,16"
81,81,RU,9781442312463,Russian 1,4,,,11Q,,N,"Yes, it’s here.",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_81.mp3,"4,7"
82,82,RU,9781442312463,Russian 1,4,,,11R,,F,"Да, здесь.","Da, zdes’.",2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_82.mp3,"4,7"
83,83,RU,9781442312463,Russian 1,5,,,01Q,,N,Wouldn’t you like something to drink?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_83.mp3,6
84,84,RU,9781442312463,Russian 1,5,,,01R,,M,Не хотели бы вы что-нибудь выпить?,Ne hoteli by vy shto-nibut’ vypit’?,6,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_84.mp3,6
85,85,RU,9781442312463,Russian 1,5,,,02Q,,N,"Yes, I’d like something to eat. (f)",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_85.mp3,6
86,86,RU,9781442312463,Russian 1,5,,,02R,,F,"Да, я хотелa бы что-нибудь поесть.","Da, ya hotela by shto-nibut’ poyest’.",6,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_86.mp3,6
87,87,RU,9781442312463,Russian 1,5,,,03Q,,N,You would like something to eat.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_87.mp3,6
88,88,RU,9781442312463,Russian 1,5,,,03R,,M,Bы хотели бы что-нибудь поесть.,Vy hoteli by shto-nibut’ poyest’.,5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_88.mp3,6
89,89,RU,9781442312463,Russian 1,5,,,04Q,,N,I’d like something to drink. (f),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_89.mp3,6
90,90,RU,9781442312463,Russian 1,5,,,04R,,F,Я хотелa бы что-нибудь выпить.,Ja hotela by shto-nibut’ vypit’.,5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_90.mp3,6
91,91,RU,9781442312463,Russian 1,5,,,05Q,,N,I don’t want to.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_91.mp3,7
92,92,RU,9781442312463,Russian 1,5,,,05R,,F,Я не хочу.,Ya ne hochu.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_92.mp3,7
93,93,RU,9781442312463,Russian 1,5,,,06Q,,N,Do you know?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_93.mp3,"7,16"
94,94,RU,9781442312463,Russian 1,5,,,06R,,M,Вы знаете?,Vy znayete?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_94.mp3,"7,16"
95,95,RU,9781442312463,Russian 1,5,,,07Q,,N,You know where Pushkin Street is.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_95.mp3,"4,16"
96,96,RU,9781442312463,Russian 1,5,,,07R,,M,"Вы знаете, где Пушкинская улица.","Vy znayete, gde Pushkinskaya ulitsa.",5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_96.mp3,"4,16"
97,97,RU,9781442312463,Russian 1,5,,,08Q,,N,"Excuse me, I don’t know.",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_97.mp3,"10,13,16"
98,98,RU,9781442312463,Russian 1,5,,,08R,,M,"Извините, я не знаю.","Izvinite,ya ne znayu.",4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_98.mp3,"10,13,16"
99,99,RU,9781442312463,Russian 1,5,,,09Q,,N,"No thanks, but I’d like something to eat. (f.)",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_99.mp3,"6,13,16"
100,100,RU,9781442312463,Russian 1,5,,,09R,,F,"Нет, спасибо, но я хотелa бы что-нибудь поесть.","Net, spasibo, no ya hotela by shto-nibut’ poyest’.",8,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_100.mp3,"6,13,16"
101,101,RU,9781442312463,Russian 1,5,,,10Q,,N,"Yes, I know.",,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_101.mp3,7
102,102,RU,9781442312463,Russian 1,5,,,10R,,F,"Да, знаю.","Da, znayu.",2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_102.mp3,7
103,103,RU,9781442312463,Russian 1,6,,,01Q,,N,Where would you like to eat?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_103.mp3,6
104,104,RU,9781442312463,Russian 1,6,,,01R,,M,Где бы вы хотели поесть?,Gde by vy hoteli poyest’?,5,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_104.mp3,6
105,105,RU,9781442312463,Russian 1,6,,,02Q,,N,When would you like something to eat?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_105.mp3,6
106,106,RU,9781442312463,Russian 1,6,,,02R,,F,Когда бы вы хотели что-нибудь поесть?,Kogda by vy hoteli shto-nibut’ poyest’?,6,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_106.mp3,6
107,107,RU,9781442312463,Russian 1,6,,,03Q,,N,I too would like something to drink. (m),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_107.mp3,6
108,108,RU,9781442312463,Russian 1,6,,,03R,,M,Я тоже хотел бы что-нибудь выпить.,Ya tozhe hotel by shto-nibut’ vypit’.,6,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_108.mp3,6
109,109,RU,9781442312463,Russian 1,6,,,04Q,,N,I’d like something to drink now. (f.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_109.mp3,"6,17"
110,110,RU,9781442312463,Russian 1,6,,,04R,,F,Я хотелa бы что-нибудь выпить сейчас.,Ya hotela by shto-nibut’ vypit’ seychas.,6,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_110.mp3,"6,17"
111,111,RU,9781442312463,Russian 1,6,,,05Q,,N,Maybe later.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_111.mp3,17
112,112,RU,9781442312463,Russian 1,6,,,05R,,F,"Может быть, позже.",Mozhet byt’ pozhe.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_112.mp3,17
113,113,RU,9781442312463,Russian 1,6,,,06Q,,N,Not now.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_113.mp3,17
114,114,RU,9781442312463,Russian 1,6,,,06R,,F,Не сейчас.,Ne seychas.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_114.mp3,17
115,115,RU,9781442312463,Russian 1,6,,,07Q,,N,With pleasure.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_115.mp3,"7,13"
116,116,RU,9781442312463,Russian 1,6,,,07R,,F,С удовольствием.,S udovol’stviyem.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_116.mp3,"7,13"
117,117,RU,9781442312463,Russian 1,6,,,08Q,,N,At my place?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_117.mp3,7
118,118,RU,9781442312463,Russian 1,6,,,08R,,M,У меня?,U menya?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_118.mp3,7
119,119,RU,9781442312463,Russian 1,6,,,09Q,,N,Me too.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_119.mp3,7
120,120,RU,9781442312463,Russian 1,6,,,09R,,M,Я тоже.,Ya tozhe.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_120.mp3,7
121,121,RU,9781442312463,Russian 1,6,,,10Q,,N,On Puskin Street.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_121.mp3,4
122,122,RU,9781442312463,Russian 1,6,,,10R,,M,Hа Пушкинской улице.,Na Pushkinskoy ulitse.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_122.mp3,4
123,123,RU,9781442312463,Russian 1,7,,,01Q,,N,Where would you like to have lunch?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_123.mp3,6
124,124,RU,9781442312463,Russian 1,7,,,01R,,M,Где бы вы хотели пообедать?,Gde by vy hoteli poobedat’?,5,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_124.mp3,6
125,125,RU,9781442312463,Russian 1,7,,,02Q,,N,OK.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_125.mp3,7
126,126,RU,9781442312463,Russian 1,7,,,02R,,F,Хоpошо.,Horosho.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_126.mp3,7
127,127,RU,9781442312463,Russian 1,7,,,03Q,,N,I’d like (f.) some wine and some beer.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_127.mp3,6
128,128,RU,9781442312463,Russian 1,7,,,03R,,F,Я xотелa бы винa и пивa.,Ya hotela by vina i piva.,6,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_128.mp3,6
129,129,RU,9781442312463,Russian 1,7,,,04Q,,N,I’d like (m.) to have lunch at the restaurant.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_129.mp3,"5,6"
130,130,RU,9781442312463,Russian 1,7,,,04R,,M,Я хотел бы пообедать в pестоpане.,Ya hotel by poobedat’ v restorane.,6,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_130.mp3,"5,6"
131,131,RU,9781442312463,Russian 1,7,,,05Q,,N,When would you like to have lunch?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_131.mp3,6
132,132,RU,9781442312463,Russian 1,7,,,05R,,M,Когда бы вы хотели пообедать?,Kogda by vy hoteli poobedat’?,5,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_132.mp3,6
133,133,RU,9781442312463,Russian 1,7,,,06Q,,N,Not at your place.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_133.mp3,7
134,134,RU,9781442312463,Russian 1,7,,,06R,,M,Не у вас.,Ne u vas.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_134.mp3,7
135,135,RU,9781442312463,Russian 1,7,,,07Q,,N,Now I want something to eat.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_135.mp3,"6,17"
136,136,RU,9781442312463,Russian 1,7,,,07R,,F,Сейчас я хочу что-нибудь поесть.,Seychas ya hochu shto-nibut’ poyest’.,5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_136.mp3,"6,17"
137,137,RU,9781442312463,Russian 1,7,,,08Q,,N,What would you like?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_137.mp3,7
138,138,RU,9781442312463,Russian 1,7,,,08R,,M,Что бы вы хотели?,Shto by vy hoteli?,4,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_138.mp3,7
139,139,RU,9781442312463,Russian 1,7,,,09Q,,N,Not here.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_139.mp3,7
140,140,RU,9781442312463,Russian 1,7,,,09R,,M,Не здесь.,Ne zdes’.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_140.mp3,7
141,141,RU,9781442312463,Russian 1,7,,,10Q,,N,I too would like some beer. (f.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_141.mp3,6
142,142,RU,9781442312463,Russian 1,7,,,10R,,F,Я тоже xотелa бы пивa.,Ya tozhe hotela by piva.,5,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_142.mp3,6
143,143,RU,9781442312463,Russian 1,8,,,01Q,,N,Do you want to buy something?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_143.mp3,14
144,144,RU,9781442312463,Russian 1,8,,,01R,,M,Bы хотите что-нибудь купить?,Vy hotite shto-nibut’ kupit’?,4,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_144.mp3,14
145,145,RU,9781442312463,Russian 1,8,,,02Q,,N,What would you like to do?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_145.mp3,"1,7"
