Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Quiz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
28,28,RU,9.78151E+12,Russian 5,1,,,U01-03,04R_B,M,__ ______ ______ ______?,Vy liubite hoditÕ peshkom?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0028.mp3,1
29,29,RU,9.78151E+12,Russian 5,1,,,U01-03,04Q_C,N,Do you love to go hiking?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0029.mp3,1
30,30,RU,9.78151E+12,Russian 5,1,,,U01-03,04R_C,F,__ ______ ______ _ ____?,Vy liubite hoditÕ v gory?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0030.mp3,1
31,31,RU,9.78151E+12,Russian 5,1,,,U01-03,04Q_D,N,Do you love to go to the movies?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0031.mp3,1
32,32,RU,9.78151E+12,Russian 5,1,,,U01-03,04R_D,F,__ ______ ______ _ ____?,Vy liubite hoditÕ v kino?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0032.mp3,1
33,33,RU,9.78151E+12,Russian 5,1,,,U01-04,05Q_A,N,I like to stick to the routine.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0033.mp3,7
34,34,RU,9.78151E+12,Russian 5,1,,,U01-04,05R_A,F,___ ________ _________ _____.,Mne nravitsia sobliudatÕ rezhim.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0034.mp3,7
35,35,RU,9.78151E+12,Russian 5,1,,,U01-04,05Q_B,N,I like to cook at home.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0035.mp3,"1,6"
36,36,RU,9.78151E+12,Russian 5,1,,,U01-04,05R_B,F,___ ________ ________ ____.,Mne nravitsia gotovitÕ doma.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0036.mp3,"1,6"
37,37,RU,9.78151E+12,Russian 5,1,,,U01-04,05Q_C,N,I like to work with her.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0037.mp3,"5,20"
38,38,RU,9.78151E+12,Russian 5,1,,,U01-04,05R_C,F,___ ________ ________ _ ___.,Mne nravitsia rabotatÕ s nej.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0038.mp3,"5,20"
39,39,RU,9.78151E+12,Russian 5,1,,,U01-04,05Q_D,N,I like to work early in the morning.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0039.mp3,"17,20"
40,40,RU,9.78151E+12,Russian 5,1,,,U01-04,05R_D,M,___ ________ ________ ____ _____.,Mne nravitsia rabotatÕ rano utrom.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0040.mp3,"17,20"
41,41,RU,9.78151E+12,Russian 5,1,,,U01-05,06Q_A,N,I have no appetite.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0041.mp3,8
42,42,RU,9.78151E+12,Russian 5,1,,,U01-05,06R_A,M,_ ____ ___ ________.,U menia net appetita.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0042.mp3,8
43,43,RU,9.78151E+12,Russian 5,1,,,U01-05,06Q_B,N,I have no strength.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0043.mp3,8
44,44,RU,9.78151E+12,Russian 5,1,,,U01-05,06R_B,M,_ ____ ___ ___.,U menia net sil.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0044.mp3,8
45,45,RU,9.78151E+12,Russian 5,1,,,U01-05,06Q_C,N,I have no time.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0045.mp3,"16,17"
46,46,RU,9.78151E+12,Russian 5,1,,,U01-05,06R_C,M,_ ____ ___ _______.,U menia net vremeni.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0046.mp3,"16,17"
47,47,RU,9.78151E+12,Russian 5,1,,,U01-05,06Q_D,N,I have no money.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0047.mp3,"11,16"
48,48,RU,9.78151E+12,Russian 5,1,,,U01-05,06R_D,M,_ ____ ___ _____.,U menia net deneg.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0048.mp3,"11,16"
49,49,RU,9.78151E+12,Russian 5,1,,,U01-06,07Q_A,N,I for now havenÕt gotten used to traveling by subway.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0049.mp3,18
50,50,RU,9.78151E+12,Russian 5,1,,,U01-06,07R_A,M,_ ____ ___ __ ______ ______ __ _____.,Ia poka eshchio ne privyk ezditÕ na metro.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0050.mp3,18
51,51,RU,9.78151E+12,Russian 5,1,,,U01-06,07Q_B,N,I for now havenÕt gotten used to cooking at home.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0051.mp3,"1,6"
52,52,RU,9.78151E+12,Russian 5,1,,,U01-06,07R_B,M,_ ____ ___ __ ______ ________ ____.,Ia poka eshchio ne privyk gotovitÕ doma.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0052.mp3,"1,6"
53,53,RU,9.78151E+12,Russian 5,1,,,U01-06,07Q_C,N,I for now havenÕt gotten used to going to the sea.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0053.mp3,18
54,54,RU,9.78151E+12,Russian 5,1,,,U01-06,07R_C,M,_ ____ ___ __ ______ ______ __ ____.,Ia poka eshchio ne privyk ezditÕ na more.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0054.mp3,18
55,55,RU,9.78151E+12,Russian 5,1,,,U01-06,07Q_D,N,I for now havenÕt gotten used to going on foot by stairs.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0055.mp3,8
56,56,RU,9.78151E+12,Russian 5,1,,,U01-06,07R_D,M,_ ____ ___ __ ______ ______ ______ __ ________.,Ia poka eshchio ne privyk hoditÕ peshkom po lestnitse.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0056.mp3,8
57,57,RU,9.78151E+12,Russian 5,1,,,U01-07,08Q_A,N,Good morning!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0057.mp3,"10,13,16,17"
58,58,RU,9.78151E+12,Russian 5,1,,,U01-07,08R_A,F,______ ____!,Dobroe utro!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0058.mp3,"10,13,16,17"
59,59,RU,9.78151E+12,Russian 5,1,,,U01-07,08Q_B,N,Good evening!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0059.mp3,"10,13,16,17"
60,60,RU,9.78151E+12,Russian 5,1,,,U01-07,08R_B,F,______ _____!,Dobryj vecher!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0060.mp3,"10,13,16,17"
61,61,RU,9.78151E+12,Russian 5,1,,,U01-07,08Q_C,N,Thank God!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0061.mp3,7
62,62,RU,9.78151E+12,Russian 5,1,,,U01-07,08R_C,F,_____ ____!,Slava Bogu!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0062.mp3,7
63,63,RU,9.78151E+12,Russian 5,1,,,U01-07,08Q_D,N,Finally!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0063.mp3,7
64,64,RU,9.78151E+12,Russian 5,1,,,U01-07,08R_D,F,H______-__!,Nakonets-to!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0064.mp3,7
65,65,RU,9.78151E+12,Russian 5,1,,,U01-08,09Q_A,N,I favor to go for a run in the evening.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0065.mp3,"1,17"
66,66,RU,9.78151E+12,Russian 5,1,,,U01-08,09R_A,F,_ ___________ ______ __ ________ _______.,Ia predpochitaiu hoditÕ na probezhku vecherom.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0066.mp3,"1,17"
67,67,RU,9.78151E+12,Russian 5,1,,,U01-08,09Q_B,N,I favor public transportation.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0067.mp3,18
68,68,RU,9.78151E+12,Russian 5,1,,,U01-08,09R_B,M,_ ___________ ____________ _________.,Ia predpochitaiu obshchestvennyj transport.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0068.mp3,18
69,69,RU,9.78151E+12,Russian 5,1,,,U01-08,09Q_C,N,I favor to go on foot.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0069.mp3,1
70,70,RU,9.78151E+12,Russian 5,1,,,U01-08,09R_C,M,_ ___________ ______ ______.,Ia predpochitaiu hoditÕ peshkom.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0070.mp3,1
71,71,RU,9.78151E+12,Russian 5,1,,,U01-08,09Q_D,N,I favor to eat in the open air.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0071.mp3,6
72,72,RU,9.78151E+12,Russian 5,1,,,U01-08,09R_D,M,_ ___________ ____ __ ________ _______.,Ia predpochitaiu estÕ na otkrytom vozduhe.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0072.mp3,6
73,73,RU,9.78151E+12,Russian 5,2,,,U02-01,01Q_A,N,I very much value the arts.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0073.mp3,1
74,74,RU,9.78151E+12,Russian 5,2,,,U02-01,01R_A,M,_ _____ ____ _________.,Ia ochenÕ tseniu iskusstvo.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0074.mp3,1
75,75,RU,9.78151E+12,Russian 5,2,,,U02-01,01Q_B,N,I very much love art.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0075.mp3,1
76,76,RU,9.78151E+12,Russian 5,2,,,U02-01,01R_B,M,_ _____ _____ _________.,Ia ochenÕliubliu iskusstvo.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0076.mp3,1
77,77,RU,9.78151E+12,Russian 5,2,,,U02-01,01Q_C,N,I very much love ice cream.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0077.mp3,6
78,78,RU,9.78151E+12,Russian 5,2,,,U02-01,01R_C,F,_ _____ _____ _________.,Ia ochenÕliubliu morozhenoe.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0078.mp3,6
79,79,RU,9.78151E+12,Russian 5,2,,,U02-01,01Q_D,N,I very much love pastries.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0079.mp3,6
80,80,RU,9.78151E+12,Russian 5,2,,,U02-01,01R_D,F,_ _____ _____ ________.,Ia ochenÕliubliu pirozhnye.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0080.mp3,6
81,81,RU,9.78151E+12,Russian 5,2,,,U02-02,02Q_A,N,You donÕt mind?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0081.mp3,13
82,82,RU,9.78151E+12,Russian 5,2,,,U02-02,02R_A,F,__ __ ______?,Vy ne protiv?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0082.mp3,13
83,83,RU,9.78151E+12,Russian 5,2,,,U02-02,02Q_B,N,YouÕre not pleased?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0083.mp3,13
84,84,RU,9.78151E+12,Russian 5,2,,,U02-02,02R_B,F,__ __ ________?,Vy ne dovolÕny?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0084.mp3,13
85,85,RU,9.78151E+12,Russian 5,2,,,U02-02,02Q_C,N,YouÕre not impressed?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0085.mp3,13
86,86,RU,9.78151E+12,Russian 5,2,,,U02-02,02R_C,F,__ __ __________?,Vy ne vpechatleny?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0086.mp3,13
87,87,RU,9.78151E+12,Russian 5,2,,,U02-02,02Q_D,N,You donÕt agree?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0087.mp3,"13,16"
88,88,RU,9.78151E+12,Russian 5,2,,,U02-02,02R_D,M,__ __ ________?,Vy ne soglasny?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0088.mp3,"13,16"
89,89,RU,9.78151E+12,Russian 5,2,,,U02-03,03Q_A,N,See you!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0089.mp3,10
90,90,RU,9.78151E+12,Russian 5,2,,,U02-03,03R_A,M,__ _______!,Do vstrechi!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0090.mp3,10
91,91,RU,9.78151E+12,Russian 5,2,,,U02-03,03Q_B,N,Good-bye!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0091.mp3,10
92,92,RU,9.78151E+12,Russian 5,2,,,U02-03,03R_B,M,__ ________!,Do svidaniia!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0092.mp3,10
93,93,RU,9.78151E+12,Russian 5,2,,,U02-03,03Q_C,N,See you tomorrow!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0093.mp3,17
94,94,RU,9.78151E+12,Russian 5,2,,,U02-03,03R_C,M,__ ______!,Do zavtra!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0094.mp3,17
95,95,RU,9.78151E+12,Russian 5,2,,,U02-03,03Q_D,N,See you in the evening!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0095.mp3,"5,10,17"
96,96,RU,9.78151E+12,Russian 5,2,,,U02-03,03R_D,M,__ _______ _______!,Do vstrechi vecherom!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0096.mp3,"5,10,17"
97,97,RU,9.78151E+12,Russian 5,2,,,U02-04,04Q_A,N,You will be impressed.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0097.mp3,7
98,98,RU,9.78151E+12,Russian 5,2,,,U02-04,04R_A,F,__ ______ _________.,Ty budeshÕ vpechatlion.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0098.mp3,7
99,99,RU,9.78151E+12,Russian 5,2,,,U02-04,04Q_B,N,You will be pleased.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0099.mp3,7
100,100,RU,9.78151E+12,Russian 5,2,,,U02-04,04R_B,F,__ ______ ________.,Ty budeshÕ dovolÕna.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0100.mp3,7
101,101,RU,9.78151E+12,Russian 5,2,,,U02-04,04Q_C,N,You will be busy.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0101.mp3,7
102,102,RU,9.78151E+12,Russian 5,2,,,U02-04,04R_C,F,__ ______ ______.,Ty budeshÕ zaniata.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0102.mp3,7
103,103,RU,9.78151E+12,Russian 5,2,,,U02-04,04Q_D,N,You will be surprised.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0103.mp3,7
104,104,RU,9.78151E+12,Russian 5,2,,,U02-04,04R_D,F,__ ______ ________.,Ty budeshÕ udivlen_.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0104.mp3,7
105,105,RU,9.78151E+12,Russian 5,2,,,U02-05,05Q_A,N,I donÕt mind!,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0105.mp3,"13,16"
106,106,RU,9.78151E+12,Russian 5,2,,,U02-05,05R_A,M,_ __ ______!,Ia ne protiv!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0106.mp3,"13,16"
107,107,RU,9.78151E+12,Russian 5,2,,,U02-05,05Q_B,N,I donÕt agree! (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0107.mp3,16
108,108,RU,9.78151E+12,Russian 5,2,,,U02-05,05R_B,M,_ __ ________!,Ia ne soglasen!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0108.mp3,16
109,109,RU,9.78151E+12,Russian 5,2,,,U02-05,05Q_C,N,IÕm not impressed! (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0109.mp3,7
110,110,RU,9.78151E+12,Russian 5,2,,,U02-05,05R_C,M,_ __ _________.,Ia ne vpechatlion!,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0110.mp3,7
111,111,RU,9.78151E+12,Russian 5,2,,,U02-05,05Q_D,N,IÕm not scared.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0111.mp3,7
112,112,RU,9.78151E+12,Russian 5,2,,,U02-05,05R_D,M,_ __ _____!,Ia ne bojusÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0112.mp3,7
113,113,RU,9.78151E+12,Russian 5,2,,,U02-06,06Q_A,N,Public transportation is not always quicker.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0113.mp3,18
114,114,RU,9.78151E+12,Russian 5,2,,,U02-06,06R_A,F,____________ _________ __ ______ _______.,Obshchestvenyj transport ne vsegda bystree.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0114.mp3,18
115,115,RU,9.78151E+12,Russian 5,2,,,U02-06,06Q_B,N,Public transportation - itÕs not always convenient.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0115.mp3,18
116,116,RU,9.78151E+12,Russian 5,2,,,U02-06,06R_B,M,____________ _________ - ___ __ ______ ______.,Obshchestvenyj transport - to ne vsegda udobno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0116.mp3,18
117,117,RU,9.78151E+12,Russian 5,2,,,U02-06,06Q_C,N,Public transportation - itÕs not always simple.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0117.mp3,18
118,118,RU,9.78151E+12,Russian 5,2,,,U02-06,06R_C,M,____________ _________ - ___ __ ______ ______.,Obshchestvenyj transport - to ne vsegda prosto.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0118.mp3,18
119,119,RU,9.78151E+12,Russian 5,2,,,U02-06,06Q_D,N,Public transportation - itÕs not always pleasant.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0119.mp3,18
120,120,RU,9.78151E+12,Russian 5,2,,,U02-06,06R_D,M,____________ _________ - ___ __ ______ _______.,Obshchestvenyj transport - to ne vsegda priiatno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0120.mp3,18
121,121,RU,9.78151E+12,Russian 5,2,,,U02-07,07Q_A,N,I too am very grateful. (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0121.mp3,"13,16"
122,122,RU,9.78151E+12,Russian 5,2,,,U02-07,07R_A,M,_ ____ _____ __________.,Ia tozhe ochenÕ blagodaren.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0122.mp3,"13,16"
123,123,RU,9.78151E+12,Russian 5,2,,,U02-07,07Q_B,N,I too got very tired. (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0123.mp3,8
124,124,RU,9.78151E+12,Russian 5,2,,,U02-07,07R_B,M,_ ____ _____ _____.,Ia tozhe ochenÕ ustal.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0124.mp3,8
125,125,RU,9.78151E+12,Russian 5,2,,,U02-07,07Q_C,N,I too got very upset. (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0125.mp3,8
126,126,RU,9.78151E+12,Russian 5,2,,,U02-07,07R_C,M,_ ____ _____ ___________.,Ia tozhe ochenÕ rasstroilsia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0126.mp3,8
127,127,RU,9.78151E+12,Russian 5,2,,,U02-07,07Q_D,N,I too am very impressed. (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0127.mp3,7
128,128,RU,9.78151E+12,Russian 5,2,,,U02-07,07R_D,M,_ ____ _____ _________.,Ia tozhe ochenÕ vpechatlion.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0128.mp3,7
129,129,RU,9.78151E+12,Russian 5,2,,,U02-08,08Q_A,N,This is my niece.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0129.mp3,5
130,130,RU,9.78151E+12,Russian 5,2,,,U02-08,08R_A,M,___ ___ __________.,éto moia plemiannitsa.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0130.mp3,5
131,131,RU,9.78151E+12,Russian 5,2,,,U02-08,08Q_B,N,ItÕs my favorite team.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0131.mp3,7
132,132,RU,9.78151E+12,Russian 5,2,,,U02-08,08R_B,M,___ ___ _______ _______.,éto moia liubimaia komanda.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0132.mp3,7
133,133,RU,9.78151E+12,Russian 5,2,,,U02-08,08Q_C,N,This is my favorite friend.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0133.mp3,5
134,134,RU,9.78151E+12,Russian 5,2,,,U02-08,08R_C,F,___ ___ _______ _______.,éto moia liubimaia podruga.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0134.mp3,5
135,135,RU,9.78151E+12,Russian 5,2,,,U02-08,08Q_D,N,This is my older sister.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0135.mp3,5
136,136,RU,9.78151E+12,Russian 5,2,,,U02-08,08R_D,F,___ ___ _______ ______.,éto moia starshaia sestra.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0136.mp3,5
