Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills,,
66,FR,9781797109213,French 3,3,N/A,N/A,08R,N/A,M,J’aimerais bien y aller cet été.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_066.mp3,18,,
67,FR,9781797109213,French 3,3,N/A,N/A,09Q,N/A,N,I’m going to show them to you.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_067.mp3,7,,
68,FR,9781797109213,French 3,3,N/A,N/A,09R,N/A,M,Je vais vous les montrer.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_068.mp3,7,,
69,FR,9781797109213,French 3,3,N/A,N/A,10Q,N/A,N,Here they are.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_069.mp3,7,,
70,FR,9781797109213,French 3,3,N/A,N/A,10R,N/A,M,Les voilà.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_070.mp3,7,,
71,FR,9781797109213,French 3,4,N/A,N/A,01Q,N/A,N,Show them to me.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_071.mp3,7,,
72,FR,9781797109213,French 3,4,N/A,N/A,01R,N/A,F,Montrez les-moi.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_072.mp3,7,,
73,FR,9781797109213,French 3,4,N/A,N/A,02Q,N/A,N,Show me your photos.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_073.mp3,7,,
74,FR,9781797109213,French 3,4,N/A,N/A,02R,N/A,F,Montrez-moi vos photos.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_074.mp3,7,,
75,FR,9781797109213,French 3,4,N/A,N/A,03Q,N/A,N,Where did he grow up?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_075.mp3,"5,7",,
76,FR,9781797109213,French 3,4,N/A,N/A,03R,N/A,F,Où est-ce qu’il a grandi?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_076.mp3,"5,7",,
77,FR,9781797109213,French 3,4,N/A,N/A,04Q,N/A,N,Cheers! [casual],N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_077.mp3,"6,16",,
78,FR,9781797109213,French 3,4,N/A,N/A,04R,N/A,F,À la tienne!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_078.mp3,"6,16",,
79,FR,9781797109213,French 3,4,N/A,N/A,05Q,N/A,N,Since almost six months.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_079.mp3,"12,17",,
80,FR,9781797109213,French 3,4,N/A,N/A,05R,N/A,F,Depuis presque six mois.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_080.mp3,"12,17",,
81,FR,9781797109213,French 3,4,N/A,N/A,06Q,N/A,N,She teaches French.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_081.mp3,"5,20",,
82,FR,9781797109213,French 3,4,N/A,N/A,06R,N/A,M,Elle enseigne le français.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_082.mp3,"5,20",,
83,FR,9781797109213,French 3,4,N/A,N/A,07Q,N/A,N,She’s a French teacher.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_083.mp3,"5,20",,
84,FR,9781797109213,French 3,4,N/A,N/A,07R,N/A,M,Elle est prof de français.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_084.mp3,"5,20",,
85,FR,9781797109213,French 3,4,N/A,N/A,08Q,N/A,N,She’s taking some English classes.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_085.mp3,"5,15",,
86,FR,9781797109213,French 3,4,N/A,N/A,08R,N/A,M,Elle prend des cours d’anglais.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_086.mp3,"5,15",,
87,FR,9781797109213,French 3,4,N/A,N/A,09Q,N/A,N,In the winter it snows a lot!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_087.mp3,19,,
88,FR,9781797109213,French 3,4,N/A,N/A,09R,N/A,M,En hiver il neige beaucoup!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_088.mp3,19,,
89,FR,9781797109213,French 3,4,N/A,N/A,10Q,N/A,N,He’s a branch manager.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_089.mp3,"5,20",,
90,FR,9781797109213,French 3,4,N/A,N/A,10R,N/A,M,Il est directeur d’agence.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_090.mp3,"5,20",,
91,FR,9781797109213,French 3,4,N/A,N/A,11Q,N/A,N,It often rains in the winter.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_091.mp3,19,,
92,FR,9781797109213,French 3,4,N/A,N/A,11R,N/A,F,Il pleut souvent en hiver.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_092.mp3,19,,
93,FR,9781797109213,French 3,4,N/A,N/A,12Q,N/A,N,It rains too much.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_093.mp3,19,,
94,FR,9781797109213,French 3,4,N/A,N/A,12R,N/A,F,Il pleut trop.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_094.mp3,19,,
95,FR,9781797109213,French 3,4,N/A,N/A,13Q,N/A,N,I work for a bank.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_095.mp3,"11,20",,
96,FR,9781797109213,French 3,4,N/A,N/A,13R,N/A,F,Je travaille pour une banque.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_096.mp3,"11,20",,
97,FR,9781797109213,French 3,4,N/A,N/A,14Q,N/A,N,Where did you grow up?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_097.mp3,10,,
98,FR,9781797109213,French 3,4,N/A,N/A,14R,N/A,F,Où est-ce que tu as grandi?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_098.mp3,10,,
99,FR,9781797109213,French 3,4,N/A,N/A,15Q,N/A,N,What does she teach?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_099.mp3,"5,20",,
100,FR,9781797109213,French 3,4,N/A,N/A,15R,N/A,F,Qu’est-ce qu’elle enseigne?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_100.mp3,"5,20",,
101,FR,9781797109213,French 3,5,N/A,N/A,01Q,N/A,N,Oh yeah?  You think so?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_101.mp3,"7,16",,
102,FR,9781797109213,French 3,5,N/A,N/A,01R,N/A,M,Ah bon?  Vous croyez?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_102.mp3,"7,16",,
103,FR,9781797109213,French 3,5,N/A,N/A,02Q,N/A,N,It’s not as difficult as English.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_103.mp3,15,,
104,FR,9781797109213,French 3,5,N/A,N/A,02R,N/A,M,Ce n’est pas aussi difficile que l’anglais.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_104.mp3,15,,
105,FR,9781797109213,French 3,5,N/A,N/A,03Q,N/A,N,She’s a lawyer.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_105.mp3,"5,20",,
106,FR,9781797109213,French 3,5,N/A,N/A,03R,N/A,M,Elle est avocate.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_106.mp3,"5,20",,
107,FR,9781797109213,French 3,5,N/A,N/A,04Q,N/A,N,She’s single.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_107.mp3,"5,7",,
108,FR,9781797109213,French 3,5,N/A,N/A,04R,N/A,M,Elle est célibataire.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_108.mp3,"5,7",,
109,FR,9781797109213,French 3,5,N/A,N/A,05Q,N/A,N,Do you have any brothers and sisters?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_109.mp3,5,,
110,FR,9781797109213,French 3,5,N/A,N/A,05R,N/A,M,Est-ce que vous avez des frères et soeurs?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_110.mp3,5,,
111,FR,9781797109213,French 3,5,N/A,N/A,06Q,N/A,N,I learned French here.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_111.mp3,15,,
112,FR,9781797109213,French 3,5,N/A,N/A,06R,N/A,F,J’ai appris le français ici.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_112.mp3,15,,
113,FR,9781797109213,French 3,5,N/A,N/A,07Q,N/A,N,"I think that English, it’s not easy.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_113.mp3,15,,
114,FR,9781797109213,French 3,5,N/A,N/A,07R,N/A,F,"Je crois que l’anglais, ce n’est pas facile.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_114.mp3,15,,
115,FR,9781797109213,French 3,5,N/A,N/A,08Q,N/A,N,I haven’t seen her for a long time.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_115.mp3,17,,
116,FR,9781797109213,French 3,5,N/A,N/A,08R,N/A,F,Je ne l’ai pas vue depuis longtemps.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_116.mp3,17,,
117,FR,9781797109213,French 3,5,N/A,N/A,09Q,N/A,N,Here he is.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_117.mp3,7,,
118,FR,9781797109213,French 3,5,N/A,N/A,09R,N/A,F,Le voilà.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_118.mp3,7,,
119,FR,9781797109213,French 3,5,N/A,N/A,10Q,N/A,N,My sister still lives over there.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_119.mp3,"4,5",,
120,FR,9781797109213,French 3,5,N/A,N/A,10R,N/A,F,Ma soeur habite encore là-bas.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_120.mp3,"4,5",,
121,FR,9781797109213,French 3,5,N/A,N/A,11Q,N/A,N,Where did you learn French?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_121.mp3,15,,
122,FR,9781797109213,French 3,5,N/A,N/A,11R,N/A,M,Où est-ce que vous avez appris le français?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_122.mp3,15,,
123,FR,9781797109213,French 3,5,N/A,N/A,12Q,N/A,N,You think so? (lit “You believe?”),N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_123.mp3,16,,
124,FR,9781797109213,French 3,5,N/A,N/A,12R,N/A,M,Vous croyez?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_124.mp3,16,,
125,FR,9781797109213,French 3,6,N/A,N/A,01Q,N/A,N,This one is very good.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_125.mp3,6,,
126,FR,9781797109213,French 3,6,N/A,N/A,01R,N/A,M,Celui-ci est très bon.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_126.mp3,6,,
127,FR,9781797109213,French 3,6,N/A,N/A,02Q,N/A,N,She took some classes.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_127.mp3,5,,
128,FR,9781797109213,French 3,6,N/A,N/A,02R,N/A,M,Elle a pris des cours.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_128.mp3,5,,
129,FR,9781797109213,French 3,6,N/A,N/A,03Q,N/A,N,I learned a lot.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_129.mp3,7,,
130,FR,9781797109213,French 3,6,N/A,N/A,03R,N/A,M,J’ai beaucoup appris.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_130.mp3,7,,
131,FR,9781797109213,French 3,6,N/A,N/A,04Q,N/A,N,I tried to learn it.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_131.mp3,7,,
132,FR,9781797109213,French 3,6,N/A,N/A,04R,N/A,F,J’ai essayé de l’apprendre.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_132.mp3,7,,
133,FR,9781797109213,French 3,6,N/A,N/A,05Q,N/A,N,"We’ve chosen, thank you.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_133.mp3,7,,
134,FR,9781797109213,French 3,6,N/A,N/A,05R,N/A,F,"On a choisi, merci.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_134.mp3,7,,
135,FR,9781797109213,French 3,6,N/A,N/A,06Q,N/A,N,What do you recommend?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_135.mp3,"6,7",,
136,FR,9781797109213,French 3,6,N/A,N/A,06R,N/A,F,Qu’est-ce que vous recommandez?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_136.mp3,"6,7",,
137,FR,9781797109213,French 3,6,N/A,N/A,07Q,N/A,N,Have you chosen?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_137.mp3,"6,7",,
138,FR,9781797109213,French 3,6,N/A,N/A,07R,N/A,F,Vous avez choisi?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_138.mp3,"6,7",,
139,FR,9781797109213,French 3,6,N/A,N/A,08Q,N/A,N,You recommend this one?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_139.mp3,"6,7",,
140,FR,9781797109213,French 3,6,N/A,N/A,08R,N/A,F,Vous recommandez celui-ci?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_140.mp3,"6,7",,
