Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
19,19,MA,9781442316409,Mandarin 2,1,,,10Q,,N,I arrived yesterday morning.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_019.mp3,"17,18"
20,20,MA,9781442316409,Mandarin 2,1,,,10R,,M,我是昨天早上到的。,wǒ shì zuó tiān zǎo shàng dào de.,8,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_020.mp3,"17,18"
21,21,MA,9781442316409,Mandarin 2,2,,,01Q,,N,Have you gone to Chengde?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_021.mp3,18
22,22,MA,9781442316409,Mandarin 2,2,,,01R,,F,承德你去了吗?,chéng dé nǐ qù le ma?,6,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_022.mp3,18
23,23,MA,9781442316409,Mandarin 2,2,,,02Q,,N,Are you acquainted with Mrs. Chen?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_023.mp3,"7,10"
24,24,MA,9781442316409,Mandarin 2,2,,,02R,,F,陈太太你认识吗?,chén tài tai nǐ rèn shi ma?,7,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_024.mp3,"7,10"
25,25,MA,9781442316409,Mandarin 2,2,,,03Q,,N,"I’m sorry, I have to excuse myself.",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_025.mp3,"13,16"
26,26,MA,9781442316409,Mandarin 2,2,,,03R,,F,"对不起, 我得失陪了。","duì bù qǐ, wǒ děi shī péi le.",8,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_026.mp3,"13,16"
27,27,MA,9781442316409,Mandarin 2,2,,,04Q,,N,What did you do today?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_027.mp3,"1,7,17"
28,28,MA,9781442316409,Mandarin 2,2,,,04R,,F,今天你做什么了？,jīn tiān nǐ zuò shén me le?,7,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_028.mp3,"1,7,17"
29,29,MA,9781442316409,Mandarin 2,2,,,05Q,,N,I didn’t do anything.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_029.mp3,"1,9"
30,30,MA,9781442316409,Mandarin 2,2,,,05R,,M,我没有做什么。,wǒ méi yǒu zuò shén me.,6,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_030.mp3,"1,9"
31,31,MA,9781442316409,Mandarin 2,2,,,06Q,,N,How long have you been (staying) in Beijing?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_031.mp3,18
32,32,MA,9781442316409,Mandarin 2,2,,,06R,,F,你在北京待了多久了？,nǐ zài běi jīng dāi le duō jiǔ le?,9,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_032.mp3,18
33,33,MA,9781442316409,Mandarin 2,2,,,07Q,,N,She’s called Huilan Chen.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_033.mp3,"9,10"
34,34,MA,9781442316409,Mandarin 2,2,,,07R,,F,她叫陈惠兰。,tā jiào chén huì lán.,5,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_034.mp3,"9,10"
35,35,MA,9781442316409,Mandarin 2,2,,,08Q,,N,She is Mrs. Chen.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_035.mp3,"9,10"
36,36,MA,9781442316409,Mandarin 2,2,,,08R,,F,她是陈太太。,tā shì chén tài tai.,5,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_036.mp3,"9,10"
37,37,MA,9781442316409,Mandarin 2,2,,,09Q,,N,I’ve been staying here for one day.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_037.mp3,"12,18"
38,38,MA,9781442316409,Mandarin 2,2,,,09R,,M,我在这儿待了一天了。,wǒ zài zhèr dāi le yì tiān le.,8,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_038.mp3,"12,18"
39,39,MA,9781442316409,Mandarin 2,2,,,10Q,,N,Then I went to see some friends.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_039.mp3,"1,5"
40,40,MA,9781442316409,Mandarin 2,2,,,10R,,M,然后我去看几个朋友了。,rán hòu wǒ qù kàn jǐ gè péng yǒu le.,10,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_040.mp3,"1,5"
41,41,MA,9781442316409,Mandarin 2,3,,,01Q,,N,Don’t stand on ceremony.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_041.mp3,13
42,42,MA,9781442316409,Mandarin 2,3,,,01R,,M,别客气。,bié kè qì.,3,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_042.mp3,13
43,43,MA,9781442316409,Mandarin 2,3,,,02Q,,N,Correct?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_043.mp3,7
44,44,MA,9781442316409,Mandarin 2,3,,,02R,,F,对吧?,duì ba?,2,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_044.mp3,7
45,45,MA,9781442316409,Mandarin 2,3,,,03Q,,N,What is your honorable family name?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_045.mp3,"5,7,13,16"
46,46,MA,9781442316409,Mandarin 2,3,,,03R,,F,贵姓？,guì xìng?,2,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_046.mp3,"5,7,13,16"
47,47,MA,9781442316409,Mandarin 2,3,,,04Q,,N,My last name is Chen.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_047.mp3,"9,10"
48,48,MA,9781442316409,Mandarin 2,3,,,04R,,M,我姓陈。,wǒ xìng chén.,3,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_048.mp3,"9,10"
49,49,MA,9781442316409,Mandarin 2,3,,,05Q,,N,"His wife is Chinese, correct?",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_049.mp3,"5,7"
50,50,MA,9781442316409,Mandarin 2,3,,,05R,,F,"他的太太是中国人, 对吧？","tā de tài tai shì zhōng guó rén, duì ba?",10,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_050.mp3,"5,7"
51,51,MA,9781442316409,Mandarin 2,3,,,06Q,,N,But I haven’t yet seen anything.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_051.mp3,9
52,52,MA,9781442316409,Mandarin 2,3,,,06R,,M,可是我还没有看什么东西。,kě shì wǒ hái méi yǒu kàn shén me dōng xi.,11,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_052.mp3,9
53,53,MA,9781442316409,Mandarin 2,3,,,07Q,,N,"Let’s go to my place, OK?",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_053.mp3,1
54,54,MA,9781442316409,Mandarin 2,3,,,07R,,M,"去我那儿, 好吗？","qù wǒ nàr, hǎo ma?",5,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_054.mp3,1
55,55,MA,9781442316409,Mandarin 2,3,,,08Q,,N,"My name is “chen,” called “de wei.”",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_055.mp3,"9,10"
56,56,MA,9781442316409,Mandarin 2,3,,,08R,,M,我姓陈叫德威。,wǒ xìng chén jiào dé wēi.,6,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_056.mp3,"9,10"
57,57,MA,9781442316409,Mandarin 2,3,,,09Q,,N,I always drink wine.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_057.mp3,6
58,58,MA,9781442316409,Mandarin 2,3,,,09R,,F,我总是喝葡萄酒。,wǒ zǒng shì hē pú tao jiǔ.,7,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_058.mp3,6
59,59,MA,9781442316409,Mandarin 2,3,,,10Q,,N,There is a friend who’s going to come over.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_059.mp3,"1,5"
60,60,MA,9781442316409,Mandarin 2,3,,,10R,,F,有一个朋友要来。,yǒu yí gè péng yǒu yào lái.,7,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_060.mp3,"1,5"
61,61,MA,9781442316409,Mandarin 2,4,,,01Q,,N,Not always.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_061.mp3,7
62,62,MA,9781442316409,Mandarin 2,4,,,01R,,M,不是总是。,bú shì zǒng shì.,4,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_062.mp3,7
63,63,MA,9781442316409,Mandarin 2,4,,,02Q,,N,But (to go) where?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_063.mp3,"7,18"
64,64,MA,9781442316409,Mandarin 2,4,,,02R,,F,可是去哪儿呢？,kě shì qù nǎr ne?,5,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_064.mp3,"7,18"
65,65,MA,9781442316409,Mandarin 2,4,,,03Q,,N,That’s a very short time.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_065.mp3,17
66,66,MA,9781442316409,Mandarin 2,4,,,03R,,M,时间很短。,shí jiān hěn duǎn.,4,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_066.mp3,17
67,67,MA,9781442316409,Mandarin 2,4,,,04Q,,N,She’s not coming over alone.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_067.mp3,9
68,68,MA,9781442316409,Mandarin 2,4,,,04R,,F,她不是一个人来。,tā bú shì yí gè rén lái.,7,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_068.mp3,9
69,69,MA,9781442316409,Mandarin 2,4,,,05Q,,N,She has been living in China for three years.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_069.mp3,"9,12"
70,70,MA,9781442316409,Mandarin 2,4,,,05R,,F,她在中国住了三年了。,tā zài zhōng guó zhù le sān nián le.,9,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_070.mp3,"9,12"
71,71,MA,9781442316409,Mandarin 2,4,,,06Q,,N,She always comes over with her husband.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_071.mp3,"5,9"
72,72,MA,9781442316409,Mandarin 2,4,,,06R,,F,她总是跟她的先生一起来。,tā zǒng shì gēn tā de xiān sheng yì qǐ lái.,11,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_072.mp3,"5,9"
73,73,MA,9781442316409,Mandarin 2,4,,,07Q,,N,"Your colleague is American, correct?",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_073.mp3,20
74,74,MA,9781442316409,Mandarin 2,4,,,07R,,M,"你的同事是美国人, 对吧?","nǐ de tóng shì shì měi guó rén, duì ba?",10,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_074.mp3,20
75,75,MA,9781442316409,Mandarin 2,4,,,08Q,,N,I know where san wei shu wu is located.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_075.mp3,4
76,76,MA,9781442316409,Mandarin 2,4,,,08R,,M,我知道三味书屋在哪儿。,wǒ zhī dào sān wèi shū wū zài nǎr.,9,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_076.mp3,4
77,77,MA,9781442316409,Mandarin 2,4,,,09Q,,N,My colleague is going to come to Beijing.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_077.mp3,"18,20"
78,78,MA,9781442316409,Mandarin 2,4,,,09R,,F,我的同事要来北京。,wǒ de tóng shì yào lái běi jīng.,8,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_078.mp3,"18,20"
79,79,MA,9781442316409,Mandarin 2,4,,,10Q,,N,Sometimes I drink a little beer.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_079.mp3,6
80,80,MA,9781442316409,Mandarin 2,4,,,10R,,M,有时候我喝一点儿啤酒。,yǒu shí hou wǒ hē yì diǎnr pí jǐu.,9,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_080.mp3,6
81,81,MA,9781442316409,Mandarin 2,5,,,01Q,,N,It’s not very fast.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_081.mp3,7
82,82,MA,9781442316409,Mandarin 2,5,,,01R,,F,不是很快。,bú shì hěn kuài.,4,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_082.mp3,7
83,83,MA,9781442316409,Mandarin 2,5,,,02Q,,N,There are not many buses.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_083.mp3,18
84,84,MA,9781442316409,Mandarin 2,5,,,02R,,M,公共汽车不多。,gōng gòng qì chē bù duō.,6,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_084.mp3,18
85,85,MA,9781442316409,Mandarin 2,5,,,03Q,,N,Another colleague is going to come over.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_085.mp3,20
86,86,MA,9781442316409,Mandarin 2,5,,,03R,,M,另外一个同事要来。,līng wài yí gè tóng shì yào lái.,8,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_086.mp3,20
87,87,MA,9781442316409,Mandarin 2,5,,,04Q,,N,They both are Americans.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_087.mp3,9
88,88,MA,9781442316409,Mandarin 2,5,,,04R,,M,他们两个都是美国人。,tā men liǎng gè dōu shì měi guó rén.,9,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_088.mp3,9
89,89,MA,9781442316409,Mandarin 2,5,,,05Q,,N,He has been living there how long?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_089.mp3,7
90,90,MA,9781442316409,Mandarin 2,5,,,05R,,F,他在那儿住了多久了？,tā zài nàr zhù le duō jǐu le?,8,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_090.mp3,7
91,91,MA,9781442316409,Mandarin 2,5,,,06Q,,N,I never take the bus.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_091.mp3,18
92,92,MA,9781442316409,Mandarin 2,5,,,06R,,M,我从来不坐公共汽车去。,wǒ cóng lái bú zuò gōng gòng qì chē qù.,10,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_092.mp3,18
93,93,MA,9781442316409,Mandarin 2,5,,,07Q,,N,We have to wait.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_093.mp3,"7,9"
94,94,MA,9781442316409,Mandarin 2,5,,,07R,,F,我们得等。,wǒ men děi děng.,4,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_094.mp3,"7,9"
95,95,MA,9781442316409,Mandarin 2,5,,,08Q,,N,How about going there on foot?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_095.mp3,1
96,96,MA,9781442316409,Mandarin 2,5,,,08R,,M,走路去那儿怎么样?,zŏu lù qù nàr zěn me yàng?,7,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_096.mp3,1
97,97,MA,9781442316409,Mandarin 2,5,,,09Q,,N,How about taking the bus?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_097.mp3,"16,18"
98,98,MA,9781442316409,Mandarin 2,5,,,09R,,F,坐公共汽车去怎么样?,zuò gōng gòng qì chē qù zěn me yàng?,9,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_098.mp3,"16,18"
99,99,MA,9781442316409,Mandarin 2,5,,,10Q,,N,I have to meet him.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_099.mp3,9
100,100,MA,9781442316409,Mandarin 2,5,,,10R,,M,我得见他。,wǒ děi jiàn tā.,4,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_100.mp3,9
101,101,MA,9781442316409,Mandarin 2,6,,,01Q,,N,Where is the bus stop?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_101.mp3,"4,16,18"
102,102,MA,9781442316409,Mandarin 2,6,,,01R,,M,公共汽车站在哪儿？,gōng gòng qì chē zhàn zài nǎr?,7,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_102.mp3,"4,16,18"
103,103,MA,9781442316409,Mandarin 2,6,,,02Q,,N,He has been living in Taipei for a very long time.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_103.mp3,"9,17"
104,104,MA,9781442316409,Mandarin 2,6,,,02R,,M,他在台北住了很长的时间了。,tā zài tái běi zhù le hěn cháng de shí jiān le.,12,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_104.mp3,"9,17"
105,105,MA,9781442316409,Mandarin 2,6,,,03Q,,N,"After going there let’s have lunch, OK?",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_105.mp3,6
106,106,MA,9781442316409,Mandarin 2,6,,,03R,,F,"去那儿以后吃午饭, 好吗？","qù nàr yǐ hòu chī wǔ fàn, hǎo ma?",9,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_106.mp3,6
107,107,MA,9781442316409,Mandarin 2,6,,,04Q,,N,The shops are open.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_107.mp3,"14,16"
108,108,MA,9781442316409,Mandarin 2,6,,,04R,,M,商店开门了。,shāng diàn kāi mén le.,5,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_108.mp3,"14,16"
109,109,MA,9781442316409,Mandarin 2,6,,,05Q,,N,The shops are open until what time?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_109.mp3,"14,16,17"
110,110,MA,9781442316409,Mandarin 2,6,,,05R,,M,商店开到几点钟？,shāng diàn kāi dào jí diǎn zhōng?,7,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_110.mp3,"14,16,17"
111,111,MA,9781442316409,Mandarin 2,6,,,06Q,,N,Where is Long Peace Street?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_111.mp3,4
112,112,MA,9781442316409,Mandarin 2,6,,,06R,,F,长安街在哪儿？,cháng ān jiē zài nǎr?,5,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_112.mp3,4
113,113,MA,9781442316409,Mandarin 2,6,,,07Q,,N,"Before that, let’s go to Wangfujing Avenue.",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_113.mp3,"4,18"
114,114,MA,9781442316409,Mandarin 2,6,,,07R,,M,"在那以前, 去王府井大街。","zài nà yǐ qián, qù wáng fú jǐn dà jiē.",10,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_114.mp3,"4,18"
115,115,MA,9781442316409,Mandarin 2,6,,,08Q,,N,After working I have time.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_115.mp3,"17,20"
116,116,MA,9781442316409,Mandarin 2,6,,,08R,,M,工作以后我有时间。,gōng zuò yǐ hòu wǒ yǒu shí jiān.,8,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_116.mp3,"17,20"
117,117,MA,9781442316409,Mandarin 2,6,,,09Q,,N,"After taking the bus, let’s have lunch, OK?",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_117.mp3,"6,18"
118,118,MA,9781442316409,Mandarin 2,6,,,09R,,F,"坐公共汽车去以后, 吃午饭, 好吗？","zuò gōng gòng qì chē qù yǐ hòu, chī wǔ fàn, hǎo ma?",13,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_118.mp3,"6,18"
119,119,MA,9781442316409,Mandarin 2,6,,,10Q,,N,He lives in Taipei.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_119.mp3,"5,9"
