Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
77,77,ESL_SP,9781442329423,,4,07Q,N,¿Qué enseña?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_077.mp3,20
78,78,ESL_SP,9781442329423,,4,07R,F,What does she teach?,4,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_078.mp3,20
79,79,ESL_SP,9781442329423,,4,08Q,N,Mi esposa enseña inglés.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_079.mp3,"5,15,20"
80,80,ESL_SP,9781442329423,,4,08R,M,My wife teaches English.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_080.mp3,"5,15,20"
81,81,ESL_SP,9781442329423,,4,09Q,N,Está casado con una norteamericana.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_081.mp3,9
82,82,ESL_SP,9781442329423,,4,09R,M,He's married to an American.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_082.mp3,9
83,83,ESL_SP,9781442329423,,4,10Q,N,¿Qué hace usted?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_083.mp3,"7,20"
84,84,ESL_SP,9781442329423,,4,10R,F,What do you do?,4,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_084.mp3,"7,20"
85,85,ESL_SP,9781442329423,,4,11Q,N,¿Se crió allí?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_085.mp3,"7,10"
86,86,ESL_SP,9781442329423,,4,11R,M,Did you grow up here?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_086.mp3,"7,10"
87,87,ESL_SP,9781442329423,,5,01Q,N,¿Me las puede mostrar?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_087.mp3,"7,9"
88,88,ESL_SP,9781442329423,,5,01R,F,Can you show them to me?,6,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_088.mp3,"7,9"
89,89,ESL_SP,9781442329423,,5,02Q,N,¿Tiene hermanos o hermanas?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_089.mp3,"5,10"
90,90,ESL_SP,9781442329423,,5,02R,F,Do you have any brothers or sisters?,7,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_090.mp3,"5,10"
91,91,ESL_SP,9781442329423,,5,03Q,N,El inglés no es fácil.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_091.mp3,"9,15"
92,92,ESL_SP,9781442329423,,5,03R,M,English isn't easy.,3,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_092.mp3,"9,15"
93,93,ESL_SP,9781442329423,,5,04Q,N,Estuve en Boston el mes pasado.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_093.mp3,"17,18"
94,94,ESL_SP,9781442329423,,5,04R,M,I was in Boston last month.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_094.mp3,"17,18"
95,95,ESL_SP,9781442329423,,5,05Q,N,¿Dónde aprendió inglés?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_095.mp3,15
96,96,ESL_SP,9781442329423,,5,05R,F,Where did you learn English?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_096.mp3,15
97,97,ESL_SP,9781442329423,,5,06Q,N,Vive allí desde hace mucho tiempo.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_097.mp3,"9,17"
98,98,ESL_SP,9781442329423,,5,06R,F,She's lived there a long time.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_098.mp3,"9,17"
99,99,ESL_SP,9781442329423,,5,07Q,N,Trabaja para una compañía norteamericana.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_099.mp3,"9,20"
100,100,ESL_SP,9781442329423,,5,07R,M,He works for an American company.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_100.mp3,"9,20"
101,101,ESL_SP,9781442329423,,5,08Q,N,Están casados desde hace mucho tiempo.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_101.mp3,"9,17"
102,102,ESL_SP,9781442329423,,5,08R,M,They've been married for a long time.,7,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_102.mp3,"9,17"
103,103,ESL_SP,9781442329423,,5,09Q,N,Su inglés es muy bueno.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_103.mp3,"13,15"
104,104,ESL_SP,9781442329423,,5,09R,F,Your English is very good.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_104.mp3,"13,15"
105,105,ESL_SP,9781442329423,,5,10Q,N,El inglés es más difícil que el español.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_105.mp3,"9,15"
106,106,ESL_SP,9781442329423,,5,10R,M,English is more difficult than Spanish.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_106.mp3,"9,15"
107,107,ESL_SP,9781442329423,,5,11Q,N,¿Cree usted que sí?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_107.mp3,7
108,108,ESL_SP,9781442329423,,5,11R,F,Do you think so?,4,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_108.mp3,7
109,109,ESL_SP,9781442329423,,5,12Q,N,El español es tan difícil como el inglés.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_109.mp3,"9,15"
110,110,ESL_SP,9781442329423,,5,12R,F,Spanish is as difficult as English.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_110.mp3,"9,15"
111,111,ESL_SP,9781442329423,,6,01Q,N,¿Están listos para pedir?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_111.mp3,"6,7,16"
112,112,ESL_SP,9781442329423,,6,01R,M,Are you ready to order?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_112.mp3,"6,7,16"
113,113,ESL_SP,9781442329423,,6,02Q,N,Éste es muy bueno.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_113.mp3,"6,7,14"
114,114,ESL_SP,9781442329423,,6,02R,M,This one is very good.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_114.mp3,"6,7,14"
115,115,ESL_SP,9781442329423,,6,03Q,N,A ambos nos gustaría el bistec.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_115.mp3,6
116,116,ESL_SP,9781442329423,,6,03R,M,We'd both like the steak.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_116.mp3,6
117,117,ESL_SP,9781442329423,,6,04Q,N,¿Dónde aprendió a hablarlo?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_117.mp3,15
118,118,ESL_SP,9781442329423,,6,04R,F,Where did you learn to speak it?,7,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_118.mp3,15
119,119,ESL_SP,9781442329423,,6,05Q,N,¿Qué vino recomienda?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_119.mp3,"6,16"
120,120,ESL_SP,9781442329423,,6,05R,M,Which wine do you recommend?,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_120.mp3,"6,16"
121,121,ESL_SP,9781442329423,,6,06Q,N,"Con bistec, el vino tinto es mejor.",,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_121.mp3,6
122,122,ESL_SP,9781442329423,,6,06R,M,"With steak, red wine is better.",6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_122.mp3,6
123,123,ESL_SP,9781442329423,,6,07Q,N,Traté de aprender español pero no era fácil.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_123.mp3,15
124,124,ESL_SP,9781442329423,,6,07R,F,I tried to learn Spanish but it wasn't easy.,9,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_124.mp3,15
125,125,ESL_SP,9781442329423,,6,08Q,N,Es casi tan bonita como Puebla.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_125.mp3,"9,18"
126,126,ESL_SP,9781442329423,,6,08R,F,It’s almost as beautiful as Puebla.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_126.mp3,"9,18"
127,127,ESL_SP,9781442329423,,6,09Q,N,Prefiero vino blanco.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_127.mp3,6
128,128,ESL_SP,9781442329423,,6,09R,F,I prefer white wine.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_128.mp3,6
129,129,ESL_SP,9781442329423,,6,10Q,N,Pidamos una botella de vino blanco.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_129.mp3,6
130,130,ESL_SP,9781442329423,,6,10R,M,Let's order a bottle of white wine.,7,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_130.mp3,6
131,131,ESL_SP,9781442329423,,6,11Q,N,Ése es bueno.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_131.mp3,"7,9"
132,132,ESL_SP,9781442329423,,6,11R,M,That one is good.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_132.mp3,"7,9"
133,133,ESL_SP,9781442329423,,7,01Q,N,¿Dónde estaban?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_133.mp3,"4,18"
134,134,ESL_SP,9781442329423,,7,01R,M,Where were they?,3,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_134.mp3,"4,18"
135,135,ESL_SP,9781442329423,,7,02Q,N,¿Podemos pedir media botella?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_135.mp3,"6,12"
136,136,ESL_SP,9781442329423,,7,02R,M,Can we order a half bottle?,6,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_136.mp3,"6,12"
137,137,ESL_SP,9781442329423,,7,03Q,N,Estoy buscando mis apuntes.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_137.mp3,20
138,138,ESL_SP,9781442329423,,7,03R,M,I'm looking for my notes.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_138.mp3,20
139,139,ESL_SP,9781442329423,,7,04Q,N,Estaban sobre la mesa en mi oficina.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_139.mp3,"4,20"
140,140,ESL_SP,9781442329423,,7,04R,F,They were on the table in my office.,8,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_140.mp3,"4,20"
141,141,ESL_SP,9781442329423,,7,05Q,N,El español es más fácil para mí.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_141.mp3,15
142,142,ESL_SP,9781442329423,,7,05R,M,Spanish is easier for me.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_142.mp3,15
143,143,ESL_SP,9781442329423,,7,06Q,N,¿Es ésta su pluma?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_143.mp3,"9,20"
144,144,ESL_SP,9781442329423,,7,06R,F,Is this your pen?,4,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_144.mp3,"9,20"
