"Control#","Rec #","Lang","Source Audio ISBN-13","Course","Unit Num","Start","Stop","QZ #","line #","Speaker","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"29","29","BP","9781442374140","BrazPort 1","2","","","05Q","","N","Fine, thanks.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_029.mp3","10,13"
"30","30","BP","9781442374140","BrazPort 1","2","","","05R","","F","Bem, obrigada.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_030.mp3","10,13"
"31","31","BP","9781442374140","BrazPort 1","2","","","06Q","","N","Yes, I am.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_031.mp3","7,13"
"32","32","BP","9781442374140","BrazPort 1","2","","","06R","","F","Sim, eu sou.","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_032.mp3","7,13"
"33","33","BP","9781442374140","BrazPort 1","2","","","07Q","","N","Very well, thanks.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_033.mp3","13,16"
"34","34","BP","9781442374140","BrazPort 1","2","","","07R","","M","Muito bem, obrigado.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_034.mp3","13,16"
"35","35","BP","9781442374140","BrazPort 1","2","","","08Q","","N","I understand very well.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_035.mp3","10,15"
"36","36","BP","9781442374140","BrazPort 1","2","","","08R","","F","Eu entendo muito bem.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_036.mp3","10,15"
"37","37","BP","9781442374140","BrazPort 1","2","","","09Q","","N","I don’t speak very well.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_037.mp3","7,15"
"38","38","BP","9781442374140","BrazPort 1","2","","","09R","","M","Eu não falo muito bem.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_038.mp3","7,15"
"39","39","BP","9781442374140","BrazPort 1","2","","","10Q","","N","I speak a little.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_039.mp3","10,15"
"40","40","BP","9781442374140","BrazPort 1","2","","","10R","","M","Eu falo um pouco.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_040.mp3","10,15"
"41","41","BP","9781442374140","BrazPort 1","2","","","11Q","","N","Are you American?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_041.mp3","10,16"
"42","42","BP","9781442374140","BrazPort 1","2","","","11R","","M","A senhora é americana?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_042.mp3","10,16"
"43","43","BP","9781442374140","BrazPort 1","3","","","01Q","","N","Do you understand me?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_043.mp3","10,15"
"44","44","BP","9781442374140","BrazPort 1","3","","","01R","","M","A senhora me entende?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_044.mp3","10,15"
"45","45","BP","9781442374140","BrazPort 1","3","","","02Q","","N","I don’t understand you.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_045.mp3","10,15"
"46","46","BP","9781442374140","BrazPort 1","3","","","02R","","F","Eu não entendo o senhor.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_046.mp3","10,15"
"47","47","BP","9781442374140","BrazPort 1","3","","","03Q","","N","Are you American?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_047.mp3","10,16"
"48","48","BP","9781442374140","BrazPort 1","3","","","03R","","M","Você é americana?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_048.mp3","10,16"
"49","49","BP","9781442374140","BrazPort 1","3","","","04Q","","N","I’m Brazilian.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_049.mp3","9,10"
"50","50","BP","9781442374140","BrazPort 1","3","","","04R","","M","Eu sou brasileiro.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_050.mp3","9,10"
"51","51","BP","9781442374140","BrazPort 1","3","","","05Q","","N","I’m from the United States.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_051.mp3","9,10"
"52","52","BP","9781442374140","BrazPort 1","3","","","05R","","M","Eu sou dos Estados Unidos.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_052.mp3","9,10"
"53","53","BP","9781442374140","BrazPort 1","3","","","06Q","","N","Where are you from?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_053.mp3","9,10"
"54","54","BP","9781442374140","BrazPort 1","3","","","06R","","F","De onde você é?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_054.mp3","9,10"
"55","55","BP","9781442374140","BrazPort 1","3","","","07Q","","N","Good afternoon.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_055.mp3","10,13,17"
"56","56","BP","9781442374140","BrazPort 1","3","","","07R","","M","Boa tarde.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_056.mp3","10,13,17"
"57","57","BP","9781442374140","BrazPort 1","3","","","08Q","","N","Good evening.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_057.mp3","10,13,17"
"58","58","BP","9781442374140","BrazPort 1","3","","","08R","","F","Boa noite.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_058.mp3","10,13,17"
"59","59","BP","9781442374140","BrazPort 1","3","","","09Q","","N","How are you?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_059.mp3","10,13"
"60","60","BP","9781442374140","BrazPort 1","3","","","09R","","M","Como vai você?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_060.mp3","10,13"
"61","61","BP","9781442374140","BrazPort 1","3","","","10Q","","N","From where?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_061.mp3","4,7,18"
"62","62","BP","9781442374140","BrazPort 1","3","","","10R","","F","De onde?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_062.mp3","4,7,18"
"63","63","BP","9781442374140","BrazPort 1","3","","","11Q","","N","And you?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_063.mp3","7,10"
"64","64","BP","9781442374140","BrazPort 1","3","","","11R","","M","E a senhora?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_064.mp3","7,10"
"65","65","BP","9781442374140","BrazPort 1","4","","","01Q","","N","Pleased to meet you.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_065.mp3","10,13"
"66","66","BP","9781442374140","BrazPort 1","4","","","01R","","M","Muito prazer.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_066.mp3","10,13"
"67","67","BP","9781442374140","BrazPort 1","4","","","02Q","","N","Where is it located?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_067.mp3","4,16"
"68","68","BP","9781442374140","BrazPort 1","4","","","02R","","F","Onde fica?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_068.mp3","4,16"
"69","69","BP","9781442374140","BrazPort 1","4","","","03Q","","N","It’s located here.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_069.mp3","4,9,18"
"70","70","BP","9781442374140","BrazPort 1","4","","","03R","","M","Fica aqui.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_070.mp3","4,9,18"
"71","71","BP","9781442374140","BrazPort 1","4","","","04Q","","N","You are very kind.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_071.mp3","7,10,13"
"72","72","BP","9781442374140","BrazPort 1","4","","","04R","","M","Você é muito gentil.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_072.mp3","7,10,13"
"73","73","BP","9781442374140","BrazPort 1","4","","","05Q","","N","It’s located over there.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_073.mp3","4,9,18"
"74","74","BP","9781442374140","BrazPort 1","4","","","05R","","M","Fica lá.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_074.mp3","4,9,18"
"75","75","BP","9781442374140","BrazPort 1","4","","","06Q","","N","Where is my suitcase?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_075.mp3","4,16,18"
"76","76","BP","9781442374140","BrazPort 1","4","","","06R","","F","Onde está a minha mala?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_076.mp3","4,16,18"
"77","77","BP","9781442374140","BrazPort 1","4","","","07Q","","N","It’s not here.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_077.mp3","4,18"
"78","78","BP","9781442374140","BrazPort 1","4","","","07R","","M","Não está aqui.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_078.mp3","4,18"
"79","79","BP","9781442374140","BrazPort 1","4","","","08Q","","N","It’s over there.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_079.mp3","4,18"
"80","80","BP","9781442374140","BrazPort 1","4","","","08R","","M","Está lá.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_080.mp3","4,18"
"81","81","BP","9781442374140","BrazPort 1","4","","","09Q","","N","Is the hotel located there?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_081.mp3","4,18"
"82","82","BP","9781442374140","BrazPort 1","4","","","09R","","F","O hotel fica lá?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_082.mp3","4,18"
"83","83","BP","9781442374140","BrazPort 1","4","","","10Q","","N","Is my suitcase here?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_083.mp3","4,18"
"84","84","BP","9781442374140","BrazPort 1","4","","","10R","","F","A minha mala está aqui?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_084.mp3","4,18"
"85","85","BP","9781442374140","BrazPort 1","5","","","01Q","","N","Are you from here?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_085.mp3","7,10"
"86","86","BP","9781442374140","BrazPort 1","5","","","01R","","M","A senhora é daqui?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_086.mp3","7,10"
"87","87","BP","9781442374140","BrazPort 1","5","","","02Q","","N","Do you know where my suitcase is?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_087.mp3","4,18"
"88","88","BP","9781442374140","BrazPort 1","5","","","02R","","M","A senhora sabe onde está a minha mala?","6","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_088.mp3","4,18"
"89","89","BP","9781442374140","BrazPort 1","5","","","03Q","","N","I don’t know.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_089.mp3","7,15"
"90","90","BP","9781442374140","BrazPort 1","5","","","03R","","F","Eu não sei.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_090.mp3","7,15"
"91","91","BP","9781442374140","BrazPort 1","5","","","04Q","","N","I know where it’s located.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_091.mp3","4,18"
"92","92","BP","9781442374140","BrazPort 1","5","","","04R","","F","Eu sei onde fica.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_092.mp3","4,18"
"93","93","BP","9781442374140","BrazPort 1","5","","","05Q","","N","Please.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_093.mp3","10,13,16"
"94","94","BP","9781442374140","BrazPort 1","5","","","05R","","M","Por favor.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_094.mp3","10,13,16"
"95","95","BP","9781442374140","BrazPort 1","5","","","06Q","","N","Not very well.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_095.mp3","7,15"
"96","96","BP","9781442374140","BrazPort 1","5","","","06R","","M","Não muito bem.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_096.mp3","7,15"
"97","97","BP","9781442374140","BrazPort 1","5","","","07Q","","N","Do you have any reals?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_097.mp3","11,14"
"98","98","BP","9781442374140","BrazPort 1","5","","","07R","","M","Você tem reais?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_098.mp3","11,14"
"99","99","BP","9781442374140","BrazPort 1","5","","","08Q","","N","I don’t have any reals.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_099.mp3","11,14"
"100","100","BP","9781442374140","BrazPort 1","5","","","08R","","F","Eu não tenho reais.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_100.mp3","11,14"
"101","101","BP","9781442374140","BrazPort 1","5","","","09Q","","N","Do you know?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_101.mp3","7,9,15"
"102","102","BP","9781442374140","BrazPort 1","5","","","09R","","M","Você sabe?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_102.mp3","7,9,15"
"103","103","BP","9781442374140","BrazPort 1","5","","","10Q","","N","I have one dollar.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_103.mp3","11,12"
"104","104","BP","9781442374140","BrazPort 1","5","","","10R","","M","Eu tenho um dólar.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_104.mp3","11,12"
"105","105","BP","9781442374140","BrazPort 1","6","","","01Q","","N","How’s that?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_105.mp3","7,13"
"106","106","BP","9781442374140","BrazPort 1","6","","","01R","","M","Como?","1","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_106.mp3","7,13"
"107","107","BP","9781442374140","BrazPort 1","6","","","02Q","","N","I don’t know where your suitcase is.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_107.mp3","4,18"
"108","108","BP","9781442374140","BrazPort 1","6","","","02R","","M","Eu não sei onde está a sua mala.","7","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_108.mp3","4,18"
"109","109","BP","9781442374140","BrazPort 1","6","","","03Q","","N","Not much.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_109.mp3","7,9,15"
"110","110","BP","9781442374140","BrazPort 1","6","","","03R","","F","Não muito.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_110.mp3","7,9,15"
"111","111","BP","9781442374140","BrazPort 1","6","","","04Q","","N","That’s OK.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_111.mp3","7,13"
"112","112","BP","9781442374140","BrazPort 1","6","","","04R","","F","Está bem.","1","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_112.mp3","7,13"
"113","113","BP","9781442374140","BrazPort 1","6","","","05Q","","N","How many do you want?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_113.mp3","12,14"
"114","114","BP","9781442374140","BrazPort 1","6","","","05R","","M","Quantos você quer?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_114.mp3","12,14"
"115","115","BP","9781442374140","BrazPort 1","6","","","06Q","","N","But I don’t have dollars.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_115.mp3","11,14"
"116","116","BP","9781442374140","BrazPort 1","6","","","06R","","F","Mas eu não tenho dólares.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_116.mp3","11,14"
"117","117","BP","9781442374140","BrazPort 1","6","","","07Q","","N","How many reals do you have in your wallet?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_117.mp3","11,14"
"118","118","BP","9781442374140","BrazPort 1","6","","","07R","","M","Quantos reais você tem na sua carteira?","7","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_118.mp3","11,14"
"119","119","BP","9781442374140","BrazPort 1","6","","","08Q","","N","It’s not much.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_119.mp3","7,9,14"
"120","120","BP","9781442374140","BrazPort 1","6","","","08R","","M","Não é muito.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_120.mp3","7,9,14"
"121","121","BP","9781442374140","BrazPort 1","6","","","09Q","","N","It’s very little.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_121.mp3","7,9,14"
"122","122","BP","9781442374140","BrazPort 1","6","","","09R","","F","É muito pouco.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_122.mp3","7,9,14"
"123","123","BP","9781442374140","BrazPort 1","6","","","10Q","","N","Thank you very much.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_123.mp3","7,13"
"124","124","BP","9781442374140","BrazPort 1","6","","","10R","","F","Muito obrigada.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_124.mp3","7,13"
"125","125","BP","9781442374140","BrazPort 1","7","","","01Q","","N","I have four reals.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_125.mp3","11,12"
"126","126","BP","9781442374140","BrazPort 1","7","","","01R","","F","Eu tenho quatro reais.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_126.mp3","11,12"
"127","127","BP","9781442374140","BrazPort 1","7","","","02Q","","N","All right.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_127.mp3","7,13"
"128","128","BP","9781442374140","BrazPort 1","7","","","02R","","F","Tudo bem.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_128.mp3","7,13"
"129","129","BP","9781442374140","BrazPort 1","7","","","03Q","","N","What do you want?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_129.mp3","6,14"
"130","130","BP","9781442374140","BrazPort 1","7","","","03R","","M","O que você quer?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_130.mp3","6,14"
"131","131","BP","9781442374140","BrazPort 1","7","","","04Q","","N","I want to eat.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_131.mp3","6"
"132","132","BP","9781442374140","BrazPort 1","7","","","04R","","F","Eu quero comer.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_132.mp3","6"
"133","133","BP","9781442374140","BrazPort 1","7","","","05Q","","N","I don’t want anything.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_133.mp3","6,9,14"
