"Rec #","Lang","ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Skills"
"16","IT","978-1-4423-4866-0","Italian Level 1","1","0:15:07","0:15:09","08R","156","M","Io capisco un po’.","4","S","Italian Phase 1, Units 1 - 30 (2002)","10,12,15,16"
"17","IT","978-1-4423-4866-0","Italian Level 1","1","0:20:14","0:20:15","09Q","203","N","Yes, miss.","","","Italian Phase 1, Units 1 - 30 (2002)","10,13"
"18","IT","978-1-4423-4866-0","Italian Level 1","1","0:20:18","0:20:20","09R","204","M","Sì, signorina.","2","S","Italian Phase 1, Units 1 - 30 (2002)","10,13"
"19","IT","978-1-4423-4866-0","Italian Level 1","1","0:20:55","0:20:57","10Q","209","N","I understand Italian, a little.","","","Italian Phase 1, Units 1 - 30 (2002)","10,12,15,16"
"20","IT","978-1-4423-4866-0","Italian Level 1","1","0:21:01","0:21:03","10R","210","M","Io capisco un po’ l’italiano.","5","S","Italian Phase 1, Units 1 - 30 (2002)","10,12,15,16"
"21","IT","978-1-4423-4866-0","Italian Level 1","2","0:10:27","0:10:28","01Q","112","N","Hello, miss.","","","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"22","IT","978-1-4423-4866-0","Italian Level 1","2","0:10:31","0:10:32","01R","113","M","Buongiorno, signorina.","2","S","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"23","IT","978-1-4423-4866-0","Italian Level 1","2","0:13:03","0:13:03","02Q","138","N","How are you?","","","Italian Phase 1, Units 1 - 30 (2002)","7,10,13"
"24","IT","978-1-4423-4866-0","Italian Level 1","2","0:13:06","0:13:07","02R","139","M","Lei come sta?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","7,10,13"
"25","IT","978-1-4423-4866-0","Italian Level 1","2","0:13:48","0:13:49","03Q","146","N","Thanks.","","","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"26","IT","978-1-4423-4866-0","Italian Level 1","2","0:13:49","0:13:50","03R","147","F","Grazie.","1","S","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"27","IT","978-1-4423-4866-0","Italian Level 1","2","0:14:46","0:14:47","04Q","154","N","Very well, thanks.","","","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"28","IT","978-1-4423-4866-0","Italian Level 1","2","0:14:51","0:14:52","04R","155","F","Molto bene, grazie.","3","S","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"29","IT","978-1-4423-4866-0","Italian Level 1","2","0:16:48","0:16:48","05Q","172","N","I’m well.","","","Italian Phase 1, Units 1 - 30 (2002)","9"
"30","IT","978-1-4423-4866-0","Italian Level 1","2","0:16:53","0:16:54","05R","173","M","Io sto bene.","3","S","Italian Phase 1, Units 1 - 30 (2002)","9"
"31","IT","978-1-4423-4866-0","Italian Level 1","2","0:18:45","0:18:46","06Q","190","N","Goodbye.","","","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"32","IT","978-1-4423-4866-0","Italian Level 1","2","0:18:49","0:18:49","06R","191","M","Arrivederci.","1","S","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"33","IT","978-1-4423-4866-0","Italian Level 1","2","0:23:03","0:23:04","07Q","228","N","Not very well.","","","Italian Phase 1, Units 1 - 30 (2002)","9"
"34","IT","978-1-4423-4866-0","Italian Level 1","2","0:23:07","0:23:08","07R","229","M","Non molto bene.","3","S","Italian Phase 1, Units 1 - 30 (2002)","9"
"35","IT","978-1-4423-4866-0","Italian Level 1","2","0:23:39","0:23:41","08Q","234","N","You understand Italian very well.","","","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"36","IT","978-1-4423-4866-0","Italian Level 1","2","0:23:50","0:23:52","08R","235","F","Lei capisce molto bene l’italiano.","5","S","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"37","IT","978-1-4423-4866-0","Italian Level 1","2","0:25:05","0:25:06","09Q","250","N","I understand English well.","","","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"38","IT","978-1-4423-4866-0","Italian Level 1","2","0:25:16","0:25:18","09R","251","M","Io capisco bene l’inglese.","4","S","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"39","IT","978-1-4423-4866-0","Italian Level 1","3","0:06:02","0:06:03","01Q","72","N","Ask the woman if she’s American.","","","Italian Phase 1, Units 1 - 30 (2002)","10,16"
"40","IT","978-1-4423-4866-0","Italian Level 1","3","0:06:08","0:06:09","01R","73","M","Lei è americana?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","10,16"
"41","IT","978-1-4423-4866-0","Italian Level 1","3","0:11:52","0:11:53","02Q","126","N","And you?","","","Italian Phase 1, Units 1 - 30 (2002)","7,10,13,16"
"42","IT","978-1-4423-4866-0","Italian Level 1","3","0:11:55","0:11:56","02R","127","F","E Lei?","2","Q","Italian Phase 1, Units 1 - 30 (2002)","7,10,13,16"
"43","IT","978-1-4423-4866-0","Italian Level 1","3","0:15:01","0:15:03","03Q","160","N","But I understand Italian.","","","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"44","IT","978-1-4423-4866-0","Italian Level 1","3","0:15:07","0:15:09","03R","161","M","Ma io capisco l’italiano.","4","S","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"45","IT","978-1-4423-4866-0","Italian Level 1","3","0:15:26","0:15:28","04Q","164","N","Are you Italian, ma’am?","","","Italian Phase 1, Units 1 - 30 (2002)","7,10,13,16"
"46","IT","978-1-4423-4866-0","Italian Level 1","3","0:15:32","0:15:33","04R","165","M","Lei è italiana, signora?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","7,10,13,16"
"47","IT","978-1-4423-4866-0","Italian Level 1","3","0:15:46","0:15:47","05Q","166","N","Are you Italian, sir?","","","Italian Phase 1, Units 1 - 30 (2002)","7,13,16"
"48","IT","978-1-4423-4866-0","Italian Level 1","3","0:15:51","0:15:52","05R","167","F","Lei è italiano, signore?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","7,13,16"
"49","IT","978-1-4423-4866-0","Italian Level 1","3","0:17:27","0:17:27","06Q","179","N","Please.","","","Italian Phase 1, Units 1 - 30 (2002)","13,16"
"50","IT","978-1-4423-4866-0","Italian Level 1","3","0:17:30","0:17:31","06R","180","M","Per favore.","2","S","Italian Phase 1, Units 1 - 30 (2002)","13,16"
"51","IT","978-1-4423-4866-0","Italian Level 1","3","0:22:19","0:22:19","07Q","228","N","Are you well?","","","Italian Phase 1, Units 1 - 30 (2002)","10,16"
"52","IT","978-1-4423-4866-0","Italian Level 1","3","0:22:23","0:22:23","07R","229","M","Lei sta bene?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","10,16"
"53","IT","978-1-4423-4866-0","Italian Level 1","3","0:23:56","0:23:56","08Q","245","N","You’re welcome.","","","Italian Phase 1, Units 1 - 30 (2002)","7,10,13"
"54","IT","978-1-4423-4866-0","Italian Level 1","3","0:23:59","0:23:59","08R","246","F","Prego.","1","S","Italian Phase 1, Units 1 - 30 (2002)","7,10,13"
"55","IT","978-1-4423-4866-0","Italian Level 1","4","0:03:51","0:03:52","01Q","52","N","I don’t speak very well.","","","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"56","IT","978-1-4423-4866-0","Italian Level 1","4","0:03:56","0:03:58","01R","53","M","Io non parlo molto bene.","5","S","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"57","IT","978-1-4423-4866-0","Italian Level 1","4","0:04:09","0:04:11","02Q","54","N","You don’t understand English?","","","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"58","IT","978-1-4423-4866-0","Italian Level 1","4","0:04:15","0:04:16","02R","55","M","Lei non capisce l’inglese?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","15,16"
"59","IT","978-1-4423-4866-0","Italian Level 1","4","0:05:00","0:05:01","03Q","61","N","And I speak a little.","","","Italian Phase 1, Units 1 - 30 (2002)","12,15,16"
"60","IT","978-1-4423-4866-0","Italian Level 1","4","0:05:04","0:05:05","03R","62","F","Ed io parlo un po’.","5","S","Italian Phase 1, Units 1 - 30 (2002)","12,15,16"
"61","IT","978-1-4423-4866-0","Italian Level 1","4","0:06:33","0:06:34","04Q","74","N","And me?","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"62","IT","978-1-4423-4866-0","Italian Level 1","4","0:06:37","0:06:37","04R","75","M","Ed io?","2","Q","Italian Phase 1, Units 1 - 30 (2002)","7"
"63","IT","978-1-4423-4866-0","Italian Level 1","4","0:09:23","0:09:24","05Q","101","N","Where is the street?","","","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"64","IT","978-1-4423-4866-0","Italian Level 1","4","0:09:28","0:09:29","05R","102","M","Dov’è la via?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"65","IT","978-1-4423-4866-0","Italian Level 1","4","0:10:14","0:10:15","06Q","107","N","Where is the avenue?","","","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"66","IT","978-1-4423-4866-0","Italian Level 1","4","0:10:24","0:10:25","06R","108","M","Dov’è il viale?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"67","IT","978-1-4423-4866-0","Italian Level 1","4","0:14:47","0:14:48","07Q","147","N","The city square","","","Italian Phase 1, Units 1 - 30 (2002)","4,18"
"68","IT","978-1-4423-4866-0","Italian Level 1","4","0:14:52","0:14:53","07R","148","M","La piazza.","2","S","Italian Phase 1, Units 1 - 30 (2002)","4,18"
"69","IT","978-1-4423-4866-0","Italian Level 1","4","0:16:49","0:16:50","08Q","166","N","It’s here.","","","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"70","IT","978-1-4423-4866-0","Italian Level 1","4","0:16:53","0:16:53","08R","167","F","È qui.","2","S","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"71","IT","978-1-4423-4866-0","Italian Level 1","4","0:19:14","0:19:15","09Q","187","N","It’s not over there.","","","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"72","IT","978-1-4423-4866-0","Italian Level 1","4","0:19:18","0:19:19","09R","188","F","Non è lì.","3","S","Italian Phase 1, Units 1 - 30 (2002)","4,16"
"73","IT","978-1-4423-4866-0","Italian Level 1","4","0:21:10","0:21:12","10Q","205","N","The avenue is over there.","","","Italian Phase 1, Units 1 - 30 (2002)","4"
"74","IT","978-1-4423-4866-0","Italian Level 1","4","0:21:15","0:21:16","10R","206","F","Il viale è lì.","4","S","Italian Phase 1, Units 1 - 30 (2002)","4"
"75","IT","978-1-4423-4866-0","Italian Level 1","5","0:08:39","0:08:40","01Q","101","N","I don’t know.","","","Italian Phase 1, Units 1 - 30 (2002)","4,7,15,16"
"76","IT","978-1-4423-4866-0","Italian Level 1","5","0:08:42","0:08:43","01R","102","F","Io non so.","3","S","Italian Phase 1, Units 1 - 30 (2002)","4,7,15,16"
"77","IT","978-1-4423-4866-0","Italian Level 1","5","0:10:28","0:10:28","02Q","122","N","Do you know?","","","Italian Phase 1, Units 1 - 30 (2002)","7,15,16"
"78","IT","978-1-4423-4866-0","Italian Level 1","5","0:10:31","0:10:32","02R","123","M","Lei sa?","2","Q","Italian Phase 1, Units 1 - 30 (2002)","7,15,16"
"79","IT","978-1-4423-4866-0","Italian Level 1","5","0:11:45","0:11:46","03Q","136","N","I want.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"80","IT","978-1-4423-4866-0","Italian Level 1","5","0:11:48","0:11:49","03R","137","M","Io voglio.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"81","IT","978-1-4423-4866-0","Italian Level 1","5","0:12:14","0:12:14","04Q","141","N","You want.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"82","IT","978-1-4423-4866-0","Italian Level 1","5","0:12:17","0:12:18","04R","142","M","Lei vuole.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"83","IT","978-1-4423-4866-0","Italian Level 1","5","0:14:33","0:14:34","05Q","166","N","To eat.","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"84","IT","978-1-4423-4866-0","Italian Level 1","5","0:14:34","0:14:35","05R","167","M","Mangiare.","1","S","Italian Phase 1, Units 1 - 30 (2002)","6"
"85","IT","978-1-4423-4866-0","Italian Level 1","5","0:14:55","0:14:55","06Q","170","N","Something.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"86","IT","978-1-4423-4866-0","Italian Level 1","5","0:14:56","0:14:57","06R","171","F","Qualcosa.","1","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"87","IT","978-1-4423-4866-0","Italian Level 1","5","0:15:53","0:15:55","07Q","178","N","Would you like to eat something?","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"88","IT","978-1-4423-4866-0","Italian Level 1","5","0:16:00","0:16:01","07R","179","M","Lei vorrebbe mangiare qualcosa?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","6"
"89","IT","978-1-4423-4866-0","Italian Level 1","5","0:16:37","0:16:38","08Q","184","N","I would like.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"90","IT","978-1-4423-4866-0","Italian Level 1","5","0:16:41","0:16:42","08R","185","F","Io vorrei.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"91","IT","978-1-4423-4866-0","Italian Level 1","5","0:18:01","0:18:02","09Q","196","N","I would like to drink something.","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"92","IT","978-1-4423-4866-0","Italian Level 1","5","0:18:04","0:18:05","09R","197","F","Io vorrei bere qualcosa.","4","S","Italian Phase 1, Units 1 - 30 (2002)","6"
"93","IT","978-1-4423-4866-0","Italian Level 1","5","0:19:11","0:19:12","10Q","207","N","You don’t know?","","","Italian Phase 1, Units 1 - 30 (2002)","7,15,16"
"94","IT","978-1-4423-4866-0","Italian Level 1","5","0:19:14","0:19:15","10R","208","M","Lei non sa?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","7,15,16"
"95","IT","978-1-4423-4866-0","Italian Level 1","5","0:20:30","0:20:32","11Q","220","N","Would you like to drink something?","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"96","IT","978-1-4423-4866-0","Italian Level 1","5","0:20:36","0:20:38","11R","221","M","Lei vorrebbe bere qualcosa?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","6"
"97","IT","978-1-4423-4866-0","Italian Level 1","5","0:25:00","0:25:00","12Q","259","N","No, thank you.","","","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"98","IT","978-1-4423-4866-0","Italian Level 1","5","0:25:04","0:25:04","12R","260","F","No, grazie.","2","S","Italian Phase 1, Units 1 - 30 (2002)","10,13,16"
"99","IT","978-1-4423-4866-0","Italian Level 1","6","0:07:57","0:07:57","01Q","90","N","At my place.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"100","IT","978-1-4423-4866-0","Italian Level 1","6","0:07:59","0:08:00","01R","91","F","Da me.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"101","IT","978-1-4423-4866-0","Italian Level 1","6","0:09:16","0:09:17","02Q","103","N","You too.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"102","IT","978-1-4423-4866-0","Italian Level 1","6","0:09:20","0:09:20","02R","104","F","Anche Lei.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"103","IT","978-1-4423-4866-0","Italian Level 1","6","0:09:54","0:09:55","03Q","108","N","Me too.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"104","IT","978-1-4423-4866-0","Italian Level 1","6","0:09:57","0:09:58","03R","109","M","Anch’io.","1","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"105","IT","978-1-4423-4866-0","Italian Level 1","6","0:10:56","0:10:57","04Q","118","N","When?","","","Italian Phase 1, Units 1 - 30 (2002)","7,16"
"106","IT","978-1-4423-4866-0","Italian Level 1","6","0:10:57","0:10:58","04R","119","M","Quando?","1","Q","Italian Phase 1, Units 1 - 30 (2002)","7,16"
"107","IT","978-1-4423-4866-0","Italian Level 1","6","0:11:49","0:11:50","05Q","126","N","Now.","","","Italian Phase 1, Units 1 - 30 (2002)","17"
"108","IT","978-1-4423-4866-0","Italian Level 1","6","0:11:53","0:11:53","05R","127","M","Adesso.","1","S","Italian Phase 1, Units 1 - 30 (2002)","17"
"109","IT","978-1-4423-4866-0","Italian Level 1","6","0:12:35","0:12:36","06Q","135","N","I too would like to eat.","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"110","IT","978-1-4423-4866-0","Italian Level 1","6","0:12:40","0:12:41","06R","136","F","Anch’io vorrei mangiare.","3","S","Italian Phase 1, Units 1 - 30 (2002)","6"
"111","IT","978-1-4423-4866-0","Italian Level 1","6","0:14:08","0:14:08","07Q","148","N","Later.","","","Italian Phase 1, Units 1 - 30 (2002)","16,17"
"112","IT","978-1-4423-4866-0","Italian Level 1","6","0:14:11","0:14:12","07R","149","M","Più tardi.","2","S","Italian Phase 1, Units 1 - 30 (2002)","16,17"
"113","IT","978-1-4423-4866-0","Italian Level 1","6","0:16:10","0:16:10","08Q","167","N","Where?","","","Italian Phase 1, Units 1 - 30 (2002)","4,7,16"
"114","IT","978-1-4423-4866-0","Italian Level 1","6","0:16:13","0:16:13","08R","168","F","Dove?","1","Q","Italian Phase 1, Units 1 - 30 (2002)","4,7,16"
"115","IT","978-1-4423-4866-0","Italian Level 1","6","0:16:35","0:16:36","09Q","172","N","At your place.","","","Italian Phase 1, Units 1 - 30 (2002)","4,7"
"116","IT","978-1-4423-4866-0","Italian Level 1","6","0:16:39","0:16:40","09R","173","M","Da Lei.","2","S","Italian Phase 1, Units 1 - 30 (2002)","4,7"
"117","IT","978-1-4423-4866-0","Italian Level 1","6","0:22:56","0:22:57","10Q","229","N","When would you like to drink something?","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"118","IT","978-1-4423-4866-0","Italian Level 1","6","0:23:03","0:23:04","10R","230","M","Lei quando vorrebbe bere qualcosa?","5","Q","Italian Phase 1, Units 1 - 30 (2002)","6"
"119","IT","978-1-4423-4866-0","Italian Level 1","7","0:03:53","0:03:54","01Q","58","N","Where would you like to eat?","","","Italian Phase 1, Units 1 - 30 (2002)","4,6,16"
"120","IT","978-1-4423-4866-0","Italian Level 1","7","0:03:59","0:04:00","01R","59","F","Lei dove vorrebbe mangiare?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","4,6,16"
"121","IT","978-1-4423-4866-0","Italian Level 1","7","0:04:11","0:04:12","02Q","61","N","Not here.","","","Italian Phase 1, Units 1 - 30 (2002)","7,16"
"122","IT","978-1-4423-4866-0","Italian Level 1","7","0:04:14","0:04:15","02R","62","M","Non qui.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7,16"
"123","IT","978-1-4423-4866-0","Italian Level 1","7","0:08:02","0:08:03","03Q","98","N","All right.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"124","IT","978-1-4423-4866-0","Italian Level 1","7","0:08:06","0:08:06","03R","99","F","D’accordo.","1","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"125","IT","978-1-4423-4866-0","Italian Level 1","7","0:09:37","0:09:38","04Q","115","N","At the restaurant.","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"126","IT","978-1-4423-4866-0","Italian Level 1","7","0:09:40","0:09:41","04R","116","M","Al ristorante.","2","S","Italian Phase 1, Units 1 - 30 (2002)","6"
"127","IT","978-1-4423-4866-0","Italian Level 1","7","0:11:29","0:11:30","05Q","132","N","It’s not OK.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"128","IT","978-1-4423-4866-0","Italian Level 1","7","0:11:32","0:11:33","05R","133","F","Non va bene.","3","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"129","IT","978-1-4423-4866-0","Italian Level 1","7","0:12:08","0:12:09","06Q","138","N","When would you like to eat?","","","Italian Phase 1, Units 1 - 30 (2002)","6,16"
"130","IT","978-1-4423-4866-0","Italian Level 1","7","0:12:13","0:12:15","06R","139","M","Lei quando vorrebbe mangiare?","4","Q","Italian Phase 1, Units 1 - 30 (2002)","6,16"
"131","IT","978-1-4423-4866-0","Italian Level 1","7","0:14:19","0:14:20","07Q","160","N","What would you like to drink?","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"132","IT","978-1-4423-4866-0","Italian Level 1","7","0:14:24","0:14:25","07R","161","F","Lei che cosa vorrebbe bere?","5","Q","Italian Phase 1, Units 1 - 30 (2002)","6"
"133","IT","978-1-4423-4866-0","Italian Level 1","7","0:14:35","0:14:36","08Q","163","N","Some wine.","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"134","IT","978-1-4423-4866-0","Italian Level 1","7","0:14:37","0:14:38","08R","164","F","Del vino.","2","S","Italian Phase 1, Units 1 - 30 (2002)","6"
"135","IT","978-1-4423-4866-0","Italian Level 1","7","0:18:33","0:18:35","09Q","202","N","I would like some beer.","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"136","IT","978-1-4423-4866-0","Italian Level 1","7","0:18:38","0:18:39","09R","203","F","Io vorrei della birra.","4","S","Italian Phase 1, Units 1 - 30 (2002)","6"
"137","IT","978-1-4423-4866-0","Italian Level 1","7","0:24:20","0:24:21","10Q","257","N","What would you like to eat?","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"138","IT","978-1-4423-4866-0","Italian Level 1","7","0:24:26","0:24:27","10R","258","M","Lei che cosa vorrebbe mangiare?","5","Q","Italian Phase 1, Units 1 - 30 (2002)","6"
"139","IT","978-1-4423-4866-0","Italian Level 1","8","0:06:54","0:06:55","01Q","74","N","Two beers, please.","","","Italian Phase 1, Units 1 - 30 (2002)","6,12,13,16"
"140","IT","978-1-4423-4866-0","Italian Level 1","8","0:06:59","0:07:00","01R","75","M","Due birre, per favore.","4","S","Italian Phase 1, Units 1 - 30 (2002)","6,12,13,16"
"141","IT","978-1-4423-4866-0","Italian Level 1","8","0:08:14","0:08:15","02Q","86","N","Or some wine?","","","Italian Phase 1, Units 1 - 30 (2002)","6"
"142","IT","978-1-4423-4866-0","Italian Level 1","8","0:08:17","0:08:18","02R","87","M","O del vino?","3","Q","Italian Phase 1, Units 1 - 30 (2002)","6"
"143","IT","978-1-4423-4866-0","Italian Level 1","8","0:12:39","0:12:39","03Q","130","N","That’s fine.","","","Italian Phase 1, Units 1 - 30 (2002)","13,16"
"144","IT","978-1-4423-4866-0","Italian Level 1","8","0:12:42","0:12:43","03R","131","M","Va bene.","2","S","Italian Phase 1, Units 1 - 30 (2002)","13,16"
"145","IT","978-1-4423-4866-0","Italian Level 1","8","0:15:12","0:15:13","04Q","157","N","At the hotel.","","","Italian Phase 1, Units 1 - 30 (2002)","16,18"
"146","IT","978-1-4423-4866-0","Italian Level 1","8","0:15:16","0:15:16","04R","158","F","All’hotel.","1","S","Italian Phase 1, Units 1 - 30 (2002)","16,18"
"147","IT","978-1-4423-4866-0","Italian Level 1","8","0:17:03","0:17:04","05Q","174","N","I would like to buy something.","","","Italian Phase 1, Units 1 - 30 (2002)","14,16"
"148","IT","978-1-4423-4866-0","Italian Level 1","8","0:17:09","0:17:10","05R","175","F","Io vorrei comprare qualcosa.","4","S","Italian Phase 1, Units 1 - 30 (2002)","14,16"
"149","IT","978-1-4423-4866-0","Italian Level 1","8","0:17:24","0:17:25","06Q","178","N","I would like to do something.","","","Italian Phase 1, Units 1 - 30 (2002)","1"
"150","IT","978-1-4423-4866-0","Italian Level 1","8","0:17:29","0:17:30","06R","179","F","Io vorrei fare qualcosa.","4","S","Italian Phase 1, Units 1 - 30 (2002)","1"
"151","IT","978-1-4423-4866-0","Italian Level 1","8","0:17:41","0:17:41","07Q","180","N","With whom?","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"152","IT","978-1-4423-4866-0","Italian Level 1","8","0:17:42","0:17:42","07R","181","M","Con chi?","2","Q","Italian Phase 1, Units 1 - 30 (2002)","7"
"153","IT","978-1-4423-4866-0","Italian Level 1","8","0:18:26","0:18:26","08Q","187","N","With you.","","","Italian Phase 1, Units 1 - 30 (2002)","7"
"154","IT","978-1-4423-4866-0","Italian Level 1","8","0:18:29","0:18:29","08R","188","F","Con Lei.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7"
"155","IT","978-1-4423-4866-0","Italian Level 1","8","0:24:54","0:24:56","09Q","247","N","I would like to eat later.","","","Italian Phase 1, Units 1 - 30 (2002)","6,17"
"156","IT","978-1-4423-4866-0","Italian Level 1","8","0:25:03","0:25:04","09R","248","M","Io vorrei mangiare piú tardi.","5","S","Italian Phase 1, Units 1 - 30 (2002)","6,17"
"157","IT","978-1-4423-4866-0","Italian Level 1","9","0:02:18","0:02:18","01Q","44","N","Tell me.","","","Italian Phase 1, Units 1 - 30 (2002)","7,15,16"
"158","IT","978-1-4423-4866-0","Italian Level 1","9","0:02:21","0:02:21","01R","45","F","Mi dica.","2","S","Italian Phase 1, Units 1 - 30 (2002)","7,15,16"
"159","IT","978-1-4423-4866-0","Italian Level 1","9","0:04:50","0:04:51","02Q","70","N","I would like to buy some wine.","","","Italian Phase 1, Units 1 - 30 (2002)","6,14"
