Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,Snippet Name,Skills
12,12,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02R_B,F,Wir treffen uns später.,9781442370562_German_4_QZ_0012.mp3,"1,17"
13,13,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02Q_C,N,We’re going to meet there.,9781442370562_German_4_QZ_0013.mp3,"1,20"
14,14,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02R_C,F,Wir treffen uns dort.,9781442370562_German_4_QZ_0014.mp3,"1,20"
15,15,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02Q_D,N,We’re going to meet afterwards.,9781442370562_German_4_QZ_0015.mp3,"1,17"
16,16,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02R_D,M,Wir treffen uns nachher.,9781442370562_German_4_QZ_0016.mp3,"1,17"
17,17,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03Q_A,N,After the trade fair we’re going to meet in Leipzig.,9781442370562_German_4_QZ_0017.mp3,"18,20"
18,18,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03R_A,F,Nach der Fachmesse treffen wir uns in Leipzig.,9781442370562_German_4_QZ_0018.mp3,"18,20"
19,19,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03Q_B,N,After the trade fair we’re going to Leipzig.,9781442370562_German_4_QZ_0019.mp3,"18,20"
20,20,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03R_B,F,Nach der Fachmesse fahren wir nach Leipzig.,9781442370562_German_4_QZ_0020.mp3,"18,20"
21,21,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03Q_C,N,After the trade fair we’re flying to Leipzig.,9781442370562_German_4_QZ_0021.mp3,"18,20"
22,22,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03R_C,F,Nach der Fachmesse fliegen wir nach Leipzig.,9781442370562_German_4_QZ_0022.mp3,"18,20"
23,23,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03Q_D,N,After the trade fair we’re staying in Leipzig.,9781442370562_German_4_QZ_0023.mp3,"18,20"
24,24,GR,978-1-4423-7056-2,German 4,1,,,U01-03,03R_D,F,Nach der Fachmesse bleiben wir in Leipzig.,9781442370562_German_4_QZ_0024.mp3,"18,20"
25,25,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04Q_A,N,He works for a hotel chain.,9781442370562_German_4_QZ_0025.mp3,"18,20"
26,26,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04R_A,M,Er arbeitet für eine Hotelkette.,9781442370562_German_4_QZ_0026.mp3,"18,20"
27,27,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04Q_B,N,He works for a small hotel.,9781442370562_German_4_QZ_0027.mp3,"18,20"
28,28,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04R_B,M,Er arbeitet für ein kleines Hotel.,9781442370562_German_4_QZ_0028.mp3,"18,20"
29,29,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04Q_C,N,He worked for a hotel chain.,9781442370562_German_4_QZ_0029.mp3,"18,20"
30,30,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04R_C,F,Er hat für eine Hotelkette gearbeitet.,9781442370562_German_4_QZ_0030.mp3,"18,20"
31,31,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04Q_D,N,He works for a small hotel chain.,9781442370562_German_4_QZ_0031.mp3,"18,20"
32,32,GR,978-1-4423-7056-2,German 4,1,,,U01-04,04R_D,M,Er arbeitet für eine kleine Hotelkette.,9781442370562_German_4_QZ_0032.mp3,"18,20"
33,33,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05Q_A,N,Hopefully the weather is staying beautiful.,9781442370562_German_4_QZ_0033.mp3,"18,19"
34,34,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05R_A,F,Hoffentlich bleibt das Wetter schön.,9781442370562_German_4_QZ_0034.mp3,"18,19"
35,35,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05Q_B,N,Hopefully the weather is beautiful.,9781442370562_German_4_QZ_0035.mp3,"18,19"
36,36,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05R_B,M,Hoffentlich ist das Wetter schön.,9781442370562_German_4_QZ_0036.mp3,"18,19"
37,37,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05Q_C,N,Hopefully the weather is good.,9781442370562_German_4_QZ_0037.mp3,"18,19"
38,38,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05R_C,M,Hoffentlich ist das Wetter gut.,9781442370562_German_4_QZ_0038.mp3,"18,19"
39,39,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05Q_D,N,Hopefully the weather will be better.,9781442370562_German_4_QZ_0039.mp3,"18,19"
40,40,GR,978-1-4423-7056-2,German 4,1,,,U01-05,05R_D,F,Hoffentlich wird das Wetter besser.,9781442370562_German_4_QZ_0040.mp3,"18,19"
41,41,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06Q_A,N,I’d like to attend a trade fair.,9781442370562_German_4_QZ_0041.mp3,20
42,42,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06R_A,M,Ich möchte eine Fachmesse besuchen.,9781442370562_German_4_QZ_0042.mp3,20
43,43,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06Q_B,N,I attended a trade fair.,9781442370562_German_4_QZ_0043.mp3,20
44,44,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06R_B,M,Ich habe eine Fachmesse besucht.,9781442370562_German_4_QZ_0044.mp3,20
45,45,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06Q_C,N,I’m attending a trade fair.,9781442370562_German_4_QZ_0045.mp3,20
46,46,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06R_C,F,Ich besuche eine Fachmesse.,9781442370562_German_4_QZ_0046.mp3,20
47,47,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06Q_D,N,I have to attend a trade fair.,9781442370562_German_4_QZ_0047.mp3,20
48,48,GR,978-1-4423-7056-2,German 4,1,,,U01-06,06R_D,F,Ich muss eine Fachmesse besuchen.,9781442370562_German_4_QZ_0048.mp3,20
49,49,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07Q_A,N,What are you by profession?,9781442370562_German_4_QZ_0049.mp3,"10,20"
50,50,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07R_A,M,Was sind Sie von Beruf?,9781442370562_German_4_QZ_0050.mp3,"10,20"
51,51,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07Q_B,N,What is she by profession?,9781442370562_German_4_QZ_0051.mp3,"5,20"
52,52,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07R_B,M,Was ist sie von Beruf?,9781442370562_German_4_QZ_0052.mp3,"5,20"
53,53,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07Q_C,N,Are you a tour guide by profession?,9781442370562_German_4_QZ_0053.mp3,"18,20"
54,54,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07R_C,F,Sind Sie Reiseleiterin von Beruf?,9781442370562_German_4_QZ_0054.mp3,"18,20"
55,55,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07Q_D,N,Are you a doctor by profession?,9781442370562_German_4_QZ_0055.mp3,"8,20"
56,56,GR,978-1-4423-7056-2,German 4,1,,,U01-07,07R_D,F,Sind Sie Arzt von Beruf?,9781442370562_German_4_QZ_0056.mp3,"8,20"
57,57,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08Q_A,N,She’s a guide.,9781442370562_German_4_QZ_0057.mp3,"5,20"
58,58,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08R_A,M,Sie ist Leiterin.,9781442370562_German_4_QZ_0058.mp3,"5,20"
59,59,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08Q_B,N,She’s a teacher.,9781442370562_German_4_QZ_0059.mp3,"5,20"
60,60,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08R_B,M,Sie ist Lehrerin.,9781442370562_German_4_QZ_0060.mp3,"5,20"
61,61,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08Q_C,N,She’s a tour guide by profession,9781442370562_German_4_QZ_0061.mp3,"5,18,20"
62,62,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08R_C,F,Sie ist Reiseleiterin von Beruf.,9781442370562_German_4_QZ_0062.mp3,"5,18,20"
63,63,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08Q_D,N,She was a tour guide by profession,9781442370562_German_4_QZ_0063.mp3,"5,18,20"
64,64,GR,978-1-4423-7056-2,German 4,1,,,U01-08,08R_D,M,Sie war Reiseleiterin von Beruf.,9781442370562_German_4_QZ_0064.mp3,"5,18,20"
65,65,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01Q_A,N,I read a lot about it.,9781442370562_German_4_QZ_0065.mp3,"1,12"
66,66,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01R_A,M,Ich habe viel darüber gelesen.,9781442370562_German_4_QZ_0066.mp3,"1,12"
67,67,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01Q_B,N,I just read about it.,9781442370562_German_4_QZ_0067.mp3,1
68,68,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01R_B,M,Ich habe gerade darüber gelesen.,9781442370562_German_4_QZ_0068.mp3,1
69,69,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01Q_C,N,I already read about it.,9781442370562_German_4_QZ_0069.mp3,1
70,70,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01R_C,F,Ich habe schon darüber gelesen.,9781442370562_German_4_QZ_0070.mp3,1
71,71,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01Q_D,N,I already read it.,9781442370562_German_4_QZ_0071.mp3,1
72,72,GR,978-1-4423-7056-2,German 4,2,,,U02-01,01R_D,M,Ich habe ihn schon gelesen.,9781442370562_German_4_QZ_0072.mp3,1
73,73,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02Q_A,N,How long will you stay there?,9781442370562_German_4_QZ_0073.mp3,"17,18"
74,74,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02R_A,M,Wie lange werden Sie dort bleiben?,9781442370562_German_4_QZ_0074.mp3,"17,18"
75,75,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02Q_B,N,How long will you stay here?,9781442370562_German_4_QZ_0075.mp3,"17,18"
76,76,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02R_B,M,Wie lange werden Sie hier bleiben?,9781442370562_German_4_QZ_0076.mp3,"17,18"
77,77,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02Q_C,N,How long are you staying there?,9781442370562_German_4_QZ_0077.mp3,"17,18"
78,78,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02R_C,F,Wie lange bleiben Sie dort?,9781442370562_German_4_QZ_0078.mp3,"17,18"
79,79,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02Q_D,N,How long do you want to stay there?,9781442370562_German_4_QZ_0079.mp3,"17,18"
80,80,GR,978-1-4423-7056-2,German 4,2,,,U02-02,02R_D,F,Wie lange wollen Sie dort bleiben?,9781442370562_German_4_QZ_0080.mp3,"17,18"
81,81,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03Q_A,N,We met each other yesterday.,9781442370562_German_4_QZ_0081.mp3,"1,17"
82,82,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03R_A,M,Wir haben uns gestern kennengelernt.,9781442370562_German_4_QZ_0082.mp3,"1,17"
83,83,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03Q_B,N,We just met each other.,9781442370562_German_4_QZ_0083.mp3,"1,9"
84,84,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03R_B,F,Wir haben uns gerade kennengelernt.,9781442370562_German_4_QZ_0084.mp3,"1,9"
85,85,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03Q_C,N,We already met each other.,9781442370562_German_4_QZ_0085.mp3,"1,9"
86,86,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03R_C,M,Wir haben uns schon kennengelernt.,9781442370562_German_4_QZ_0086.mp3,"1,9"
87,87,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03Q_D,N,We never met each other.,9781442370562_German_4_QZ_0087.mp3,"1,9"
88,88,GR,978-1-4423-7056-2,German 4,2,,,U02-03,03R_D,M,Wir haben uns nie kennengelernt.,9781442370562_German_4_QZ_0088.mp3,"1,9"
89,89,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04Q_A,N,I almost forgot them.,9781442370562_German_4_QZ_0089.mp3,7
90,90,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04R_A,M,Ich habe sie fast vergessen.,9781442370562_German_4_QZ_0090.mp3,7
91,91,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04Q_B,N,I never forgot them.,9781442370562_German_4_QZ_0091.mp3,"7,17"
92,92,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04R_B,F,Ich habe sie nie vergessen.,9781442370562_German_4_QZ_0092.mp3,"7,17"
93,93,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04Q_C,N,That I almost forgot.,9781442370562_German_4_QZ_0093.mp3,7
94,94,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04R_C,F,Das habe ich fast vergessen.,9781442370562_German_4_QZ_0094.mp3,7
95,95,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04Q_D,N,That I never forget.,9781442370562_German_4_QZ_0095.mp3,"7,17"
96,96,GR,978-1-4423-7056-2,German 4,2,,,U02-04,04R_D,M,Das vergesse ich nie.,9781442370562_German_4_QZ_0096.mp3,"7,17"
97,97,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05Q_A,N,That will hopefully be interesting.,9781442370562_German_4_QZ_0097.mp3,7
98,98,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05R_A,M,Die wird hoffentlich interessant sein.,9781442370562_German_4_QZ_0098.mp3,7
99,99,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05Q_B,N,That will certainly be interesting.,9781442370562_German_4_QZ_0099.mp3,7
100,100,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05R_B,F,Die wird sicher interessant sein.,9781442370562_German_4_QZ_0100.mp3,7
101,101,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05Q_C,N,That will no doubt be interesting.,9781442370562_German_4_QZ_0101.mp3,7
102,102,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05R_C,F,Die wird bestimmt interessant sein.,9781442370562_German_4_QZ_0102.mp3,7
103,103,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05Q_D,N,That will be very interesting.,9781442370562_German_4_QZ_0103.mp3,7
104,104,GR,978-1-4423-7056-2,German 4,2,,,U02-05,05R_D,M,Die wird sehr interessant sein.,9781442370562_German_4_QZ_0104.mp3,7
105,105,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06Q_A,N,Then we will go on vacation.,9781442370562_German_4_QZ_0105.mp3,"1,18"
106,106,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06R_A,F,Dann werden wir in Urlaub fahren.,9781442370562_German_4_QZ_0106.mp3,"1,18"
107,107,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06Q_B,N,Then we would like to go on vacation.,9781442370562_German_4_QZ_0107.mp3,"1,18"
108,108,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06R_B,F,Dann möchten wir in Urlaub fahren.,9781442370562_German_4_QZ_0108.mp3,"1,18"
109,109,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06Q_C,N,Then we want to go on vacation.,9781442370562_German_4_QZ_0109.mp3,"1,18"
110,110,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06R_C,M,Dann wollen wir in Urlaub fahren.,9781442370562_German_4_QZ_0110.mp3,"1,18"
111,111,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06Q_D,N,Then we would enjoy going on vacation.,9781442370562_German_4_QZ_0111.mp3,"1,18"
112,112,GR,978-1-4423-7056-2,German 4,2,,,U02-06,06R_D,M,Dann würden wir gern in Urlaub fahren.,9781442370562_German_4_QZ_0112.mp3,"1,18"
113,113,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07Q_A,N,That is a very big chain.,9781442370562_German_4_QZ_0113.mp3,"7,9,14,20"
114,114,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07R_A,F,Das ist eine sehr große Kette.,9781442370562_German_4_QZ_0114.mp3,"7,9,14,20"
115,115,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07Q_B,N,That is a very big church.,9781442370562_German_4_QZ_0115.mp3,"9,18"
116,116,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07R_B,M,Das ist eine sehr große Kirche.,9781442370562_German_4_QZ_0116.mp3,"9,18"
117,117,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07Q_C,N,That is a very big kitchen.,9781442370562_German_4_QZ_0117.mp3,"7,9"
118,118,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07R_C,M,Das ist eine sehr große Küche.,9781442370562_German_4_QZ_0118.mp3,"7,9"
119,119,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07Q_D,N,That was a very big chain.,9781442370562_German_4_QZ_0119.mp3,"7,9,14,20"
120,120,GR,978-1-4423-7056-2,German 4,2,,,U02-07,07R_D,M,Das war eine sehr große Kette.,9781442370562_German_4_QZ_0120.mp3,"7,9,14,20"
121,121,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08Q_A,N,I took also a few day trips.,9781442370562_German_4_QZ_0121.mp3,"1,12,17,18"
122,122,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08R_A,F,Ich habe auch einige Tagesreisen gemacht.,9781442370562_German_4_QZ_0122.mp3,"1,12,17,18"
123,123,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08Q_B,N,I would also like very much to take a few day trips.,9781442370562_German_4_QZ_0123.mp3,"1,12,17,18"
124,124,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08R_B,M,Ich möchte auch gern einige Tagesreisen machen.,9781442370562_German_4_QZ_0124.mp3,"1,12,17,18"
125,125,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08Q_C,N,I took also no day trips.,9781442370562_German_4_QZ_0125.mp3,"1,12,17,18"
126,126,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08R_C,F,Ich habe auch keine Tagesreisen gemacht.,9781442370562_German_4_QZ_0126.mp3,"1,12,17,18"
127,127,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08Q_D,N,I took also a lot of day trips.,9781442370562_German_4_QZ_0127.mp3,"1,12,17,18"
128,128,GR,978-1-4423-7056-2,German 4,2,,,U02-08,08R_D,M,Ich habe auch viele Tagesreisen gemacht.,9781442370562_German_4_QZ_0128.mp3,"1,12,17,18"
129,129,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01Q_A,N,After it we’re going shopping.,9781442370562_German_4_QZ_0129.mp3,"14,17"
130,130,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01R_A,M,Danach gehen wir einkaufen.,9781442370562_German_4_QZ_0130.mp3,"14,17"
131,131,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01Q_B,N,Afterwards we’re going shopping.,9781442370562_German_4_QZ_0131.mp3,"14,17"
132,132,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01R_B,M,Nachher gehen wir einkaufen.,9781442370562_German_4_QZ_0132.mp3,"14,17"
133,133,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01Q_C,N,Later we’re going shopping.,9781442370562_German_4_QZ_0133.mp3,"14,17"
134,134,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01R_C,F,Später gehen wir einkaufen.,9781442370562_German_4_QZ_0134.mp3,"14,17"
135,135,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01Q_D,N,After we will go shopping.,9781442370562_German_4_QZ_0135.mp3,"14,17"
136,136,GR,978-1-4423-7056-2,German 4,3,,,U03-01,01R_D,M,Danach werden wir einkaufen gehen.,9781442370562_German_4_QZ_0136.mp3,"14,17"
137,137,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02Q_A,N,I believe I have heard of it.,9781442370562_German_4_QZ_0137.mp3,9
138,138,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02R_A,F,"Ich glaube, ich habe davon gehört.",9781442370562_German_4_QZ_0138.mp3,9
139,139,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02Q_B,N,I believe I have heard it.,9781442370562_German_4_QZ_0139.mp3,9
140,140,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02R_B,M,"Ich glaube, ich habe es gehört.",9781442370562_German_4_QZ_0140.mp3,9
141,141,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02Q_C,N,I believe I have never heard of it.,9781442370562_German_4_QZ_0141.mp3,"9,17"
142,142,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02R_C,M,"Ich glaube, ich habe nie davon gehört.",9781442370562_German_4_QZ_0142.mp3,"9,17"
143,143,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02Q_D,N,I believe I have often heard of it.,9781442370562_German_4_QZ_0143.mp3,"9,17"
144,144,GR,978-1-4423-7056-2,German 4,3,,,U03-02,02R_D,F,"Ich glaube, ich habe oft davon gehört.",9781442370562_German_4_QZ_0144.mp3,"9,17"
145,145,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03Q_A,N,You no doubt met each other.,9781442370562_German_4_QZ_0145.mp3,9
146,146,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03R_A,F,Ihr habt euch bestimmt kennengelernt.,9781442370562_German_4_QZ_0146.mp3,9
147,147,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03Q_B,N,You met each other already.,9781442370562_German_4_QZ_0147.mp3,"9,17"
148,148,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03R_B,M,Ihr habt euch schon kennengelernt.,9781442370562_German_4_QZ_0148.mp3,"9,17"
149,149,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03Q_C,N,You no doubt met each other.,9781442370562_German_4_QZ_0149.mp3,9
150,150,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03R_C,F,Sie haben sich bestimmt kennengelernt.,9781442370562_German_4_QZ_0150.mp3,9
151,151,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03Q_D,N,You don’t know her.,9781442370562_German_4_QZ_0151.mp3,5
152,152,GR,978-1-4423-7056-2,German 4,3,,,U03-03,03R_D,M,Sie kennen sie nicht.,9781442370562_German_4_QZ_0152.mp3,5
153,153,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04Q_A,N,We will go shopping right away.,9781442370562_German_4_QZ_0153.mp3,"14,17"
154,154,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04R_A,F,Wir werden sofort einkaufen gehen.,9781442370562_German_4_QZ_0154.mp3,"14,17"
155,155,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04Q_B,N,We have to go shopping right away.,9781442370562_German_4_QZ_0155.mp3,"14,17"
156,156,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04R_B,M,Wir müssen sofort einkaufen gehen.,9781442370562_German_4_QZ_0156.mp3,"14,17"
157,157,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04Q_C,N,We’d like to go shopping soon.,9781442370562_German_4_QZ_0157.mp3,"14,17"
158,158,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04R_C,F,Wir möchten bald einkaufen gehen.,9781442370562_German_4_QZ_0158.mp3,"14,17"
159,159,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04Q_D,N,We will go shopping soon.,9781442370562_German_4_QZ_0159.mp3,"14,17"
160,160,GR,978-1-4423-7056-2,German 4,3,,,U03-04,04R_D,F,Wir werden bald einkaufen gehen.,9781442370562_German_4_QZ_0160.mp3,"14,17"
161,161,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05Q_A,N,She is not very well known.,9781442370562_German_4_QZ_0161.mp3,"7,9"
162,162,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05R_A,F,Sie ist nicht sehr bekannt.,9781442370562_German_4_QZ_0162.mp3,"7,9"
163,163,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05Q_B,N,She is my acquaintance.,9781442370562_German_4_QZ_0163.mp3,5
164,164,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05R_B,M,Sie ist meine Bekannte.,9781442370562_German_4_QZ_0164.mp3,5
165,165,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05Q_C,N,You don’t know it yet.,9781442370562_German_4_QZ_0165.mp3,"7,15"
166,166,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05R_C,M,Sie kennen es noch nicht.,9781442370562_German_4_QZ_0166.mp3,"7,15"
167,167,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05Q_D,N,You don’t know her.,9781442370562_German_4_QZ_0167.mp3,5
168,168,GR,978-1-4423-7056-2,German 4,3,,,U03-05,05R_D,F,Sie kennen sie nicht.,9781442370562_German_4_QZ_0168.mp3,5
169,169,GR,978-1-4423-7056-2,German 4,3,,,U03-06,06Q_A,N,You bought a gift for her.,9781442370562_German_4_QZ_0169.mp3,"9,14"
170,170,GR,978-1-4423-7056-2,German 4,3,,,U03-06,06R_A,F,Du hast ein Geschenk für sie gekauft.,9781442370562_German_4_QZ_0170.mp3,"9,14"
171,171,GR,978-1-4423-7056-2,German 4,3,,,U03-06,06Q_B,N,You bought flowers for her.,9781442370562_German_4_QZ_0171.mp3,"9,14"
172,172,GR,978-1-4423-7056-2,German 4,3,,,U03-06,06R_B,M,Du hast Blumen für sie gekauft.,9781442370562_German_4_QZ_0172.mp3,"9,14"
173,173,GR,978-1-4423-7056-2,German 4,3,,,U03-06,06Q_C,N,You have to buy a gift for her.,9781442370562_German_4_QZ_0173.mp3,"9,14"
