Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,SKills
14,FR-Core,9781508256892,French 2,1,N/A,N/A,07R,N/A,M,J’ai fait beaucoup de choses hier.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_014.mp3,17
15,FR-Core,9781508256892,French 2,1,N/A,N/A,08Q,N/A,N,We ate well.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_015.mp3,6
16,FR-Core,9781508256892,French 2,1,N/A,N/A,08R,N/A,F,On a bien mangé.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_016.mp3,6
17,FR-Core,9781508256892,French 2,1,N/A,N/A,09Q,N/A,N,We didn’t buy anything.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_017.mp3,14
18,FR-Core,9781508256892,French 2,1,N/A,N/A,09R,N/A,F,On n’a rien acheté.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_018.mp3,14
19,FR-Core,9781508256892,French 2,2,N/A,N/A,01Q,N/A,N,She rented a car.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_019.mp3,18
20,FR-Core,9781508256892,French 2,2,N/A,N/A,01R,N/A,F,Elle a loué une voiture.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_020.mp3,18
21,FR-Core,9781508256892,French 2,2,N/A,N/A,02Q,N/A,N,She doesn’t need a car.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_021.mp3,18
22,FR-Core,9781508256892,French 2,2,N/A,N/A,02R,N/A,F,Elle n’a pas besoin de voiture.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_022.mp3,18
23,FR-Core,9781508256892,French 2,2,N/A,N/A,03Q,N/A,N,We need a car.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_023.mp3,18
24,FR-Core,9781508256892,French 2,2,N/A,N/A,03R,N/A,F,On a besoin d’une voiture.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_024.mp3,18
25,FR-Core,9781508256892,French 2,2,N/A,N/A,04Q,N/A,N,Does she need a car?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_025.mp3,18
26,FR-Core,9781508256892,French 2,2,N/A,N/A,04R,N/A,F,Est-ce qu’elle a besoin d’une voiture ?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_026.mp3,18
27,FR-Core,9781508256892,French 2,2,N/A,N/A,05Q,N/A,N,I didn’t see anything.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_027.mp3,"1,7"
28,FR-Core,9781508256892,French 2,2,N/A,N/A,05R,N/A,F,Je n’ai rien vu.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_028.mp3,"1,7"
29,FR-Core,9781508256892,French 2,2,N/A,N/A,06Q,N/A,N,Our son rented a car.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_029.mp3,"5,18"
30,FR-Core,9781508256892,French 2,2,N/A,N/A,06R,N/A,M,Notre fils a loué une voiture.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_030.mp3,"5,18"
31,FR-Core,9781508256892,French 2,2,N/A,N/A,07Q,N/A,N,We didn’t see our son yesterday.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_031.mp3,"5,17"
32,FR-Core,9781508256892,French 2,2,N/A,N/A,07R,N/A,M,On n’a pas vu notre fils hier.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_032.mp3,"5,17"
33,FR-Core,9781508256892,French 2,2,N/A,N/A,08Q,N/A,N,Your wife rented a car?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_033.mp3,"5,18"
34,FR-Core,9781508256892,French 2,2,N/A,N/A,08R,N/A,M,Votre femme a loué une voiture?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_034.mp3,"5,18"
35,FR-Core,9781508256892,French 2,2,N/A,N/A,09Q,N/A,N,Our son arrived in Paris yesterday.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_035.mp3,"5,17,18"
36,FR-Core,9781508256892,French 2,2,N/A,N/A,09R,N/A,M,Notre fils est arrivé à Paris hier.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_036.mp3,"5,17,18"
37,FR-Core,9781508256892,French 2,2,N/A,N/A,10Q,N/A,N,Why are you in Paris?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_037.mp3,18
38,FR-Core,9781508256892,French 2,2,N/A,N/A,10R,N/A,M,Pourquoi est-ce que vous êtes à Paris?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_038.mp3,18
39,FR-Core,9781508256892,French 2,2,N/A,N/A,11Q,N/A,N,Our son rented a car in Paris yesterday.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_039.mp3,"5,17,18"
40,FR-Core,9781508256892,French 2,2,N/A,N/A,11R,N/A,M,Notre fils a loué une voiture à Paris hier.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_040.mp3,"5,17,18"
41,FR-Core,9781508256892,French 2,3,N/A,N/A,01Q,N/A,N,See you tonight.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_041.mp3,"7,17"
42,FR-Core,9781508256892,French 2,3,N/A,N/A,01R,N/A,M,A ce soir.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_042.mp3,"7,17"
43,FR-Core,9781508256892,French 2,3,N/A,N/A,02Q,N/A,N,See you later.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_043.mp3,17
44,FR-Core,9781508256892,French 2,3,N/A,N/A,02R,N/A,F,A plus tard.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_044.mp3,17
45,FR-Core,9781508256892,French 2,3,N/A,N/A,03Q,N/A,N,It’s not very big.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_045.mp3,7
46,FR-Core,9781508256892,French 2,3,N/A,N/A,03R,N/A,F,Ce n’est pas très grand.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_046.mp3,7
47,FR-Core,9781508256892,French 2,3,N/A,N/A,04Q,N/A,N,How long did you stay in Paris?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_047.mp3,18
48,FR-Core,9781508256892,French 2,3,N/A,N/A,04R,N/A,F,Combien de temps est-ce que vous êtes restés à Paris?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_048.mp3,18
49,FR-Core,9781508256892,French 2,3,N/A,N/A,05Q,N/A,N,She stayed in Paris.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_049.mp3,18
50,FR-Core,9781508256892,French 2,3,N/A,N/A,05R,N/A,F,Elle est restée à Paris.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_050.mp3,18
51,FR-Core,9781508256892,French 2,3,N/A,N/A,06Q,N/A,N,Did you go to Paris?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_051.mp3,18
52,FR-Core,9781508256892,French 2,3,N/A,N/A,06R,N/A,F,Est-ce que vous êtes allés à Paris?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_052.mp3,18
53,FR-Core,9781508256892,French 2,3,N/A,N/A,07Q,N/A,N,I have a lot of work tomorrow.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_053.mp3,"17,20"
54,FR-Core,9781508256892,French 2,3,N/A,N/A,07R,N/A,F,J’ai beaucoup de travail demain.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_054.mp3,"17,20"
55,FR-Core,9781508256892,French 2,3,N/A,N/A,08Q,N/A,N,I had a lot of work yesterday.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_055.mp3,"17,20"
56,FR-Core,9781508256892,French 2,3,N/A,N/A,08R,N/A,F,J’ai eu beaucoup de travail hier.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_056.mp3,"17,20"
57,FR-Core,9781508256892,French 2,3,N/A,N/A,09Q,N/A,N,I have too much work.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_057.mp3,20
58,FR-Core,9781508256892,French 2,3,N/A,N/A,09R,N/A,M,J’ai trop de travail.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_058.mp3,20
59,FR-Core,9781508256892,French 2,3,N/A,N/A,10Q,N/A,N,I’m out of here.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_059.mp3,7
60,FR-Core,9781508256892,French 2,3,N/A,N/A,10R,N/A,M,Je te laisse.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_060.mp3,7
61,FR-Core,9781508256892,French 2,4,N/A,N/A,01Q,N/A,N,He’s a friend of mine.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_061.mp3,5
62,FR-Core,9781508256892,French 2,4,N/A,N/A,01R,N/A,M,C’est un ami à moi.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_062.mp3,5
63,FR-Core,9781508256892,French 2,4,N/A,N/A,02Q,N/A,N,What’s his name?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_063.mp3,"10,13,16"
64,FR-Core,9781508256892,French 2,4,N/A,N/A,02R,N/A,M,Comment il s’appelle?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_064.mp3,"10,13,16"
65,FR-Core,9781508256892,French 2,4,N/A,N/A,03Q,N/A,N,Some friends of mine.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_065.mp3,5
66,FR-Core,9781508256892,French 2,4,N/A,N/A,03R,N/A,M,Des amis à moi.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_066.mp3,5
67,FR-Core,9781508256892,French 2,4,N/A,N/A,04Q,N/A,N,What’s his name?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_067.mp3,"10,13,16"
68,FR-Core,9781508256892,French 2,4,N/A,N/A,04R,N/A,M,Il s’appelle comment?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_068.mp3,"10,13,16"
69,FR-Core,9781508256892,French 2,4,N/A,N/A,05Q,N/A,N,I have to buy something.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_069.mp3,"14,16"
70,FR-Core,9781508256892,French 2,4,N/A,N/A,05R,N/A,M,Je dois acheter quelque chose.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_070.mp3,"14,16"
71,FR-Core,9781508256892,French 2,4,N/A,N/A,06Q,N/A,N,I have to go into town.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_071.mp3,18
72,FR-Core,9781508256892,French 2,4,N/A,N/A,06R,N/A,F,Je dois aller en ville.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_072.mp3,18
73,FR-Core,9781508256892,French 2,4,N/A,N/A,07Q,N/A,N,I have to leave now.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_073.mp3,18
74,FR-Core,9781508256892,French 2,4,N/A,N/A,07R,N/A,F,Je dois partir maintenant.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_074.mp3,18
75,FR-Core,9781508256892,French 2,4,N/A,N/A,08Q,N/A,N,I haven’t yet had the time.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_075.mp3,17
76,FR-Core,9781508256892,French 2,4,N/A,N/A,08R,N/A,F,Je n’ai pas encore eu le temps.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_076.mp3,17
77,FR-Core,9781508256892,French 2,4,N/A,N/A,09Q,N/A,N,Here’s a friend of mine. (m),N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_077.mp3,5
78,FR-Core,9781508256892,French 2,4,N/A,N/A,09R,N/A,F,Voilà un ami à moi.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_078.mp3,5
79,FR-Core,9781508256892,French 2,4,N/A,N/A,10Q,N/A,N,We don’t know yet.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_079.mp3,7
80,FR-Core,9781508256892,French 2,4,N/A,N/A,10R,N/A,F,On ne sait pas encore.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_080.mp3,7
81,FR-Core,9781508256892,French 2,5,N/A,N/A,01Q,N/A,N,Do you have the time to have a coffee?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_081.mp3,"6,17"
82,FR-Core,9781508256892,French 2,5,N/A,N/A,01R,N/A,F,Est-ce que vous avez le temps de prendre un café?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_082.mp3,"6,17"
83,FR-Core,9781508256892,French 2,5,N/A,N/A,02Q,N/A,N,Do you know Marseille well?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_083.mp3,18
84,FR-Core,9781508256892,French 2,5,N/A,N/A,02R,N/A,F,Est-ce que vous connaissez bien Marseille?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_084.mp3,18
85,FR-Core,9781508256892,French 2,5,N/A,N/A,03Q,N/A,N,I haven’t yet visited Marseille.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_085.mp3,18
86,FR-Core,9781508256892,French 2,5,N/A,N/A,03R,N/A,M,Je n’ai pas encore visité Marseille.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_086.mp3,18
87,FR-Core,9781508256892,French 2,5,N/A,N/A,04Q,N/A,N,His family lives in Marseille.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_087.mp3,"5,18"
88,FR-Core,9781508256892,French 2,5,N/A,N/A,04R,N/A,M,Sa famille habite à Marseille.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_088.mp3,"5,18"
89,FR-Core,9781508256892,French 2,5,N/A,N/A,05Q,N/A,N,I still have the time to have a coffee.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_089.mp3,"6,17"
90,FR-Core,9781508256892,French 2,5,N/A,N/A,05R,N/A,M,J’ai encore le temps de prendre un café.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_090.mp3,"6,17"
91,FR-Core,9781508256892,French 2,5,N/A,N/A,06Q,N/A,N,I still have a lot of work.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_091.mp3,20
92,FR-Core,9781508256892,French 2,5,N/A,N/A,06R,N/A,M,J’ai encore beaucoup de travail.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_092.mp3,20
93,FR-Core,9781508256892,French 2,5,N/A,N/A,07Q,N/A,N,I never drink white wine.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_093.mp3,6
94,FR-Core,9781508256892,French 2,5,N/A,N/A,07R,N/A,M,Je ne bois jamais de vin blanc.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_094.mp3,6
95,FR-Core,9781508256892,French 2,5,N/A,N/A,08Q,N/A,N,I always drink white wine.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_095.mp3,6
96,FR-Core,9781508256892,French 2,5,N/A,N/A,08R,N/A,M,Je bois toujours du vin blanc.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_096.mp3,6
97,FR-Core,9781508256892,French 2,5,N/A,N/A,09Q,N/A,N,I don’t drink.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_097.mp3,6
98,FR-Core,9781508256892,French 2,5,N/A,N/A,09R,N/A,M,Je ne bois pas.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_098.mp3,6
99,FR-Core,9781508256892,French 2,5,N/A,N/A,10Q,N/A,N,I am going to have a glass of white wine.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_099.mp3,6
100,FR-Core,9781508256892,French 2,5,N/A,N/A,10R,N/A,F,Je vais prendre un verre de vin blanc.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_100.mp3,6
101,FR-Core,9781508256892,French 2,5,N/A,N/A,11Q,N/A,N,What are you going to have?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_101.mp3,"6,13"
102,FR-Core,9781508256892,French 2,5,N/A,N/A,11R,N/A,F,Qu’est-ce que vous allez prendre?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_102.mp3,"6,13"
103,FR-Core,9781508256892,French 2,6,N/A,N/A,01Q,N/A,N,What’s her name?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_103.mp3,"10,13,16"
104,FR-Core,9781508256892,French 2,6,N/A,N/A,01R,N/A,F,Comment elle s’appelle?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_104.mp3,"10,13,16"
105,FR-Core,9781508256892,French 2,6,N/A,N/A,02Q,N/A,N,She’s coming with her husband.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_105.mp3,"5,18"
106,FR-Core,9781508256892,French 2,6,N/A,N/A,02R,N/A,F,Elle vient avec son mari.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_106.mp3,"5,18"
107,FR-Core,9781508256892,French 2,6,N/A,N/A,03Q,N/A,N,She’s coming to pay me a visit.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_107.mp3,"1,18"
108,FR-Core,9781508256892,French 2,6,N/A,N/A,03R,N/A,F,Elle vient me rendre visite.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_108.mp3,"1,18"
109,FR-Core,9781508256892,French 2,6,N/A,N/A,04Q,N/A,N,They’re coming today.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_109.mp3,18
110,FR-Core,9781508256892,French 2,6,N/A,N/A,04R,N/A,F,Ils viennent aujourd’hui.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_110.mp3,18
111,FR-Core,9781508256892,French 2,6,N/A,N/A,05Q,N/A,N,They’re coming together.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_111.mp3,18
112,FR-Core,9781508256892,French 2,6,N/A,N/A,05R,N/A,F,Ils viennent ensemble.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_112.mp3,18
113,FR-Core,9781508256892,French 2,6,N/A,N/A,06Q,N/A,N,I saw her in town.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_113.mp3,18
114,FR-Core,9781508256892,French 2,6,N/A,N/A,06R,N/A,M,Je l’ai vue en ville.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_114.mp3,18
115,FR-Core,9781508256892,French 2,6,N/A,N/A,07Q,N/A,N,I haven’t seen her since a year.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_115.mp3,17
116,FR-Core,9781508256892,French 2,6,N/A,N/A,07R,N/A,M,Je ne l’ai pas vue depuis un an.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_116.mp3,17
117,FR-Core,9781508256892,French 2,6,N/A,N/A,08Q,N/A,N,You don’t know her.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_117.mp3,10
118,FR-Core,9781508256892,French 2,6,N/A,N/A,08R,N/A,M,Tu ne la connais pas.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_118.mp3,10
119,FR-Core,9781508256892,French 2,6,N/A,N/A,09Q,N/A,N,Not always.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_119.mp3,7
120,FR-Core,9781508256892,French 2,6,N/A,N/A,09R,N/A,M,Pas toujours.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_120.mp3,7
121,FR-Core,9781508256892,French 2,6,N/A,N/A,10Q,N/A,N,You don’t know it yet.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_121.mp3,"7,13"
122,FR-Core,9781508256892,French 2,6,N/A,N/A,10R,N/A,M,Tu ne le connais pas encore.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_122.mp3,"7,13"
123,FR-Core,9781508256892,French 2,6,N/A,N/A,11Q,N/A,N,A friend of mine is coming today.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_123.mp3,"5,18"
124,FR-Core,9781508256892,French 2,6,N/A,N/A,11R,N/A,M,Une amie à moi vient aujourd’hui.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_124.mp3,"5,18"
125,FR-Core,9781508256892,French 2,6,N/A,N/A,12Q,N/A,N,I’d be glad to have a glass with you.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_125.mp3,6
126,FR-Core,9781508256892,French 2,6,N/A,N/A,12R,N/A,M,Je veux bien prendre un verre avec toi.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_126.mp3,6
127,FR-Core,9781508256892,French 2,7,N/A,N/A,01Q,N/A,N,"From time to time, I drink red wine.",N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_127.mp3,"6,17"
128,FR-Core,9781508256892,French 2,7,N/A,N/A,01R,N/A,F,"De temps en temps, je bois du vin rouge.",N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_128.mp3,"6,17"
129,FR-Core,9781508256892,French 2,7,N/A,N/A,02Q,N/A,N,"From time to time, I go back on foot.",N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_129.mp3,"17,18"
130,FR-Core,9781508256892,French 2,7,N/A,N/A,02R,N/A,F,"De temps en temps, je rentre à pied.",N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_130.mp3,"17,18"
131,FR-Core,9781508256892,French 2,7,N/A,N/A,03Q,N/A,N,Are we going there on foot?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_131.mp3,18
132,FR-Core,9781508256892,French 2,7,N/A,N/A,03R,N/A,F,Est-ce qu’on y va à pied?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_132.mp3,18
133,FR-Core,9781508256892,French 2,7,N/A,N/A,04Q,N/A,N,They always speak French with me.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_133.mp3,10
