Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
34,34,JP,9781442310223,Japanese 1,2,06R,F,いいお天気ですね。,ii otenki desu ne.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0034.mp3,7
37,37,JP,9781442310223,Japanese 1,2,08Q,N,You are skilled.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0037.mp3,"7,15"
38,38,JP,9781442310223,Japanese 1,2,08R,F,上手です。,jozu desu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0038.mp3,"7,15"
45,45,JP,9781442310223,Japanese 1,3,01Q,N,"It’s bad weather, isn’t it?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0045.mp3,7
46,46,JP,9781442310223,Japanese 1,3,01R,M,嫌なお天気ですね。,iyana otenki desu ne.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0046.mp3,7
47,47,JP,9781442310223,Japanese 1,3,02Q,N,Thank you very much.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0047.mp3,"7,13,16"
48,48,JP,9781442310223,Japanese 1,3,02R,M,どうもありがとうございます。,domo arigato gozaimasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0048.mp3,"7,13,16"
49,49,JP,9781442310223,Japanese 1,3,03Q,N,I don’t understand well.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0049.mp3,"15,16"
50,50,JP,9781442310223,Japanese 1,3,03R,M,よくわかりません。,yoku wakarimasen.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0050.mp3,"15,16"
51,51,JP,9781442310223,Japanese 1,3,04Q,N,I am not American.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0051.mp3,"9,16"
52,52,JP,9781442310223,Japanese 1,3,04R,F,わたしはアメリカ人じゃありません。,watashi wa amerikajin ja arimasen.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0052.mp3,"9,16"
53,53,JP,9781442310223,Japanese 1,3,05Q,N,I'm not Japanese.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0053.mp3,"9,16"
54,54,JP,9781442310223,Japanese 1,3,05R,F,私は日本人じゃありません。,watashi wa nihonjin ja arimasen.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0054.mp3,"9,16"
55,55,JP,9781442310223,Japanese 1,3,06Q,N,Good afternoon.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0055.mp3,"7,10,16"
56,56,JP,9781442310223,Japanese 1,3,06R,F,こんにちは。,konnichiwa.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0056.mp3,"7,10,16"
57,57,JP,9781442310223,Japanese 1,3,07Q,N,But I’m not skilled yet.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0057.mp3,"7,9,15"
58,58,JP,9781442310223,Japanese 1,3,07R,F,でもまだ上手じゃありません。,demo mada jozu ja arimasen.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0058.mp3,"7,9,15"
59,59,JP,9781442310223,Japanese 1,3,08Q,N,Are you American?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0059.mp3,"7,10,16"
60,60,JP,9781442310223,Japanese 1,3,08R,F,あなたはアメリカ人ですか。,anata wa amerikajin desu ka.,5,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0060.mp3,"7,10,16"
61,61,JP,9781442310223,Japanese 1,3,09Q,N,Are you Japanese?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0061.mp3,"7,10,16"
62,62,JP,9781442310223,Japanese 1,3,09R,M,あなたは日本人ですか。,anata wa nihonjin desu ka.,5,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0062.mp3,"7,10,16"
65,65,JP,9781442310223,Japanese 1,4,01Q,N,I speak a little.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0065.mp3,"10,15"
66,66,JP,9781442310223,Japanese 1,4,01R,M,すこし話します。,sukoshi hanashimasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0066.mp3,"10,15"
67,67,JP,9781442310223,Japanese 1,4,02Q,N,You speak well.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0067.mp3,"7,15"
68,68,JP,9781442310223,Japanese 1,4,02R,M,上手に話します。,jozu ni hanashimasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0068.mp3,"7,15"
69,69,JP,9781442310223,Japanese 1,4,03Q,N,Where is Ueno Station?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0069.mp3,"4,18"
70,70,JP,9781442310223,Japanese 1,4,03R,F,上野駅はどこですか。,ueno eki wa doko desu ka.,6,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0070.mp3,"4,18"
71,71,JP,9781442310223,Japanese 1,4,04Q,N,Where is Ueno Park?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0071.mp3,"4,18"
72,72,JP,9781442310223,Japanese 1,4,04R,F,上野公園はどこですか。,ueno koen wa doko desu ka.,6,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0072.mp3,"4,18"
73,73,JP,9781442310223,Japanese 1,4,05Q,N,It’s here.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0073.mp3,"4,9"
74,74,JP,9781442310223,Japanese 1,4,05R,F,ここです。,koko desu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0074.mp3,"4,9"
75,75,JP,9781442310223,Japanese 1,4,06Q,N,Is it here?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0075.mp3,"4,9"
76,76,JP,9781442310223,Japanese 1,4,06R,F,ここですか。,koko desu ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0076.mp3,"4,9"
77,77,JP,9781442310223,Japanese 1,4,07Q,N,It’s not here.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0077.mp3,"4,9"
78,78,JP,9781442310223,Japanese 1,4,07R,F,ここじゃありません。,koko ja arimasen.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0078.mp3,"4,9"
79,79,JP,9781442310223,Japanese 1,4,08Q,N,It’s over there.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0079.mp3,"4,9"
80,80,JP,9781442310223,Japanese 1,4,08R,M,あそこです。,asoko desu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0080.mp3,"4,9"
81,81,JP,9781442310223,Japanese 1,4,09Q,N,It’s not over there.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0081.mp3,"4,9,17,18"
82,82,JP,9781442310223,Japanese 1,4,09R,M,あそこじゃありません。,asoko ja arimasen.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0082.mp3,"4,9,17,18"
83,83,JP,9781442310223,Japanese 1,4,10Q,N,Where is Shinjuku Station?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0083.mp3,"4,9,17,18"
84,84,JP,9781442310223,Japanese 1,4,10R,M,新宿駅はどこですか。,shinjuku eki wa doko desu ka.,6,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0084.mp3,"4,9,17,18"
85,85,JP,9781442310223,Japanese 1,4,11Q,N,Ueno Station is here.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0085.mp3,"4,9,17,18"
86,86,JP,9781442310223,Japanese 1,4,11R,M,上野駅はここです。,ueno eki wa koko desu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0086.mp3,"4,9,17,18"
87,87,JP,9781442310223,Japanese 1,5,01Q,N,I’m going to eat.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0087.mp3,6
88,88,JP,9781442310223,Japanese 1,5,01R,M,食べます。,tabemasu.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0088.mp3,6
89,89,JP,9781442310223,Japanese 1,5,02Q,N,Are you going to eat?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0089.mp3,6
90,90,JP,9781442310223,Japanese 1,5,02R,F,食べますか。,tabemasu ka.,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0090.mp3,6
91,91,JP,9781442310223,Japanese 1,5,03Q,N,I’m not going to eat.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0091.mp3,6
92,92,JP,9781442310223,Japanese 1,5,03R,F,食べません。,tabemasen.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0092.mp3,6
93,93,JP,9781442310223,Japanese 1,5,04Q,N,I’m going to eat something.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0093.mp3,6
94,94,JP,9781442310223,Japanese 1,5,04R,F,何か食べます。,nanika tabemasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0094.mp3,6
95,95,JP,9781442310223,Japanese 1,5,05Q,N,Won’t you eat something?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0095.mp3,6
96,96,JP,9781442310223,Japanese 1,5,05R,F,何か食べませんか。,nanika tabemasen ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0096.mp3,6
97,97,JP,9781442310223,Japanese 1,5,06Q,N,Won't you drink something?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0097.mp3,6
98,98,JP,9781442310223,Japanese 1,5,06R,F,何か飲みませんか。,nanika nomimasen ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0098.mp3,6
99,99,JP,9781442310223,Japanese 1,5,07Q,N,"No, thank you.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0099.mp3,"7,13,16"
100,100,JP,9781442310223,Japanese 1,5,07R,M,いいえ、結構です。,"iie, kekko desu.",3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0100.mp3,"7,13,16"
101,101,JP,9781442310223,Japanese 1,5,08Q,N,"Well, let me see ---",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0101.mp3,"7,16"
102,102,JP,9781442310223,Japanese 1,5,08R,M,そうですね　---,so desu ne ---,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0102.mp3,"7,16"
103,103,JP,9781442310223,Japanese 1,5,09Q,N,I'm not going to drink.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0103.mp3,6
104,104,JP,9781442310223,Japanese 1,5,09R,M,飲みません。,nomimasen.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0104.mp3,6
105,105,JP,9781442310223,Japanese 1,5,10Q,N,"You speak well, don’t you?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0105.mp3,"10,15"
106,106,JP,9781442310223,Japanese 1,5,10R,M,上手に話しますね。,jozu ni hanashimasu ne.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0106.mp3,"10,15"
107,107,JP,9781442310223,Japanese 1,5,11Q,N,Are you going to drink something?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0107.mp3,6
108,108,JP,9781442310223,Japanese 1,5,11R,M,何か飲みますか。,nanika nomimasu ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0108.mp3,6
109,109,JP,9781442310223,Japanese 1,6,01Q,N,"Yes, I know.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0109.mp3,"7,9,15,16"
110,110,JP,9781442310223,Japanese 1,6,01R,M,ええ、わかります。,"ee, wakarimasu.",2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0110.mp3,"7,9,15,16"
111,111,JP,9781442310223,Japanese 1,6,02Q,N,Where at?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0111.mp3,"4,9"
112,112,JP,9781442310223,Japanese 1,6,02R,F,どこで？,doko de?,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0112.mp3,"4,9"
113,113,JP,9781442310223,Japanese 1,6,03Q,N,At my place.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0113.mp3,4
114,114,JP,9781442310223,Japanese 1,6,03R,F,わたしの所で。,watashi no tokoro de.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0114.mp3,4
115,115,JP,9781442310223,Japanese 1,6,04Q,N,At your place.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0115.mp3,4
116,116,JP,9781442310223,Japanese 1,6,04R,F,あなたのところで。,anata no tokoro de.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0116.mp3,4
117,117,JP,9781442310223,Japanese 1,6,05Q,N,Me too.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0117.mp3,"7,16"
118,118,JP,9781442310223,Japanese 1,6,05R,F,わたしも。,watashi mo.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0118.mp3,"7,16"
119,119,JP,9781442310223,Japanese 1,6,06Q,N,When are you going to eat?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0119.mp3,"6,17"
120,120,JP,9781442310223,Japanese 1,6,06R,F,いつ食べますか。,itsu tabemasu ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0120.mp3,"6,17"
121,121,JP,9781442310223,Japanese 1,6,07Q,N,I’m going to eat later.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0121.mp3,"6,17"
122,122,JP,9781442310223,Japanese 1,6,07R,F,あとで食べます。,atode tabemasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0122.mp3,"6,17"
123,123,JP,9781442310223,Japanese 1,6,08Q,N,All right.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0123.mp3,"7,16"
124,124,JP,9781442310223,Japanese 1,6,08R,M,いいです。,ii desu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0124.mp3,"7,16"
125,125,JP,9781442310223,Japanese 1,6,09Q,N,Is it all right?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0125.mp3,"7,9"
126,126,JP,9781442310223,Japanese 1,6,09R,M,いいですか。,ii desu ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0126.mp3,"7,9"
127,127,JP,9781442310223,Japanese 1,6,10Q,N,Now?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0127.mp3,"7,17"
128,128,JP,9781442310223,Japanese 1,6,10R,M,今？,ima?,1,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0128.mp3,"7,17"
129,129,JP,9781442310223,Japanese 1,6,11Q,N,Later.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0129.mp3,"7,17"
130,130,JP,9781442310223,Japanese 1,6,11R,M,あとで。,atode.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0130.mp3,"7,17"
131,131,JP,9781442310223,Japanese 1,7,01Q,N,Where are you going to eat?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0131.mp3,"6,9"
132,132,JP,9781442310223,Japanese 1,7,01R,M,どこで食べますか。,doko de tabemasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0132.mp3,"6,9"
133,133,JP,9781442310223,Japanese 1,7,02Q,N,I’m not going to eat now.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0133.mp3,"6,17"
134,134,JP,9781442310223,Japanese 1,7,02R,F,今食べません。,ima tabemasen.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0134.mp3,"6,17"
135,135,JP,9781442310223,Japanese 1,7,03Q,N,Here?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0135.mp3,"4,7"
136,136,JP,9781442310223,Japanese 1,7,03R,F,ここで？,koko de?,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0136.mp3,"4,7"
137,137,JP,9781442310223,Japanese 1,7,04Q,N,What are you going to drink?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0137.mp3,"6,9"
138,138,JP,9781442310223,Japanese 1,7,04R,F,何を飲みますか。,nani o nomimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0138.mp3,"6,9"
139,139,JP,9781442310223,Japanese 1,7,05Q,N,What are you going to eat?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0139.mp3,"6,9"
140,140,JP,9781442310223,Japanese 1,7,05R,F,何を食べますか。,nani o tabemasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0140.mp3,"6,9"
141,141,JP,9781442310223,Japanese 1,7,06Q,N,At the restaurant?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0141.mp3,7
142,142,JP,9781442310223,Japanese 1,7,06R,F,レストランで？,resutoran de?,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0142.mp3,7
143,143,JP,9781442310223,Japanese 1,7,07Q,N,I’m going to drink something.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0143.mp3,6
144,144,JP,9781442310223,Japanese 1,7,07R,M,何か飲みます。,nanika nomimasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0144.mp3,6
145,145,JP,9781442310223,Japanese 1,7,08Q,N,I’m going to drink sake.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0145.mp3,7
146,146,JP,9781442310223,Japanese 1,7,08R,M,お酒を飲みます。,osake o nomimasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0146.mp3,7
147,147,JP,9781442310223,Japanese 1,7,09Q,N,I’m going to drink beer.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0147.mp3,7
148,148,JP,9781442310223,Japanese 1,7,09R,M,ビールを飲みます。,biiru o nomimasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0148.mp3,7
149,149,JP,9781442310223,Japanese 1,7,10Q,N,I want sake.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0149.mp3,"6,7"
150,150,JP,9781442310223,Japanese 1,7,10R,M,お酒がほしいです。,osake ga hoshii desu.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0150.mp3,"6,7"
151,151,JP,9781442310223,Japanese 1,7,11Q,N,I don't want any.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0151.mp3,"7,9,16"
152,152,JP,9781442310223,Japanese 1,7,11R,M,ほしくありません。,hoshiku arimasen.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0152.mp3,"7,9,16"
153,153,JP,9781442310223,Japanese 1,8,01Q,N,I’m going to have lunch.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0153.mp3,"1,6"
154,154,JP,9781442310223,Japanese 1,8,01R,M,昼ご飯を食べます。,hirugohan o tabemasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0154.mp3,"1,6"
155,155,JP,9781442310223,Japanese 1,8,02Q,N,Could you please.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0155.mp3,"7,13,16"
156,156,JP,9781442310223,Japanese 1,8,02R,F,お願いします。,onegai shimasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0156.mp3,"7,13,16"
157,157,JP,9781442310223,Japanese 1,8,03Q,N,two beers,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0157.mp3,"6,12"
