"Rec #","Lang","ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Skills"
"15","IT","978-1-4423-5036-6","Italian 2","1","0:16:16","0:16:17","08Q","173","N","Did you speak Italian?","","","Italian Phase 2, units 1 - 30 (2004)","15"
"16","IT","978-1-4423-5036-6","Italian 2","1","0:16:20","0:16:21","08R","174","F","Ha parlato italiano?","3","Q","Italian Phase 2, units 1 - 30 (2004)","15"
"17","IT","978-1-4423-5036-6","Italian 2","1","0:16:53","0:16:54","09Q","181","N","We spoke Italian.","","","Italian Phase 2, units 1 - 30 (2004)","15"
"18","IT","978-1-4423-5036-6","Italian 2","1","0:16:58","0:17:00","09R","182","M","Abbiamo parlato italiano.","3","S","Italian Phase 2, units 1 - 30 (2004)","15"
"19","IT","978-1-4423-5036-6","Italian 2","1","0:17:43","0:17:45","10Q","189","N","I spoke a lot of Italian.","","","Italian Phase 2, units 1 - 30 (2004)","12,15"
"20","IT","978-1-4423-5036-6","Italian 2","1","0:17:48","0:17:50","10R","190","M","Ho parlato molto italiano.","4","S","Italian Phase 2, units 1 - 30 (2004)","12,15"
"21","IT","978-1-4423-5036-6","Italian 2","1","0:18:20","0:18:21","11Q","197","N","Yesterday morning.","","","Italian Phase 2, units 1 - 30 (2004)","17"
"22","IT","978-1-4423-5036-6","Italian 2","1","0:18:24","0:18:24","11R","198","M","Ieri mattina.","2","S","Italian Phase 2, units 1 - 30 (2004)","17"
"23","IT","978-1-4423-5036-6","Italian 2","2","0:05:02","0:05:03","01Q","68","N","We ate something this morning.","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"24","IT","978-1-4423-5036-6","Italian 2","2","0:05:08","0:05:10","01R","69","M","Abbiamo mangiato qualcosa stamattina.","4","S","Italian Phase 2, units 1 - 30 (2004)","6,17"
"25","IT","978-1-4423-5036-6","Italian 2","2","0:07:14","0:07:15","02Q","88","N","We’re American.","","","Italian Phase 2, units 1 - 30 (2004)","9"
"26","IT","978-1-4423-5036-6","Italian 2","2","0:07:18","0:07:19","02R","89","M","Siamo americani.","2","S","Italian Phase 2, units 1 - 30 (2004)","9"
"27","IT","978-1-4423-5036-6","Italian 2","2","0:08:18","0:08:20","03Q","97","N","I arrived yesterday at ten o’clock.","","","Italian Phase 2, units 1 - 30 (2004)","12,17"
"28","IT","978-1-4423-5036-6","Italian 2","2","0:08:24","0:08:26","03R","98","M","Sono arrivato ieri alle dieci.","5","S","Italian Phase 2, units 1 - 30 (2004)","12,17"
"29","IT","978-1-4423-5036-6","Italian 2","2","0:09:22","0:09:23","04Q","107","N","We arrived together.","","","Italian Phase 2, units 1 - 30 (2004)","5,18"
"30","IT","978-1-4423-5036-6","Italian 2","2","0:09:27","0:09:28","04R","108","F","Siamo arrivati insieme.","3","S","Italian Phase 2, units 1 - 30 (2004)","5,18"
"31","IT","978-1-4423-5036-6","Italian 2","2","0:17:43","0:17:45","05Q","196","N","I went to Venice yesterday with my husband.","","","Italian Phase 2, units 1 - 30 (2004)","5,17,18"
"32","IT","978-1-4423-5036-6","Italian 2","2","0:17:51","0:17:53","05R","197","F","Sono andata a Venezia ieri con mio marito.","8","S","Italian Phase 2, units 1 - 30 (2004)","5,17,18"
"33","IT","978-1-4423-5036-6","Italian 2","2","0:21:45","0:21:46","06Q","237","N","We went to the Vatican.","","","Italian Phase 2, units 1 - 30 (2004)","1,18"
"34","IT","978-1-4423-5036-6","Italian 2","2","0:21:50","0:21:52","06R","238","M","Siamo andati al Vaticano.","4","S","Italian Phase 2, units 1 - 30 (2004)","1,18"
"35","IT","978-1-4423-5036-6","Italian 2","2","0:24:35","0:24:37","07Q","265","N","We ate in a good restaurant.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"36","IT","978-1-4423-5036-6","Italian 2","2","0:24:42","0:24:44","07R","266","M","Abbiamo mangiato in un buon ristorante.","6","S","Italian Phase 2, units 1 - 30 (2004)","6"
"37","IT","978-1-4423-5036-6","Italian 2","2","0:25:52","0:25:54","08Q","275","N","It’s a very good restaurant.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"38","IT","978-1-4423-5036-6","Italian 2","2","0:25:58","0:25:59","08R","276","M","È un ristorante molto buono.","5","S","Italian Phase 2, units 1 - 30 (2004)","6"
"39","IT","978-1-4423-5036-6","Italian 2","2","0:27:15","0:27:17","09Q","289","N","I ate there with my wife.","","","Italian Phase 2, units 1 - 30 (2004)","5,6"
"40","IT","978-1-4423-5036-6","Italian 2","2","0:27:21","0:27:23","09R","290","M","Ho mangiato lì con mia moglie.","6","S","Italian Phase 2, units 1 - 30 (2004)","5,6"
"41","IT","978-1-4423-5036-6","Italian 2","2","0:28:15","0:28:17","10Q","299","N","We went there yesterday evening.","","","Italian Phase 2, units 1 - 30 (2004)","17,18"
"42","IT","978-1-4423-5036-6","Italian 2","2","0:28:20","0:28:22","10R","300","M","Siamo andati lì ieri sera","5","S","Italian Phase 2, units 1 - 30 (2004)","17,18"
"43","IT","978-1-4423-5036-6","Italian 2","3","0:03:41","0:03:42","01Q","45","N","What did you do today?","","","Italian Phase 2, units 1 - 30 (2004)","17"
"44","IT","978-1-4423-5036-6","Italian 2","3","0:03:49","0:03:51","01R","46","F","Che cosa ha fatto oggi?","5","Q","Italian Phase 2, units 1 - 30 (2004)","17"
"45","IT","978-1-4423-5036-6","Italian 2","3","0:04:07","0:04:09","02Q","49","N","I did a few things.","","","Italian Phase 2, units 1 - 30 (2004)","9,12"
"46","IT","978-1-4423-5036-6","Italian 2","3","0:04:12","0:04:13","02R","50","M","Ho fatto alcune cose.","4","S","Italian Phase 2, units 1 - 30 (2004)","9,12"
"47","IT","978-1-4423-5036-6","Italian 2","3","0:06:04","0:06:06","03Q","70","N","And we spoke Italian with the waiter.","","","Italian Phase 2, units 1 - 30 (2004)","6,15"
"48","IT","978-1-4423-5036-6","Italian 2","3","0:06:13","0:06:16","03R","71","M","Ed abbiamo parlato italiano con il cameriere.","7","S","Italian Phase 2, units 1 - 30 (2004)","6,15"
"49","IT","978-1-4423-5036-6","Italian 2","3","0:09:58","0:10:00","04Q","110","N","I spoke a lot of Italian with the waiter.","","","Italian Phase 2, units 1 - 30 (2004)","6,12,15"
"50","IT","978-1-4423-5036-6","Italian 2","3","0:10:06","0:10:08","04R","111","M","Ho parlato molto italiano con il cameriere.","7","S","Italian Phase 2, units 1 - 30 (2004)","6,12,15"
"51","IT","978-1-4423-5036-6","Italian 2","3","0:13:00","0:13:02","05Q","140","N","I bought too many things.","","","Italian Phase 2, units 1 - 30 (2004)","12,14"
"52","IT","978-1-4423-5036-6","Italian 2","3","0:13:04","0:13:05","05R","141","F","Ho comprato troppe cose.","4","S","Italian Phase 2, units 1 - 30 (2004)","12,14"
"53","IT","978-1-4423-5036-6","Italian 2","3","0:14:08","0:14:09","06Q","152","N","I didn’t see anything.","","","Italian Phase 2, units 1 - 30 (2004)","9"
"54","IT","978-1-4423-5036-6","Italian 2","3","0:14:12","0:14:14","06R","153","F","Non ho visto niente.","4","S","Italian Phase 2, units 1 - 30 (2004)","9"
"55","IT","978-1-4423-5036-6","Italian 2","3","0:14:58","0:14:58","07Q","160","N","Nothing yet.","","","Italian Phase 2, units 1 - 30 (2004)","7"
"56","IT","978-1-4423-5036-6","Italian 2","3","0:15:01","0:15:02","07R","161","F","Ancora niente.","2","S","Italian Phase 2, units 1 - 30 (2004)","7"
"57","IT","978-1-4423-5036-6","Italian 2","3","0:22:12","0:22:13","08Q","235","N","Would you like to see the city?","","","Italian Phase 2, units 1 - 30 (2004)","1"
"58","IT","978-1-4423-5036-6","Italian 2","3","0:22:17","0:22:18","08R","236","M","Vorrebbe vedere la città?","4","Q","Italian Phase 2, units 1 - 30 (2004)","1"
"59","IT","978-1-4423-5036-6","Italian 2","3","0:23:08","0:23:09","09Q","245","N","I have a lot of work.","","","Italian Phase 2, units 1 - 30 (2004)","12,20"
"60","IT","978-1-4423-5036-6","Italian 2","3","0:23:12","0:23:13","09R","246","F","Ho molto lavoro.","3","S","Italian Phase 2, units 1 - 30 (2004)","12,20"
"61","IT","978-1-4423-5036-6","Italian 2","3","0:26:27","0:26:28","10Q","280","N","Did you see anything?","","","Italian Phase 2, units 1 - 30 (2004)","7"
"62","IT","978-1-4423-5036-6","Italian 2","3","0:26:31","0:26:32","10R","281","M","Ha visto qualcosa?","3","Q","Italian Phase 2, units 1 - 30 (2004)","7"
"63","IT","978-1-4423-5036-6","Italian 2","4","0:13:42","0:13:43","01Q","145","N","What’s his name?","","","Italian Phase 2, units 1 - 30 (2004)","10,16"
"64","IT","978-1-4423-5036-6","Italian 2","4","0:13:45","0:13:46","01R","146","M","Come si chiama?","3","Q","Italian Phase 2, units 1 - 30 (2004)","10,16"
"65","IT","978-1-4423-5036-6","Italian 2","4","0:13:53","0:13:54","02Q","147","N","What’s your friend’s name?","","","Italian Phase 2, units 1 - 30 (2004)","5"
"66","IT","978-1-4423-5036-6","Italian 2","4","0:13:58","0:13:59","02R","148","M","Come si chiama il Suo amico?","6","Q","Italian Phase 2, units 1 - 30 (2004)","5"
"67","IT","978-1-4423-5036-6","Italian 2","4","0:17:24","0:17:25","03Q","185","N","Unfortunately, I have to leave.","","","Italian Phase 2, units 1 - 30 (2004)","9,16,18"
"68","IT","978-1-4423-5036-6","Italian 2","4","0:17:29","0:17:31","03R","186","M","Purtroppo, devo andare via.","4","S","Italian Phase 2, units 1 - 30 (2004)","9,16,18"
"69","IT","978-1-4423-5036-6","Italian 2","4","0:19:04","0:19:05","04Q","203","N","Do you have to leave now?","","","Italian Phase 2, units 1 - 30 (2004)","17,18"
"70","IT","978-1-4423-5036-6","Italian 2","4","0:19:08","0:19:09","04R","204","F","Deve andare via adesso?","4","Q","Italian Phase 2, units 1 - 30 (2004)","17,18"
"71","IT","978-1-4423-5036-6","Italian 2","4","0:19:36","0:19:37","05Q","208","N","Why do you have to leave?","","","Italian Phase 2, units 1 - 30 (2004)","7,18"
"72","IT","978-1-4423-5036-6","Italian 2","4","0:19:41","0:19:42","05R","209","F","Perché deve andare via?","4","Q","Italian Phase 2, units 1 - 30 (2004)","7,18"
"73","IT","978-1-4423-5036-6","Italian 2","4","0:20:49","0:20:51","06Q","222","N","We also have to leave.","","","Italian Phase 2, units 1 - 30 (2004)","7,18"
"74","IT","978-1-4423-5036-6","Italian 2","4","0:21:00","0:21:02","06R","223","M","Anche noi dobbiamo andare via.","5","S","Italian Phase 2, units 1 - 30 (2004)","7,18"
"75","IT","978-1-4423-5036-6","Italian 2","4","0:22:40","0:22:42","07Q","242","N","I’d like to go into town.","","","Italian Phase 2, units 1 - 30 (2004)","1,4,18"
"76","IT","978-1-4423-5036-6","Italian 2","4","0:22:44","0:22:46","07R","243","F","Vorrei andare in città.","4","S","Italian Phase 2, units 1 - 30 (2004)","1,4,18"
"77","IT","978-1-4423-5036-6","Italian 2","4","0:25:01","0:25:03","08Q","266","N","I’d like to come with you into town.","","","Italian Phase 2, units 1 - 30 (2004)","1"
"78","IT","978-1-4423-5036-6","Italian 2","4","0:25:07","0:25:08","08R","267","M","Vorrei venire con Lei in città.","6","S","Italian Phase 2, units 1 - 30 (2004)","1"
"79","IT","978-1-4423-5036-6","Italian 2","4","0:25:24","0:25:24","09Q","270","N","With pleasure.","","","Italian Phase 2, units 1 - 30 (2004)","13,16"
"80","IT","978-1-4423-5036-6","Italian 2","4","0:25:27","0:25:28","09R","271","M","Con piacere.","2","S","Italian Phase 2, units 1 - 30 (2004)","13,16"
"81","IT","978-1-4423-5036-6","Italian 2","5","0:09:41","0:09:42","01Q","114","N","Do you have time?","","","Italian Phase 2, units 1 - 30 (2004)","17"
"82","IT","978-1-4423-5036-6","Italian 2","5","0:09:45","0:09:45","01R","115","M","Ha tempo?","2","Q","Italian Phase 2, units 1 - 30 (2004)","17"
"83","IT","978-1-4423-5036-6","Italian 2","5","0:10:30","0:10:31","02Q","121","N","I have a little time.","","","Italian Phase 2, units 1 - 30 (2004)","12,17"
"84","IT","978-1-4423-5036-6","Italian 2","5","0:10:33","0:10:36","02R","122","F","Ho un po’ di tempo.","5","S","Italian Phase 2, units 1 - 30 (2004)","12,17"
"85","IT","978-1-4423-5036-6","Italian 2","5","0:13:33","0:13:33","03Q","151","N","Have you seen him?","","","Italian Phase 2, units 1 - 30 (2004)","7,16"
"86","IT","978-1-4423-5036-6","Italian 2","5","0:13:36","0:13:37","03R","152","F","L’ha visto?","2","Q","Italian Phase 2, units 1 - 30 (2004)","7,16"
"87","IT","978-1-4423-5036-6","Italian 2","5","0:14:03","0:14:04","04Q","156","N","He’s also a friend of mine.","","","Italian Phase 2, units 1 - 30 (2004)","5"
"88","IT","978-1-4423-5036-6","Italian 2","5","0:14:08","0:14:09","04R","157","M","È anche un mio amico.","5","S","Italian Phase 2, units 1 - 30 (2004)","5"
"89","IT","978-1-4423-5036-6","Italian 2","5","0:14:20","0:14:21","05Q","158","N","His wife is Swiss.","","","Italian Phase 2, units 1 - 30 (2004)","5"
"90","IT","978-1-4423-5036-6","Italian 2","5","0:14:23","0:14:25","05R","159","F","Sua moglie è svizzera.","4","S","Italian Phase 2, units 1 - 30 (2004)","5"
"91","IT","978-1-4423-5036-6","Italian 2","5","0:15:56","0:15:57","06Q","172","N","I know him well.","","","Italian Phase 2, units 1 - 30 (2004)","5,16"
"92","IT","978-1-4423-5036-6","Italian 2","5","0:16:01","0:16:02","06R","173","F","Lo conosco bene.","3","S","Italian Phase 2, units 1 - 30 (2004)","5,16"
"93","IT","978-1-4423-5036-6","Italian 2","5","0:17:30","0:17:31","07Q","189","N","I don’t think that he’s Swiss.","","","Italian Phase 2, units 1 - 30 (2004)","9,18"
"94","IT","978-1-4423-5036-6","Italian 2","5","0:17:35","0:17:36","07R","190","M","Non credo che è svizzero.","5","S","Italian Phase 2, units 1 - 30 (2004)","9,18"
"95","IT","978-1-4423-5036-6","Italian 2","5","0:19:10","0:19:11","08Q","205","N","He’s coming to visit me.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"96","IT","978-1-4423-5036-6","Italian 2","5","0:19:13","0:19:14","08R","206","F","Mi viene a trovare.","4","S","Italian Phase 2, units 1 - 30 (2004)","18"
"97","IT","978-1-4423-5036-6","Italian 2","5","0:21:00","0:21:02","09Q","224","N","I still have time to have a coffee with you.","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"98","IT","978-1-4423-5036-6","Italian 2","5","0:21:07","0:21:09","09R","225","F","Ho ancora tempo di prendere un caffè con Lei.","9","S","Italian Phase 2, units 1 - 30 (2004)","6,17"
"99","IT","978-1-4423-5036-6","Italian 2","5","0:22:33","0:22:34","10Q","243","N","A glass of wine.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"100","IT","978-1-4423-5036-6","Italian 2","5","0:22:36","0:22:37","10R","244","M","Un bicchiere di vino","4","S","Italian Phase 2, units 1 - 30 (2004)","6"
"101","IT","978-1-4423-5036-6","Italian 2","5","0:23:16","0:23:17","11Q","250","N","Would you like red wine?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"102","IT","978-1-4423-5036-6","Italian 2","5","0:23:20","0:23:22","11R","251","M","Vorrebbe del vino rosso?","4","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"103","IT","978-1-4423-5036-6","Italian 2","6","0:02:51","0:02:52","01Q","39","N","I never drink white wine.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"104","IT","978-1-4423-5036-6","Italian 2","6","0:02:55","0:02:57","01R","40","F","Non bevo mai vino bianco.","5","S","Italian Phase 2, units 1 - 30 (2004)","6"
"105","IT","978-1-4423-5036-6","Italian 2","6","0:04:15","0:04:17","02Q","54","N","Sometimes I drink white wine.","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"106","IT","978-1-4423-5036-6","Italian 2","6","0:04:21","0:04:23","02R","55","M","Qualche volta bevo del vino bianco.","6","S","Italian Phase 2, units 1 - 30 (2004)","6,17"
"107","IT","978-1-4423-5036-6","Italian 2","6","0:04:31","0:04:32","03Q","57","N","I never drink beer.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"108","IT","978-1-4423-5036-6","Italian 2","6","0:04:35","0:04:37","03R","58","F","Non bevo mai birra.","4","S","Italian Phase 2, units 1 - 30 (2004)","6"
"109","IT","978-1-4423-5036-6","Italian 2","6","0:06:10","0:06:11","04Q","76","N","Do you still have a lot of work?","","","Italian Phase 2, units 1 - 30 (2004)","12,20"
"110","IT","978-1-4423-5036-6","Italian 2","6","0:06:15","0:06:16","04R","77","F","Ha ancora molto lavoro?","4","Q","Italian Phase 2, units 1 - 30 (2004)","12,20"
"111","IT","978-1-4423-5036-6","Italian 2","6","0:07:16","0:07:18","05Q","87","N","I always have time for a coffee.","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"112","IT","978-1-4423-5036-6","Italian 2","6","0:07:21","0:07:23","05R","88","F","Ho sempre tempo per un caffè.","6","S","Italian Phase 2, units 1 - 30 (2004)","6,17"
"113","IT","978-1-4423-5036-6","Italian 2","6","0:10:32","0:10:33","06Q","122","N","She’s coming with her husband.","","","Italian Phase 2, units 1 - 30 (2004)","5,18"
"114","IT","978-1-4423-5036-6","Italian 2","6","0:10:36","0:10:37","06R","123","F","Viene con suo marito.","4","S","Italian Phase 2, units 1 - 30 (2004)","5,18"
"115","IT","978-1-4423-5036-6","Italian 2","6","0:12:21","0:12:23","07Q","143","N","Why does she want to come to Italy?","","","Italian Phase 2, units 1 - 30 (2004)","9,18"
"116","IT","978-1-4423-5036-6","Italian 2","6","0:12:27","0:12:28","07R","144","M","Perché vuole venire in Italia?","5","Q","Italian Phase 2, units 1 - 30 (2004)","9,18"
"117","IT","978-1-4423-5036-6","Italian 2","6","0:13:26","0:13:27","08Q","154","N","Her daughter still lives here.","","","Italian Phase 2, units 1 - 30 (2004)","5"
"118","IT","978-1-4423-5036-6","Italian 2","6","0:13:33","0:13:34","08R","155","F","Sua figlia abita ancora qui.","5","S","Italian Phase 2, units 1 - 30 (2004)","5"
"119","IT","978-1-4423-5036-6","Italian 2","6","0:13:47","0:13:49","09Q","159","N","Your colleague is Italian?","","","Italian Phase 2, units 1 - 30 (2004)","20"
"120","IT","978-1-4423-5036-6","Italian 2","6","0:13:52","0:13:53","09R","160","M","La Sua collega è italiana?","5","Q","Italian Phase 2, units 1 - 30 (2004)","20"
"121","IT","978-1-4423-5036-6","Italian 2","6","0:14:27","0:14:29","10Q","166","N","She comes from the United States.","","","Italian Phase 2, units 1 - 30 (2004)","7,15,16,18"
"122","IT","978-1-4423-5036-6","Italian 2","6","0:14:32","0:14:34","10R","167","F","Viene dagli Stati Uniti.","4","S","Italian Phase 2, units 1 - 30 (2004)","7,15,16,18"
"123","IT","978-1-4423-5036-6","Italian 2","6","0:21:01","0:21:02","11Q","237","N","What’s her name?","","","Italian Phase 2, units 1 - 30 (2004)","5,16"
"124","IT","978-1-4423-5036-6","Italian 2","6","0:21:04","0:21:05","11R","238","M","Come si chiama?","3","Q","Italian Phase 2, units 1 - 30 (2004)","5,16"
"125","IT","978-1-4423-5036-6","Italian 2","7","0:04:11","0:04:13","01Q","53","N","Would you like a glass of wine now?","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"126","IT","978-1-4423-5036-6","Italian 2","7","0:04:17","0:04:19","01R","54","M","Vorrebbe un bicchiere di vino adesso?","6","Q","Italian Phase 2, units 1 - 30 (2004)","6,17"
"127","IT","978-1-4423-5036-6","Italian 2","7","0:04:36","0:04:39","02Q","57","N","One beer, and a glass of red wine, please.","","","Italian Phase 2, units 1 - 30 (2004)","6,13,17"
"128","IT","978-1-4423-5036-6","Italian 2","7","0:04:44","0:04:47","02R","58","M","Una birra, ed un bicchiere di vino rosso, per favore.","10","S","Italian Phase 2, units 1 - 30 (2004)","6,13,17"
"129","IT","978-1-4423-5036-6","Italian 2","7","0:08:32","0:08:33","03Q","94","N","I think that I know her.","","","Italian Phase 2, units 1 - 30 (2004)","5"
"130","IT","978-1-4423-5036-6","Italian 2","7","0:08:37","0:08:38","03R","95","F","Credo che la conosco.","4","S","Italian Phase 2, units 1 - 30 (2004)","5"
"131","IT","978-1-4423-5036-6","Italian 2","7","0:10:30","0:10:31","04Q","115","N","They’re both American.","","","Italian Phase 2, units 1 - 30 (2004)","9"
"132","IT","978-1-4423-5036-6","Italian 2","7","0:10:34","0:10:36","04R","116","F","Sono americani tutti e due.","5","S","Italian Phase 2, units 1 - 30 (2004)","9"
"133","IT","978-1-4423-5036-6","Italian 2","7","0:11:12","0:11:13","05Q","122","N","Where do they live?","","","Italian Phase 2, units 1 - 30 (2004)","4,16"
"134","IT","978-1-4423-5036-6","Italian 2","7","0:11:17","0:11:17","05R","123","M","Dove abitano?","2","Q","Italian Phase 2, units 1 - 30 (2004)","4,16"
"135","IT","978-1-4423-5036-6","Italian 2","7","0:13:31","0:13:32","06Q","145","N","They both speak Italian.","","","Italian Phase 2, units 1 - 30 (2004)","15"
"136","IT","978-1-4423-5036-6","Italian 2","7","0:13:37","0:13:38","06R","146","F","Parlano italiano tutti e due.","5","S","Italian Phase 2, units 1 - 30 (2004)","15"
"137","IT","978-1-4423-5036-6","Italian 2","7","0:16:05","0:16:07","07Q","172","N","It is necessary to wait here.","","","Italian Phase 2, units 1 - 30 (2004)","4"
"138","IT","978-1-4423-5036-6","Italian 2","7","0:16:10","0:16:12","07R","173","M","Bisogna aspettare qui.","3","S","Italian Phase 2, units 1 - 30 (2004)","4"
"139","IT","978-1-4423-5036-6","Italian 2","7","0:18:02","0:18:04","08Q","191","N","The subway runs often.","","","Italian Phase 2, units 1 - 30 (2004)","17,18"
"140","IT","978-1-4423-5036-6","Italian 2","7","0:18:06","0:18:08","08R","192","M","La metropolitana passa spesso.","4","S","Italian Phase 2, units 1 - 30 (2004)","17,18"
"141","IT","978-1-4423-5036-6","Italian 2","7","0:19:43","0:19:44","09Q","207","N","Are we walking into town?","","","Italian Phase 2, units 1 - 30 (2004)","1"
"142","IT","978-1-4423-5036-6","Italian 2","7","0:19:48","0:19:49","09R","208","F","Andiamo a piedi in città?","5","Q","Italian Phase 2, units 1 - 30 (2004)","1"
"143","IT","978-1-4423-5036-6","Italian 2","7","0:21:18","0:21:19","10Q","224","N","Are we going there by car?","","","Italian Phase 2, units 1 - 30 (2004)","4,16,18"
"144","IT","978-1-4423-5036-6","Italian 2","7","0:21:23","0:21:24","10R","225","F","Ci andiamo in macchina?","4","Q","Italian Phase 2, units 1 - 30 (2004)","4,16,18"
"145","IT","978-1-4423-5036-6","Italian 2","7","0:24:51","0:24:52","11Q","260","N","Let’s take the subway.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"146","IT","978-1-4423-5036-6","Italian 2","7","0:24:55","0:24:56","11R","261","F","Prendiamo la metropolitana.","3","S","Italian Phase 2, units 1 - 30 (2004)","18"
"147","IT","978-1-4423-5036-6","Italian 2","7","0:25:21","0:25:23","12Q","265","N","My car is at home.","","","Italian Phase 2, units 1 - 30 (2004)","16,18"
"148","IT","978-1-4423-5036-6","Italian 2","7","0:25:26","0:25:28","12R","266","M","La mia macchina è a casa.","6","S","Italian Phase 2, units 1 - 30 (2004)","16,18"
"149","IT","978-1-4423-5036-6","Italian 2","8","0:08:07","0:08:09","01Q","95","N","She too goes there sometimes.","","","Italian Phase 2, units 1 - 30 (2004)","7,17"
"150","IT","978-1-4423-5036-6","Italian 2","8","0:08:13","0:08:15","01R","96","F","Anche lei ci va qualche volta.","6","S","Italian Phase 2, units 1 - 30 (2004)","7,17"
"151","IT","978-1-4423-5036-6","Italian 2","8","0:15:07","0:15:09","02Q","161","N","We’re not taking my car.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"152","IT","978-1-4423-5036-6","Italian 2","8","0:15:12","0:15:14","02R","162","F","Non prendiamo la mia macchina.","5","S","Italian Phase 2, units 1 - 30 (2004)","18"
"153","IT","978-1-4423-5036-6","Italian 2","8","0:17:24","0:17:26","03Q","185","N","Can’t we go by car?","","","Italian Phase 2, units 1 - 30 (2004)","4,18"
"154","IT","978-1-4423-5036-6","Italian 2","8","0:17:30","0:17:31","03R","186","M","Non possiamo andare in macchina?","5","Q","Italian Phase 2, units 1 - 30 (2004)","4,18"
"155","IT","978-1-4423-5036-6","Italian 2","8","0:17:36","0:17:37","04Q","187","N","Certainly not.","","","Italian Phase 2, units 1 - 30 (2004)","16"
"156","IT","978-1-4423-5036-6","Italian 2","8","0:17:43","0:17:44","04R","188","F","Certamente no.","2","S","Italian Phase 2, units 1 - 30 (2004)","16"
"157","IT","978-1-4423-5036-6","Italian 2","8","0:19:47","0:19:48","05Q","209","N","I’m buying some T-shirts.","","","Italian Phase 2, units 1 - 30 (2004)","14"
"158","IT","978-1-4423-5036-6","Italian 2","8","0:19:51","0:19:52","05R","210","M","Compro delle magliette.","3","S","Italian Phase 2, units 1 - 30 (2004)","14"
"159","IT","978-1-4423-5036-6","Italian 2","8","0:22:05","0:22:06","06Q","230","N","For my American friends.","","","Italian Phase 2, units 1 - 30 (2004)","5"
