Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
55,55,ESL_SP,9781442328686,,3,08Q,N,Por favor.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_055.mp3,"7,13,16"
56,56,ESL_SP,9781442328686,,3,08R,M,Please.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_056.mp3,"7,13,16"
57,57,ESL_SP,9781442328686,,4,01Q,N,¿Queda aquí?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_057.mp3,4
58,58,ESL_SP,9781442328686,,4,01R,M,Is it here?,3,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_058.mp3,4
59,59,ESL_SP,9781442328686,,4,02Q,N,Queda aquí.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_059.mp3,4
60,60,ESL_SP,9781442328686,,4,02R,F,It's here.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_060.mp3,4
61,61,ESL_SP,9781442328686,,4,03Q,N,¿Dónde queda la calle Este Cincuenta Dos?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_061.mp3,"4,12"
62,62,ESL_SP,9781442328686,,4,03R,M,Where is East 52nd Street?,5,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_062.mp3,"4,12"
63,63,ESL_SP,9781442328686,,4,04Q,N,¿Usted no entiende español?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_063.mp3,"15,16"
64,64,ESL_SP,9781442328686,,4,04R,M,You don't understand Spanish?,4,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_064.mp3,"15,16"
65,65,ESL_SP,9781442328686,,4,05Q,N,Queda allá.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_065.mp3,4
66,66,ESL_SP,9781442328686,,4,05R,F,It's over there.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_066.mp3,4
67,67,ESL_SP,9781442328686,,4,06Q,N,Pero entiendo un poco de inglés.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_067.mp3,"15,16"
68,68,ESL_SP,9781442328686,,4,06R,M,But I understand a little English.,6,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_068.mp3,"15,16"
69,69,ESL_SP,9781442328686,,4,07Q,N,Usted habla muy bien.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_069.mp3,"10,15"
70,70,ESL_SP,9781442328686,,4,07R,M,You speak very well.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_070.mp3,"10,15"
71,71,ESL_SP,9781442328686,,4,08Q,N,Hablo un poco.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_071.mp3,"15,16"
72,72,ESL_SP,9781442328686,,4,08R,M,I speak a little.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_072.mp3,"15,16"
73,73,ESL_SP,9781442328686,,4,09Q,N,No hablo muy bien.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_073.mp3,"15,16"
74,74,ESL_SP,9781442328686,,4,09R,F,I don't speak very well.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_074.mp3,"15,16"
75,75,ESL_SP,9781442328686,,4,10Q,N,No hablo español.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_075.mp3,"15,16"
76,76,ESL_SP,9781442328686,,4,10R,F,I don't speak Spanish.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_076.mp3,"15,16"
77,77,ESL_SP,9781442328686,,4,11Q,N,No queda aquí.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_077.mp3,4
78,78,ESL_SP,9781442328686,,4,11R,F,It's not here.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_078.mp3,4
79,79,ESL_SP,9781442328686,,4,12Q,N,No queda allá.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_079.mp3,4
80,80,ESL_SP,9781442328686,,4,12R,M,It's not over there.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_080.mp3,4
81,81,ESL_SP,9781442328686,,5,01Q,N,No quiero comer.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_081.mp3,6
82,82,ESL_SP,9781442328686,,5,01R,M,I don't want to eat.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_082.mp3,6
83,83,ESL_SP,9781442328686,,5,02Q,N,Me gustaría comer.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_083.mp3,6
84,84,ESL_SP,9781442328686,,5,02R,F,I would like to eat.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_084.mp3,6
85,85,ESL_SP,9781442328686,,5,03Q,N,Me gustaría comer algo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_085.mp3,"6,9"
86,86,ESL_SP,9781442328686,,5,03R,F,I would like to have something to eat.,8,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_086.mp3,"6,9"
87,87,ESL_SP,9781442328686,,5,04Q,N,¿Le gustaría comer algo?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_087.mp3,"6,7"
88,88,ESL_SP,9781442328686,,5,04R,M,Would you like to have something to eat?,8,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_088.mp3,"6,7"
89,89,ESL_SP,9781442328686,,5,05Q,N,De nada.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_089.mp3,"13,16"
90,90,ESL_SP,9781442328686,,5,05R,F,You're welcome.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_090.mp3,"13,16"
91,91,ESL_SP,9781442328686,,5,06Q,N,De acuerdo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_091.mp3,"7,16"
92,92,ESL_SP,9781442328686,,5,06R,M,OK.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_092.mp3,"7,16"
93,93,ESL_SP,9781442328686,,5,07Q,N,Yo no sé.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_093.mp3,"7,16"
94,94,ESL_SP,9781442328686,,5,07R,F,I don't know.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_094.mp3,"7,16"
95,95,ESL_SP,9781442328686,,5,08Q,N,Yo sé.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_095.mp3,7
96,96,ESL_SP,9781442328686,,5,08R,M,I know.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_096.mp3,7
97,97,ESL_SP,9781442328686,,5,09Q,N,¿Sabe usted?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_097.mp3,"7,16"
98,98,ESL_SP,9781442328686,,5,09R,M,Do you know?,3,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_098.mp3,"7,16"
99,99,ESL_SP,9781442328686,,5,10Q,N,Le gustaría comer algo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_099.mp3,"6,9"
100,100,ESL_SP,9781442328686,,5,10R,M,You would like to have something to eat.,8,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_100.mp3,"6,9"
101,101,ESL_SP,9781442328686,,5,11Q,N,Me gustaría beber algo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_101.mp3,"6,9"
102,102,ESL_SP,9781442328686,,5,11R,F,I would like to have something to drink.,8,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_102.mp3,"6,9"
103,103,ESL_SP,9781442328686,,5,12Q,N,¿Le gustaría beber algo?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_103.mp3,"6,7"
104,104,ESL_SP,9781442328686,,5,12R,M,Would you like to have something to drink?,8,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_104.mp3,"6,7"
105,105,ESL_SP,9781442328686,,6,01Q,N,Yo entiendo un poco y hablo un poco.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_105.mp3,"15,16"
106,106,ESL_SP,9781442328686,,6,01R,F,I understand a little and I speak a little.,9,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_106.mp3,"15,16"
107,107,ESL_SP,9781442328686,,6,02Q,N,¿Le gustaría beber algo en un restaurante?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_107.mp3,"1,6"
108,108,ESL_SP,9781442328686,,6,02R,M,Would you like to have something to drink in a restaurant?,11,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_108.mp3,"1,6"
109,109,ESL_SP,9781442328686,,6,03Q,N,"Sí, me gustaría.",,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_109.mp3,"7,16"
110,110,ESL_SP,9781442328686,,6,03R,F,"Yes, I would.",3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_110.mp3,"7,16"
111,111,ESL_SP,9781442328686,,6,04Q,N,¿Dónde queda la Avenida Este?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_111.mp3,"4,18"
112,112,ESL_SP,9781442328686,,6,04R,F,Where is East Avenue?,4,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_112.mp3,"4,18"
113,113,ESL_SP,9781442328686,,6,05Q,N,¿Dónde le gustaría comer?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_113.mp3,"4,6"
114,114,ESL_SP,9781442328686,,6,05R,M,Where would you like to eat?,6,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_114.mp3,"4,6"
115,115,ESL_SP,9781442328686,,6,06Q,N,"A mí también, me gustaría comer.",,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_115.mp3,6
116,116,ESL_SP,9781442328686,,6,06R,F,"I'd like to eat, too.",5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_116.mp3,6
117,117,ESL_SP,9781442328686,,6,07Q,N,Ahora.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_117.mp3,17
118,118,ESL_SP,9781442328686,,6,07R,M,Now.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_118.mp3,17
119,119,ESL_SP,9781442328686,,6,08Q,N,¿Cuándo le gustaría comer?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_119.mp3,"6,17"
120,120,ESL_SP,9781442328686,,6,08R,F,When would you like to eat?,6,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_120.mp3,"6,17"
121,121,ESL_SP,9781442328686,,6,09Q,N,Más tarde.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_121.mp3,17
122,122,ESL_SP,9781442328686,,6,09R,M,Later.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_122.mp3,17
123,123,ESL_SP,9781442328686,,6,10Q,N,Yo no quiero.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_123.mp3,7
124,124,ESL_SP,9781442328686,,6,10R,F,I don't want to.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_124.mp3,7
125,125,ESL_SP,9781442328686,,7,01Q,N,Quiero comer más tarde.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_125.mp3,"6,17"
126,126,ESL_SP,9781442328686,,7,01R,M,I want to eat later.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_126.mp3,"6,17"
127,127,ESL_SP,9781442328686,,7,02Q,N,Me gustaría algo de vino.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_127.mp3,6
128,128,ESL_SP,9781442328686,,7,02R,F,I'd like some wine.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_128.mp3,6
129,129,ESL_SP,9781442328686,,7,03Q,N,A mí me gustaría comer ahora.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_129.mp3,"6,17"
130,130,ESL_SP,9781442328686,,7,03R,M,I'd like to eat now.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_130.mp3,"6,17"
131,131,ESL_SP,9781442328686,,7,04Q,N,Aquí no.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_131.mp3,4
132,132,ESL_SP,9781442328686,,7,04R,M,Not here.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_132.mp3,4
133,133,ESL_SP,9781442328686,,7,05Q,N,Allá no.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_133.mp3,4
134,134,ESL_SP,9781442328686,,7,05R,M,Not over there.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_134.mp3,4
135,135,ESL_SP,9781442328686,,7,06Q,N,¿Allá?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_135.mp3,4
136,136,ESL_SP,9781442328686,,7,06R,F,Over there?,2,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_136.mp3,4
137,137,ESL_SP,9781442328686,,7,07Q,N,En el hotel.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_137.mp3,18
138,138,ESL_SP,9781442328686,,7,07R,M,At the hotel.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_138.mp3,18
139,139,ESL_SP,9781442328686,,7,08Q,N,En un hotel.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_139.mp3,18
140,140,ESL_SP,9781442328686,,7,08R,M,At a hotel.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_140.mp3,18
141,141,ESL_SP,9781442328686,,7,09Q,N,¿Qué le gustaría comer?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_141.mp3,"6,7"
142,142,ESL_SP,9781442328686,,7,09R,M,What would you like to eat?,6,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_142.mp3,"6,7"
143,143,ESL_SP,9781442328686,,7,10Q,N,¿Le gustaría algo de vino?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_143.mp3,"6,7"
144,144,ESL_SP,9781442328686,,7,10R,M,Would you like some wine?,5,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_144.mp3,"6,7"
145,145,ESL_SP,9781442328686,,7,11Q,N,¿Le gustaría comer ahora?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_145.mp3,"6,7,17"
146,146,ESL_SP,9781442328686,,7,11R,M,Would you like to eat now?,6,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_146.mp3,"6,7,17"
147,147,ESL_SP,9781442328686,,7,12Q,N,¿Usted no quiere comer?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_147.mp3,"6,7"
148,148,ESL_SP,9781442328686,,7,12R,M,You don't want to eat?,5,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_148.mp3,"6,7"
149,149,ESL_SP,9781442328686,,8,01Q,N,Me gustaría comprar algo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_149.mp3,1
150,150,ESL_SP,9781442328686,,8,01R,F,I'd like to buy something.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_150.mp3,1
151,151,ESL_SP,9781442328686,,8,02Q,N,A mí me gustaría hacer algo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_151.mp3,1
152,152,ESL_SP,9781442328686,,8,02R,F,I'd like to do something.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_152.mp3,1
153,153,ESL_SP,9781442328686,,8,03Q,N,¿Qué quiere hacer usted?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_153.mp3,"1,7"
154,154,ESL_SP,9781442328686,,8,03R,M,What do you want to do?,6,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_154.mp3,"1,7"
155,155,ESL_SP,9781442328686,,8,04Q,N,¿Con quién?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_155.mp3,"1,7"
156,156,ESL_SP,9781442328686,,8,04R,M,With whom?,2,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_156.mp3,"1,7"
157,157,ESL_SP,9781442328686,,8,05Q,N,"¿A usted también, le gustaría algo de cerveza?",,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_157.mp3,6
158,158,ESL_SP,9781442328686,,8,05R,M,"Would you like some beer, too?",6,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_158.mp3,6
159,159,ESL_SP,9781442328686,,8,06Q,N,¿Le gustaría beber algo conmigo?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_159.mp3,6
160,160,ESL_SP,9781442328686,,8,06R,M,Would you like to have something to drink with me?,10,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_160.mp3,6
161,161,ESL_SP,9781442328686,,8,07Q,N,¿Vino o cerveza?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_161.mp3,6
162,162,ESL_SP,9781442328686,,8,07R,M,Wine or beer?,3,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_162.mp3,6
