Control #,Rec,Lang,Source ISBN,Course,Unit Num,StartTime,StopTime,Cluster,Qz #,Spkr,Cue,Snippet Name,Skills
13,13,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02Q_C,N,I have to meet with an artist.,9781442370579_Italian_4_QZ_0013.mp3,"1,10,20"
14,14,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02R_C,M,Devo incontrarmi con un’artista.,9781442370579_Italian_4_QZ_0014.mp3,"1,10,20"
15,15,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02Q_D,N,You are an art critic.,9781442370579_Italian_4_QZ_0015.mp3,20
16,16,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02R_D,F,Lei è un critico d’arte.,9781442370579_Italian_4_QZ_0016.mp3,20
17,17,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03Q_A,N,I’m taking a business trip.,9781442370579_Italian_4_QZ_0017.mp3,"18,20"
18,18,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03R_A,F,Faccio un viaggio d’affari.,9781442370579_Italian_4_QZ_0018.mp3,"18,20"
19,19,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03Q_B,N,I’m taking a walk.,9781442370579_Italian_4_QZ_0019.mp3,1
20,20,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03R_B,F,Faccio un passeggiata.,9781442370579_Italian_4_QZ_0020.mp3,1
21,21,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03Q_C,N,I’m here for a business trip.,9781442370579_Italian_4_QZ_0021.mp3,"5,18,20"
22,22,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03R_C,F,Sono qui per un viaggio d’affari.,9781442370579_Italian_4_QZ_0022.mp3,"5,18,20"
23,23,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03Q_D,N,I’ll drop by.,9781442370579_Italian_4_QZ_0023.mp3,"13,16"
24,24,IT,978-1-4423-6191-1,Italian 4,1,,,U01-03,03R_D,F,Io faccio un salto.,9781442370579_Italian_4_QZ_0024.mp3,"13,16"
25,25,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04Q_A,N,Her paintings are excellent.,9781442370579_Italian_4_QZ_0025.mp3,"5,9"
26,26,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04R_A,M,I suoi quadri sono eccellenti.,9781442370579_Italian_4_QZ_0026.mp3,"5,9"
27,27,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04Q_B,N,These paintings are excellent.,9781442370579_Italian_4_QZ_0027.mp3,"5,9"
28,28,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04R_B,M,Questi quadri sono eccellenti.,9781442370579_Italian_4_QZ_0028.mp3,"5,9"
29,29,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04Q_C,N,The marketing plan is excellent.,9781442370579_Italian_4_QZ_0029.mp3,14
30,30,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04R_C,F,Il progetto di marketing è eccellente.,9781442370579_Italian_4_QZ_0030.mp3,14
31,31,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04Q_D,N,The paintings are excellent.,9781442370579_Italian_4_QZ_0031.mp3,"5,9"
32,32,IT,978-1-4423-6191-1,Italian 4,1,,,U01-04,04R_D,F,I quadri sono eccellenti.,9781442370579_Italian_4_QZ_0032.mp3,"5,9"
33,33,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05Q_A,N,I have to go to the airport.,9781442370579_Italian_4_QZ_0033.mp3,"16,18"
34,34,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05R_A,F,Devo andare all’aeroporto.,9781442370579_Italian_4_QZ_0034.mp3,"16,18"
35,35,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05Q_B,N,I can go to the airport.,9781442370579_Italian_4_QZ_0035.mp3,18
36,36,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05R_B,M,Posso andare all’aeroporto.,9781442370579_Italian_4_QZ_0036.mp3,18
37,37,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05Q_C,N,It’s not far from the airport.,9781442370579_Italian_4_QZ_0037.mp3,"4,18"
38,38,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05R_C,M,Non è lontano dall’aeroporto.,9781442370579_Italian_4_QZ_0038.mp3,"4,18"
39,39,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05Q_D,N,I ate at the airport.,9781442370579_Italian_4_QZ_0039.mp3,18
40,40,IT,978-1-4423-6191-1,Italian 4,1,,,U01-05,05R_D,F,Ho mangiato in aeroporto.,9781442370579_Italian_4_QZ_0040.mp3,18
41,41,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06Q_A,N,We have to talk about business.,9781442370579_Italian_4_QZ_0041.mp3,"3,20"
42,42,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06R_A,M,Dobbiamo parlare d’affari.,9781442370579_Italian_4_QZ_0042.mp3,"3,20"
43,43,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06Q_B,N,We have to meet later.,9781442370579_Italian_4_QZ_0043.mp3,"3,10,17"
44,44,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06R_B,M,Dobbiamo incontrarci più tardi.,9781442370579_Italian_4_QZ_0044.mp3,"3,10,17"
45,45,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06Q_C,N,I’m taking a business trip.,9781442370579_Italian_4_QZ_0045.mp3,"18,20"
46,46,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06R_C,F,Faccio un viaggio d’affari.,9781442370579_Italian_4_QZ_0046.mp3,"18,20"
47,47,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06Q_D,N,You’re here for a business trip.,9781442370579_Italian_4_QZ_0047.mp3,"18,20"
48,48,IT,978-1-4423-6191-1,Italian 4,1,,,U01-06,06R_D,F,È qui per un viaggio d’affari.,9781442370579_Italian_4_QZ_0048.mp3,"18,20"
49,49,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07Q_A,N,We’d like to invite her to do an exhibition.,9781442370579_Italian_4_QZ_0049.mp3,1
50,50,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07R_A,M,Vorremmo invitarla a fare una mostra.,9781442370579_Italian_4_QZ_0050.mp3,1
51,51,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07Q_B,N,I’d like to invite you to come with us.,9781442370579_Italian_4_QZ_0051.mp3,"1,13"
52,52,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07R_B,M,Vorrei invitarLa a venire con noi.,9781442370579_Italian_4_QZ_0052.mp3,"1,13"
53,53,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07Q_C,N,We’d like to rent a room.,9781442370579_Italian_4_QZ_0053.mp3,"14,16,18"
54,54,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07R_C,F,Vorremmo affittare una camera.,9781442370579_Italian_4_QZ_0054.mp3,"14,16,18"
55,55,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07Q_D,N,You have seen her exhibition.,9781442370579_Italian_4_QZ_0055.mp3,"1,5"
56,56,IT,978-1-4423-6191-1,Italian 4,1,,,U01-07,07R_D,F,Ha visto la sua mostra.,9781442370579_Italian_4_QZ_0056.mp3,"1,5"
57,57,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08Q_A,N,You’re going to Milan on a business trip.,9781442370579_Italian_4_QZ_0057.mp3,"18,20"
58,58,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08R_A,M,Va a Milano per un viaggio d’affari.,9781442370579_Italian_4_QZ_0058.mp3,"18,20"
59,59,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08Q_B,N,I saw her paintings in Milan.,9781442370579_Italian_4_QZ_0059.mp3,"1,5"
60,60,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08R_B,M,Ho visto i suoi quadri a Milano.,9781442370579_Italian_4_QZ_0060.mp3,"1,5"
61,61,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08Q_C,N,You’re going to the conference in Milan.,9781442370579_Italian_4_QZ_0061.mp3,"18,20"
62,62,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08R_C,M,Va alla conferenza a Milano.,9781442370579_Italian_4_QZ_0062.mp3,"18,20"
63,63,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08Q_D,N,You have seen her exhibition in Milan.,9781442370579_Italian_4_QZ_0063.mp3,1
64,64,IT,978-1-4423-6191-1,Italian 4,1,,,U01-08,08R_D,F,Ha visto la sua mostra a Milano.,9781442370579_Italian_4_QZ_0064.mp3,1
65,65,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01Q_A,N,She will do an exhibition.,9781442370579_Italian_4_QZ_0065.mp3,1
66,66,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01R_A,M,Farà una mostra.,9781442370579_Italian_4_QZ_0066.mp3,1
67,67,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01Q_B,N,He will do a blog tomorrow.,9781442370579_Italian_4_QZ_0067.mp3,17
68,68,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01R_B,M,Farà un blog domani.,9781442370579_Italian_4_QZ_0068.mp3,17
69,69,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01Q_C,N,She’ll do the exhibition with us.,9781442370579_Italian_4_QZ_0069.mp3,1
70,70,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01R_C,F,Farà la mostra con noi.,9781442370579_Italian_4_QZ_0070.mp3,1
71,71,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01Q_D,N,There won’t be an exhibit.,9781442370579_Italian_4_QZ_0071.mp3,1
72,72,IT,978-1-4423-6191-1,Italian 4,2,,,U02-01,01R_D,M,Non ci sarà una mostra.,9781442370579_Italian_4_QZ_0072.mp3,1
73,73,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02Q_A,N,I already saw her paintings in Rome.,9781442370579_Italian_4_QZ_0073.mp3,"1,17,18"
74,74,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02R_A,M,Ho già visto i suoi quadri a Roma.,9781442370579_Italian_4_QZ_0074.mp3,"1,17,18"
75,75,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02Q_B,N,You saw her exhibition in Rome.,9781442370579_Italian_4_QZ_0075.mp3,"1,5"
76,76,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02R_B,M,Ha visto la sua mostra a Roma.,9781442370579_Italian_4_QZ_0076.mp3,"1,5"
77,77,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02Q_C,N,I saw them a little while ago in Rome.,9781442370579_Italian_4_QZ_0077.mp3,"1,5,12,18"
78,78,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02R_C,F,Li ho visti poco tempo fa a Roma.,9781442370579_Italian_4_QZ_0078.mp3,"1,5,12,18"
79,79,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02Q_D,N,I saw it last month in Rome.,9781442370579_Italian_4_QZ_0079.mp3,"1,17,18"
80,80,IT,978-1-4423-6191-1,Italian 4,2,,,U02-02,02R_D,F,L’ho visto il mese scorso a Roma.,9781442370579_Italian_4_QZ_0080.mp3,"1,17,18"
81,81,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03Q_A,N,I already saw it.,9781442370579_Italian_4_QZ_0081.mp3,"1,7,9"
82,82,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03R_A,M,L’ho già visto.,9781442370579_Italian_4_QZ_0082.mp3,"1,7,9"
83,83,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03Q_B,N,I already saw her paintings.,9781442370579_Italian_4_QZ_0083.mp3,"1,5"
84,84,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03R_B,F,Ho già visto i suoi quadri.,9781442370579_Italian_4_QZ_0084.mp3,"1,5"
85,85,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03Q_C,N,I already saw them.,9781442370579_Italian_4_QZ_0085.mp3,"1,5"
86,86,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03R_C,M,Li ho già visti.,9781442370579_Italian_4_QZ_0086.mp3,"1,5"
87,87,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03Q_D,N,I saw it last month.,9781442370579_Italian_4_QZ_0087.mp3,"1,17"
88,88,IT,978-1-4423-6191-1,Italian 4,2,,,U02-03,03R_D,M,L’ho visto il mese scorso.,9781442370579_Italian_4_QZ_0088.mp3,"1,17"
89,89,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04Q_A,N,When do you have to meet with her?,9781442370579_Italian_4_QZ_0089.mp3,"10,17"
90,90,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04R_A,M,Quando deve incontrarsi con lei?,9781442370579_Italian_4_QZ_0090.mp3,"10,17"
91,91,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04Q_B,N,When do you have to meet with the painter?,9781442370579_Italian_4_QZ_0091.mp3,"10,17,20"
92,92,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04R_B,F,Quando deve incontrarsi con la pittrice?,9781442370579_Italian_4_QZ_0092.mp3,"10,17,20"
93,93,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04Q_C,N,Why do you have to talk about business?,9781442370579_Italian_4_QZ_0093.mp3,"3,20"
94,94,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04R_C,F,Perché deve parlare d’affari?,9781442370579_Italian_4_QZ_0094.mp3,"3,20"
95,95,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04Q_D,N,Where do I have to meet with her?,9781442370579_Italian_4_QZ_0095.mp3,"4,10"
96,96,IT,978-1-4423-6191-1,Italian 4,2,,,U02-04,04R_D,M,Dove devo incontrarmi con lei?,9781442370579_Italian_4_QZ_0096.mp3,"4,10"
97,97,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05Q_A,N,I wrote an article about the artist.,9781442370579_Italian_4_QZ_0097.mp3,"3,20"
98,98,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05R_A,M,Ho scritto un articolo sull’artista.,9781442370579_Italian_4_QZ_0098.mp3,"3,20"
99,99,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05Q_B,N,I wrote that she will do an exhibition.,9781442370579_Italian_4_QZ_0099.mp3,"1,3"
100,100,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05R_B,F,Ho scritto che farà una mostra.,9781442370579_Italian_4_QZ_0100.mp3,"1,3"
101,101,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05Q_C,N,He liked the article that you wrote.,9781442370579_Italian_4_QZ_0101.mp3,"3,20"
102,102,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05R_C,F,È piaciuto l’articolo che ha scritto.,9781442370579_Italian_4_QZ_0102.mp3,"3,20"
103,103,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05Q_D,N,I wrote an article on the exhibition.,9781442370579_Italian_4_QZ_0103.mp3,3
104,104,IT,978-1-4423-6191-1,Italian 4,2,,,U02-05,05R_D,M,Ho scritto un articolo sulla mostra.,9781442370579_Italian_4_QZ_0104.mp3,3
105,105,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06Q_A,N,Can you translate the article?,9781442370579_Italian_4_QZ_0105.mp3,3
106,106,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06R_A,F,Può tradurre l’articolo?,9781442370579_Italian_4_QZ_0106.mp3,3
107,107,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06Q_B,N,Can I translate the article?,9781442370579_Italian_4_QZ_0107.mp3,3
108,108,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06R_B,F,Posso tradurre l’articolo?,9781442370579_Italian_4_QZ_0108.mp3,3
109,109,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06Q_C,N,Can one translate the article?,9781442370579_Italian_4_QZ_0109.mp3,"3,12"
110,110,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06R_C,M,Si può tradurre l’articolo?,9781442370579_Italian_4_QZ_0110.mp3,"3,12"
111,111,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06Q_D,N,Can I translate the plan?,9781442370579_Italian_4_QZ_0111.mp3,3
112,112,IT,978-1-4423-6191-1,Italian 4,2,,,U02-06,06R_D,M,Posso tradurre il progetto?,9781442370579_Italian_4_QZ_0112.mp3,3
113,113,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07Q_A,N,The article is about the painter.,9781442370579_Italian_4_QZ_0113.mp3,"3,20"
114,114,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07R_A,F,L’articolo è sulla pittrice.,9781442370579_Italian_4_QZ_0114.mp3,"3,20"
115,115,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07Q_B,N,I wrote an article on the painter.,9781442370579_Italian_4_QZ_0115.mp3,"3,20"
116,116,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07R_B,M,Ho scritto un articolo sulla pittrice.,9781442370579_Italian_4_QZ_0116.mp3,"3,20"
117,117,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07Q_C,N,I must meet with the painter.,9781442370579_Italian_4_QZ_0117.mp3,"1,10,20"
118,118,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07R_C,M,Devo incontrarmi con la pittrice.,9781442370579_Italian_4_QZ_0118.mp3,"1,10,20"
119,119,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07Q_D,N,The painter is very good.,9781442370579_Italian_4_QZ_0119.mp3,"7,20"
120,120,IT,978-1-4423-6191-1,Italian 4,2,,,U02-07,07R_D,M,La pittrice è molto brava.,9781442370579_Italian_4_QZ_0120.mp3,"7,20"
121,121,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08Q_A,N,I didn’t eat at the airport.,9781442370579_Italian_4_QZ_0121.mp3,"6,18"
122,122,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08R_A,F,Non ho mangiato in aeroporto.,9781442370579_Italian_4_QZ_0122.mp3,"6,18"
123,123,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08Q_B,N,At the airport one can eat well.,9781442370579_Italian_4_QZ_0123.mp3,"6,12,18"
124,124,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08R_B,M,All’aeroporto si può mangiare bene.,9781442370579_Italian_4_QZ_0124.mp3,"6,12,18"
125,125,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08Q_C,N,I have to go to the airport.,9781442370579_Italian_4_QZ_0125.mp3,18
126,126,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08R_C,F,Devo andare all’aeroporto.,9781442370579_Italian_4_QZ_0126.mp3,18
127,127,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08Q_D,N,I don’t like to eat at the airport.,9781442370579_Italian_4_QZ_0127.mp3,"6,18"
128,128,IT,978-1-4423-6191-1,Italian 4,2,,,U02-08,08R_D,M,Non mi piace mangiare in aeroporto.,9781442370579_Italian_4_QZ_0128.mp3,"6,18"
129,129,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01Q_A,N,My boss likes the plan.,9781442370579_Italian_4_QZ_0129.mp3,20
130,130,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01R_A,M,Al mio capo piace il progetto.,9781442370579_Italian_4_QZ_0130.mp3,20
131,131,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01Q_B,N,Our boss already likes the plan.,9781442370579_Italian_4_QZ_0131.mp3,20
132,132,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01R_B,M,Al nostro capo piace già il progetto.,9781442370579_Italian_4_QZ_0132.mp3,20
133,133,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01Q_C,N,I like the plan.,9781442370579_Italian_4_QZ_0133.mp3,9
134,134,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01R_C,F,Mi piace il progetto.,9781442370579_Italian_4_QZ_0134.mp3,9
135,135,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01Q_D,N,My boss liked the article.,9781442370579_Italian_4_QZ_0135.mp3,"3,20"
136,136,IT,978-1-4423-6191-1,Italian 4,3,,,U03-01,01R_D,M,Al mio capo è piaciuto l’articolo.,9781442370579_Italian_4_QZ_0136.mp3,"3,20"
137,137,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02Q_A,N,We must also update the web site.,9781442370579_Italian_4_QZ_0137.mp3,"3,20"
138,138,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02R_A,F,Dobbiamo aggiornare anche il sito web.,9781442370579_Italian_4_QZ_0138.mp3,"3,20"
139,139,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02Q_B,N,I want to update the plan right away.,9781442370579_Italian_4_QZ_0139.mp3,"4,17,20"
140,140,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02R_B,M,Voglio aggiornare il progetto subito.,9781442370579_Italian_4_QZ_0140.mp3,"4,17,20"
141,141,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02Q_C,N,I can update part of the web site.,9781442370579_Italian_4_QZ_0141.mp3,"3,20"
142,142,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02R_C,M,Posso aggiornare parte del sito web.,9781442370579_Italian_4_QZ_0142.mp3,"3,20"
143,143,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02Q_D,N,We have to meet right away.,9781442370579_Italian_4_QZ_0143.mp3,"1,3,10,17"
144,144,IT,978-1-4423-6191-1,Italian 4,3,,,U03-02,02R_D,F,Dobbiamo incontrarci subito.,9781442370579_Italian_4_QZ_0144.mp3,"1,3,10,17"
145,145,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03Q_A,N,He liked it.,9781442370579_Italian_4_QZ_0145.mp3,16
146,146,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03R_A,F,Gli è piaciuto.,9781442370579_Italian_4_QZ_0146.mp3,16
147,147,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03Q_B,N,I liked it.,9781442370579_Italian_4_QZ_0147.mp3,"9,16"
148,148,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03R_B,M,Mi è piaciuto,9781442370579_Italian_4_QZ_0148.mp3,"9,16"
149,149,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03Q_C,N,He likes it very much.,9781442370579_Italian_4_QZ_0149.mp3,12
150,150,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03R_C,F,Gli piace molto.,9781442370579_Italian_4_QZ_0150.mp3,12
151,151,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03Q_D,N,I can speak to him.,9781442370579_Italian_4_QZ_0151.mp3,3
152,152,IT,978-1-4423-6191-1,Italian 4,3,,,U03-03,03R_D,M,Posso parlargli.,9781442370579_Italian_4_QZ_0152.mp3,3
153,153,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04Q_A,N,I already saw it three times.,9781442370579_Italian_4_QZ_0153.mp3,"1,12,17"
154,154,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04R_A,F,L’ho già visto tre volte.,9781442370579_Italian_4_QZ_0154.mp3,"1,12,17"
155,155,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04Q_B,N,You’ve already seen the painting.,9781442370579_Italian_4_QZ_0155.mp3,1
156,156,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04R_B,M,Ha già visto il quadro.,9781442370579_Italian_4_QZ_0156.mp3,1
157,157,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04Q_C,N,You saw the painting three times.,9781442370579_Italian_4_QZ_0157.mp3,"1,12,17"
158,158,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04R_C,F,Ha visto il quadro tre volte.,9781442370579_Italian_4_QZ_0158.mp3,"1,12,17"
159,159,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04Q_D,N,You’ve already seen it three times.,9781442370579_Italian_4_QZ_0159.mp3,"1,12,17"
160,160,IT,978-1-4423-6191-1,Italian 4,3,,,U03-04,04R_D,F,L’ha già visto tre volte.,9781442370579_Italian_4_QZ_0160.mp3,"1,12,17"
161,161,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05Q_A,N,There won’t be a problem.,9781442370579_Italian_4_QZ_0161.mp3,"7,16"
162,162,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05R_A,F,Non ci sarà un problema.,9781442370579_Italian_4_QZ_0162.mp3,"7,16"
163,163,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05Q_B,N,There is a problem.,9781442370579_Italian_4_QZ_0163.mp3,"4,16"
164,164,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05R_B,M,C’è un problema.,9781442370579_Italian_4_QZ_0164.mp3,"4,16"
165,165,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05Q_C,N,If it’s not a problem.,9781442370579_Italian_4_QZ_0165.mp3,16
166,166,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05R_C,M,Se non è un problema.,9781442370579_Italian_4_QZ_0166.mp3,16
167,167,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05Q_D,N,We have a little problem.,9781442370579_Italian_4_QZ_0167.mp3,12
168,168,IT,978-1-4423-6191-1,Italian 4,3,,,U03-05,05R_D,F,Abbiamo un piccolo problema.,9781442370579_Italian_4_QZ_0168.mp3,12
