Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Skills
38,GR,978-1-4423-5035-9,German 3,2,0:18:56,0:18:57,09R,213,F,Wie bitte?,2,Q,"German Phase 3, Units 1-30 (2006)","7,13"
39,GR,978-1-4423-5035-9,German 3,2,0:23:58,0:24:01,10Q,223,N,At our place there is at this time a lot of snow.,,,"German Phase 3, Units 1-30 (2006)","9,17,19"
40,GR,978-1-4423-5035-9,German 3,2,0:24:05,0:24:07,10R,224,M,Bei uns gibt es zur Zeit viel Schnee.,8,S,"German Phase 3, Units 1-30 (2006)","9,17,19"
41,GR,978-1-4423-5035-9,German 3,3,0:01:21,0:01:23,01Q,29,N,I would like to have a large lager.,,,"German Phase 3, Units 1-30 (2006)","6,12"
42,GR,978-1-4423-5035-9,German 3,3,0:01:28,0:01:30,01R,30,M,Ich hätte gern ein großes Helles.,6,S,"German Phase 3, Units 1-30 (2006)","6,12"
43,GR,978-1-4423-5035-9,German 3,3,0:04:57,0:04:58,02Q,71,N,Here’s a photo of my daughter.,,,"German Phase 3, Units 1-30 (2006)","5,9"
44,GR,978-1-4423-5035-9,German 3,3,0:05:02,0:05:04,02R,72,F,Hier ist ein Foto von meiner Tochter.,7,S,"German Phase 3, Units 1-30 (2006)","5,9"
45,GR,978-1-4423-5035-9,German 3,3,0:05:38,0:05:40,03Q,78,N,My daughter’s learning Italian.,,,"German Phase 3, Units 1-30 (2006)","5,9,15"
46,GR,978-1-4423-5035-9,German 3,3,0:05:44,0:05:46,03R,79,F,Meine Tochter lernt Italienisch.,4,S,"German Phase 3, Units 1-30 (2006)","5,9,15"
47,GR,978-1-4423-5035-9,German 3,3,0:07:47,0:07:48,04Q,97,N,Did it rain?,,,"German Phase 3, Units 1-30 (2006)",19
48,GR,978-1-4423-5035-9,German 3,3,0:07:51,0:07:52,04R,98,M,Hat es geregnet?,3,Q,"German Phase 3, Units 1-30 (2006)",19
49,GR,978-1-4423-5035-9,German 3,3,0:12:02,0:12:04,05Q,146,N,It’s never very cold.,,,"German Phase 3, Units 1-30 (2006)","9,19"
50,GR,978-1-4423-5035-9,German 3,3,0:12:07,0:12:08,05R,147,M,Es ist nie sehr kalt.,5,S,"German Phase 3, Units 1-30 (2006)","9,19"
51,GR,978-1-4423-5035-9,German 3,3,0:13:52,0:13:54,06Q,162,N,It almost never snows.,,,"German Phase 3, Units 1-30 (2006)","9,19"
52,GR,978-1-4423-5035-9,German 3,3,0:13:57,0:13:58,06R,163,F,Es schneit fast nie.,4,S,"German Phase 3, Units 1-30 (2006)","9,19"
53,GR,978-1-4423-5035-9,German 3,3,0:16:45,0:16:47,07Q,191,N,Next month I’m going there.,,,"German Phase 3, Units 1-30 (2006)","9,17,18"
54,GR,978-1-4423-5035-9,German 3,3,0:16:51,0:16:53,07R,192,M,Nächsten Monat fahre ich dorthin.,5,S,"German Phase 3, Units 1-30 (2006)","9,17,18"
55,GR,978-1-4423-5035-9,German 3,3,0:18:27,0:18:29,08Q,206,N,That’s really a fantastic city.,,,"German Phase 3, Units 1-30 (2006)","9,18"
56,GR,978-1-4423-5035-9,German 3,3,0:18:35,0:18:37,08R,207,F,Das ist wirklich eine tolle Stadt.,6,S,"German Phase 3, Units 1-30 (2006)","9,18"
57,GR,978-1-4423-5035-9,German 3,3,0:18:56,0:18:57,09Q,210,N,I grew up.,,,"German Phase 3, Units 1-30 (2006)","5,9"
58,GR,978-1-4423-5035-9,German 3,3,0:19:00,0:19:02,09R,211,F,Ich bin aufgewachsen.,3,S,"German Phase 3, Units 1-30 (2006)","5,9"
59,GR,978-1-4423-5035-9,German 3,3,0:24:25,0:24:31,10Q,265,N,And where did you grow up?,,,"German Phase 3, Units 1-30 (2006)",7
60,GR,978-1-4423-5035-9,German 3,3,0:24:30,0:24:31,10R,266,M,Und wo sind Sie aufgewachsen?,5,Q,"German Phase 3, Units 1-30 (2006)",7
61,GR,978-1-4423-5035-9,German 3,4,0:04:35,0:04:36,01Q,52,N,How’s the weather in the winter?,,,"German Phase 3, Units 1-30 (2006)","17,19"
62,GR,978-1-4423-5035-9,German 3,4,0:04:39,0:04:41,01R,53,F,Wie ist das Wetter im Winter?,6,Q,"German Phase 3, Units 1-30 (2006)","17,19"
63,GR,978-1-4423-5035-9,German 3,4,0:07:30,0:07:32,02Q,79,N,It rains often in the winter.,,,"German Phase 3, Units 1-30 (2006)","9,17,19"
64,GR,978-1-4423-5035-9,German 3,4,0:07:38,0:07:39,02R,80,F,Es regnet oft im Winter.,5,S,"German Phase 3, Units 1-30 (2006)","9,17,19"
65,GR,978-1-4423-5035-9,German 3,4,0:10:08,0:10:10,03Q,103,N,I’m (m) a branch manager.,,,"German Phase 3, Units 1-30 (2006)","9,20"
66,GR,978-1-4423-5035-9,German 3,4,0:10:13,0:10:14,03R,104,M,Ich bin Filialleiter.,3,S,"German Phase 3, Units 1-30 (2006)","9,20"
67,GR,978-1-4423-5035-9,German 3,4,0:11:52,0:11:53,04Q,117,N,What does she teach?,,,"German Phase 3, Units 1-30 (2006)",20
68,GR,978-1-4423-5035-9,German 3,4,0:11:56,0:11:58,04R,118,F,Was unterrichtet sie?,3,Q,"German Phase 3, Units 1-30 (2006)",20
69,GR,978-1-4423-5035-9,German 3,4,0:13:43,0:13:46,05Q,137,N,"In the winter, she never has time.",,,"German Phase 3, Units 1-30 (2006)","9,17"
70,GR,978-1-4423-5035-9,German 3,4,0:13:52,0:13:54,05R,139,M,Im Winter hat sie nie Zeit.,6,S,"German Phase 3, Units 1-30 (2006)","9,17"
71,GR,978-1-4423-5035-9,German 3,4,0:14:23,0:14:24,06Q,144,N,She’s a German teacher.,,,"German Phase 3, Units 1-30 (2006)","9,20"
72,GR,978-1-4423-5035-9,German 3,4,0:14:27,0:14:29,06R,145,M,Sie ist Deutschlehrerin.,3,S,"German Phase 3, Units 1-30 (2006)","9,20"
73,GR,978-1-4423-5035-9,German 3,4,0:19:44,0:19:45,07Q,197,N,He’s married to a German woman.,,,"German Phase 3, Units 1-30 (2006)","5,9"
74,GR,978-1-4423-5035-9,German 3,4,0:19:52,0:19:54,07R,198,M,Er ist mit einer Deutschen verheiratet.,6,S,"German Phase 3, Units 1-30 (2006)","5,9"
75,GR,978-1-4423-5035-9,German 3,4,0:22:08,0:22:10,08Q,221,N,My brother is also married.,,,"German Phase 3, Units 1-30 (2006)","5,9"
76,GR,978-1-4423-5035-9,German 3,4,0:22:14,0:22:16,08R,222,F,Mein Bruder ist auch verheiratet.,5,S,"German Phase 3, Units 1-30 (2006)","5,9"
77,GR,978-1-4423-5035-9,German 3,4,0:23:54,0:23:56,09Q,238,N,Unfortunately it often rains.,,,"German Phase 3, Units 1-30 (2006)","9,19"
78,GR,978-1-4423-5035-9,German 3,4,0:24:01,0:24:02,09R,239,F,Leider regnet es oft.,4,S,"German Phase 3, Units 1-30 (2006)","9,19"
79,GR,978-1-4423-5035-9,German 3,4,0:26:27,0:26:29,10Q,263,N,Do you have a photo of your family?,,,"German Phase 3, Units 1-30 (2006)",5
80,GR,978-1-4423-5035-9,German 3,4,0:26:33,0:26:35,10R,265,F,Haben Sie ein Foto von Ihrer Familie?,7,Q,"German Phase 3, Units 1-30 (2006)",5
81,GR,978-1-4423-5035-9,German 3,5,0:03:20,0:03:21,01Q,43,N,My sister still lives there.,,,"German Phase 3, Units 1-30 (2006)","5,18"
82,GR,978-1-4423-5035-9,German 3,5,0:03:26,0:03:28,01R,44,F,Meine Schwester wohnt noch dort.,5,S,"German Phase 3, Units 1-30 (2006)","5,18"
83,GR,978-1-4423-5035-9,German 3,5,0:05:29,0:05:31,02Q,65,N,In the summer it’s never very hot.,,,"German Phase 3, Units 1-30 (2006)","17,19"
84,GR,978-1-4423-5035-9,German 3,5,0:05:35,0:05:37,02R,66,F,Im Sommer ist es nie sehr heiß.,7,S,"German Phase 3, Units 1-30 (2006)","17,19"
85,GR,978-1-4423-5035-9,German 3,5,0:06:56,0:06:58,03Q,79,N,Next month I’m going to visit them.,,,"German Phase 3, Units 1-30 (2006)","17,18"
86,GR,978-1-4423-5035-9,German 3,5,0:07:01,0:07:03,03R,80,M,Nächsten Monat besuche ich sie.,5,S,"German Phase 3, Units 1-30 (2006)","17,18"
87,GR,978-1-4423-5035-9,German 3,5,0:25:54,0:25:57,04Q,263,N,My husband works at a company here in Berlin.,,,"German Phase 3, Units 1-30 (2006)","5,20"
88,GR,978-1-4423-5035-9,German 3,5,0:26:01,0:26:04,04R,264,F,Mein Mann arbeitet bei einer Firma hier in Berlin.,9,S,"German Phase 3, Units 1-30 (2006)","5,20"
89,GR,978-1-4423-5035-9,German 3,5,0:17:30,0:17:31,05Q,182,N,Where did you learn German?,,,"German Phase 3, Units 1-30 (2006)","1,15"
90,GR,978-1-4423-5035-9,German 3,5,0:17:34,0:17:36,05R,184,F,Wo haben Sie Deutsch gelernt?,5,Q,"German Phase 3, Units 1-30 (2006)","1,15"
91,GR,978-1-4423-5035-9,German 3,5,0:19:21,0:19:22,06Q,199,N,Did you grow up here?,,,"German Phase 3, Units 1-30 (2006)",7
92,GR,978-1-4423-5035-9,German 3,5,0:19:25,0:19:27,06R,200,F,Sind Sie hier aufgewachsen?,4,Q,"German Phase 3, Units 1-30 (2006)",7
93,GR,978-1-4423-5035-9,German 3,5,0:21:01,0:21:02,07Q,215,N,It wasn’t easy.,,,"German Phase 3, Units 1-30 (2006)",9
94,GR,978-1-4423-5035-9,German 3,5,0:21:05,0:21:06,07R,216,M,Es war nicht leicht.,4,S,"German Phase 3, Units 1-30 (2006)",9
95,GR,978-1-4423-5035-9,German 3,5,0:26:27,0:26:29,08Q,269,N,At this time he’s learning English.,,,"German Phase 3, Units 1-30 (2006)","1,15,17"
96,GR,978-1-4423-5035-9,German 3,5,0:26:32,0:26:34,08R,270,F,Zur Zeit lernt er Englisch.,5,S,"German Phase 3, Units 1-30 (2006)","1,15,17"
97,GR,978-1-4423-5035-9,German 3,5,0:24:46,0:24:48,09Q,252,N,In the winter it rains a lot.,,,"German Phase 3, Units 1-30 (2006)","9,19"
98,GR,978-1-4423-5035-9,German 3,5,0:24:52,0:24:53,09R,253,F,Im Winter regnet es viel.,5,S,"German Phase 3, Units 1-30 (2006)","9,19"
99,GR,978-1-4423-5035-9,German 3,5,0:29:02,0:29:03,10Q,296,N,It’s never very easy.,,,"German Phase 3, Units 1-30 (2006)","9,17"
100,GR,978-1-4423-5035-9,German 3,5,0:29:07,0:29:08,10R,297,F,Es ist nie sehr leicht.,5,S,"German Phase 3, Units 1-30 (2006)","9,17"
101,GR,978-1-4423-5035-9,German 3,6,0:03:35,0:03:36,01Q,47,N,I learned English.,,,"German Phase 3, Units 1-30 (2006)","1,15"
102,GR,978-1-4423-5035-9,German 3,6,0:03:39,0:03:41,01R,48,F,Ich habe Englisch gelernt.,4,S,"German Phase 3, Units 1-30 (2006)","1,15"
103,GR,978-1-4423-5035-9,German 3,6,0:04:09,0:04:10,02Q,53,N,I took a class.,,,"German Phase 3, Units 1-30 (2006)","1,9,20"
104,GR,978-1-4423-5035-9,German 3,6,0:04:14,0:04:15,02R,54,F,Ich habe einen Kurs gemacht.,5,S,"German Phase 3, Units 1-30 (2006)","1,9,20"
105,GR,978-1-4423-5035-9,German 3,6,0:06:02,0:06:04,03Q,72,N,She works for a German company there.,,,"German Phase 3, Units 1-30 (2006)","5,20"
106,GR,978-1-4423-5035-9,German 3,6,0:06:09,0:06:11,03R,73,F,Sie arbeitet bei einer deutschen Firma dort.,7,S,"German Phase 3, Units 1-30 (2006)","5,20"
107,GR,978-1-4423-5035-9,German 3,6,0:08:04,0:08:06,04Q,94,N,She’s married to a German man.,,,"German Phase 3, Units 1-30 (2006)","5,11"
108,GR,978-1-4423-5035-9,German 3,6,0:08:10,0:08:12,04R,95,M,Sie ist mit einem Deutschen verheiratet.,6,S,"German Phase 3, Units 1-30 (2006)","5,11"
109,GR,978-1-4423-5035-9,German 3,6,0:14:28,0:14:29,05Q,150,N,Here you are.,,,"German Phase 3, Units 1-30 (2006)","7,13"
110,GR,978-1-4423-5035-9,German 3,6,0:13:28,0:13:29,05R,151,M,Hier bitte.,2,S,"German Phase 3, Units 1-30 (2006)","7,13"
111,GR,978-1-4423-5035-9,German 3,6,0:14:34,0:14:35,06Q,161,N,The menu and the wine list.,,,"German Phase 3, Units 1-30 (2006)",6
112,GR,978-1-4423-5035-9,German 3,6,0:14:40,0:14:42,06R,162,M,Die Speisekarte und die Weinkarte.,5,S,"German Phase 3, Units 1-30 (2006)",6
113,GR,978-1-4423-5035-9,German 3,6,0:15:55,0:15:57,07Q,174,N,Let’s order a bottle of white wine.,,,"German Phase 3, Units 1-30 (2006)","1,6"
114,GR,978-1-4423-5035-9,German 3,6,0:16:01,0:16:03,07R,176,M,Bestellen wir doch eine Flasche Weißwein.,6,S,"German Phase 3, Units 1-30 (2006)","1,6"
115,GR,978-1-4423-5035-9,German 3,6,0:16:56,0:16:58,08Q,187,N,Which one can you recommend?,,,"German Phase 3, Units 1-30 (2006)","12,14"
116,GR,978-1-4423-5035-9,German 3,6,0:17:01,0:17:02,08R,189,M,Welchen können Sie empfehlen?,4,Q,"German Phase 3, Units 1-30 (2006)","12,14"
117,GR,978-1-4423-5035-9,German 3,6,0:17:59,0:18:00,09Q,200,N,Can you recommend this one here?,,,"German Phase 3, Units 1-30 (2006)","12,14"
118,GR,978-1-4423-5035-9,German 3,6,0:18:04,0:18:05,09R,201,M,Können Sie diesen hier empfehlen?,5,Q,"German Phase 3, Units 1-30 (2006)","12,14"
119,GR,978-1-4423-5035-9,German 3,6,0:18:29,0:18:30,10Q,206,N,Let’s order this one here.,,,"German Phase 3, Units 1-30 (2006)","6,12,14"
120,GR,978-1-4423-5035-9,German 3,6,0:18:33,0:18:35,10R,207,M,Bestellen wir doch diesen hier.,5,S,"German Phase 3, Units 1-30 (2006)","6,12,14"
121,GR,978-1-4423-5035-9,German 3,6,0:20:32,0:20:34,11Q,227,N,Already since five years.,,,"German Phase 3, Units 1-30 (2006)",12
122,GR,978-1-4423-5035-9,German 3,6,0:20:37,0:20:39,11R,228,F,Schon seit fünf Jahren.,4,S,"German Phase 3, Units 1-30 (2006)",12
123,GR,978-1-4423-5035-9,German 3,7,0:01:22,0:01:23,01Q,27,N,Something to drink?,,,"German Phase 3, Units 1-30 (2006)",6
124,GR,978-1-4423-5035-9,German 3,7,0:01:25,0:01:26,01R,28,F,Etwas zu trinken?,3,Q,"German Phase 3, Units 1-30 (2006)",6
125,GR,978-1-4423-5035-9,German 3,7,0:01:53,0:01:55,02Q,33,N,We’d like to order a white wine.,,,"German Phase 3, Units 1-30 (2006)","6,14"
126,GR,978-1-4423-5035-9,German 3,7,0:01:59,0:02:01,02R,34,M,Wir möchten einen Weißwein bestellen.,5,S,"German Phase 3, Units 1-30 (2006)","6,14"
127,GR,978-1-4423-5035-9,German 3,7,0:03:39,0:03:41,03Q,52,N,Let’s order that one there.,,,"German Phase 3, Units 1-30 (2006)","6,12"
128,GR,978-1-4423-5035-9,German 3,7,0:03:45,0:03:46,03R,53,F,Bestellen wir doch den da.,5,S,"German Phase 3, Units 1-30 (2006)","6,12"
129,GR,978-1-4423-5035-9,German 3,7,0:04:39,0:04:40,04Q,66,N,A half bottle.,,,"German Phase 3, Units 1-30 (2006)","6,12"
130,GR,978-1-4423-5035-9,German 3,7,0:04:44,0:04:45,04R,67,M,Eine halbe Flasche.,3,S,"German Phase 3, Units 1-30 (2006)","6,12"
131,GR,978-1-4423-5035-9,German 3,7,0:08:44,0:08:45,05Q,102,N,Her work is interesting.,,,"German Phase 3, Units 1-30 (2006)",20
132,GR,978-1-4423-5035-9,German 3,7,0:08:49,0:08:51,05R,103,F,Ihre Arbeit ist interessant.,4,S,"German Phase 3, Units 1-30 (2006)",20
133,GR,978-1-4423-5035-9,German 3,7,0:09:29,0:09:30,06Q,108,N,Could I please pay?,,,"German Phase 3, Units 1-30 (2006)","11,14"
134,GR,978-1-4423-5035-9,German 3,7,0:09:34,0:09:35,06R,110,M,Könnte ich bitte zahlen?,4,Q,"German Phase 3, Units 1-30 (2006)","11,14"
135,GR,978-1-4423-5035-9,German 3,7,0:11:14,0:11:16,07Q,127,N,Have you seen my notes?,,,"German Phase 3, Units 1-30 (2006)","4,20"
136,GR,978-1-4423-5035-9,German 3,7,0:11:21,0:11:22,07R,128,M,Haben Sie meine Notizen gesehen?,5,Q,"German Phase 3, Units 1-30 (2006)","4,20"
137,GR,978-1-4423-5035-9,German 3,7,0:11:28,0:11:30,08Q,129,N,"Yes, I saw them this morning.",,,"German Phase 3, Units 1-30 (2006)",17
138,GR,978-1-4423-5035-9,German 3,7,0:11:37,0:11:39,08R,132,F,"Ja, ich habe sie heute Morgen gesehen.",6,S,"German Phase 3, Units 1-30 (2006)",17
139,GR,978-1-4423-5035-9,German 3,7,0:15:06,0:15:08,09Q,167,N,I saw them on the table.,,,"German Phase 3, Units 1-30 (2006)",9
140,GR,978-1-4423-5035-9,German 3,7,0:15:11,0:15:13,09R,168,F,Ich habe sie auf dem Tisch gesehen.,7,S,"German Phase 3, Units 1-30 (2006)",9
141,GR,978-1-4423-5035-9,German 3,7,0:15:17,0:15:18,10Q,169,N,Your notes were under a book.,,,"German Phase 3, Units 1-30 (2006)","4,20"
142,GR,978-1-4423-5035-9,German 3,7,0:15:22,0:15:24,10R,170,F,Ihre Notizen waren unter einem Buch.,6,S,"German Phase 3, Units 1-30 (2006)","4,20"
143,GR,978-1-4423-5035-9,German 3,7,0:17:31,0:17:33,11Q,192,N,My cell phone was next to the book.,,,"German Phase 3, Units 1-30 (2006)","3,4"
144,GR,978-1-4423-5035-9,German 3,7,0:17:36,0:17:38,11R,193,M,Mein Handy war neben dem Buch.,6,S,"German Phase 3, Units 1-30 (2006)","3,4"
145,GR,978-1-4423-5035-9,German 3,7,0:26:50,0:26:53,12Q,293,N,Your pen was on the table under a book.,,,"German Phase 3, Units 1-30 (2006)","4,9"
146,GR,978-1-4423-5035-9,German 3,7,0:26:57,0:27:00,12R,294,F,Ihr Kuli war auf dem Tisch unter einem Buch.,9,S,"German Phase 3, Units 1-30 (2006)","4,9"
147,GR,978-1-4423-5035-9,German 3,8,0:02:46,0:02:48,01Q,40,N,Which one would you like to order?,,,"German Phase 3, Units 1-30 (2006)","6,14"
148,GR,978-1-4423-5035-9,German 3,8,0:02:51,0:02:52,01R,41,F,Welchen möchten Sie bestellen?,4,Q,"German Phase 3, Units 1-30 (2006)","6,14"
149,GR,978-1-4423-5035-9,German 3,8,0:05:59,0:06:01,02Q,74,N,Perhaps there on the table next to the book.,,,"German Phase 3, Units 1-30 (2006)","4,9"
150,GR,978-1-4423-5035-9,German 3,8,0:06:05,0:06:08,02R,75,M,Vielleicht dort auf dem Tisch neben dem Buch.,8,S,"German Phase 3, Units 1-30 (2006)","4,9"
151,GR,978-1-4423-5035-9,German 3,8,0:06:51,0:06:54,03Q,83,N,Unfortunately I haven’t seen the pen.,,,"German Phase 3, Units 1-30 (2006)","7,9"
152,GR,978-1-4423-5035-9,German 3,8,0:06:59,0:07:01,03R,84,M,Leider habe ich den Kuli nicht gesehen.,7,S,"German Phase 3, Units 1-30 (2006)","7,9"
153,GR,978-1-4423-5035-9,German 3,8,0:07:36,0:07:37,04Q,90,N,Five minutes ago.,,,"German Phase 3, Units 1-30 (2006)","12,17"
154,GR,978-1-4423-5035-9,German 3,8,0:07:41,0:07:42,04R,91,F,Vor fünf Minuten.,3,S,"German Phase 3, Units 1-30 (2006)","12,17"
155,GR,978-1-4423-5035-9,German 3,8,0:09:36,0:09:38,05Q,109,N,Still on the table next to the book.,,,"German Phase 3, Units 1-30 (2006)","4,9"
156,GR,978-1-4423-5035-9,German 3,8,0:09:42,0:09:44,05R,110,F,Noch auf dem Tisch neben dem Buch.,7,S,"German Phase 3, Units 1-30 (2006)","4,9"
157,GR,978-1-4423-5035-9,German 3,8,0:12:21,0:12:23,06Q,139,N,I would enjoy speaking with you.,,,"German Phase 3, Units 1-30 (2006)","1,15"
158,GR,978-1-4423-5035-9,German 3,8,0:12:58,0:12:59,06R,147,M,Ich würde gern mit dir sprechen.,6,S,"German Phase 3, Units 1-30 (2006)","1,15"
159,GR,978-1-4423-5035-9,German 3,8,0:14:42,0:14:44,07Q,164,N,Did you not yet book the hotel?,,,"German Phase 3, Units 1-30 (2006)",18
160,GR,978-1-4423-5035-9,German 3,8,0:14:48,0:14:50,07R,165,F,Hast du das Hotel noch nicht gebucht?,7,Q,"German Phase 3, Units 1-30 (2006)",18
161,GR,978-1-4423-5035-9,German 3,8,0:19:00,0:19:01,08Q,208,N,Of course!,,,"German Phase 3, Units 1-30 (2006)","7,13"
162,GR,978-1-4423-5035-9,German 3,8,0:19:04,0:19:05,08R,209,M,Natürlich!,1,S,"German Phase 3, Units 1-30 (2006)","7,13"
163,GR,978-1-4423-5035-9,German 3,8,0:19:46,0:19:48,09Q,218,N,Do you still remember the hotel?,,,"German Phase 3, Units 1-30 (2006)",18
164,GR,978-1-4423-5035-9,German 3,8,0:19:51,0:19:53,09R,219,M,Erinnerst du dich noch an das Hotel?,7,Q,"German Phase 3, Units 1-30 (2006)",18
165,GR,978-1-4423-5035-9,German 3,8,0:21:50,0:21:52,10Q,238,N,We were there four years ago.,,,"German Phase 3, Units 1-30 (2006)","12,17,18"
