Control#,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,Start,Stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
11,11,RU,9781442312838,Russian 2,1,,,06Q,,N,How long will you be in Moscow?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_11.mp3,"7,9,17,18"
12,12,RU,9781442312838,Russian 2,1,,,06R,,F,Сколько времени вы будете в Москве?,Skol’ko vremeni vy budete v Moskve?,6,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_12.mp3,"7,9,17,18"
13,13,RU,9781442312838,Russian 2,1,,,07Q,,N,One week.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_13.mp3,"9,12"
14,14,RU,9781442312838,Russian 2,1,,,07R,,M,Одну неделю.,Odnu nedelyu.,2,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_14.mp3,"9,12"
15,15,RU,9781442312838,Russian 2,1,,,08Q,,N,I bought coffee for my wife.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_15.mp3,"5,6,9,14"
16,16,RU,9781442312838,Russian 2,1,,,08R,,M,Я купил кофе моей жене.,Ya kupil kofe moyey zhene.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_16.mp3,"5,6,9,14"
17,17,RU,9781442312838,Russian 2,1,,,09Q,,N,I have not yet bought anything for my daughter.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_17.mp3,"5,9,14"
18,18,RU,9781442312838,Russian 2,1,,,09R,,M,Я ещё ничего не купил моей дочери.,Ya yeshio nichevo ne kupil moyey docheri.,7,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_18.mp3,"5,9,14"
19,19,RU,9781442312838,Russian 2,1,,,10Q,,N,I bought something for her.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_19.mp3,"1,14"
20,20,RU,9781442312838,Russian 2,1,,,10R,,M,Я ей кое-что купил.,Ya yey koye-shto kupil.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_20.mp3,"1,14"
21,21,RU,9781442312838,Russian 2,1,,,11Q,,N,I have to buy something for her.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_21.mp3,"1,14"
22,22,RU,9781442312838,Russian 2,1,,,11R,,M,Я должен ей кое-что купить.,Ya dolzhen yey koye-shto kupit’.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_22.mp3,"1,14"
23,23,RU,9781442312838,Russian 2,2,,,01Q,,N,I’m supposed to work here a few weeks. (m),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_23.mp3,"9,17,20"
24,24,RU,9781442312838,Russian 2,2,,,01R,,M,Я должен здесь работать несколько недель.,Ya dolzhen zdes’ rabotat’ neskol’ko nedel’.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_24.mp3,"9,17,20"
25,25,RU,9781442312838,Russian 2,2,,,02Q,,N,I haven’t yet seen him.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_25.mp3,"7,9"
26,26,RU,9781442312838,Russian 2,2,,,02R,,M,Я его ещё не видел.,Ya yevo yeshio ne videl.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_26.mp3,"7,9"
27,27,RU,9781442312838,Russian 2,2,,,03Q,,N,I didn’t see anything. (m),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_27.mp3,"7,9"
28,28,RU,9781442312838,Russian 2,2,,,03R,,M,Я ничего не видел.,Ya nichevo ne videl.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_28.mp3,"7,9"
29,29,RU,9781442312838,Russian 2,2,,,04Q,,N,My son is leaving tomorrow evening.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_29.mp3,"5,17,18"
30,30,RU,9781442312838,Russian 2,2,,,04R,,M,Мой сын уезжает завтра вечером.,Moy syn uyezzhayet zaftra vecherom.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_30.mp3,"5,17,18"
31,31,RU,9781442312838,Russian 2,2,,,05Q,,N,My son is going to Novgorod.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_31.mp3,"5,9"
32,32,RU,9781442312838,Russian 2,2,,,05R,,M,Мой сын собирается в Новгород.,Moy syn sobirayetsa v Novgorod.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_32.mp3,"5,9"
33,33,RU,9781442312838,Russian 2,2,,,06Q,,N,Our daughter lives alone.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_33.mp3,"5,7,9"
34,34,RU,9781442312838,Russian 2,2,,,06R,,M,Наша дочь живёт одна.,Nasha doch’ zhivyot odna.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_34.mp3,"5,7,9"
35,35,RU,9781442312838,Russian 2,2,,,07Q,,N,She’ll be there for a few days.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_35.mp3,"9,17"
36,36,RU,9781442312838,Russian 2,2,,,07R,,M,Она там будет несколько дней.,Ona tam budet na neskol’ko dney.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_36.mp3,"9,17"
37,37,RU,9781442312838,Russian 2,2,,,08Q,,N,Are you also going to go to Saint Petersburg?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_37.mp3,"9,18"
38,38,RU,9781442312838,Russian 2,2,,,08R,,F,Вы тоже собираетесь в Санкт-Петербург?,Vy tozhe sobirayetes’ v Sankt-Peterburg?,5,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_38.mp3,"9,18"
39,39,RU,9781442312838,Russian 2,2,,,09Q,,N,I’m going to stay in Moscow.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_39.mp3,"9,18"
40,40,RU,9781442312838,Russian 2,2,,,09R,,M,Я собираюсь остаться в Москве.,Ya sobirayus’ ostatsa v Moskve.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_40.mp3,"9,18"
41,41,RU,9781442312838,Russian 2,2,,,10Q,,N,But I didn’t see anything yesterday.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_41.mp3,"1,9,17"
42,42,RU,9781442312838,Russian 2,2,,,10R,,M,Но я вчера ничего не видел.,No ya vchera nichevo ne videl.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_42.mp3,"1,9,17"
43,43,RU,9781442312838,Russian 2,2,,,11Q,,N,She is going to Saint Petersburg.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_43.mp3,"9,18"
44,44,RU,9781442312838,Russian 2,2,,,11R,,M,Она собирается в Санкт-Петербург.,Ona sobirayetsa v Sankt-Peterburg.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_44.mp3,"9,18"
45,45,RU,9781442312838,Russian 2,3,,,01Q,,N,"And afterwards, he’s leaving for Petersburg.",,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_45.mp3,"9,17,18"
46,46,RU,9781442312838,Russian 2,3,,,01R,,M,"А потом, он уезжает в Петербург.","A potom, on uyezzhayet v Peterburg.",6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_46.mp3,"9,17,18"
47,47,RU,9781442312838,Russian 2,3,,,02Q,,N,There was too little time.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_47.mp3,"9,17"
48,48,RU,9781442312838,Russian 2,3,,,02R,,M,Было мало времени.,Bylo malo vremeni.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_48.mp3,"9,17"
49,49,RU,9781442312838,Russian 2,3,,,03Q,,N,I too want to go there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_49.mp3,"1,9,18"
50,50,RU,9781442312838,Russian 2,3,,,03R,,F,Я тоже хочу туда поехать.,Ya tozhe hochu tuda poyehat’.,3,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_50.mp3,"1,9,18"
51,51,RU,9781442312838,Russian 2,3,,,04Q,,N,We went there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_51.mp3,"1,7,9,18"
52,52,RU,9781442312838,Russian 2,3,,,04R,,F,Мы туда ездили.,My tuda yezdili.,3,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_52.mp3,"1,7,9,18"
53,53,RU,9781442312838,Russian 2,3,,,05Q,,N,I bought something over there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_53.mp3,"1,4,14"
54,54,RU,9781442312838,Russian 2,3,,,05R,,M,Я там кое-что купил.,Ya tam koye-shto kupil.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_54.mp3,"1,4,14"
55,55,RU,9781442312838,Russian 2,3,,,06Q,,N,We went to a museum.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_55.mp3,"1,9,17"
56,56,RU,9781442312838,Russian 2,3,,,06R,,M,Мы ездили в музей.,My yezdili v muzey.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_56.mp3,"1,9,17"
57,57,RU,9781442312838,Russian 2,3,,,07Q,,N,My son and I went there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_57.mp3,"1,5,7,9,18"
58,58,RU,9781442312838,Russian 2,3,,,07R,,M,Мы с сынои туда ездили,My s synom tuda yezdili.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_58.mp3,"1,5,7,9,18"
59,59,RU,9781442312838,Russian 2,3,,,08Q,,N,We didn’t see him.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_59.mp3,"1,9"
60,60,RU,9781442312838,Russian 2,3,,,08R,,M,Мы его не видели.,My yevo ne videli.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_60.mp3,"1,9"
61,61,RU,9781442312838,Russian 2,3,,,09Q,,N,Our daughter speaks Russian well.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_61.mp3,"5,9,15"
62,62,RU,9781442312838,Russian 2,3,,,09R,,M,Наша дочь хорошо говорит по-русски.,Nasha doch’ horosho govorit po-russki.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_62.mp3,"5,9,15"
63,63,RU,9781442312838,Russian 2,3,,,10Q,,N,She arrived in Moscow alone.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_63.mp3,"9,12,18"
64,64,RU,9781442312838,Russian 2,3,,,10R,,M,Она приехала в Москву одна.,Ona priyehala v Moskvu odna.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_64.mp3,"9,12,18"
65,65,RU,9781442312838,Russian 2,3,,,11Q,,N,Today I have a lot of work.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_65.mp3,"7,9,17,20"
66,66,RU,9781442312838,Russian 2,3,,,11R,,F,Сегодня у меня много работы.,Sevodnya u menya mnogo raboty.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_66.mp3,"7,9,17,20"
67,67,RU,9781442312838,Russian 2,3,,,12Q,,N,My son is also in Moscow.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_67.mp3,"5,9,18"
68,68,RU,9781442312838,Russian 2,3,,,12R,,M,Мой сын тоже в Москве.,Moy syn tozhe v Moskve.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_68.mp3,"5,9,18"
69,69,RU,9781442312838,Russian 2,4,,,01Q,,N,I’ve never been in America. (f.),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_69.mp3,"9,18"
70,70,RU,9781442312838,Russian 2,4,,,01R,,F,Я никогда не была в Америке.,Ya nikogda ne byla v Amerike.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_70.mp3,"9,18"
71,71,RU,9781442312838,Russian 2,4,,,02Q,,N,I haven’t yet been over there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_71.mp3,"1,4,7,9"
72,72,RU,9781442312838,Russian 2,4,,,02R,,M,Я там ещё не был.,Ya tam yesho ne byl.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_72.mp3,"1,4,7,9"
73,73,RU,9781442312838,Russian 2,4,,,03Q,,N,His name is ---,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_73.mp3,"7,9,10"
74,74,RU,9781442312838,Russian 2,4,,,03R,,F,Его зовут ---,Yevo zovut ---,2,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_74.mp3,"7,9,10"
75,75,RU,9781442312838,Russian 2,4,,,04Q,,N,My name is ---,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_75.mp3,"7,9,10,16"
76,76,RU,9781442312838,Russian 2,4,,,04R,,M,Меня зовут ---,Menya zovut ---,2,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_76.mp3,"7,9,10,16"
77,77,RU,9781442312838,Russian 2,4,,,05Q,,N,What’s his name?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_77.mp3,"7,9,16"
78,78,RU,9781442312838,Russian 2,4,,,05R,,M,Как его зовут?,Kak yevo zovut?,3,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_78.mp3,"7,9,16"
79,79,RU,9781442312838,Russian 2,4,,,06Q,,N,I had too little money.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_79.mp3,16
80,80,RU,9781442312838,Russian 2,4,,,06R,,M,У меня было мало денег.,U menya bylo malo deneg.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_80.mp3,16
81,81,RU,9781442312838,Russian 2,4,,,07Q,,N,He is going to Petersburg tomorrow.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_81.mp3,"9,17,18"
82,82,RU,9781442312838,Russian 2,4,,,07R,,M,Он завтра собирается в Петербург.,On zaftra sobirayetsa v Peterburg.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_82.mp3,"9,17,18"
83,83,RU,9781442312838,Russian 2,4,,,08Q,,N,Our son already came to Moscow.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_83.mp3,"5,9,18"
84,84,RU,9781442312838,Russian 2,4,,,08R,,M,Наш сын уже приехал в Москву.,Nash syn uzhe priyehal v Moskvu.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_84.mp3,"5,9,18"
85,85,RU,9781442312838,Russian 2,4,,,09Q,,N,I had too little time.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_85.mp3,"7,9,17"
86,86,RU,9781442312838,Russian 2,4,,,09R,,M,У меня было мало времени.,U menya bylo malo vremeni.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_86.mp3,"7,9,17"
87,87,RU,9781442312838,Russian 2,4,,,10Q,,N,I’d like to go there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_87.mp3,"1,9,18"
88,88,RU,9781442312838,Russian 2,4,,,10R,,M,Я хотел бы туда поехать.,Ya hotel by tuda poyehat’.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_88.mp3,"1,9,18"
89,89,RU,9781442312838,Russian 2,4,,,11Q,,N,Have you ever been in America?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_89.mp3,"9,18"
90,90,RU,9781442312838,Russian 2,4,,,11R,,M,Вы когда-нибудь были в Америке?,Vy kogda-nibut’ byli v Amerike?,5,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_90.mp3,"9,18"
91,91,RU,9781442312838,Russian 2,5,,,01Q,,N,Where’s his wife?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_91.mp3,"5,9"
92,92,RU,9781442312838,Russian 2,5,,,01R,,F,Где его жена?,Gde yevo zhena?,3,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_92.mp3,"5,9"
93,93,RU,9781442312838,Russian 2,5,,,02Q,,N,I’m supposed to go there.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_93.mp3,"9,18"
94,94,RU,9781442312838,Russian 2,5,,,02R,,M,Я должен туда поехать.,Ya dolzhen tuda poyehat’.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_94.mp3,"9,18"
95,95,RU,9781442312838,Russian 2,5,,,03Q,,N,Don’t you know Ivan Petrov?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_95.mp3,"7,9"
96,96,RU,9781442312838,Russian 2,5,,,03R,,F,Вы не знаете Ивана Петрова?,Vy ne znayete Ivana Petrova?,5,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_96.mp3,"7,9"
97,97,RU,9781442312838,Russian 2,5,,,04Q,,N,I haven’t yet been in Petersburg. (m.),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_97.mp3,"7,9,18"
98,98,RU,9781442312838,Russian 2,5,,,04R,,M,Я ещё не был в Петербурге.,Ya yesho ne byl v Peterburge.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_98.mp3,"7,9,18"
99,99,RU,9781442312838,Russian 2,5,,,05Q,,N,I haven’t seen Petersburg yet. (m.),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_99.mp3,"1,9,18"
100,100,RU,9781442312838,Russian 2,5,,,05R,,M,Я ещё не видел Петербурга.,Ya yesho ne videl Peterburga.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_100.mp3,"1,9,18"
101,101,RU,9781442312838,Russian 2,5,,,06Q,,N,What’s your name?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_101.mp3,"7,9,10,16"
102,102,RU,9781442312838,Russian 2,5,,,06R,,F,Как вас зовут?,Kak vas zovut?,3,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_102.mp3,"7,9,10,16"
103,103,RU,9781442312838,Russian 2,5,,,07Q,,N,Maybe a glass of wine?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_103.mp3,"6,7"
104,104,RU,9781442312838,Russian 2,5,,,07R,,M,"Может быть, бокал вина?","Mozhet byt’, bokal vina?",4,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_104.mp3,"6,7"
105,105,RU,9781442312838,Russian 2,5,,,08Q,,N,He’s from Petersburg.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_105.mp3,"7,10,18"
106,106,RU,9781442312838,Russian 2,5,,,08R,,M,Он из Петербурга.,On iz Peterburga.,3,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_106.mp3,"7,10,18"
107,107,RU,9781442312838,Russian 2,5,,,09Q,,N,Have you already seen her?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_107.mp3,"7,9"
108,108,RU,9781442312838,Russian 2,5,,,09R,,F,Вы её уже видели?,Vy yeyo uzhe videli?,4,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_108.mp3,"7,9"
109,109,RU,9781442312838,Russian 2,5,,,10Q,,N,I haven’t yet seen Petersburg. (f.),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_109.mp3,"1,9,18"
110,110,RU,9781442312838,Russian 2,5,,,10R,,F,Я ещё не видела Петербурга.,Ya yesho ne videla Peterburga.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_110.mp3,"1,9,18"
111,111,RU,9781442312838,Russian 2,5,,,11Q,,N,Unfortunately.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_111.mp3,"7,16"
112,112,RU,9781442312838,Russian 2,5,,,11R,,M,К сожалению.,K sozhaleniyu.,2,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_112.mp3,"7,16"
113,113,RU,9781442312838,Russian 2,6,,,01Q,,N,I haven’t seen him in already a year.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_113.mp3,"9,17"
114,114,RU,9781442312838,Russian 2,6,,,01R,,F,Я его не видела уже год.,Ya yevo ne videla uzhe god.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_114.mp3,"9,17"
115,115,RU,9781442312838,Russian 2,6,,,02Q,,N,"For me, coffee, please.",,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_115.mp3,"6,16"
116,116,RU,9781442312838,Russian 2,6,,,02R,,F,"Мне кофе, пожалуйста.","Mne kofe, pozhalusta.",3,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_116.mp3,"6,16"
117,117,RU,9781442312838,Russian 2,6,,,03Q,,N,My friend (f.) is coming to Moscow.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_117.mp3,"5,18"
118,118,RU,9781442312838,Russian 2,6,,,03R,,F,Моя подруга приезжает в Москву.,Moya podruga priyezzhayet v Moskvu.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_118.mp3,"5,18"
119,119,RU,9781442312838,Russian 2,6,,,04Q,,N,Wouldn’t you like to go there with me?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_119.mp3,"1,7,18"
120,120,RU,9781442312838,Russian 2,6,,,04R,,M,Не хотели бы вы туда пойти со мной?,Ne hoteli by vy tuda poyti so mnoy?,8,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_120.mp3,"1,7,18"
121,121,RU,9781442312838,Russian 2,6,,,05Q,,N,She’s from Moscow.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_121.mp3,"5,18"
122,122,RU,9781442312838,Russian 2,6,,,05R,,M,Она из Москвы.,Ona iz Moskvy.,3,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_122.mp3,"5,18"
123,123,RU,9781442312838,Russian 2,6,,,06Q,,N,She is coming to visit me.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_123.mp3,"7,9,18"
124,124,RU,9781442312838,Russian 2,6,,,06R,,F,Она приезжает ко мне в гости.,Ona priyezzhayet ko mne v gosti.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_124.mp3,"7,9,18"
125,125,RU,9781442312838,Russian 2,6,,,07Q,,N,"In the evening, she is leaving Petersburg.",,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_125.mp3,"9,17,18"
126,126,RU,9781442312838,Russian 2,6,,,07R,,F,Вечером она уезжает из Петербурга.,Vecherom ona uyezzhayet iz Peterburga.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_126.mp3,"9,17,18"
127,127,RU,9781442312838,Russian 2,6,,,08Q,,N,My colleague (f.) lives in Petersburg.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_127.mp3,"7,9"
128,128,RU,9781442312838,Russian 2,6,,,08R,,F,Моя коллега живёт в Петербурге.,Moya kollega zhiviot v Peterburge.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_128.mp3,"7,9"
129,129,RU,9781442312838,Russian 2,6,,,09Q,,N,They haven’t yet arrived.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_129.mp3,"9,18"
130,130,RU,9781442312838,Russian 2,6,,,09R,,F,Они ещё не приехали.,Oni yesho ne priyehali.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_130.mp3,"9,18"
131,131,RU,9781442312838,Russian 2,6,,,10Q,,N,Tomorrow they’re coming to visit me.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_131.mp3,"9,17,18"
132,132,RU,9781442312838,Russian 2,6,,,10R,,F,Завтра они приезжают ко мне в гости.,Zaftra oni priyezzhayut ko mne v gosti.,7,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_132.mp3,"9,17,18"
133,133,RU,9781442312838,Russian 2,6,,,11Q,,N,What’s her name?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_133.mp3,"7,9"
134,134,RU,9781442312838,Russian 2,6,,,11R,,M,Как её зовут?,Kak yeyo zovut?,3,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_134.mp3,"7,9"
135,135,RU,9781442312838,Russian 2,7,,,01Q,,N,Let’s go to Café Sever.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_135.mp3,"1,6"
136,136,RU,9781442312838,Russian 2,7,,,01R,,F,Давайте пойдём в кафе Север.,Davayte poydiom v Kafe Sever.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_136.mp3,"1,6"
137,137,RU,9781442312838,Russian 2,7,,,02Q,,N,Sometimes I go there on foot.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_137.mp3,"1,9"
138,138,RU,9781442312838,Russian 2,7,,,02R,,F,Иногда я туда хожу.,Inogda ya tuda hozhu.,4,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_138.mp3,"1,9"
