Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
44,44,ESL_SP,9781442329058,,2,11R,M,He arrived last night.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_044.mp3,"17,18"
45,45,ESL_SP,9781442329058,,2,12Q,N,¿Cuándo llegó?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_045.mp3,"17,18"
46,46,ESL_SP,9781442329058,,2,12R,F,When did he arrive?,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_046.mp3,"17,18"
47,47,ESL_SP,9781442329058,,2,13Q,N,Filadelfia me gusta mucho.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_047.mp3,18
48,48,ESL_SP,9781442329058,,2,13R,M,I like Philadelphia very much.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_048.mp3,18
49,49,ESL_SP,9781442329058,,3,01Q,N,Tengo mucho trabajo.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_049.mp3,20
50,50,ESL_SP,9781442329058,,3,01R,M,I have a lot of work.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_050.mp3,20
51,51,ESL_SP,9781442329058,,3,02Q,N,Nos vemos.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_051.mp3,"7,10,17"
52,52,ESL_SP,9781442329058,,3,02R,F,See you later.,3,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_052.mp3,"7,10,17"
53,53,ESL_SP,9781442329058,,3,03Q,N,Nos vemos esta noche.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_053.mp3,"7,10,17"
54,54,ESL_SP,9781442329058,,3,03R,M,See you tonight.,3,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_054.mp3,"7,10,17"
55,55,ESL_SP,9781442329058,,3,04Q,N,Hablamos en inglés.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_055.mp3,15
56,56,ESL_SP,9781442329058,,3,04R,M,We spoke English.,3,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_056.mp3,15
57,57,ESL_SP,9781442329058,,3,05Q,N,Me gustaría ir allí también.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_057.mp3,"9,18"
58,58,ESL_SP,9781442329058,,3,05R,F,"I'd like to go there, too.",6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_058.mp3,"9,18"
59,59,ESL_SP,9781442329058,,3,06Q,N,Nuestra hija es demasiado pequeña.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_059.mp3,"5,9"
60,60,ESL_SP,9781442329058,,3,06R,M,Our daughter is too little.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_060.mp3,"5,9"
61,61,ESL_SP,9781442329058,,3,07Q,N,Compramos demasiadas cosas.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_061.mp3,1
62,62,ESL_SP,9781442329058,,3,07R,M,We bought too many things.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_062.mp3,1
63,63,ESL_SP,9781442329058,,3,08Q,N,¿Vieron la Casa Blanca?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_063.mp3,"7,18"
64,64,ESL_SP,9781442329058,,3,08R,F,Did you see the White House?,6,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_064.mp3,"7,18"
65,65,ESL_SP,9781442329058,,3,09Q,N,No teníamos mucho tiempo.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_065.mp3,"9,17"
66,66,ESL_SP,9781442329058,,3,09R,M,We didn't have much time.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_066.mp3,"9,17"
67,67,ESL_SP,9781442329058,,3,10Q,N,No es una ciudad grande.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_067.mp3,"9,18"
68,68,ESL_SP,9781442329058,,3,10R,M,It's not a big city.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_068.mp3,"9,18"
69,69,ESL_SP,9781442329058,,3,11Q,N,Esta mañana vi a algunos amigos.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_069.mp3,"5,17"
70,70,ESL_SP,9781442329058,,3,11R,F,This morning I saw some friends.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_070.mp3,"5,17"
71,71,ESL_SP,9781442329058,,4,01Q,N,¿Ha estado (usted) en Boston?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_071.mp3,18
72,72,ESL_SP,9781442329058,,4,01R,M,Have you been to Boston?,5,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_072.mp3,18
73,73,ESL_SP,9781442329058,,4,02Q,N,Todavía no conozco Boston.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_073.mp3,"9,18"
74,74,ESL_SP,9781442329058,,4,02R,M,I don't know Boston yet.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_074.mp3,"9,18"
75,75,ESL_SP,9781442329058,,4,03Q,N,Tengo que irme.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_075.mp3,"9,18"
76,76,ESL_SP,9781442329058,,4,03R,M,I have to leave.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_076.mp3,"9,18"
77,77,ESL_SP,9781442329058,,4,04Q,N,No he estado en Boston.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_077.mp3,"9,18"
78,78,ESL_SP,9781442329058,,4,04R,F,I haven't been to Boston.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_078.mp3,"9,18"
79,79,ESL_SP,9781442329058,,4,05Q,N,Todavía no.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_079.mp3,9
80,80,ESL_SP,9781442329058,,4,05R,M,Not yet.,2,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_080.mp3,9
81,81,ESL_SP,9781442329058,,4,06Q,N,Hablamos mucho inglés.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_081.mp3,"12,15"
82,82,ESL_SP,9781442329058,,4,06R,F,We spoke a lot of English.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_082.mp3,"12,15"
83,83,ESL_SP,9781442329058,,4,07Q,N,¿Cómo se llama?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_083.mp3,"10,16"
84,84,ESL_SP,9781442329058,,4,07R,M,What's his name?,3,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_084.mp3,"10,16"
85,85,ESL_SP,9781442329058,,4,08Q,N,Todavía no he estado allí.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_085.mp3,"9,18"
86,86,ESL_SP,9781442329058,,4,08R,M,I haven't been there yet.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_086.mp3,"9,18"
87,87,ESL_SP,9781442329058,,4,09Q,N,Allí está un amigo mío.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_087.mp3,5
88,88,ESL_SP,9781442329058,,4,09R,F,There's a friend of mine.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_088.mp3,5
89,89,ESL_SP,9781442329058,,4,10Q,N,¿Tiene usted que irse ahora?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_089.mp3,"17,18"
90,90,ESL_SP,9781442329058,,4,10R,F,Do you have to leave now?,6,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_090.mp3,"17,18"
91,91,ESL_SP,9781442329058,,5,01Q,N,¿Tiene tiempo para un café?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_091.mp3,"1,6,17"
92,92,ESL_SP,9781442329058,,5,01R,M,Do you have time for coffee?,6,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_092.mp3,"1,6,17"
93,93,ESL_SP,9781442329058,,5,02Q,N,¿Lo ha visto?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_093.mp3,"7,9"
94,94,ESL_SP,9781442329058,,5,02R,F,Have you seen him?,4,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_094.mp3,"7,9"
95,95,ESL_SP,9781442329058,,5,03Q,N,Siempre tomo vino tinto.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_095.mp3,"6,17"
96,96,ESL_SP,9781442329058,,5,03R,F,I always drink red wine.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_096.mp3,"6,17"
97,97,ESL_SP,9781442329058,,5,04Q,N,No conozco a su esposa.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_097.mp3,"5,9"
98,98,ESL_SP,9781442329058,,5,04R,F,I don't know his wife.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_098.mp3,"5,9"
99,99,ESL_SP,9781442329058,,5,05Q,N,Todavía tengo mucho trabajo.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_099.mp3,"12,20"
100,100,ESL_SP,9781442329058,,5,05R,M,I still have a lot of work.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_100.mp3,"12,20"
101,101,ESL_SP,9781442329058,,5,06Q,N,Yo también.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_101.mp3,"7,9"
102,102,ESL_SP,9781442329058,,5,06R,M,"Me, too.",2,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_102.mp3,"7,9"
103,103,ESL_SP,9781442329058,,5,07Q,N,Las tiendas están abiertas todavía.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_103.mp3,14
104,104,ESL_SP,9781442329058,,5,07R,F,The stores are still open.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_104.mp3,14
105,105,ESL_SP,9781442329058,,5,08Q,N,¿Cómo se llama usted?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_105.mp3,"10,16"
106,106,ESL_SP,9781442329058,,5,08R,M,What's your name?,3,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_106.mp3,"10,16"
107,107,ESL_SP,9781442329058,,5,09Q,N,Hablé mucho inglés.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_107.mp3,"12,15,18"
108,108,ESL_SP,9781442329058,,5,09R,M,I spoke a lot of English.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_108.mp3,"12,15,18"
109,109,ESL_SP,9781442329058,,5,10Q,N,Lo vi ayer.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_109.mp3,"9,17"
110,110,ESL_SP,9781442329058,,5,10R,M,I saw him yesterday.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_110.mp3,"9,17"
111,111,ESL_SP,9781442329058,,5,11Q,N,Tengo un poco de tiempo.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_111.mp3,17
112,112,ESL_SP,9781442329058,,5,11R,F,I have a little time.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_112.mp3,17
113,113,ESL_SP,9781442329058,,5,12Q,N,Yo nunca tomo vino tinto.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_113.mp3,"6,17"
114,114,ESL_SP,9781442329058,,5,12R,M,I never drink red wine.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_114.mp3,"6,17"
115,115,ESL_SP,9781442329058,,5,13Q,N,Tenemos tiempo para una segunda copa de vino.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_115.mp3,"6,12,17"
116,116,ESL_SP,9781442329058,,5,13R,M,We have time for a second glass of wine.,9,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_116.mp3,"6,12,17"
117,117,ESL_SP,9781442329058,,6,01Q,N,Una amiga mía viene de visita.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_117.mp3,"5,18"
118,118,ESL_SP,9781442329058,,6,01R,F,A friend of mine is coming to visit.,8,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_118.mp3,"5,18"
119,119,ESL_SP,9781442329058,,6,02Q,N,Pero me gustaría un café.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_119.mp3,6
120,120,ESL_SP,9781442329058,,6,02R,F,But I would like some coffee.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_120.mp3,6
121,121,ESL_SP,9781442329058,,6,03Q,N,Siempre tengo tiempo para un café.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_121.mp3,"6,17"
122,122,ESL_SP,9781442329058,,6,03R,F,I always have time for coffee.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_122.mp3,"6,17"
123,123,ESL_SP,9781442329058,,6,04Q,N,No veo a mi colega desde hace un año.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_123.mp3,"17,20"
124,124,ESL_SP,9781442329058,,6,04R,F,I haven't seen my colleague for a year.,8,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_124.mp3,"17,20"
125,125,ESL_SP,9781442329058,,6,05Q,N,La conozco.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_125.mp3,"9,10"
126,126,ESL_SP,9781442329058,,6,05R,M,I know her.,3,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_126.mp3,"9,10"
127,127,ESL_SP,9781442329058,,6,06Q,N,¿Todavía toma vino tinto?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_127.mp3,"6,17"
128,128,ESL_SP,9781442329058,,6,06R,M,Do you still drink red wine?,6,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_128.mp3,"6,17"
129,129,ESL_SP,9781442329058,,6,07Q,N,Viene con su esposo.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_129.mp3,"5,18"
130,130,ESL_SP,9781442329058,,6,07R,F,She's coming with her husband.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_130.mp3,"5,18"
131,131,ESL_SP,9781442329058,,6,08Q,N,¿Una colega suya viene de visita?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_131.mp3,"18,20"
132,132,ESL_SP,9781442329058,,6,08R,M,A colleague of yours is coming to visit?,8,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_132.mp3,"18,20"
133,133,ESL_SP,9781442329058,,6,09Q,N,Usted no la conoce.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_133.mp3,9
134,134,ESL_SP,9781442329058,,6,09R,F,You don't know her.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_134.mp3,9
135,135,ESL_SP,9781442329058,,6,10Q,N,¿Cómo se llama ella?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_135.mp3,"10,16"
136,136,ESL_SP,9781442329058,,6,10R,M,What's her name?,3,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_136.mp3,"10,16"
137,137,ESL_SP,9781442329058,,7,01Q,N,"Ahora no, pero un poco más tarde sí.",,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_137.mp3,"7,17"
138,138,ESL_SP,9781442329058,,7,01R,F,"Not now, but a little later.",6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_138.mp3,"7,17"
139,139,ESL_SP,9781442329058,,7,02Q,N,A veces tomo vino tinto.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_139.mp3,"6,17"
140,140,ESL_SP,9781442329058,,7,02R,F,Sometimes I drink red wine.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_140.mp3,"6,17"
141,141,ESL_SP,9781442329058,,7,03Q,N,A veces tomo un taxi.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_141.mp3,"17,18"
142,142,ESL_SP,9781442329058,,7,03R,F,Sometimes I take a taxi.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_142.mp3,"17,18"
143,143,ESL_SP,9781442329058,,7,04Q,N,Ambos son mexicanos.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_143.mp3,"5,10"
144,144,ESL_SP,9781442329058,,7,04R,M,They're both Mexican.,3,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_144.mp3,"5,10"
145,145,ESL_SP,9781442329058,,7,05Q,N,Ambos hablan inglés.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_145.mp3,"9,15"
146,146,ESL_SP,9781442329058,,7,05R,M,They both speak English.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_146.mp3,"9,15"
147,147,ESL_SP,9781442329058,,7,06Q,N,Viven allí desde hace tres años.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_147.mp3,"9,12,17"
148,148,ESL_SP,9781442329058,,7,06R,M,They're lived there for three years.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_148.mp3,"9,12,17"
