"Control#","Rec #","Lang","Audio Source ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"13","13","BP","9781442312081","BrazPort 3","1","","","07Q","","N","Pleased to meet you.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_013.mp3","10,13,16"
"14","14","BP","9781442312081","BrazPort 3","1","","","07R","143","M","Muito prazer em conhecê-la.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_014.mp3","10,13,16"
"15","15","BP","9781442312081","BrazPort 3","1","","","08Q","","N","Where did your wife grow up?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_015.mp3","5,10"
"16","16","BP","9781442312081","BrazPort 3","1","","","08R","225","F","Onde a sua esposa cresceu?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_016.mp3","5,10"
"17","17","BP","9781442312081","BrazPort 3","1","","","09Q","","N","Where did you grow up?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_017.mp3","9,10"
"18","18","BP","9781442312081","BrazPort 3","1","","","09R","212","F","Onde o senhor cresceu?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_018.mp3","9,10"
"19","19","BP","9781442312081","BrazPort 3","1","","","10Q","","N","I’m lost.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_019.mp3","4,9,16"
"20","20","BP","9781442312081","BrazPort 3","1","","","10R","89","F","Eu estou perdida.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_020.mp3","4,9,16"
"21","21","BP","9781442312081","BrazPort 3","2","","","01Q","","N","Have they always lived in Rio?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_021.mp3","10,17"
"22","22","BP","9781442312081","BrazPort 3","2","","","01R","220","F","Eles sempre viveram no Rio?","5","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_022.mp3","10,17"
"23","23","BP","9781442312081","BrazPort 3","2","","","02Q","","N","They live in the United States.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_023.mp3","9,10"
"24","24","BP","9781442312081","BrazPort 3","2","","","02R","203","F","Eles vivem nos Estados Unidos.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_024.mp3","9,10"
"25","25","BP","9781442312081","BrazPort 3","2","","","03Q","","N","Thanks a lot for the compliment.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_025.mp3","7,13"
"26","26","BP","9781442312081","BrazPort 3","2","","","03R","175","M","Muito obrigado pelo elogio.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_026.mp3","7,13"
"27","27","BP","9781442312081","BrazPort 3","2","","","04Q","","N","Where do you live?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_027.mp3","10"
"28","28","BP","9781442312081","BrazPort 3","2","","","04R","90","F","Onde o senhor vive?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_028.mp3","10"
"29","29","BP","9781442312081","BrazPort 3","2","","","05Q","","N","Are they your sons?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_029.mp3","5,10"
"30","30","BP","9781442312081","BrazPort 3","2","","","05R","38","F","São os seus filhos?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_030.mp3","5,10"
"31","31","BP","9781442312081","BrazPort 3","2","","","06Q","","N","He’s married to a Brazilian.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_031.mp3","9,10"
"32","32","BP","9781442312081","BrazPort 3","2","","","06R","161","M","Ele é casado com uma brasileira.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_032.mp3","9,10"
"33","33","BP","9781442312081","BrazPort 3","2","","","07Q","","N","He’s a manager of a bank.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_033.mp3","5,11,20"
"34","34","BP","9781442312081","BrazPort 3","2","","","07R","193","M","Ele é gerente de um banco.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_034.mp3","5,11,20"
"35","35","BP","9781442312081","BrazPort 3","2","","","08Q","","N","My brother is married to a Brazilian.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_035.mp3","5,10"
"36","36","BP","9781442312081","BrazPort 3","2","","","08R","164","M","O meu irmão é casado com uma brasileira.","7","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_036.mp3","5,10"
"37","37","BP","9781442312081","BrazPort 3","2","","","09Q","","N","What does he do?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_037.mp3","1,20"
"38","38","BP","9781442312081","BrazPort 3","2","","","09R","125","M","O que ele faz?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_038.mp3","1,20"
"39","39","BP","9781442312081","BrazPort 3","2","","","10Q","","N","My sister is married to an American.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_039.mp3","5,10"
"40","40","BP","9781442312081","BrazPort 3","2","","","10R","186","F","A minha irmã é casada com um americano.","7","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_040.mp3","5,10"
"41","41","BP","9781442312081","BrazPort 3","3","","","01Q","","N","Certainly not.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_041.mp3","7"
"42","42","BP","9781442312081","BrazPort 3","3","","","01R","254","M","Claro que não.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_042.mp3","7"
"43","43","BP","9781442312081","BrazPort 3","3","","","02Q","","N","It depends on his work.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_043.mp3","20"
"44","44","BP","9781442312081","BrazPort 3","3","","","02R","115","M","Depende do trabalho dele.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_044.mp3","20"
"45","45","BP","9781442312081","BrazPort 3","3","","","03Q","","N","He’s an engineer.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_045.mp3","5,20"
"46","46","BP","9781442312081","BrazPort 3","3","","","03R","136","M","Ele é engenheiro.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_046.mp3","5,20"
"47","47","BP","9781442312081","BrazPort 3","3","","","04Q","","N","It was difficult.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_047.mp3","7"
"48","48","BP","9781442312081","BrazPort 3","3","","","04R","232","M","Foi difícil.","2","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_048.mp3","7"
"49","49","BP","9781442312081","BrazPort 3","3","","","05Q","","N","It wasn’t easy.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_049.mp3","7"
"50","50","BP","9781442312081","BrazPort 3","3","","","05R","203","M","Não foi fácil.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_050.mp3","7"
"51","51","BP","9781442312081","BrazPort 3","3","","","06Q","","N","I learned Portuguese in the United States.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_051.mp3","15,18"
"52","52","BP","9781442312081","BrazPort 3","3","","","06R","201","M","Eu aprendi português nos Estados Unidos.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_052.mp3","15,18"
"53","53","BP","9781442312081","BrazPort 3","3","","","07Q","","N","What does his wife do?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_053.mp3","5,10"
"54","54","BP","9781442312081","BrazPort 3","3","","","07R","160","F","O que a esposa dele faz?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_054.mp3","5,10"
"55","55","BP","9781442312081","BrazPort 3","3","","","08Q","","N","English isn’t easy.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_055.mp3","10,15"
"56","56","BP","9781442312081","BrazPort 3","3","","","08R","291","F","Inglês não é fácil.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_056.mp3","10,15"
"57","57","BP","9781442312081","BrazPort 3","4","","","01Q","","N","Beer also is good.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_057.mp3","6"
"58","58","BP","9781442312081","BrazPort 3","4","","","01R","175","F","A cerveja também é boa.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_058.mp3","6"
"59","59","BP","9781442312081","BrazPort 3","4","","","02Q","","N","For sure.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_059.mp3","7,13"
"60","60","BP","9781442312081","BrazPort 3","4","","","02R","115","M","Com certeza.","2","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_060.mp3","7,13"
"61","61","BP","9781442312081","BrazPort 3","4","","","03Q","","N","I recommend this bottle.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_061.mp3","6,14"
"62","62","BP","9781442312081","BrazPort 3","4","","","03R","204","M","Eu recomendo esta garrafa.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_062.mp3","6,14"
"63","63","BP","9781442312081","BrazPort 3","4","","","04Q","","N","It’s delicious.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_063.mp3","6,7"
"64","64","BP","9781442312081","BrazPort 3","4","","","04R","269","F","É deliciosa.","2","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_064.mp3","6,7"
"65","65","BP","9781442312081","BrazPort 3","4","","","05Q","","N","The menu isn’t difficult to read.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_065.mp3","1,6"
"66","66","BP","9781442312081","BrazPort 3","4","","","05R","254","M","O cardápio não é difícil de ler.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_066.mp3","1,6"
"67","67","BP","9781442312081","BrazPort 3","4","","","06Q","","N","What do you recommend?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_067.mp3","7,14"
"68","68","BP","9781442312081","BrazPort 3","4","","","06R","208","M","O que você recomenda?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_068.mp3","7,14"
"69","69","BP","9781442312081","BrazPort 3","4","","","07Q","","N","Wine is better.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_069.mp3","6,14"
"70","70","BP","9781442312081","BrazPort 3","4","","","07R","177","M","O vinho é melhor.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_070.mp3","6,14"
"71","71","BP","9781442312081","BrazPort 3","4","","","08Q","","N","Why do you recommend this wine?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_071.mp3","6,14"
"72","72","BP","9781442312081","BrazPort 3","4","","","08R","220","M","Por que você recomenda este vinho?","5","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_072.mp3","6,14"
"73","73","BP","9781442312081","BrazPort 3","4","","","09Q","","N","I travel to Rio often.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_073.mp3","17,18"
"74","74","BP","9781442312081","BrazPort 3","4","","","09R","150","M","Eu viajo ao Rio com freqüência.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_074.mp3","17,18"
"75","75","BP","9781442312081","BrazPort 3","4","","","10Q","","N","It depends on her work.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_075.mp3","5,20"
"76","76","BP","9781442312081","BrazPort 3","4","","","10R","63","F","Depende do trabalho dela.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_076.mp3","5,20"
"77","77","BP","9781442312081","BrazPort 3","5","","","01Q","","N","It depends on the person.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_077.mp3","7"
"78","78","BP","9781442312081","BrazPort 3","5","","","01R","79","M","Depende da pessoa.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_078.mp3","7"
"79","79","BP","9781442312081","BrazPort 3","5","","","02Q","","N","It’s around here.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_079.mp3","4"
"80","80","BP","9781442312081","BrazPort 3","5","","","02R","162","M","Está por aqui.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_080.mp3","4"
"81","81","BP","9781442312081","BrazPort 3","5","","","03Q","","N","It was here.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_081.mp3","4"
"82","82","BP","9781442312081","BrazPort 3","5","","","03R","169","M","Estava aqui.","2","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_082.mp3","4"
"83","83","BP","9781442312081","BrazPort 3","5","","","04Q","","N","It was under the papers.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_083.mp3","4,9,20"
"84","84","BP","9781442312081","BrazPort 3","5","","","04R","205","F","Estava debaixo dos papéis.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_084.mp3","4,9,20"
"85","85","BP","9781442312081","BrazPort 3","5","","","05Q","","N","I think that I saw it.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_085.mp3","4,7,9"
"86","86","BP","9781442312081","BrazPort 3","5","","","05R","155","M","Eu acho que eu o vi.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_086.mp3","4,7,9"
"87","87","BP","9781442312081","BrazPort 3","5","","","06Q","","N","Was it on the table?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_087.mp3","4,9"
"88","88","BP","9781442312081","BrazPort 3","5","","","06R","186","F","Estava em cima da mesa?","5","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_088.mp3","4,9"
"89","89","BP","9781442312081","BrazPort 3","5","","","07Q","","N","It’s easy to read.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_089.mp3","1,15"
"90","90","BP","9781442312081","BrazPort 3","5","","","07R","91","F","É fácil de ler.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_090.mp3","1,15"
"91","91","BP","9781442312081","BrazPort 3","5","","","08Q","","N","The notes were around here.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_091.mp3","4,9,20"
"92","92","BP","9781442312081","BrazPort 3","5","","","08R","219","F","As anotações estavam por aqui.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_092.mp3","4,9,20"
"93","93","BP","9781442312081","BrazPort 3","5","","","09Q","","N","Were they next to your book?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_093.mp3","4,9"
"94","94","BP","9781442312081","BrazPort 3","5","","","09R","235","M","Estavam do lado do seu livro?","6","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_094.mp3","4,9"
"95","95","BP","9781442312081","BrazPort 3","5","","","10Q","","N","It was under the table.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_095.mp3","4,9"
"96","96","BP","9781442312081","BrazPort 3","5","","","10R","201","F","Estava debaixo da mesa.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_096.mp3","4,9"
"97","97","BP","9781442312081","BrazPort 3","6","","","01Q","","N","Is that your pen?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_097.mp3","7,20"
"98","98","BP","9781442312081","BrazPort 3","6","","","01R","268","M","Aquela é a sua caneta?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_098.mp3","7,20"
"99","99","BP","9781442312081","BrazPort 3","6","","","02Q","","N","Under all the books?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_099.mp3","1,4,9"
"100","100","BP","9781442312081","BrazPort 3","6","","","02R","66","M","Debaixo de todos os livros?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_100.mp3","1,4,9"
"101","101","BP","9781442312081","BrazPort 3","6","","","03Q","","N","Next to the bottle of water.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_101.mp3","4,6,9"
"102","102","BP","9781442312081","BrazPort 3","6","","","03R","53","F","Do lado da garrafa de água.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_102.mp3","4,6,9"
"103","103","BP","9781442312081","BrazPort 3","6","","","04Q","","N","I like this wine.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_103.mp3","6,14"
"104","104","BP","9781442312081","BrazPort 3","6","","","04R","120","M","Eu gosto deste vinho.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_104.mp3","6,14"
"105","105","BP","9781442312081","BrazPort 3","6","","","05Q","","N","I haven’t had time.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_105.mp3","7,17"
"106","106","BP","9781442312081","BrazPort 3","6","","","05R","173","F","Eu não tenho tido tempo.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_106.mp3","7,17"
"107","107","BP","9781442312081","BrazPort 3","6","","","06Q","","N","I wanted to call you.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_107.mp3","1,3"
"108","108","BP","9781442312081","BrazPort 3","6","","","06R","170","F","Eu queria te telefonar.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_108.mp3","1,3"
"109","109","BP","9781442312081","BrazPort 3","6","","","07Q","","N","I’m sorry.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_109.mp3","7,13"
"110","110","BP","9781442312081","BrazPort 3","6","","","07R","148","F","Eu sinto muito.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_110.mp3","7,13"
"111","111","BP","9781442312081","BrazPort 3","6","","","08Q","","N","We have to talk about our trip.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_111.mp3","1,18"
"112","112","BP","9781442312081","BrazPort 3","6","","","08R","188","M","Nós temos que conversar sobre a nossa viagem.","7","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_112.mp3","1,18"
"113","113","BP","9781442312081","BrazPort 3","6","","","09Q","","N","Are they your notes?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_113.mp3","3,20"
"114","114","BP","9781442312081","BrazPort 3","6","","","09R","69","M","São as suas anotações?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_114.mp3","3,20"
"115","115","BP","9781442312081","BrazPort 3","6","","","10Q","","N","He can help us.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_115.mp3","16,20"
"116","116","BP","9781442312081","BrazPort 3","6","","","10R","259","M","Ele pode nos ajudar.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_116.mp3","16,20"
"117","117","BP","9781442312081","BrazPort 3","6","","","11Q","","N","I have to make the hotel reservations.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_117.mp3","18,20"
"118","118","BP","9781442312081","BrazPort 3","6","","","11R","221","M","Eu tenho que fazer as reservas de hotel.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_118.mp3","18,20"
"119","119","BP","9781442312081","BrazPort 3","6","","","12Q","","N","We have to talk about Canada.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_119.mp3","1,18"
"120","120","BP","9781442312081","BrazPort 3","6","","","12R","285","F","Nós temos que conversar sobre o Canadá.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_120.mp3","1,18"
"121","121","BP","9781442312081","BrazPort 3","7","","","01Q","","N","The company paid for the plane tickets.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_121.mp3","18,20"
"122","122","BP","9781442312081","BrazPort 3","7","","","01R","229","M","A empresa pagou as passagens de avião.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_122.mp3","18,20"
"123","123","BP","9781442312081","BrazPort 3","7","","","02Q","","N","This trip was expensive.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_123.mp3","14,18"
"124","124","BP","9781442312081","BrazPort 3","7","","","02R","214","M","Esta viagem foi cara.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_124.mp3","14,18"
"125","125","BP","9781442312081","BrazPort 3","7","","","03Q","","N","I already traveled a lot.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_125.mp3","12,18"
"126","126","BP","9781442312081","BrazPort 3","7","","","03R","154","M","Eu já viajei muito.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_126.mp3","12,18"
"127","127","BP","9781442312081","BrazPort 3","7","","","04Q","","N","I couldn’t.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_127.mp3","7"
"128","128","BP","9781442312081","BrazPort 3","7","","","04R","167","M","Eu não pude.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_128.mp3","7"
"129","129","BP","9781442312081","BrazPort 3","7","","","05Q","","N","I paid for the other things.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_129.mp3","11,14"
"130","130","BP","9781442312081","BrazPort 3","7","","","05R","257","M","Eu paguei as outras coisas.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_130.mp3","11,14"
