Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
14,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,07R,0,M,Hablo español un poco.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_014.mp3,"10,15,16"
15,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,08Q,0,N,I don’t understand English.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_015.mp3,"10,15"
16,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,08R,0,M,No entiendo inglés.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_016.mp3,"10,15"
17,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,09Q,0,N,"Yes, miss.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_017.mp3,"13,16"
18,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,09R,0,M,"Sí, señorita.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_018.mp3,"13,16"
19,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,10Q,0,N,You speak a little.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_019.mp3,"10,15,16"
20,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,10R,0,F,Habla un poco.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_020.mp3,"10,15,16"
21,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,01Q,0,N,Good-bye sir.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_021.mp3,"10,13"
22,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,01R,0,F,"Adiós, señor.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_022.mp3,"10,13"
23,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,02Q,0,N,"Fine, thanks.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_023.mp3,"10,13"
24,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,02R,0,M,"Bien, gracias.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_024.mp3,"10,13"
25,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,03Q,0,N,Good morning.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_025.mp3,"10,13,17"
26,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,03R,0,F,Buenos días.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_026.mp3,"10,13,17"
27,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,04Q,0,N,"Good morning, ma’am.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_027.mp3,"10,13,17"
28,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,04R,0,M,"Buenos días, señora.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_028.mp3,"10,13,17"
29,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,05Q,0,N,How are you?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_029.mp3,"10,13,16"
30,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,05R,0,M,¿Cómo está?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_030.mp3,"10,13,16"
31,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,06Q,0,N,I understand very well.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_031.mp3,"10,15"
32,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,06R,0,M,Entiendo muy bien.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_032.mp3,"10,15"
33,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,07Q,0,N,I understand a little Spanish.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_033.mp3,"10,15,16"
34,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,07R,0,F,Entiendo un poco de español.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_034.mp3,"10,15,16"
35,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,08Q,0,N,Are you American? (f),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_035.mp3,10
36,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,08R,0,M,¿Es usted norteamericana?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_036.mp3,10
37,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,09Q,0,N,You speak Spanish very well.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_037.mp3,"10,15"
38,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,09R,0,F,Habla español muy bien.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_038.mp3,"10,15"
39,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,10Q,0,N,I speak a little Spanish.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_039.mp3,"10,15,16"
40,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,10R,0,F,Hablo un poco de español.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_040.mp3,"10,15,16"
41,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,11Q,0,N,"Very well, thanks",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_041.mp3,"13,16"
42,SP,9781508281085,Spanish 1,02,00:00.000,00:00.000,11R,0,F,"Muy bien, gracias.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_042.mp3,"13,16"
43,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,01Q,0,N,Good evening.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_043.mp3,"7,10,13,17"
44,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,01R,0,M,Buenas noches.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_044.mp3,"7,10,13,17"
45,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,02Q,0,N,Good afternoon.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_045.mp3,"10,13,17"
46,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,02R,0,F,Buenas tardes.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_046.mp3,"10,13,17"
47,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,03Q,0,N,Where are you from?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_047.mp3,"7,10"
48,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,03R,0,M,¿De dónde es usted?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_048.mp3,"7,10"
49,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,04Q,0,N,I’m not American.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_049.mp3,"9,10"
50,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,04R,0,M,No soy norteamericano.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_050.mp3,"9,10"
51,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,05Q,0,N,I’m American. (f),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_051.mp3,"9,10,16"
52,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,05R,0,F,Soy norteamericana.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_052.mp3,"9,10,16"
53,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,06Q,0,N,You understand.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_053.mp3,"10,15"
54,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,06R,0,F,Usted entiende.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_054.mp3,"10,15"
55,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,07Q,0,N,You’re from Mexico.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_055.mp3,"9,10"
56,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,07R,0,M,Usted es de México,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_056.mp3,"9,10"
57,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,08Q,0,N,And you?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_057.mp3,"10,13"
58,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,08R,0,M,¿Y usted?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_058.mp3,"10,13"
59,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,09Q,0,N,From where?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_059.mp3,"7,10"
60,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,09R,0,M,¿De dónde?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_060.mp3,"7,10"
61,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,10Q,0,N,Very well.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_061.mp3,"7,13"
62,SP,9781508281085,Spanish 1,03,00:00.000,00:00.000,10R,0,M,Muy bien.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_062.mp3,"7,13"
63,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,01Q,0,N,Where are you?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_063.mp3,"7,10"
64,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,01R,0,F,¿Dónde está?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_064.mp3,"7,10"
65,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,02Q,0,N,The restaurant is here.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_065.mp3,"4,6"
66,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,02R,0,F,El restaurante está aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_066.mp3,"4,6"
67,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,03Q,0,N,Pleased to meet you. (f),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_067.mp3,"13,16"
68,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,03R,0,F,Encantada.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_068.mp3,"13,16"
69,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,04Q,0,N,It’s here.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_069.mp3,4
70,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,04R,0,M,Está aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_070.mp3,4
71,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,05Q,0,N,It’s over there.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_071.mp3,4
72,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,05R,0,F,Está allí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_072.mp3,4
73,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,06Q,0,N,Do you speak Castilian?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_073.mp3,"10,15"
74,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,06R,0,M,Habla castellano?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_074.mp3,"10,15"
75,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,07Q,0,N,I speak English and Castilian.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_075.mp3,"10,15"
76,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,07R,0,M,Hablo inglés y castellano.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_076.mp3,"10,15"
77,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,08Q,0,N,It’s not here.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_077.mp3,4
78,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,08R,0,F,No está aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_078.mp3,4
79,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,09Q,0,N,See you.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_079.mp3,"10,13"
80,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,09R,0,F,Nos vemos.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_080.mp3,"10,13"
81,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,10Q,0,N,I’m not Mexican. (f),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_081.mp3,"9,10"
82,SP,9781508281085,Spanish 1,04,00:00.000,00:00.000,10R,0,F,No soy Mexicana.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_082.mp3,"9,10"
83,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,01Q,0,N,Are you from here?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_083.mp3,"4,7,10"
84,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,01R,0,M,¿Es usted de aquí?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_084.mp3,"4,7,10"
85,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,02Q,0,N,I don’t know.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_085.mp3,"7,9"
86,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,02R,0,F,No sé.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_086.mp3,"7,9"
87,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,03Q,0,N,I don’t know where it is.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_087.mp3,4
88,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,03R,0,M,No sé dónde está.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_088.mp3,4
89,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,04Q,0,N,I’m not from here.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_089.mp3,"4,9,10,16"
90,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,04R,0,M,No soy de aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_090.mp3,"4,9,10,16"
91,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,05Q,0,N,I don’t have any pesos.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_091.mp3,"11,12"
92,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,05R,0,F,No tengo pesos.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_092.mp3,"11,12"
93,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,06Q,0,N,I know where it is.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_093.mp3,"4,9"
94,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,06R,0,F,Sé dónde está.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_094.mp3,"4,9"
95,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,07Q,0,N,"Yes, I know.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_095.mp3,"7,9"
96,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,07R,0,M,"Sí, sé.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_096.mp3,"7,9"
97,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,08Q,0,N,I only have one peso.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_097.mp3,"11,12"
98,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,08R,0,M,Sólo tengo un peso.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_098.mp3,"11,12"
99,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,09Q,0,N,I’m from the United States.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_099.mp3,"9,10,16"
100,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,09R,0,F,Soy de Estados Unidos.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_100.mp3,"9,10,16"
101,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,10Q,0,N,Where’s the hotel?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_101.mp3,"4,18"
102,SP,9781508281085,Spanish 1,05,00:00.000,00:00.000,10R,0,F,¿Dónde está el hotel?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_102.mp3,"4,18"
103,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,01Q,0,N,How are you? (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_103.mp3,"7,10"
104,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,01R,0,F,¿Cómo estás tú?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_104.mp3,"7,10"
105,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,02Q,0,N,How many do you want? (formal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_105.mp3,11
106,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,02R,0,M,¿Cuántos quiere?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_106.mp3,11
107,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,03Q,0,N,How many do you want? (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_107.mp3,11
108,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,03R,0,M,¿Cuántos quieres?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_108.mp3,11
109,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,04Q,0,N,You understand very well. (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_109.mp3,"10,15"
110,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,04R,0,F,Entiendes muy bien.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_110.mp3,"10,15"
111,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,05Q,0,N,That’s OK.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_111.mp3,7
112,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,05R,0,F,Está bien.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_112.mp3,7
113,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,06Q,0,N,Thank you very much.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_113.mp3,"13,16"
114,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,06R,0,M,Muchas gracias.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_114.mp3,"13,16"
115,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,07Q,0,N,It’s not much.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_115.mp3,"7,11"
116,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,07R,0,F,No es mucho.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_116.mp3,"7,11"
117,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,08Q,0,N,I don’t want a lot.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_117.mp3,11
118,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,08R,0,F,No quiero muchos.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_118.mp3,11
119,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,09Q,0,N,I don’t have a lot.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_119.mp3,12
120,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,09R,0,M,No tengo muchos.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_120.mp3,12
121,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,10Q,0,N,You're not from here. (formal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_121.mp3,"4,9,10"
122,SP,9781508281085,Spanish 1,06,00:00.000,00:00.000,10R,0,F,No es de aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_122.mp3,"4,9,10"
123,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,01Q,0,N,Where do you want to eat? (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_123.mp3,"4,6,7"
124,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,01R,0,F,¿Dónde quieres comer?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_124.mp3,"4,6,7"
125,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,02Q,0,N,"Nothing, thanks.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_125.mp3,"7,13"
126,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,02R,0,M,"Nada, gracias.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_126.mp3,"7,13"
127,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,03Q,0,N,You don’t want to eat. (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_127.mp3,6
128,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,03R,0,F,No quieres comer.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_128.mp3,6
129,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,04Q,0,N,I don’t want to eat here.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_129.mp3,"4,6"
130,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,04R,0,F,No quiero comer aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_130.mp3,"4,6"
131,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,05Q,0,N,I don’t want anything.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_131.mp3,6
132,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,05R,0,M,No quiero nada.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_132.mp3,6
133,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,06Q,0,N,I don’t have pesos here.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_133.mp3,"11,12"
134,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,06R,0,F,No tengo pesos aquí.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_134.mp3,"11,12"
135,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,07Q,0,N,What do you want? (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_135.mp3,"6,7,16"
136,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,07R,0,M,¿Qué quieres?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_136.mp3,"6,7,16"
137,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,08Q,0,N,What do you want to eat? (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_137.mp3,6
138,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,08R,0,M,¿Qué quieres comer?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_138.mp3,6
139,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,09Q,0,N,Do you want to eat something?  (informal),n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_139.mp3,6
140,SP,9781508281085,Spanish 1,07,00:00.000,00:00.000,09R,0,F,¿Quieres comer algo?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_140.mp3,6
