Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
24,24,RU,9781442313200,Russian 3,2,,,01R,,M,Давайте познакомимся.,Davayte poznakomimsya.,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_24.mp3,"1,7,16"
25,25,RU,9781442313200,Russian 3,2,,,02Q,,N,That wasn’t in the wintertime.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_25.mp3,"9,17"
26,26,RU,9781442313200,Russian 3,2,,,02R,,M,Это было не зимой.,Eto bylo ne zimoy.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_26.mp3,"9,17"
27,27,RU,9781442313200,Russian 3,2,,,03Q,,N,I’ve been in Petersburg only once.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_27.mp3,"9,12,18"
28,28,RU,9781442313200,Russian 3,2,,,03R,,M,Я был в Петербурге только раз.,Ya byl v Peterburge tol’ko raz.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_28.mp3,"9,12,18"
29,29,RU,9781442313200,Russian 3,2,,,04Q,,N,I’m a teacher.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_29.mp3,"9,20"
30,30,RU,9781442313200,Russian 3,2,,,04R,,M,Я работаю учителем.,Ya rabotayu uchitelem.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_30.mp3,"9,20"
31,31,RU,9781442313200,Russian 3,2,,,05Q,,N,I grew up in Moscow.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_31.mp3,9
32,32,RU,9781442313200,Russian 3,2,,,05R,,F,Я выросла в Москве.,Ya vyrosla v Moskve.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_32.mp3,9
33,33,RU,9781442313200,Russian 3,2,,,06Q,,N,I’m from America.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_33.mp3,"9,10"
34,34,RU,9781442313200,Russian 3,2,,,06R,,M,Я из Америки.,Ya iz Ameriki.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_34.mp3,"9,10"
35,35,RU,9781442313200,Russian 3,2,,,07Q,,N,How long will it be snowing?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_35.mp3,"9,19"
36,36,RU,9781442313200,Russian 3,2,,,07R,,M,Как долго будет идти снег?,Kak dolgo budet idti sneg?,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_36.mp3,"9,19"
37,37,RU,9781442313200,Russian 3,2,,,08Q,,N,What do you do for work?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_37.mp3,"7,9,20"
38,38,RU,9781442313200,Russian 3,2,,,08R,,F,Кем Вы работаете?,Kem Vy rabotaete?,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_38.mp3,"7,9,20"
39,39,RU,9781442313200,Russian 3,2,,,09Q,,N,Where are you from?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_39.mp3,"7,9,10,16"
40,40,RU,9781442313200,Russian 3,2,,,09R,,F,Откуда Вы?,Otkuda Vy?,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_40.mp3,"7,9,10,16"
41,41,RU,9781442313200,Russian 3,2,,,10Q,,N,In the evening it will be snowing.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_41.mp3,"9,17,19"
42,42,RU,9781442313200,Russian 3,2,,,10R,,F,Вечером будет идти снег.,Vecherom budet idti sneg.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_42.mp3,"9,17,19"
43,43,RU,9781442313200,Russian 3,2,,,11Q,,N,Will it still be snowing?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_43.mp3,19
44,44,RU,9781442313200,Russian 3,2,,,11R,,M,Ещё будет идти снег?,Eshio budet idti sneg?,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_44.mp3,19
45,45,RU,9781442313200,Russian 3,3,,,01Q,,N,Where did you learn Russian?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_45.mp3,"9,10,15"
46,46,RU,9781442313200,Russian 3,3,,,01R,,F,Где вы изучали русский?,Gde Vy izuchali russkiy?,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_46.mp3,"9,10,15"
47,47,RU,9781442313200,Russian 3,3,,,02Q,,N,I’m from New York.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_47.mp3,"9,10"
48,48,RU,9781442313200,Russian 3,3,,,02R,,M,Я из Нью-Йорка.,Ya iz Nyu Yorka.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_48.mp3,"9,10"
49,49,RU,9781442313200,Russian 3,3,,,03Q,,N,I arrived from New York last year.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_49.mp3,"9,17,18"
50,50,RU,9781442313200,Russian 3,3,,,03R,,M,Я приехал из Нью-Йорка в прошлом году.,Ya priyehal iz Nyu Yorka v proshlom godu.,7,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_50.mp3,"9,17,18"
51,51,RU,9781442313200,Russian 3,3,,,04Q,,N,I arrived in Russia in February.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_51.mp3,"9,17,18"
52,52,RU,9781442313200,Russian 3,3,,,04R,,M,Я приехал в Россию в феврале.,Ya priyehal v Rossiyu v fevrale.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_52.mp3,"9,17,18"
53,53,RU,9781442313200,Russian 3,3,,,05Q,,N,I’m an engineer.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_53.mp3,"9,10,20"
54,54,RU,9781442313200,Russian 3,3,,,05R,,M,Я работаю инженером.,Ya rabotayu inzhenerom.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_54.mp3,"9,10,20"
55,55,RU,9781442313200,Russian 3,3,,,06Q,,N,What does your brother do for work?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_55.mp3,"5,9,20"
56,56,RU,9781442313200,Russian 3,3,,,06R,,M,Кем работает Ваш брат?,Kem rabotaet Vash brat’?,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_56.mp3,"5,9,20"
57,57,RU,9781442313200,Russian 3,3,,,07Q,,N,He’s a student.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_57.mp3,9
58,58,RU,9781442313200,Russian 3,3,,,07R,,F,Он студент.,On student.,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_58.mp3,9
59,59,RU,9781442313200,Russian 3,3,,,08Q,,N,In February it often snows.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_59.mp3,"17,19"
60,60,RU,9781442313200,Russian 3,3,,,08R,,F,В феврале часто идёт снег.,V fevrale chasto idyot sneg.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_60.mp3,"17,19"
61,61,RU,9781442313200,Russian 3,3,,,09Q,,N,Do you speak Russian in the office?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_61.mp3,"10,15,20"
62,62,RU,9781442313200,Russian 3,3,,,09R,,F,Вы говорите по-русски в офисе?,Vy govorite po-russki v ofise?,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_62.mp3,"10,15,20"
63,63,RU,9781442313200,Russian 3,3,,,10Q,,N,You can’t show me on the map?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_63.mp3,4
64,64,RU,9781442313200,Russian 3,3,,,10R,,M,Вы не можете показать мне на карте?,Vy ne mozhete pokazat’ mne na karte?,7,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_64.mp3,4
65,65,RU,9781442313200,Russian 3,3,,,11Q,,N,My sister is an engineer.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_65.mp3,"5,9,20"
66,66,RU,9781442313200,Russian 3,3,,,11R,,F,Моя сестра работает инженером.,Moya sestra rabotayet inzhenerom.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_66.mp3,"5,9,20"
67,67,RU,9781442313200,Russian 3,3,,,12Q,,N,My sister lives in Ukraine.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_67.mp3,"5,9,18"
68,68,RU,9781442313200,Russian 3,3,,,12R,,F,Моя сестра живёт на Украине.,Moya sestra zhiviot na Ukraine.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_68.mp3,"5,9,18"
69,69,RU,9781442313200,Russian 3,4,,,01Q,,N,What would you like to order?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_69.mp3,"6,7"
70,70,RU,9781442313200,Russian 3,4,,,01R,,F,Что бы Вы хотели заказать?,Chto by Vy hoteli zakazat’?,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_70.mp3,"6,7"
71,71,RU,9781442313200,Russian 3,4,,,02Q,,N,My brother is supposed to meet us here.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_71.mp3,"5,9"
72,72,RU,9781442313200,Russian 3,4,,,02R,,M,Мой брат должен нас встретить здесь.,Moy brat dolzhen nas vstretit’ zdes’.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_72.mp3,"5,9"
73,73,RU,9781442313200,Russian 3,4,,,03Q,,N,Are they Americans?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_73.mp3,9
74,74,RU,9781442313200,Russian 3,4,,,03R,,F,Они американцы?,Oni amerikantsy?,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_74.mp3,9
75,75,RU,9781442313200,Russian 3,4,,,04Q,,N,"For that reason, I learned Russian.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_75.mp3,"9,15"
76,76,RU,9781442313200,Russian 3,4,,,04R,,M,Поэтому я изучал русский.,Poetomu ya izuchal russkiy.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_76.mp3,"9,15"
77,77,RU,9781442313200,Russian 3,4,,,05Q,,N,"In January, or in February.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_77.mp3,17
78,78,RU,9781442313200,Russian 3,4,,,05R,,M,"В январе, или в феврале.","V yanvare, ili v fevrale.",5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_78.mp3,17
79,79,RU,9781442313200,Russian 3,4,,,06Q,,N,We’d like to order a bottle of wine.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_79.mp3,"6,9"
80,80,RU,9781442313200,Russian 3,4,,,06R,,M,Мы хотели бы заказать бутылку вина.,My hoteli by zakazat’ butylku vina.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_80.mp3,"6,9"
81,81,RU,9781442313200,Russian 3,4,,,07Q,,N,Don’t you want to order dinner?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_81.mp3,6
82,82,RU,9781442313200,Russian 3,4,,,07R,,F,Вы не хотите заказать ужин?,Vy ne hotite zakazat’ uzhin?,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_82.mp3,6
83,83,RU,9781442313200,Russian 3,4,,,08Q,,N,From where?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_83.mp3,"7,16"
84,84,RU,9781442313200,Russian 3,4,,,08R,,F,Откуда?,Otkuda?,1,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_84.mp3,"7,16"
85,85,RU,9781442313200,Russian 3,4,,,09Q,,N,Sometimes I speak Russian in the office.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_85.mp3,"15,20"
86,86,RU,9781442313200,Russian 3,4,,,09R,,M,Иногда я говорю по-русски в офисе.,Inogda ya govoryu po-russki v ofise.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_86.mp3,"15,20"
87,87,RU,9781442313200,Russian 3,4,,,10Q,,N,I learned Russian in America.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_87.mp3,9
88,88,RU,9781442313200,Russian 3,4,,,10R,,M,Я изучал русский в Америке.,Ya izuchal russkiy v Amerike.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_88.mp3,9
89,89,RU,9781442313200,Russian 3,4,,,11Q,,N,There was an important meeting.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_89.mp3,"9,20"
90,90,RU,9781442313200,Russian 3,4,,,11R,,M,Была важная встреча.,Byla vazhnaya vstrecha.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_90.mp3,"9,20"
91,91,RU,9781442313200,Russian 3,5,,,01Q,,N,What will you be drinking?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_91.mp3,"6,9"
92,92,RU,9781442313200,Russian 3,5,,,01R,,F,Что Вы будете пить?,Chto Vy budete pit’?,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_92.mp3,"6,9"
93,93,RU,9781442313200,Russian 3,5,,,02Q,,N,What are you looking for?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_93.mp3,"7,9"
94,94,RU,9781442313200,Russian 3,5,,,02R,,F,Что Вы ищите?,Chto Vy ishete?,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_94.mp3,"7,9"
95,95,RU,9781442313200,Russian 3,5,,,03Q,,N,We like wine.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_95.mp3,"6,9"
96,96,RU,9781442313200,Russian 3,5,,,03R,,M,Нам нравится вино.,Nam nravitsa vino.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_96.mp3,"6,9"
97,97,RU,9781442313200,Russian 3,5,,,04Q,,N,I’m looking for a book.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_97.mp3,9
98,98,RU,9781442313200,Russian 3,5,,,04R,,M,Я ищу книгу.,Ya ishiu knigu.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_98.mp3,9
99,99,RU,9781442313200,Russian 3,5,,,05Q,,N,A cup of coffee for me.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_99.mp3,6
100,100,RU,9781442313200,Russian 3,5,,,05R,,F,Мне чашку кофе.,Mne chashku kofe.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_100.mp3,6
101,101,RU,9781442313200,Russian 3,5,,,06Q,,N,Now we’re ready to order.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_101.mp3,"6,9,17"
102,102,RU,9781442313200,Russian 3,5,,,06R,,M,Сейчас мы готовы заказать.,Seychas my gotovy zakazat’.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_102.mp3,"6,9,17"
103,103,RU,9781442313200,Russian 3,5,,,07Q,,N,"A bottle of wine for us, please.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_103.mp3,6
104,104,RU,9781442313200,Russian 3,5,,,07R,,M,"Нам бутылку вина, пожалуйста.","Nam butylku vina, pozhalusta.",4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_104.mp3,6
105,105,RU,9781442313200,Russian 3,5,,,08Q,,N,"Two portions of chicken Kiev for us, please.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_105.mp3,"6,12"
106,106,RU,9781442313200,Russian 3,5,,,08R,,M,"Нам две порции котлет по-киевски, пожалуйста.","Nam dve portsii kotlet po-kiyevski, pozhalusta.",6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_106.mp3,"6,12"
107,107,RU,9781442313200,Russian 3,5,,,09Q,,N,We’re going to order dinner.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_107.mp3,"1,6"
108,108,RU,9781442313200,Russian 3,5,,,09R,,M,Мы собираемся заказать ужин.,My sobirayemsia zakazat’ uzhin.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_108.mp3,"1,6"
109,109,RU,9781442313200,Russian 3,5,,,10Q,,N,Coffee with milk for you.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_109.mp3,6
110,110,RU,9781442313200,Russian 3,5,,,10R,,M,Вам кофе с молоком.,Vam kofe s molokom.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_110.mp3,6
111,111,RU,9781442313200,Russian 3,5,,,11Q,,N,"She learned Russian here, in Moscow.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_111.mp3,"9,15,18"
112,112,RU,9781442313200,Russian 3,5,,,11R,,M,"Она изучала русский здесь, в Москве.","Ona izuchala russkiy zdes’, v Moskve.",6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_112.mp3,"9,15,18"
113,113,RU,9781442313200,Russian 3,5,,,12Q,,N,It’s a book about Russia.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_113.mp3,9
114,114,RU,9781442313200,Russian 3,5,,,12R,,M,Это книга о России.,Eto kniga o Rossii.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_114.mp3,9
115,115,RU,9781442313200,Russian 3,6,,,01Q,,N,Let’s talk about our plans.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_115.mp3,1
116,116,RU,9781442313200,Russian 3,6,,,01R,,M,Давайте поговорим о наших планах.,Davayte pogovorim o nashih planah.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_116.mp3,1
117,117,RU,9781442313200,Russian 3,6,,,02Q,,N,The book was on the table.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_117.mp3,9
118,118,RU,9781442313200,Russian 3,6,,,02R,,M,Книга была на столе.,Kniga byla na stole.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_118.mp3,9
119,119,RU,9781442313200,Russian 3,6,,,03Q,,N,The book on the table isn’t mine.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_119.mp3,9
120,120,RU,9781442313200,Russian 3,6,,,03R,,M,Книга на столе не моя.,Kniga na stole ne moya.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_120.mp3,9
121,121,RU,9781442313200,Russian 3,6,,,04Q,,N,A bottle of red wine for us.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_121.mp3,6
122,122,RU,9781442313200,Russian 3,6,,,04R,,M,Нам бутылку красного вина.,Nam butylku krasnovo vina.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_122.mp3,6
123,123,RU,9781442313200,Russian 3,6,,,05Q,,N,We need to reserve hotel rooms.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_123.mp3,"16,18"
124,124,RU,9781442313200,Russian 3,6,,,05R,,M,Нам надо заказать номера.,Nam nado zakazat’ nomera.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_124.mp3,"16,18"
125,125,RU,9781442313200,Russian 3,6,,,06Q,,N,"Look, under the table there’s a book.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_125.mp3,9
126,126,RU,9781442313200,Russian 3,6,,,06R,,F,"Смотрите, под столом есть книга.","Smotrite, pod stolom yest’ kniga.",5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_126.mp3,9
127,127,RU,9781442313200,Russian 3,6,,,07Q,,N,Let’s talk.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_127.mp3,"7,16"
128,128,RU,9781442313200,Russian 3,6,,,07R,,M,Давайте поговорим.,Davayte pogovorim.,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_128.mp3,"7,16"
129,129,RU,9781442313200,Russian 3,6,,,08Q,,N,About what?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_129.mp3,"7,16"
130,130,RU,9781442313200,Russian 3,6,,,08R,,F,О чём?,O chiom?,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_130.mp3,"7,16"
131,131,RU,9781442313200,Russian 3,6,,,09Q,,N,About our plans.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_131.mp3,9
132,132,RU,9781442313200,Russian 3,6,,,09R,,M,О наших планах.,O nashih planah.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_132.mp3,9
133,133,RU,9781442313200,Russian 3,6,,,10Q,,N,Are you ready to order?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_133.mp3,"6,9"
134,134,RU,9781442313200,Russian 3,6,,,10R,,F,Вы готовы заказать?,Vy gotovy zakazat’?,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_134.mp3,"6,9"
135,135,RU,9781442313200,Russian 3,6,,,11Q,,N,I don’t know where it (f.) is.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_135.mp3,"4,9"
136,136,RU,9781442313200,Russian 3,6,,,11R,,M,"Я не знаю, где она.","Ya ne znayu, gde ona.",5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_136.mp3,"4,9"
137,137,RU,9781442313200,Russian 3,7,,,01Q,,N,The address is next to the book.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_137.mp3,"4,9"
138,138,RU,9781442313200,Russian 3,7,,,01R,,M,Адрес рядом с книгой.,Adres riadom s knigoy.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_138.mp3,"4,9"
139,139,RU,9781442313200,Russian 3,7,,,02Q,,N,It’s soon necessary to reserve them.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_139.mp3,"9,17,18"
140,140,RU,9781442313200,Russian 3,7,,,02R,,F,Их скоро надо заказать.,Ih skoro nado zakazat’.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_140.mp3,"9,17,18"
141,141,RU,9781442313200,Russian 3,7,,,03Q,,N,We need to talk about that.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_141.mp3,3
142,142,RU,9781442313200,Russian 3,7,,,03R,,F,Нам надо поговорить об этом.,Nam nado pogovorit’ ob ètom.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_142.mp3,3
