Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
38,38,GR,9781442395497,German 5,1,,,U01-05,05R_C,M,Das Wetter war sehr wechselhaft.,,,,9781508230892_German_5_QZ_0038.mp3,"18,19"
39,39,GR,9781442395497,German 5,1,,,U01-05,05Q_D,N,The weather there is always very changeable.,,,,9781508230892_German_5_QZ_0039.mp3,"8,19"
40,40,GR,9781442395497,German 5,1,,,U01-05,05R_D,F,Das Wetter dort ist immer sehr wechselhaft.,,,,9781508230892_German_5_QZ_0040.mp3,"8,19"
41,41,GR,9781442395497,German 5,1,,,U01-06,06Q_A,N,I didn’t sleep well.,,,,9781508230892_German_5_QZ_0041.mp3,"8,18"
42,42,GR,9781442395497,German 5,1,,,U01-06,06R_A,M,Ich habe nicht gut schlafen.,,,,9781508230892_German_5_QZ_0042.mp3,"8,18"
43,43,GR,9781442395497,German 5,1,,,U01-06,06Q_B,N,I scarcely slept.,,,,9781508230892_German_5_QZ_0043.mp3,"8,18"
44,44,GR,9781442395497,German 5,1,,,U01-06,06R_B,M,Ich habe kaum geschlafen.,,,,9781508230892_German_5_QZ_0044.mp3,"8,18"
45,45,GR,9781442395497,German 5,1,,,U01-06,06Q_C,N,I didn’t sleep much.,,,,9781508230892_German_5_QZ_0045.mp3,"8,18"
46,46,GR,9781442395497,German 5,1,,,U01-06,06R_C,F,Ich habe nicht viel geschlafen.,,,,9781508230892_German_5_QZ_0046.mp3,"8,18"
47,47,GR,9781442395497,German 5,1,,,U01-06,06Q_D,N,I didn’t sleep a very long time.,,,,9781508230892_German_5_QZ_0047.mp3,"8,18,17"
48,48,GR,9781442395497,German 5,1,,,U01-06,06R_D,F,Ich habe nicht sehr lange geschlafen.,,,,9781508230892_German_5_QZ_0048.mp3,"8,18,17"
49,49,GR,9781442395497,German 5,1,,,U01-07,07Q_A,N,The service was slow.,,,,9781508230892_German_5_QZ_0049.mp3,"14,20"
50,50,GR,9781442395497,German 5,1,,,U01-07,07R_A,M,Die Bedienung war langsam.,,,,9781508230892_German_5_QZ_0050.mp3,"14,20"
51,51,GR,9781442395497,German 5,1,,,U01-07,07Q_B,N,The service was terribly slow.,,,,9781508230892_German_5_QZ_0051.mp3,"14,20"
52,52,GR,9781442395497,German 5,1,,,U01-07,07R_B,M,Die Bedienung war furchtbar langsam.,,,,9781508230892_German_5_QZ_0052.mp3,"14,20"
53,53,GR,9781442395497,German 5,1,,,U01-07,07Q_C,N,The service was especially slow.,,,,9781508230892_German_5_QZ_0053.mp3,"14,20"
54,54,GR,9781442395497,German 5,1,,,U01-07,07R_C,F,Die Bedienung was besonders langsam.,,,,9781508230892_German_5_QZ_0054.mp3,"14,20"
55,55,GR,9781442395497,German 5,1,,,U01-07,07Q_D,N,The service was bad.,,,,9781508230892_German_5_QZ_0055.mp3,"14,20"
56,56,GR,9781442395497,German 5,1,,,U01-07,07R_D,F,Die Bedienung war schlecht.,,,,9781508230892_German_5_QZ_0056.mp3,"14,20"
57,57,GR,9781442395497,German 5,1,,,U01-08,08Q_A,N,We have to wait a long time.,,,,9781508230892_German_5_QZ_0057.mp3,17
58,58,GR,9781442395497,German 5,1,,,U01-08,08R_A,M,Wir müssen lange warten.,,,,9781508230892_German_5_QZ_0058.mp3,17
59,59,GR,9781442395497,German 5,1,,,U01-08,08Q_B,N,We had to wait a long time.,,,,9781508230892_German_5_QZ_0059.mp3,17
60,60,GR,9781442395497,German 5,1,,,U01-08,08R_B,M,Wir mussten lange warten.,,,,9781508230892_German_5_QZ_0060.mp3,17
61,61,GR,9781442395497,German 5,1,,,U01-08,08Q_C,N,We had to stand a long time.,,,,9781508230892_German_5_QZ_0061.mp3,17
62,62,GR,9781442395497,German 5,1,,,U01-08,08R_C,F,Wir mussten lange stehen.,,,,9781508230892_German_5_QZ_0062.mp3,17
63,63,GR,9781442395497,German 5,1,,,U01-08,08Q_D,N,We had to look a long time.,,,,9781508230892_German_5_QZ_0063.mp3,17
64,64,GR,9781442395497,German 5,1,,,U01-08,08R_D,M,Wir mussten lange suchen.,,,,9781508230892_German_5_QZ_0064.mp3,17
65,65,GR,9781442395497,German 5,2,,,U02-01,01Q_A,N,My colleague is sitting at the table next to the entrance.,,,,9781508230892_German_5_QZ_0065.mp3,"4,9,20"
66,66,GR,9781442395497,German 5,2,,,U02-01,01R_A,M,Meine Kollegin sitzt am Tisch neben dem Eingang.,,,,9781508230892_German_5_QZ_0066.mp3,"4,9,20"
67,67,GR,9781442395497,German 5,2,,,U02-01,01Q_B,N,My colleague is sitting at the table left in front of the entrance.,,,,9781508230892_German_5_QZ_0067.mp3,"4,20"
68,68,GR,9781442395497,German 5,2,,,U02-01,01R_B,M,Meine Kollegin sitzt am Tisch links vor dem Eingang.,,,,9781508230892_German_5_QZ_0068.mp3,"4,20"
69,69,GR,9781442395497,German 5,2,,,U02-01,01Q_C,N,My colleague is sitting at the table right in front of the entrance.,,,,9781508230892_German_5_QZ_0069.mp3,"4,9,20"
70,70,GR,9781442395497,German 5,2,,,U02-01,01R_C,F,Meine Kollegin sitzt am Tisch rechts vor dem Eingang.,,,,9781508230892_German_5_QZ_0070.mp3,"4,9,20"
71,71,GR,9781442395497,German 5,2,,,U02-01,01Q_D,N,My colleague is sitting at the table across from the entrance.,,,,9781508230892_German_5_QZ_0071.mp3,"4,9,20"
72,72,GR,9781442395497,German 5,2,,,U02-01,01R_D,M,Meine Kollegin sitzt am Tisch gegenüber dem Eingang.,,,,9781508230892_German_5_QZ_0072.mp3,"4,9,20"
73,73,GR,9781442395497,German 5,2,,,U02-02,02Q_A,N,These shoes are not comfortable.,,,,9781508230892_German_5_QZ_0073.mp3,14
74,74,GR,9781442395497,German 5,2,,,U02-02,02R_A,M,Diese Schuhe sind nicht bequem.,,,,9781508230892_German_5_QZ_0074.mp3,14
75,75,GR,9781442395497,German 5,2,,,U02-02,02Q_B,N,These shoes don’t fit.,,,,9781508230892_German_5_QZ_0075.mp3,14
76,76,GR,9781442395497,German 5,2,,,U02-02,02R_B,M,Diese Schuhe passen nicht.,,,,9781508230892_German_5_QZ_0076.mp3,14
77,77,GR,9781442395497,German 5,2,,,U02-02,02Q_C,N,These shoes are uncomfortable.,,,,9781508230892_German_5_QZ_0077.mp3,14
78,78,GR,9781442395497,German 5,2,,,U02-02,02R_C,F,Diese Schuhe sind unbequem.,,,,9781508230892_German_5_QZ_0078.mp3,14
79,79,GR,9781442395497,German 5,2,,,U02-02,02Q_D,N,These shoes don’t fit well.,,,,9781508230892_German_5_QZ_0079.mp3,14
80,80,GR,9781442395497,German 5,2,,,U02-02,02R_D,F,Diese Schuhe passen nicht gut.,,,,9781508230892_German_5_QZ_0080.mp3,14
81,81,GR,9781442395497,German 5,2,,,U02-03,03Q_A,N,I’m not having any meat.,,,,9781508230892_German_5_QZ_0081.mp3,6
82,82,GR,9781442395497,German 5,2,,,U02-03,03R_A,M,Ich nehme kein Fleisch.,,,,9781508230892_German_5_QZ_0082.mp3,6
83,83,GR,9781442395497,German 5,2,,,U02-03,03Q_B,N,I’m not eating any meat.,,,,9781508230892_German_5_QZ_0083.mp3,6
84,84,GR,9781442395497,German 5,2,,,U02-03,03R_B,F,Ich esse kein Fleisch.,,,,9781508230892_German_5_QZ_0084.mp3,6
85,85,GR,9781442395497,German 5,2,,,U02-03,03Q_C,N,I don’t like eating meat.,,,,9781508230892_German_5_QZ_0085.mp3,6
86,86,GR,9781442395497,German 5,2,,,U02-03,03R_C,M,Ich esse nicht gern Fleisch.,,,,9781508230892_German_5_QZ_0086.mp3,6
87,87,GR,9781442395497,German 5,2,,,U02-03,03Q_D,N,I’m not having any fish.,,,,9781508230892_German_5_QZ_0087.mp3,6
88,88,GR,9781442395497,German 5,2,,,U02-03,03R_D,M,Ich nehme keinen Fisch.,,,,9781508230892_German_5_QZ_0088.mp3,6
89,89,GR,9781442395497,German 5,2,,,U02-04,04Q_A,N,In the airplane I didn’t sleep much.,,,,9781508230892_German_5_QZ_0089.mp3,"8,12,18"
90,90,GR,9781442395497,German 5,2,,,U02-04,04R_A,M,Im Flugzeug habe ich nicht viel geschlafen.,,,,9781508230892_German_5_QZ_0090.mp3,"8,12,18"
91,91,GR,9781442395497,German 5,2,,,U02-04,04Q_B,N,In the airplane I can never sleep.,,,,9781508230892_German_5_QZ_0091.mp3,"8,18,20"
92,92,GR,9781442395497,German 5,2,,,U02-04,04R_B,F,Im Flugzeug kann ich nie schlafen.,,,,9781508230892_German_5_QZ_0092.mp3,"8,18,20"
93,93,GR,9781442395497,German 5,2,,,U02-04,04Q_C,N,In the airplane I scarcely slept.,,,,9781508230892_German_5_QZ_0093.mp3,"8,18,20"
94,94,GR,9781442395497,German 5,2,,,U02-04,04R_C,F,Im Flugzeug habe ich kaum geschlafen.,,,,9781508230892_German_5_QZ_0094.mp3,"8,18,20"
95,95,GR,9781442395497,German 5,2,,,U02-04,04Q_D,N,In the airplane I didn’t sleep well.,,,,9781508230892_German_5_QZ_0095.mp3,"8,18,20"
96,96,GR,9781442395497,German 5,2,,,U02-04,04R_D,M,Im Flugzeug habe ich nicht gut geschlafen.,,,,9781508230892_German_5_QZ_0096.mp3,"8,18,20"
97,97,GR,9781442395497,German 5,2,,,U02-05,05Q_A,N,My wife and I go rather into the mountains.,,,,9781508230892_German_5_QZ_0097.mp3,"1,5"
98,98,GR,9781442395497,German 5,2,,,U02-05,05R_A,M,Meine Frau und ich fahren lieber in die Berge.,,,,9781508230892_German_5_QZ_0098.mp3,"1,5"
99,99,GR,9781442395497,German 5,2,,,U02-05,05Q_B,N,My wife and I like to go into the mountains.,,,,9781508230892_German_5_QZ_0099.mp3,"1,5"
100,100,GR,9781442395497,German 5,2,,,U02-05,05R_B,M,Meine Frau und ich fahren gern in die Berge.,,,,9781508230892_German_5_QZ_0100.mp3,"1,5"
101,101,GR,9781442395497,German 5,2,,,U02-05,05Q_C,N,My wife and I would go rather into the mountains.,,,,9781508230892_German_5_QZ_0101.mp3,"1,5"
102,102,GR,9781442395497,German 5,2,,,U02-05,05R_C,M,Meine Frau und ich würden lieber in die Berge fahren.,,,,9781508230892_German_5_QZ_0102.mp3,"1,5"
103,103,GR,9781442395497,German 5,2,,,U02-05,05Q_D,N,My wife and I went rather into the mountains.,,,,9781508230892_German_5_QZ_0103.mp3,"1,5"
104,104,GR,9781442395497,German 5,2,,,U02-05,05R_D,M,Meine Frau und ich sind lieber in die Berge gefahren.,,,,9781508230892_German_5_QZ_0104.mp3,"1,5"
105,105,GR,9781442395497,German 5,2,,,U02-06,06Q_A,N,So I’m waiting outside.,,,,9781508230892_German_5_QZ_0105.mp3,"1,9,18"
106,106,GR,9781442395497,German 5,2,,,U02-06,06R_A,F,Deshalb warte ich draußen.,,,,9781508230892_German_5_QZ_0106.mp3,"1,9,18"
107,107,GR,9781442395497,German 5,2,,,U02-06,06Q_B,N,So I was outside.,,,,9781508230892_German_5_QZ_0107.mp3,"1,9,18"
108,108,GR,9781442395497,German 5,2,,,U02-06,06R_B,F,Deshalb war ich draußen.,,,,9781508230892_German_5_QZ_0108.mp3,"1,9,18"
109,109,GR,9781442395497,German 5,2,,,U02-06,06Q_C,N,Then I’m waiting outside.,,,,9781508230892_German_5_QZ_0109.mp3,"1,9,18"
110,110,GR,9781442395497,German 5,2,,,U02-06,06R_C,M,Dann warte ich draußen.,,,,9781508230892_German_5_QZ_0110.mp3,"1,9,18"
111,111,GR,9781442395497,German 5,2,,,U02-06,06Q_D,N,After it I’m waiting outside.,,,,9781508230892_German_5_QZ_0111.mp3,9
112,112,GR,9781442395497,German 5,2,,,U02-06,06R_D,M,Danach warte ich draußen.,,,,9781508230892_German_5_QZ_0112.mp3,9
113,113,GR,9781442395497,German 5,2,,,U02-07,07Q_A,N,Self-service is also often not so expensive.,,,,9781508230892_German_5_QZ_0113.mp3,"14,20"
114,114,GR,9781442395497,German 5,2,,,U02-07,07R_A,F,Selbstbedienung ist auch oft nicht so teuer.,,,,9781508230892_German_5_QZ_0114.mp3,"14,20"
115,115,GR,9781442395497,German 5,2,,,U02-07,07Q_B,N,Self-service is also faster.,,,,9781508230892_German_5_QZ_0115.mp3,"14,20"
116,116,GR,9781442395497,German 5,2,,,U02-07,07R_B,M,Selbstbedienung ist auch schneller.,,,,9781508230892_German_5_QZ_0116.mp3,"14,20"
117,117,GR,9781442395497,German 5,2,,,U02-07,07Q_C,N,Self-service is also often not so slow.,,,,9781508230892_German_5_QZ_0117.mp3,"14,17"
118,118,GR,9781442395497,German 5,2,,,U02-07,07R_C,M,Selbstbedienung ist auch oft nicht so langsam.,,,,9781508230892_German_5_QZ_0118.mp3,"14,17"
119,119,GR,9781442395497,German 5,2,,,U02-07,07Q_D,N,Self-service is also often very good.,,,,9781508230892_German_5_QZ_0119.mp3,"14,17"
120,120,GR,9781442395497,German 5,2,,,U02-07,07R_D,M,Selbstbedienung ist auch oft sehr gut.,,,,9781508230892_German_5_QZ_0120.mp3,"14,17"
121,121,GR,9781442395497,German 5,2,,,U02-08,08Q_A,N,So I try to eat more fish.,,,,9781508230892_German_5_QZ_0121.mp3,6
122,122,GR,9781442395497,German 5,2,,,U02-08,08R_A,F,"Deshalb versuche ich, mehr Fisch zu essen.",,,,9781508230892_German_5_QZ_0122.mp3,6
123,123,GR,9781442395497,German 5,2,,,U02-08,08Q_B,N,So I try to eat only fish.,,,,9781508230892_German_5_QZ_0123.mp3,6
124,124,GR,9781442395497,German 5,2,,,U02-08,08R_B,M,Deshalb versuche ich nur Fisch zu essen.,,,,9781508230892_German_5_QZ_0124.mp3,6
125,125,GR,9781442395497,German 5,2,,,U02-08,08Q_C,N,So I eat only fish.,,,,9781508230892_German_5_QZ_0125.mp3,6
126,126,GR,9781442395497,German 5,2,,,U02-08,08R_C,F,Deshalb esse ich nur Fisch.,,,,9781508230892_German_5_QZ_0126.mp3,6
127,127,GR,9781442395497,German 5,2,,,U02-08,08Q_D,N,So I try to eat only fresh fish.,,,,9781508230892_German_5_QZ_0127.mp3,6
128,128,GR,9781442395497,German 5,2,,,U02-08,08R_D,M,"Deshalb versuche ich, nur frischen Fisch zu essen.",,,,9781508230892_German_5_QZ_0128.mp3,6
129,129,GR,9781442395497,German 5,3,,,U03-01,01Q_A,N,That doesn’t surprise me.,,,,9781508230892_German_5_QZ_0129.mp3,7
130,130,GR,9781442395497,German 5,3,,,U03-01,01R_A,M,Das überrascht mich nicht.,,,,9781508230892_German_5_QZ_0130.mp3,7
131,131,GR,9781442395497,German 5,3,,,U03-01,01Q_B,N,That I would not like.,,,,9781508230892_German_5_QZ_0131.mp3,"7,16"
132,132,GR,9781442395497,German 5,3,,,U03-01,01R_B,M,Das möchte ich nicht.,,,,9781508230892_German_5_QZ_0132.mp3,"7,16"
133,133,GR,9781442395497,German 5,3,,,U03-01,01Q_C,N,That I don’t need.,,,,9781508230892_German_5_QZ_0133.mp3,"7,14"
134,134,GR,9781442395497,German 5,3,,,U03-01,01R_C,F,Das brauche ich nicht.,,,,9781508230892_German_5_QZ_0134.mp3,"7,14"
135,135,GR,9781442395497,German 5,3,,,U03-01,01Q_D,N,That I didn’t want.,,,,9781508230892_German_5_QZ_0135.mp3,"7,14"
136,136,GR,9781442395497,German 5,3,,,U03-01,01R_D,M,Das wollte ich nicht.,,,,9781508230892_German_5_QZ_0136.mp3,"7,14"
137,137,GR,9781442395497,German 5,3,,,U03-02,02Q_A,N,Are you now also a vegetarian?,,,,9781508230892_German_5_QZ_0137.mp3,"6,8,17"
138,138,GR,9781442395497,German 5,3,,,U03-02,02R_A,F,Bist du jetzt auch Vegetarier?,,,,9781508230892_German_5_QZ_0138.mp3,"6,8,17"
139,139,GR,9781442395497,German 5,3,,,U03-02,02Q_B,N,Were you always a vegetarian?,,,,9781508230892_German_5_QZ_0139.mp3,"6,8,17"
140,140,GR,9781442395497,German 5,3,,,U03-02,02R_B,M,Warst du immer Vegetarier?,,,,9781508230892_German_5_QZ_0140.mp3,"6,8,17"
141,141,GR,9781442395497,German 5,3,,,U03-02,02Q_C,N,Since when are you a vegetarian?,,,,9781508230892_German_5_QZ_0141.mp3,"6,8,10,17"
142,142,GR,9781442395497,German 5,3,,,U03-02,02R_C,M,Seit wann bist du Vegetarier?,,,,9781508230892_German_5_QZ_0142.mp3,"6,8,10,17"
143,143,GR,9781442395497,German 5,3,,,U03-02,02Q_D,N,How long have you been already a vegetarian?,,,,9781508230892_German_5_QZ_0143.mp3,"6,8,17"
144,144,GR,9781442395497,German 5,3,,,U03-02,02R_D,F,Wie lange bist du schon Vegetarier?,,,,9781508230892_German_5_QZ_0144.mp3,"6,8,17"
145,145,GR,9781442395497,German 5,3,,,U03-03,03Q_A,N,I know that it’s unfavorable.,,,,9781508230892_German_5_QZ_0145.mp3,7
146,146,GR,9781442395497,German 5,3,,,U03-03,03R_A,F,"Ich weiß, dass er ungünstig ist.",,,,9781508230892_German_5_QZ_0146.mp3,7
147,147,GR,9781442395497,German 5,3,,,U03-03,03Q_B,N,I know that it’s favorable.,,,,9781508230892_German_5_QZ_0147.mp3,7
148,148,GR,9781442395497,German 5,3,,,U03-03,03R_B,M,"Ich weiß, dass er günstig ist.",,,,9781508230892_German_5_QZ_0148.mp3,7
149,149,GR,9781442395497,German 5,3,,,U03-03,03Q_C,N,I know that it’s not worthwhile.,,,,9781508230892_German_5_QZ_0149.mp3,7
150,150,GR,9781442395497,German 5,3,,,U03-03,03R_C,F,"Ich weiß, dass er sich nicht lohnt.",,,,9781508230892_German_5_QZ_0150.mp3,7
151,151,GR,9781442395497,German 5,3,,,U03-03,03Q_D,N,I know that it’s slower.,,,,9781508230892_German_5_QZ_0151.mp3,"7,17,18"
152,152,GR,9781442395497,German 5,3,,,U03-03,03R_D,M,"Ich weiß, dass er langsamer ist.",,,,9781508230892_German_5_QZ_0152.mp3,"7,17,18"
153,153,GR,9781442395497,German 5,3,,,U03-04,04Q_A,N,I’m not entirely sure myself.,,,,9781508230892_German_5_QZ_0153.mp3,7
154,154,GR,9781442395497,German 5,3,,,U03-04,04R_A,F,Ich bin mir nicht ganz sicher.,,,,9781508230892_German_5_QZ_0154.mp3,7
155,155,GR,9781442395497,German 5,3,,,U03-04,04Q_B,N,I’m not certain.,,,,9781508230892_German_5_QZ_0155.mp3,7
156,156,GR,9781442395497,German 5,3,,,U03-04,04R_B,M,Ich bin nicht sicher.,,,,9781508230892_German_5_QZ_0156.mp3,7
157,157,GR,9781442395497,German 5,3,,,U03-04,04Q_C,N,I’m not entirely full.,,,,9781508230892_German_5_QZ_0157.mp3,6
158,158,GR,9781442395497,German 5,3,,,U03-04,04R_C,F,Ich bin nicht ganz satt.,,,,9781508230892_German_5_QZ_0158.mp3,6
159,159,GR,9781442395497,German 5,3,,,U03-04,04Q_D,N,I’m not tired.,,,,9781508230892_German_5_QZ_0159.mp3,8
160,160,GR,9781442395497,German 5,3,,,U03-04,04R_D,F,Ich bin nicht müde.,,,,9781508230892_German_5_QZ_0160.mp3,8
161,161,GR,9781442395497,German 5,3,,,U03-05,05Q_A,N,I had to transfer twice.,,,,9781508230892_German_5_QZ_0161.mp3,"18,20"
162,162,GR,9781442395497,German 5,3,,,U03-05,05R_A,F,Ich musste zweimal umsteigen.,,,,9781508230892_German_5_QZ_0162.mp3,"18,20"
163,163,GR,9781442395497,German 5,3,,,U03-05,05Q_B,N,I had to transfer three times.,,,,9781508230892_German_5_QZ_0163.mp3,"12,18"
164,164,GR,9781442395497,German 5,3,,,U03-05,05R_B,M,Ich musste dreimal umsteigen.,,,,9781508230892_German_5_QZ_0164.mp3,"12,18"
165,165,GR,9781442395497,German 5,3,,,U03-05,05Q_C,N,I had to call three times.,,,,9781508230892_German_5_QZ_0165.mp3,"3,12"
166,166,GR,9781442395497,German 5,3,,,U03-05,05R_C,M,Ich musste dreimal anrufen.,,,,9781508230892_German_5_QZ_0166.mp3,"3,12"
167,167,GR,9781442395497,German 5,3,,,U03-05,05Q_D,N,I had to drive there twice.,,,,9781508230892_German_5_QZ_0167.mp3,"12,18"
168,168,GR,9781442395497,German 5,3,,,U03-05,05R_D,F,Ich musste zweimal hinfahren.,,,,9781508230892_German_5_QZ_0168.mp3,"12,18"
169,169,GR,9781442395497,German 5,3,,,U03-06,06Q_A,N,Since when do you have a dog?,,,,9781508230892_German_5_QZ_0169.mp3,"2,17"
170,170,GR,9781442395497,German 5,3,,,U03-06,06R_A,F,Seit wann habt ihr einen Hund?,,,,9781508230892_German_5_QZ_0170.mp3,"2,17"
171,171,GR,9781442395497,German 5,3,,,U03-06,06Q_B,N,What’s your dog’s name?,,,,9781508230892_German_5_QZ_0171.mp3,"2,7"
172,172,GR,9781442395497,German 5,3,,,U03-06,06R_B,M,Wie heisst euer Hund?,,,,9781508230892_German_5_QZ_0172.mp3,"2,7"
173,173,GR,9781442395497,German 5,3,,,U03-06,06Q_C,N,Do you have a dog?,,,,9781508230892_German_5_QZ_0173.mp3,2
174,174,GR,9781442395497,German 5,3,,,U03-06,06R_C,F,Habt ihr einen Hund?,,,,9781508230892_German_5_QZ_0174.mp3,2
175,175,GR,9781442395497,German 5,3,,,U03-06,06Q_D,N,How big is your dog?,,,,9781508230892_German_5_QZ_0175.mp3,2
176,176,GR,9781442395497,German 5,3,,,U03-06,06R_D,M,Wie gross ist euer Hund?,,,,9781508230892_German_5_QZ_0176.mp3,2
177,177,GR,9781442395497,German 5,3,,,U03-07,07Q_A,N,She doesn’t cook.,,,,9781508230892_German_5_QZ_0177.mp3,"6,9"
178,178,GR,9781442395497,German 5,3,,,U03-07,07R_A,F,Sie kocht nicht.,,,,9781508230892_German_5_QZ_0178.mp3,"6,9"
179,179,GR,9781442395497,German 5,3,,,U03-07,07Q_B,N,She doesn’t like to cook.,,,,9781508230892_German_5_QZ_0179.mp3,"6,9"
