Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Skills
21,SP,978-1-4423-5039-7,Spanish 3,2,0:01:53,0:01:56,01Q,28,N,Allow me to introduce to you my wife.,,,"Spanish Phase 3, Units 1-30 (2004)","5,13"
22,SP,978-1-4423-5039-7,Spanish 3,2,0:02:00,0:02:04,01R,29,M,Permítame presentarle a mi esposa.,4,S,"Spanish Phase 3, Units 1-30 (2004)","5,13"
23,SP,978-1-4423-5039-7,Spanish 3,2,0:05:13,0:05:16,02Q,55,N,He’s a manager of a Mexican company.,,,"Spanish Phase 3, Units 1-30 (2004)",20
24,SP,978-1-4423-5039-7,Spanish 3,2,0:05:21,0:05:25,02R,56,F,Es gerente de una empresa mexicana.,6,S,"Spanish Phase 3, Units 1-30 (2004)",20
25,SP,978-1-4423-5039-7,Spanish 3,2,0:08:16,0:08:17,03Q,84,N,Thanks for the compliment.,,,"Spanish Phase 3, Units 1-30 (2004)","13,16"
26,SP,978-1-4423-5039-7,Spanish 3,2,0:08:19,0:08:22,03R,85,M,Gracias por el cumplido.,3,S,"Spanish Phase 3, Units 1-30 (2004)","13,16"
27,SP,978-1-4423-5039-7,Spanish 3,2,0:09:34,0:09:36,04Q,96,N,You really speak very well.,,,"Spanish Phase 3, Units 1-30 (2004)",9
28,SP,978-1-4423-5039-7,Spanish 3,2,0:09:38,0:09:41,04R,98,F,En verdad habla muy bien.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
29,SP,978-1-4423-5039-7,Spanish 3,2,0:11:55,0:11:58,05Q,122,N,My brother is married to a Spaniard.,,,"Spanish Phase 3, Units 1-30 (2004)",5
30,SP,978-1-4423-5039-7,Spanish 3,2,0:12:04,0:12:08,05R,123,M,Mi hermano está casado con una española.,7,S,"Spanish Phase 3, Units 1-30 (2004)",5
31,SP,978-1-4423-5039-7,Spanish 3,2,0:13:42,0:13:44,06Q,138,N,Do you travel to Spain?,,,"Spanish Phase 3, Units 1-30 (2004)",18
32,SP,978-1-4423-5039-7,Spanish 3,2,0:13:47,0:13:49,06R,139,M,¿Viajan a España?,2,Q,"Spanish Phase 3, Units 1-30 (2004)",18
33,SP,978-1-4423-5039-7,Spanish 3,2,0:15:53,0:15:57,07Q,159,N,My sister is married to an American.,,,"Spanish Phase 3, Units 1-30 (2004)",5
34,SP,978-1-4423-5039-7,Spanish 3,2,0:16:01,0:16:06,07R,160,F,Mi hermana está casada con un norteamericano.,7,S,"Spanish Phase 3, Units 1-30 (2004)",5
35,SP,978-1-4423-5039-7,Spanish 3,2,0:19:18,0:19:19,08Q,191,N,Are they going to stay there?,,,"Spanish Phase 3, Units 1-30 (2004)",18
36,SP,978-1-4423-5039-7,Spanish 3,2,0:19:23,0:19:25,08R,192,F,¿Van a quedarse allí?,3,Q,"Spanish Phase 3, Units 1-30 (2004)",18
37,SP,978-1-4423-5039-7,Spanish 3,2,0:20:16,0:20:18,09Q,200,N,They aren’t sure.,,,"Spanish Phase 3, Units 1-30 (2004)",7
38,SP,978-1-4423-5039-7,Spanish 3,2,0:20:20,0:20:22,09R,201,M,No están seguros.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
39,SP,978-1-4423-5039-7,Spanish 3,2,0:22:59,0:23:01,10Q,222,N,I’m (m) not sure.,,,"Spanish Phase 3, Units 1-30 (2004)","7,16"
40,SP,978-1-4423-5039-7,Spanish 3,2,0:23:03,0:23:05,10R,223,M,No estoy seguro.,3,S,"Spanish Phase 3, Units 1-30 (2004)","7,16"
41,SP,978-1-4423-5039-7,Spanish 3,2,0:23:38,0:23:40,11Q,230,N,It depends on many things.,,,"Spanish Phase 3, Units 1-30 (2004)",7
42,SP,978-1-4423-5039-7,Spanish 3,2,0:23:42,0:23:45,11R,231,M,Depende de muchas cosas.,5,S,"Spanish Phase 3, Units 1-30 (2004)",7
43,SP,978-1-4423-5039-7,Spanish 3,3,0:06:33,0:06:35,01Q,72,N,I really don’t know it (m).,,,"Spanish Phase 3, Units 1-30 (2004)",7
44,SP,978-1-4423-5039-7,Spanish 3,3,0:06:37,0:06:40,01R,73,M,En verdad no lo sé.,5,S,"Spanish Phase 3, Units 1-30 (2004)",7
45,SP,978-1-4423-5039-7,Spanish 3,3,0:07:13,0:07:15,02Q,78,N,My brother likes Spain.,,,"Spanish Phase 3, Units 1-30 (2004)",5
46,SP,978-1-4423-5039-7,Spanish 3,3,0:07:24,0:07:27,02R,80,M,A mi hermano le gusta España.,5,S,"Spanish Phase 3, Units 1-30 (2004)",5
47,SP,978-1-4423-5039-7,Spanish 3,3,0:09:08,0:09:12,03Q,97,N,Does he work at an engineering company?,,,"Spanish Phase 3, Units 1-30 (2004)",20
48,SP,978-1-4423-5039-7,Spanish 3,3,0:09:15,0:09:19,03R,98,F,¿Trabaja en una empresa de ingeniería?,6,Q,"Spanish Phase 3, Units 1-30 (2004)",20
49,SP,978-1-4423-5039-7,Spanish 3,3,0:11:23,0:11:25,04Q,113,N,What did you say?,,,"Spanish Phase 3, Units 1-30 (2004)","7,16"
50,SP,978-1-4423-5039-7,Spanish 3,3,0:11:28,0:11:29,04R,114,F,¿Qué dijo?,2,Q,"Spanish Phase 3, Units 1-30 (2004)","7,16"
51,SP,978-1-4423-5039-7,Spanish 3,3,0:12:29,0:12:31,05Q,123,N,She’s an engineer too.,,,"Spanish Phase 3, Units 1-30 (2004)",20
52,SP,978-1-4423-5039-7,Spanish 3,3,0:12:34,0:12:37,05R,124,M,Es ingeniera también.,3,S,"Spanish Phase 3, Units 1-30 (2004)",20
53,SP,978-1-4423-5039-7,Spanish 3,3,0:13:12,0:13:14,06Q,130,N,He’s already learned a lot of Spanish.,,,"Spanish Phase 3, Units 1-30 (2004)",9
54,SP,978-1-4423-5039-7,Spanish 3,3,0:13:16,0:13:19,06R,131,M,Ya ha aprendido mucho español.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
55,SP,978-1-4423-5039-7,Spanish 3,3,0:14:53,0:14:55,07Q,146,N,It wasn’t easy.,,,"Spanish Phase 3, Units 1-30 (2004)",7
56,SP,978-1-4423-5039-7,Spanish 3,3,0:14:57,0:15:00,07R,147,M,No fue fácil.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
57,SP,978-1-4423-5039-7,Spanish 3,3,0:18:00,0:18:02,08Q,174,N,It was really difficult.,,,"Spanish Phase 3, Units 1-30 (2004)",7
58,SP,978-1-4423-5039-7,Spanish 3,3,0:18:05,0:18:08,08R,175,M,Fue en verdad difícil.,4,S,"Spanish Phase 3, Units 1-30 (2004)",7
59,SP,978-1-4423-5039-7,Spanish 3,3,0:21:09,0:21:11,09Q,202,F,English isn’t easy.,,,"Spanish Phase 3, Units 1-30 (2004)",9
60,SP,978-1-4423-5039-7,Spanish 3,3,0:21:16,0:21:19,09R,203,N,El inglés no es fácil.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
61,SP,978-1-4423-5039-7,Spanish 3,3,0:22:09,0:22:10,10Q,210,N,Surely not.,,,"Spanish Phase 3, Units 1-30 (2004)",7
62,SP,978-1-4423-5039-7,Spanish 3,3,0:22:12,0:22:16,10R,211,F,Seguro que no.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
63,SP,978-1-4423-5039-7,Spanish 3,3,0:23:02,0:23:03,11Q,218,F,For sure.,,,"Spanish Phase 3, Units 1-30 (2004)",7
64,SP,978-1-4423-5039-7,Spanish 3,3,0:23:06,0:23:09,11R,219,N,Seguro que sí.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
65,SP,978-1-4423-5039-7,Spanish 3,4,0:07:49,0:07:52,01Q,79,N,Frequently I eat at this restaurant.,,,"Spanish Phase 3, Units 1-30 (2004)","5,6"
66,SP,978-1-4423-5039-7,Spanish 3,4,0:07:55,0:07:59,01R,80,F,Con frecuencia como en este restaurante.,6,S,"Spanish Phase 3, Units 1-30 (2004)","5,6"
67,SP,978-1-4423-5039-7,Spanish 3,4,0:09:47,0:09:50,02Q,95,N,I wish to order a bottle of wine.,,,"Spanish Phase 3, Units 1-30 (2004)",6
68,SP,978-1-4423-5039-7,Spanish 3,4,0:09:54,0:09:57,02R,96,M,Quisiera pedir una botella de vino.,6,S,"Spanish Phase 3, Units 1-30 (2004)",6
69,SP,978-1-4423-5039-7,Spanish 3,4,0:10:47,0:10:49,03Q,105,N,Do you recommend a wine to me?,,,"Spanish Phase 3, Units 1-30 (2004)",6
70,SP,978-1-4423-5039-7,Spanish 3,4,0:10:52,0:10:55,03R,106,M,¿Me recomienda un vino?,4,Q,"Spanish Phase 3, Units 1-30 (2004)",6
71,SP,978-1-4423-5039-7,Spanish 3,4,0:12:39,0:12:42,04Q,123,N,I recommend this bottle to you.,,,"Spanish Phase 3, Units 1-30 (2004)",9
72,SP,978-1-4423-5039-7,Spanish 3,4,0:12:46,0:12:49,04R,124,F,Le recomiendo esta botella.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
73,SP,978-1-4423-5039-7,Spanish 3,4,0:14:26,0:14:29,05Q,139,N,She buys and sells wine.,,,"Spanish Phase 3, Units 1-30 (2004)","6,14"
74,SP,978-1-4423-5039-7,Spanish 3,4,0:14:31,0:14:34,05R,140,F,Ella compra y vende vino.,4,S,"Spanish Phase 3, Units 1-30 (2004)","6,14"
75,SP,978-1-4423-5039-7,Spanish 3,4,0:16:43,0:16:45,06Q,160,N,What do you recommend to us?,,,"Spanish Phase 3, Units 1-30 (2004)",7
76,SP,978-1-4423-5039-7,Spanish 3,4,0:16:47,0:16:50,06R,162,M,¿Qué nos recomienda?,3,Q,"Spanish Phase 3, Units 1-30 (2004)",7
77,SP,978-1-4423-5039-7,Spanish 3,4,0:18:32,0:18:34,07Q,179,N,The specialty of the house.,,,"Spanish Phase 3, Units 1-30 (2004)",6
78,SP,978-1-4423-5039-7,Spanish 3,4,0:18:37,0:18:41,07R,180,F,La especialidad de la casa.,5,S,"Spanish Phase 3, Units 1-30 (2004)",6
79,SP,978-1-4423-5039-7,Spanish 3,4,0:20:28,0:20:31,08Q,197,N,"Two plates of the specialty, please.",,,"Spanish Phase 3, Units 1-30 (2004)",12
80,SP,978-1-4423-5039-7,Spanish 3,4,0:20:34,0:20:38,08R,198,M,"Dos platos de la especialidad, por favor.",7,S,"Spanish Phase 3, Units 1-30 (2004)",12
81,SP,978-1-4423-5039-7,Spanish 3,4,0:24:49,0:24:52,09Q,239,N,An American engineering company.,,,"Spanish Phase 3, Units 1-30 (2004)",20
82,SP,978-1-4423-5039-7,Spanish 3,4,0:24:55,0:24:59,09R,240,F,Una empresa de ingeniería norteamericana.,5,S,"Spanish Phase 3, Units 1-30 (2004)",20
83,SP,978-1-4423-5039-7,Spanish 3,4,0:25:04,0:25:06,10Q,241,N,Your daughter speaks English?,,,"Spanish Phase 3, Units 1-30 (2004)","5,9"
84,SP,978-1-4423-5039-7,Spanish 3,4,0:25:09,0:25:12,10R,242,M,¿Su hija habla inglés?,5,Q,"Spanish Phase 3, Units 1-30 (2004)","5,9"
85,SP,978-1-4423-5039-7,Spanish 3,4,0:28:24,0:28:25,11Q,273,N,I wish a beer.,,,"Spanish Phase 3, Units 1-30 (2004)",6
86,SP,978-1-4423-5039-7,Spanish 3,4,0:28:28,0:28:31,11R,274,M,Quisiera una cerveza.,3,S,"Spanish Phase 3, Units 1-30 (2004)",6
87,SP,978-1-4423-5039-7,Spanish 3,5,0:03:50,0:03:52,01Q,50,N,You’re drinking it right now.,,,"Spanish Phase 3, Units 1-30 (2004)","6,17"
88,SP,978-1-4423-5039-7,Spanish 3,5,0:03:58,0:04:01,01R,51,M,Lo bebe ahora mismo.,4,S,"Spanish Phase 3, Units 1-30 (2004)","6,17"
89,SP,978-1-4423-5039-7,Spanish 3,5,0:10:11,0:10:13,02Q,110,N,Do you sell it (m) here?,,,"Spanish Phase 3, Units 1-30 (2004)","7,13"
90,SP,978-1-4423-5039-7,Spanish 3,5,0:10:15,0:10:17,02R,111,F,¿Lo vende aquí?,3,Q,"Spanish Phase 3, Units 1-30 (2004)","7,13"
91,SP,978-1-4423-5039-7,Spanish 3,5,0:14:55,0:14:57,03Q,160,N,It was here.,,,"Spanish Phase 3, Units 1-30 (2004)",9
92,SP,978-1-4423-5039-7,Spanish 3,5,0:14:59,0:15:01,03R,161,M,Estaba aquí.,2,S,"Spanish Phase 3, Units 1-30 (2004)",9
93,SP,978-1-4423-5039-7,Spanish 3,5,0:16:32,0:16:33,04Q,174,N,It was on the table.,,,"Spanish Phase 3, Units 1-30 (2004)",9
94,SP,978-1-4423-5039-7,Spanish 3,5,0:16:36,0:16:39,04R,175,M,Estaba en la mesa.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
95,SP,978-1-4423-5039-7,Spanish 3,5,0:17:04,0:17:06,05Q,178,N,I believe that it’s lost.,,,"Spanish Phase 3, Units 1-30 (2004)",9
96,SP,978-1-4423-5039-7,Spanish 3,5,0:17:08,0:17:11,05R,179,F,Creo que está perdido.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
97,SP,978-1-4423-5039-7,Spanish 3,5,0:19:42,0:19:46,06Q,201,N,"It’s on the table, under those papers.",,,"Spanish Phase 3, Units 1-30 (2004)",9
98,SP,978-1-4423-5039-7,Spanish 3,5,0:19:49,0:19:53,06R,202,F,"Está en la mesa, debajo de esos papeles.",8,S,"Spanish Phase 3, Units 1-30 (2004)",9
99,SP,978-1-4423-5039-7,Spanish 3,5,0:20:09,0:20:12,07Q,205,N,"There it is, under everything.",,,"Spanish Phase 3, Units 1-30 (2004)",9
100,SP,978-1-4423-5039-7,Spanish 3,5,0:20:14,0:20:19,07R,206,M,"Allí está, debajo de todo.",5,S,"Spanish Phase 3, Units 1-30 (2004)",9
101,SP,978-1-4423-5039-7,Spanish 3,5,0:22:09,0:22:11,08Q,222,N,My notes for today’s meeting.,,,"Spanish Phase 3, Units 1-30 (2004)",20
102,SP,978-1-4423-5039-7,Spanish 3,5,0:22:22,0:22:25,08R,223,F,Mis apuntes para la reunión de hoy.,7,S,"Spanish Phase 3, Units 1-30 (2004)",20
103,SP,978-1-4423-5039-7,Spanish 3,5,0:22:30,0:22:32,09Q,225,N,My notes were lost.,,,"Spanish Phase 3, Units 1-30 (2004)",9
104,SP,978-1-4423-5039-7,Spanish 3,5,0:22:35,0:22:39,09R,226,F,Mis apuntes estaban perdidos.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
105,SP,978-1-4423-5039-7,Spanish 3,5,0:25:36,0:25:39,10Q,249,N,My pen was next to my notes.,,,"Spanish Phase 3, Units 1-30 (2004)",9
106,SP,978-1-4423-5039-7,Spanish 3,5,0:25:43,0:25:47,10R,250,F,Mi bolígrafo estaba al lado de mis apuntes.,8,S,"Spanish Phase 3, Units 1-30 (2004)",9
107,SP,978-1-4423-5039-7,Spanish 3,6,0:01:56,0:02:00,01Q,27,N,My notes also were there.,,,"Spanish Phase 3, Units 1-30 (2004)",9
108,SP,978-1-4423-5039-7,Spanish 3,6,0:02:03,0:02:07,01R,28,M,Mis apuntes también estaban allí.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
109,SP,978-1-4423-5039-7,Spanish 3,6,0:06:10,0:06:12,02Q,64,N,I’m sorry.,,,"Spanish Phase 3, Units 1-30 (2004)",13
110,SP,978-1-4423-5039-7,Spanish 3,6,0:06:13,0:06:16,02R,66,F,Lo siento.,2,S,"Spanish Phase 3, Units 1-30 (2004)",13
111,SP,978-1-4423-5039-7,Spanish 3,6,0:07:50,0:07:52,03Q,80,N,I have wanted to talk with you.,,,"Spanish Phase 3, Units 1-30 (2004)",9
112,SP,978-1-4423-5039-7,Spanish 3,6,0:07:54,0:07:58,03R,81,F,He querido hablar contigo.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
113,SP,978-1-4423-5039-7,Spanish 3,6,0:09:19,0:09:22,04Q,94,N,I meant to call you before.,,,"Spanish Phase 3, Units 1-30 (2004)","7,17"
114,SP,978-1-4423-5039-7,Spanish 3,6,0:09:24,0:09:27,04R,95,F,Quise llamarte antes.,3,S,"Spanish Phase 3, Units 1-30 (2004)","7,17"
115,SP,978-1-4423-5039-7,Spanish 3,6,0:12:16,0:12:18,05Q,123,N,Thanks for waiting for me.,,,"Spanish Phase 3, Units 1-30 (2004)","13,16"
116,SP,978-1-4423-5039-7,Spanish 3,6,0:12:20,0:12:23,05R,124,F,Gracias por esperarme.,3,S,"Spanish Phase 3, Units 1-30 (2004)","13,16"
117,SP,978-1-4423-5039-7,Spanish 3,6,0:14:37,0:14:39,06Q,147,N,Now we can talk about the trip.,,,"Spanish Phase 3, Units 1-30 (2004)","17,18"
118,SP,978-1-4423-5039-7,Spanish 3,6,0:14:43,0:14:46,06R,148,M,Ahora podemos hablar del viaje.,5,S,"Spanish Phase 3, Units 1-30 (2004)","17,18"
119,SP,978-1-4423-5039-7,Spanish 3,6,0:17:22,0:17:25,07Q,170,N,I have to make the hotel reservations.,,,"Spanish Phase 3, Units 1-30 (2004)","16,18"
120,SP,978-1-4423-5039-7,Spanish 3,6,0:17:28,0:17:32,07R,171,M,Tengo que hacer las reservaciones del hotel.,7,S,"Spanish Phase 3, Units 1-30 (2004)","16,18"
121,SP,978-1-4423-5039-7,Spanish 3,6,0:21:21,0:21:23,08Q,210,N,He can help us.,,,"Spanish Phase 3, Units 1-30 (2004)",9
122,SP,978-1-4423-5039-7,Spanish 3,6,0:21:25,0:21:27,08R,211,M,Él puede ayudarnos.,3,S,"Spanish Phase 3, Units 1-30 (2004)",9
123,SP,978-1-4423-5039-7,Spanish 3,6,0:22:08,0:22:11,09Q,214,N,I don’t believe I know him.,,,"Spanish Phase 3, Units 1-30 (2004)",9
124,SP,978-1-4423-5039-7,Spanish 3,6,0:22:16,0:22:19,09R,215,F,Creo que no lo conozco.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
125,SP,978-1-4423-5039-7,Spanish 3,6,0:24:20,0:24:22,10Q,232,N,I meant to call him before.,,,"Spanish Phase 3, Units 1-30 (2004)","7,17"
126,SP,978-1-4423-5039-7,Spanish 3,6,0:24:24,0:24:27,10R,233,M,Quise llamarlo antes.,3,S,"Spanish Phase 3, Units 1-30 (2004)","7,17"
127,SP,978-1-4423-5039-7,Spanish 3,6,0:28:06,0:28:10,11Q,270,N,I’m going to make the reservations soon.,,,"Spanish Phase 3, Units 1-30 (2004)","16,18"
128,SP,978-1-4423-5039-7,Spanish 3,6,0:28:13,0:28:17,11R,271,M,Voy a hacer las reservaciones pronto.,5,S,"Spanish Phase 3, Units 1-30 (2004)","16,18"
129,SP,978-1-4423-5039-7,Spanish 3,7,0:04:24,0:04:27,01Q,52,N,Next to those books.,,,"Spanish Phase 3, Units 1-30 (2004)",1
130,SP,978-1-4423-5039-7,Spanish 3,7,0:04:30,0:04:32,01R,53,M,Al lado de esos libros.,5,S,"Spanish Phase 3, Units 1-30 (2004)",1
131,SP,978-1-4423-5039-7,Spanish 3,7,0:15:11,0:15:14,02Q,150,N,But I haven’t been able to.,,,"Spanish Phase 3, Units 1-30 (2004)",9
132,SP,978-1-4423-5039-7,Spanish 3,7,0:15:16,0:15:18,02R,151,M,Pero no he podido.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
133,SP,978-1-4423-5039-7,Spanish 3,7,0:16:58,0:17:02,03Q,166,N,It’s not as interesting as you believe.,,,"Spanish Phase 3, Units 1-30 (2004)",9
134,SP,978-1-4423-5039-7,Spanish 3,7,0:17:06,0:17:09,03R,167,M,No es tan interesante como cree.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
135,SP,978-1-4423-5039-7,Spanish 3,7,0:19:04,0:19:07,04Q,185,N,The company paid for the plane tickets.,,,"Spanish Phase 3, Units 1-30 (2004)","18,20"
136,SP,978-1-4423-5039-7,Spanish 3,7,0:19:11,0:19:14,04R,186,M,La empresa pagó los pasajes.,5,S,"Spanish Phase 3, Units 1-30 (2004)","18,20"
137,SP,978-1-4423-5039-7,Spanish 3,7,0:20:53,0:20:57,05Q,200,N,I paid for the plane ticket of my wife.,,,"Spanish Phase 3, Units 1-30 (2004)","5,18"
138,SP,978-1-4423-5039-7,Spanish 3,7,0:21:01,0:21:04,05R,201,M,Yo pagué el pasaje de mi esposa.,7,S,"Spanish Phase 3, Units 1-30 (2004)","5,18"
139,SP,978-1-4423-5039-7,Spanish 3,7,0:25:16,0:25:19,06Q,241,N,But not as expensive as I thought.,,,"Spanish Phase 3, Units 1-30 (2004)",14
140,SP,978-1-4423-5039-7,Spanish 3,7,0:25:22,0:25:26,06R,242,M,Pero no tan caro como pensé.,6,S,"Spanish Phase 3, Units 1-30 (2004)",14
141,SP,978-1-4423-5039-7,Spanish 3,7,0:27:03,0:27:06,07Q,258,N,"I’m sorry, we have only two.",,,"Spanish Phase 3, Units 1-30 (2004)","12,13"
142,SP,978-1-4423-5039-7,Spanish 3,7,0:27:12,0:27:15,07R,260,F,"Lo siento, sólo tenemos dos.",6,S,"Spanish Phase 3, Units 1-30 (2004)","12,13"
143,SP,978-1-4423-5039-7,Spanish 3,7,0:27:55,0:27:58,08Q,265,N,Ask if you can pay by credit card.,,,"Spanish Phase 3, Units 1-30 (2004)","11,14,16"
144,SP,978-1-4423-5039-7,Spanish 3,7,0:28:01,0:28:05,08R,266,M,¿Puedo pagar con tarjeta de crédito?,5,Q,"Spanish Phase 3, Units 1-30 (2004)","11,14,16"
145,SP,978-1-4423-5039-7,Spanish 3,7,0:28:35,0:28:38,09Q,271,N,It was here a minute ago.,,,"Spanish Phase 3, Units 1-30 (2004)",9
146,SP,978-1-4423-5039-7,Spanish 3,7,0:28:41,0:28:44,09R,272,F,Estaba aquí hace un minuto.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
147,SP,978-1-4423-5039-7,Spanish 3,7,0:29:22,0:29:24,10Q,277,N,Which credit card do you have?,,,"Spanish Phase 3, Units 1-30 (2004)","11,14"
148,SP,978-1-4423-5039-7,Spanish 3,7,0:29:28,0:29:31,10R,278,F,¿Cuál tarjeta de crédito tiene?,5,Q,"Spanish Phase 3, Units 1-30 (2004)","11,14"
149,SP,978-1-4423-5039-7,Spanish 3,8,0:05:49,0:05:52,01Q,66,N,Nicaragua is not as beautiful as Costa Rica.,,,"Spanish Phase 3, Units 1-30 (2004)",18
150,SP,978-1-4423-5039-7,Spanish 3,8,0:06:05,0:06:09,01R,67,F,Nicaragua no es tan bonita como Costa Rica.,8,S,"Spanish Phase 3, Units 1-30 (2004)",18
151,SP,978-1-4423-5039-7,Spanish 3,8,0:08:05,0:08:09,02Q,87,N,Always I’ve wanted to stay there.,,,"Spanish Phase 3, Units 1-30 (2004)",18
152,SP,978-1-4423-5039-7,Spanish 3,8,0:08:12,0:08:16,02R,88,M,Siempre he querido quedarme allí.,5,S,"Spanish Phase 3, Units 1-30 (2004)",18
153,SP,978-1-4423-5039-7,Spanish 3,8,0:09:24,0:09:28,03Q,98,N,It’s not as expensive as the Ritz.,,,"Spanish Phase 3, Units 1-30 (2004)",14
154,SP,978-1-4423-5039-7,Spanish 3,8,0:09:31,0:09:34,03R,99,M,No es tan caro como el Ritz.,7,S,"Spanish Phase 3, Units 1-30 (2004)",14
155,SP,978-1-4423-5039-7,Spanish 3,8,0:10:53,0:10:55,04Q,112,N,There’s a lot of space in the apartment.,,,"Spanish Phase 3, Units 1-30 (2004)",9
156,SP,978-1-4423-5039-7,Spanish 3,8,0:11:01,0:11:04,04R,113,M,Hay mucho espacio en el apartamento.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
157,SP,978-1-4423-5039-7,Spanish 3,8,0:12:38,0:12:41,05Q,127,N,The apartment is pretty big.,,,"Spanish Phase 3, Units 1-30 (2004)",9
158,SP,978-1-4423-5039-7,Spanish 3,8,0:12:45,0:12:49,05R,128,M,El apartamento es bastante grande.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
159,SP,978-1-4423-5039-7,Spanish 3,8,0:13:06,0:13:08,06Q,131,N,Also it’s pretty comfortable.,,,"Spanish Phase 3, Units 1-30 (2004)",9
